event_name,event_period,event_year,study_focus,iso_country_code,cb_region,event_type,classification,summary_statement,publication_year,citation,source,rapid_study,link
European summer heatwave,2003,2003,Event,NA,Europe,Heat,More severe or more likely to occur,"""We estimate it is very likely (confidence level >90%) that human influence has at least doubled the risk of a heatwave exceeding this threshold magnitude.""",2004,"Stott, P. et al., 2004: Human contribution to the European heatwave of 2003. Nature, 432, 610-614",Nature,No,https://www.nature.com/nature/journal/v432/n7017/full/nature03089.html
Global temperature extremes,since 1950,NA,Trend,NA,Global,Heat,More severe or more likely to occur,"""Comparing these observations with climate model simulations in an optimal detection analysis shows a significant human influence on patterns of change in extremely warm nights.""",2005,"Christidis, N. et al., 2005: Detection of changes in temperature extremes during the second half of the 20th century, GRL, 32 (20), DOI:10.1029/2005GL023885",Geophysical Research Letters,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2005GL023885
Record warm autumn in Europe,2006,2006,Event,NA,Europe,Heat,More severe or more likely to occur,"""Global warming has made a warm autumn like the one observed in 2006 much more likely by shifting the temperature distribution to higher values.""",2007,"Van Oldenborgh, G-J. et al., 2007: How unusual was autumn 2006 in Europe? Climate of the Past, 3, 659-668",Climate of the Past,No,http://www.clim-past.net/3/659/2007/cp-3-659-2007.html
Increasing frequency of 'very warm' Northern hemisphere summers,1860-2009,NA,Trend,NA,Northern hemisphere,Heat,More severe or more likely to occur,"""We detect the dominant influence of anthropogenic factors on observed warming in almost every region, which has led to a rapidly increasing risk of hot summers.""",2007,"Jones, G. et al., 2007: Human contribution to rapidly increasing frequency of very warm Northern hemisphere summers, J. Geophys. Res., 113, D02109, DOI:10.1029/2007JD008914",Journal of Geophysical Research: Atmospheres,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007JD008914
Moscow summer heatwave,2010,2010,Event,RUS,Europe,Heat,More severe or more likely to occur,"""For July temperature in Moscow, we estimate...an approximate 80% probability that the 2010 July heat record would not have occurred without climate warming.""",2011,"Rahmstorf, S. & Coumou, D. 2011: Increase of extreme events in a warming world. PNAS, 108 (44), 17905.",Proceedings of the National Academy of Sciences,No,http://www.pnas.org/content/108/44/17905.abstract
Global warm nights,1950-2003,NA,Trend,NA,Global,Heat,More severe or more likely to occur,"""A large part of the observed global-scale trend in TN90 results from the trend in mean temperature, which has been attributed largely to anthropogenic greenhouse gas increase. This suggests that the detected global‐scale trends in the number of warm nights are at least partly anthropogenic.""",2011,"Morak, S. et al., 2011: Detectable regional changes in the number of warm nights. GRL, 38 (17)",Geophysical Research Letters,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2011GL048531
Global 'extremely warm' daytime temperatures,1950-1999,NA,Trend,NA,Global,Heat,More severe or more likely to occur,"""Anthropogenic forcings alter the regional distributions, indicating that extremely warm days have become hotter.""",2011,"Christidis, N. et al., 2011: The Role of Human Activity in the Recent Warming of Extremely Warm Daytime Temperatures. J. Climate, DOI:10.1175/2011JCLI4150.1",Journal of Climate,No,https://journals.ametsoc.org/doi/10.1175/2011JCLI4150.1
Africa 'anomalously warm' seasonal temperatures,1961-2008,NA,Trend,NA,Sub-Saharan Africa,Heat,More severe or more likely to occur,"""In the June-August and September-November seasons, many of the sub‐continental regions of Africa and Asia show robust attributable increase in the frequencies of anomalously warm seasonal temperatures.""",2011,"Stott, P. et al., 2011: Single-step attribution of increasing frequencies of very warm regional temperatures to human influence. Atmos. Sci. Lett, 12 (2), 220-227, DOI:10.1002/asl.315",Atmospheric Science Letters,No,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/asl.315
Asia 'anomalously warm' seasonal temperatures,1961-2008,NA,Trend,NA,Central and southern Asia,Heat,More severe or more likely to occur,"""In the June-August and September-November seasons, many of the sub‐continental regions of Africa and Asia show robust attributable increase in the frequencies of anomalously warm seasonal temperatures.""",2011,"Stott, P. et al., 2011: Single-step attribution of increasing frequencies of very warm regional temperatures to human influence. Atmos. Sci. Lett, 12 (2), 220-227, DOI:10.1002/asl.315",Atmospheric Science Letters,No,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/asl.315
Global daily temperature extremes,1961-2000,NA,Trend,NA,Global,Heat,More severe or more likely to occur,"""Therefore, it is concluded that the influence of anthropogenic forcing has had a detectable influence on extreme temperatures that have impacts on human society and natural systems at global and regional scales.""",2011,"Zwiers, F. et al., 2011: Anthropogenic Influence on Long Return Period Daily Temperature Extremes at Regional Scales, J. Climate, 10.1175/2010JCLI3908.1",Journal of Climate,No,https://journals.ametsoc.org/doi/full/10.1175/2010JCLI3908.1
