region,state,year,milk_produced
Northeast,Maine,1970,619e6
Northeast,New Hampshire,1970,356e6
Northeast,Vermont,1970,197e7
Northeast,Massachusetts,1970,658e6
Northeast,Rhode Island,1970,75e6
Northeast,Connecticut,1970,661e6
Northeast,New York,1970,10341e6
Northeast,New Jersey,1970,73e7
Northeast,Pennsylvania,1970,7124e6
Northeast,Delaware,1970,13e7
Northeast,Maryland,1970,156e7
Lake States,Michigan,1970,4602e6
Lake States,Wisconsin,1970,18435e6
Lake States,Minnesota,1970,9636e6
Corn Belt,Ohio,1970,442e7
Corn Belt,Indiana,1970,2382e6
Corn Belt,Illinois,1970,285e7
Corn Belt,Iowa,1970,467e7
Corn Belt,Missouri,1970,3012e6
Northern Plains,North Dakota,1970,1065e6
Northern Plains,South Dakota,1970,1578e6
Northern Plains,Nebraska,1970,1566e6
Northern Plains,Kansas,1970,174e7
Appalachian,Virginia,1970,1749e6
Appalachian,West Virginia,1970,374e6
Appalachian,North Carolina,1970,1485e6
Appalachian,Kentucky,1970,2471e6
Appalachian,Tennessee,1970,2123e6
Southeast,South Carolina,1970,512e6
Southeast,Georgia,1970,1182e6
Southeast,Florida,1970,1641e6
Southeast,Alabama,1970,816e6
Delta States,Mississippi,1970,1049e6
Delta States,Arkansas,1970,685e6
Delta States,Louisiana,1970,1089e6
Southern Plains,Oklahoma,1970,125e7
Southern Plains,Texas,1970,3065e6
Mountain,Montana,1970,326e6
Mountain,Idaho,1970,149e7
Mountain,Wyoming,1970,14e7
Mountain,Colorado,1970,856e6
Mountain,New Mexico,1970,304e6
Mountain,Arizona,1970,585e6
Mountain,Utah,1970,819e6
Mountain,Nevada,1970,142e6
Pacific,Washington,1970,2091e6
Pacific,Oregon,1970,97e7
Pacific,California,1970,9457e6
Pacific,Alaska,1970,19e6
Pacific,Hawaii,1970,137e6
Northeast,Maine,1971,629e6
Northeast,New Hampshire,1971,359e6
Northeast,Vermont,1971,2025e6
Northeast,Massachusetts,1971,658e6
Northeast,Rhode Island,1971,7e7
Northeast,Connecticut,1971,66e7
Northeast,New York,1971,10431e6
Northeast,New Jersey,1971,684e6
Northeast,Pennsylvania,1971,7155e6
Northeast,Delaware,1971,133e6
Northeast,Maryland,1971,1564e6
Lake States,Michigan,1971,4796e6
Lake States,Wisconsin,1971,18848e6
Lake States,Minnesota,1971,9618e6
Corn Belt,Ohio,1971,4488e6
Corn Belt,Indiana,1971,243e7
Corn Belt,Illinois,1971,2814e6
Corn Belt,Iowa,1971,4577e6
Corn Belt,Missouri,1971,2999e6
Northern Plains,North Dakota,1971,1023e6
Northern Plains,South Dakota,1971,1572e6
Northern Plains,Nebraska,1971,1569e6
Northern Plains,Kansas,1971,1688e6
Appalachian,Virginia,1971,1751e6
Appalachian,West Virginia,1971,363e6
Appalachian,North Carolina,1971,15e8
Appalachian,Kentucky,1971,248e7
Appalachian,Tennessee,1971,2122e6
Southeast,South Carolina,1971,516e6
Southeast,Georgia,1971,1188e6
Southeast,Florida,1971,1785e6
Southeast,Alabama,1971,819e6
Delta States,Mississippi,1971,1011e6
Delta States,Arkansas,1971,698e6
Delta States,Louisiana,1971,1129e6
Southern Plains,Oklahoma,1971,126e7
Southern Plains,Texas,1971,3239e6
Mountain,Montana,1971,334e6
Mountain,Idaho,1971,155e7
Mountain,Wyoming,1971,135e6
Mountain,Colorado,1971,885e6
Mountain,New Mexico,1971,312e6
Mountain,Arizona,1971,62e7
Mountain,Utah,1971,84e7
Mountain,Nevada,1971,141e6
Pacific,Washington,1971,223e7
Pacific,Oregon,1971,1008e6
Pacific,California,1971,971e7
Pacific,Alaska,1971,17e6
Pacific,Hawaii,1971,133e6
Northeast,Maine,1972,638e6
Northeast,New Hampshire,1972,353e6
Northeast,Vermont,1972,2039e6
Northeast,Massachusetts,1972,629e6
Northeast,Rhode Island,1972,69e6
Northeast,Connecticut,1972,643e6
Northeast,New York,1972,10306e6
Northeast,New Jersey,1972,645e6
Northeast,Pennsylvania,1972,7031e6
Northeast,Delaware,1972,132e6
Northeast,Maryland,1972,1536e6
Lake States,Michigan,1972,4966e6
Lake States,Wisconsin,1972,19226e6
Lake States,Minnesota,1972,958e7
Corn Belt,Ohio,1972,4573e6
Corn Belt,Indiana,1972,2454e6
Corn Belt,Illinois,1972,2838e6
Corn Belt,Iowa,1972,44e8
Corn Belt,Missouri,1972,3025e6
Northern Plains,North Dakota,1972,994e6
Northern Plains,South Dakota,1972,1591e6
Northern Plains,Nebraska,1972,161e7
Northern Plains,Kansas,1972,1629e6
Appalachian,Virginia,1972,176e7
Appalachian,West Virginia,1972,345e6
Appalachian,North Carolina,1972,1537e6
Appalachian,Kentucky,1972,253e7
Appalachian,Tennessee,1972,2217e6
Southeast,South Carolina,1972,518e6
Southeast,Georgia,1972,1235e6
Southeast,Florida,1972,1867e6
Southeast,Alabama,1972,82e7
Delta States,Mississippi,1972,993e6
Delta States,Arkansas,1972,728e6
Delta States,Louisiana,1972,1132e6
Southern Plains,Oklahoma,1972,1235e6
Southern Plains,Texas,1972,334e7
Mountain,Montana,1972,334e6
Mountain,Idaho,1972,1663e6
Mountain,Wyoming,1972,135e6
Mountain,Colorado,1972,88e7
Mountain,New Mexico,1972,326e6
Mountain,Arizona,1972,64e7
Mountain,Utah,1972,874e6
Mountain,Nevada,1972,143e6
Pacific,Washington,1972,2307e6
Pacific,Oregon,1972,1005e6
Pacific,California,1972,104e8
Pacific,Alaska,1972,18e6
Pacific,Hawaii,1972,136e6
Northeast,Maine,1973,614e6
Northeast,New Hampshire,1973,337e6
Northeast,Vermont,1973,1948e6
Northeast,Massachusetts,1973,595e6
Northeast,Rhode Island,1973,64e6
Northeast,Connecticut,1973,614e6
Northeast,New York,1973,9728e6
Northeast,New Jersey,1973,575e6
Northeast,Pennsylvania,1973,6718e6
Northeast,Delaware,1973,128e6
Northeast,Maryland,1973,1464e6
Lake States,Michigan,1973,4636e6
Lake States,Wisconsin,1973,18442e6
Lake States,Minnesota,1973,9271e6
Corn Belt,Ohio,1973,4267e6
Corn Belt,Indiana,1973,2329e6
Corn Belt,Illinois,1973,2673e6
Corn Belt,Iowa,1973,418e7
Corn Belt,Missouri,1973,2992e6
Northern Plains,North Dakota,1973,1044e6
Northern Plains,South Dakota,1973,1642e6
Northern Plains,Nebraska,1973,1542e6
Northern Plains,Kansas,1973,1505e6
Appalachian,Virginia,1973,169e7
Appalachian,West Virginia,1973,333e6
Appalachian,North Carolina,1973,149e7
Appalachian,Kentucky,1973,233e7
Appalachian,Tennessee,1973,2057e6
Southeast,South Carolina,1973,497e6
Southeast,Georgia,1973,1168e6
Southeast,Florida,1973,1843e6
Southeast,Alabama,1973,785e6
Delta States,Mississippi,1973,95e7
Delta States,Arkansas,1973,706e6
Delta States,Louisiana,1973,1062e6
Southern Plains,Oklahoma,1973,114e7
Southern Plains,Texas,1973,328e7
Mountain,Montana,1973,312e6
Mountain,Idaho,1973,1657e6
Mountain,Wyoming,1973,13e7
Mountain,Colorado,1973,854e6
Mountain,New Mexico,1973,318e6
Mountain,Arizona,1973,737e6
Mountain,Utah,1973,866e6
Mountain,Nevada,1973,144e6
Pacific,Washington,1973,2338e6
Pacific,Oregon,1973,1008e6
Pacific,California,1973,10332e6
Pacific,Alaska,1973,18e6
Pacific,Hawaii,1973,138e6
Northeast,Maine,1974,611e6
Northeast,New Hampshire,1974,329e6
Northeast,Vermont,1974,1945e6
Northeast,Massachusetts,1974,593e6
Northeast,Rhode Island,1974,63e6
Northeast,Connecticut,1974,613e6
Northeast,New York,1974,9822e6
Northeast,New Jersey,1974,551e6
Northeast,Pennsylvania,1974,698e7
Northeast,Delaware,1974,128e6
Northeast,Maryland,1974,1505e6
Lake States,Michigan,1974,435e7
Lake States,Wisconsin,1974,18713e6
Lake States,Minnesota,1974,9382e6
Corn Belt,Ohio,1974,4221e6
Corn Belt,Indiana,1974,226e7
Corn Belt,Illinois,1974,2522e6
Corn Belt,Iowa,1974,4025e6
Corn Belt,Missouri,1974,2989e6
Northern Plains,North Dakota,1974,98e7
Northern Plains,South Dakota,1974,1642e6
Northern Plains,Nebraska,1974,1477e6
Northern Plains,Kansas,1974,1403e6
Appalachian,Virginia,1974,1705e6
Appalachian,West Virginia,1974,35e7
Appalachian,North Carolina,1974,1462e6
Appalachian,Kentucky,1974,237e7
Appalachian,Tennessee,1974,1971e6
Southeast,South Carolina,1974,515e6
Southeast,Georgia,1974,119e7
Southeast,Florida,1974,1875e6
Southeast,Alabama,1974,708e6
Delta States,Mississippi,1974,907e6
Delta States,Arkansas,1974,706e6
Delta States,Louisiana,1974,1059e6
Southern Plains,Oklahoma,1974,1137e6
Southern Plains,Texas,1974,338e7
Mountain,Montana,1974,294e6
Mountain,Idaho,1974,1555e6
Mountain,Wyoming,1974,123e6
Mountain,Colorado,1974,866e6
Mountain,New Mexico,1974,338e6
Mountain,Arizona,1974,81e7
Mountain,Utah,1974,925e6
Mountain,Nevada,1974,167e6
Pacific,Washington,1974,2312e6
Pacific,Oregon,1974,1004e6
Pacific,California,1974,10596e6
Pacific,Alaska,1974,18e6
Pacific,Hawaii,1974,139e6
Northeast,Maine,1975,629e6
Northeast,New Hampshire,1975,336e6
Northeast,Vermont,1975,2009e6
Northeast,Massachusetts,1975,601e6
Northeast,Rhode Island,1975,63e6
Northeast,Connecticut,1975,608e6
Northeast,New York,1975,9964e6
Northeast,New Jersey,1975,528e6
Northeast,Pennsylvania,1975,714e7
Northeast,Delaware,1975,127e6
Northeast,Maryland,1975,155e7
Lake States,Michigan,1975,4411e6
Lake States,Wisconsin,1975,189e8
Lake States,Minnesota,1975,8946e6
Corn Belt,Ohio,1975,4259e6
Corn Belt,Indiana,1975,221e7
Corn Belt,Illinois,1975,2446e6
Corn Belt,Iowa,1975,3893e6
Corn Belt,Missouri,1975,284e7
Northern Plains,North Dakota,1975,917e6
Northern Plains,South Dakota,1975,1556e6
Northern Plains,Nebraska,1975,1431e6
Northern Plains,Kansas,1975,1392e6
Appalachian,Virginia,1975,1755e6
Appalachian,West Virginia,1975,35e7
Appalachian,North Carolina,1975,1498e6
Appalachian,Kentucky,1975,2319e6
Appalachian,Tennessee,1975,2031e6
Southeast,South Carolina,1975,512e6
Southeast,Georgia,1975,1221e6
Southeast,Florida,1975,1956e6
Southeast,Alabama,1975,686e6
Delta States,Mississippi,1975,876e6
Delta States,Arkansas,1975,707e6
Delta States,Louisiana,1975,1054e6
Southern Plains,Oklahoma,1975,106e7
Southern Plains,Texas,1975,3208e6
Mountain,Montana,1975,278e6
Mountain,Idaho,1975,1555e6
Mountain,Wyoming,1975,11e7
Mountain,Colorado,1975,845e6
Mountain,New Mexico,1975,366e6
Mountain,Arizona,1975,84e7
