year,milk_type,pounds
1975,Whole,36188e6
1976,Whole,35241e6
1977,Whole,34036e6
1978,Whole,33235e6
1979,Whole,3248e7
1980,Whole,31253e6
1981,Whole,30397e6
1982,Whole,2935e7
1983,Whole,28871e6
1984,Whole,28204e6
1985,Whole,2776e7
1986,Whole,26446e6
1987,Whole,25644e6
1988,Whole,24691e6
1989,Whole,22823e6
1990,Whole,21333e6
1991,Whole,20769e6
1992,Whole,20196e6
1993,Whole,1946e7
1994,Whole,19223e6
1995,Whole,18662e6
1996,Whole,18698e6
1997,Whole,18413e6
1998,Whole,18147e6
1999,Whole,18467e6
2e3,Whole,188228e5
2001,Whole,18417699999.999996
2002,Whole,1841e7
2003,Whole,18284100000.000004
2004,Whole,176944e5
2005,Whole,17109e6
2006,Whole,16705900000.000002
2007,Whole,16104800000.000002
2008,Whole,15506199999.999996
2009,Whole,15289699999.999996
2010,Whole,14570100000.000002
2011,Whole,14173999999.999998
2012,Whole,13963900000.000002
2013,Whole,13914799999.999998
2014,Whole,13978999999.999998
2015,Whole,14578e6
2016,Whole,153712e5
2017,Whole,157542e5
1975,Reduced Fat (2%),8726e6
1976,Reduced Fat (2%),9556e6
1977,Reduced Fat (2%),10423e6
1978,Reduced Fat (2%),11017e6
1979,Reduced Fat (2%),11762e6
1980,Reduced Fat (2%),12435e6
1981,Reduced Fat (2%),13088e6
1982,Reduced Fat (2%),13501e6
1983,Reduced Fat (2%),14183e6
1984,Reduced Fat (2%),15143e6
1985,Reduced Fat (2%),16309e6
1986,Reduced Fat (2%),17232e6
1987,Reduced Fat (2%),176e8
1988,Reduced Fat (2%),18462e6
1989,Reduced Fat (2%),19553e6
1990,Reduced Fat (2%),19565e6
1991,Reduced Fat (2%),19829e6
1992,Reduced Fat (2%),19851e6
1993,Reduced Fat (2%),19528e6
1994,Reduced Fat (2%),19326e6
1995,Reduced Fat (2%),18442e6
1996,Reduced Fat (2%),18194e6
1997,Reduced Fat (2%),17732e6
1998,Reduced Fat (2%),17333e6
1999,Reduced Fat (2%),17489e6
2e3,Reduced Fat (2%),17469899999.999996
2001,Reduced Fat (2%),17420499999.999996
2002,Reduced Fat (2%),17469100000.000004
2003,Reduced Fat (2%),17485000000.000004
2004,Reduced Fat (2%),175891e5
2005,Reduced Fat (2%),17912100000.000004
2006,Reduced Fat (2%),181126e5
2007,Reduced Fat (2%),18349200000.000004
2008,Reduced Fat (2%),186417e5
2009,Reduced Fat (2%),18961e6
2010,Reduced Fat (2%),192044e5
2011,Reduced Fat (2%),19033099999.999996
2012,Reduced Fat (2%),187696e5
2013,Reduced Fat (2%),18525500000.000004
2014,Reduced Fat (2%),179708e5
2015,Reduced Fat (2%),16846699999.999996
2016,Reduced Fat (2%),165953e5
2017,Reduced Fat (2%),16134e6
1975,Low Fat (1%),2742e6
1976,Low Fat (1%),2875e6
1977,Low Fat (1%),3003e6
1978,Low Fat (1%),3233e6
1979,Low Fat (1%),3281e6
1980,Low Fat (1%),3483e6
1981,Low Fat (1%),3574e6
1982,Low Fat (1%),3537e6
1983,Low Fat (1%),3455e6
1984,Low Fat (1%),3382e6
1985,Low Fat (1%),3503e6
1986,Low Fat (1%),3924e6
1987,Low Fat (1%),379e7
1988,Low Fat (1%),3752e6
1989,Low Fat (1%),4191e6
1990,Low Fat (1%),4944e6
1991,Low Fat (1%),521e7
1992,Low Fat (1%),5374e6
1993,Low Fat (1%),5297e6
1994,Low Fat (1%),5409e6
1995,Low Fat (1%),576e7
1996,Low Fat (1%),5817e6
1997,Low Fat (1%),5977e6
1998,Low Fat (1%),6113e6
1999,Low Fat (1%),6082e6
2e3,Low Fat (1%),63074e5
2001,Low Fat (1%),63371e5
2002,Low Fat (1%),63868e5
