year,avg_milk_cow_number,milk_per_cow,milk_production_lbs,avg_price_milk,dairy_ration,milk_feed_price_ratio,milk_cow_cost_per_animal,milk_volume_to_buy_cow_in_lbs,alfalfa_hay_price,slaughter_cow_price
1980,10799e3,11891,128406e6,0.13,0.048373566666666666,2.7171486088152226,1190,9153.846153846154,72,0.4573
1981,10898e3,12183,13277e7,0.138,0.05035243333333335,2.7590311087479207,1200,8695.652173913042,70.9,0.4193
1982,11011e3,12306,135505e6,0.136,0.044221016666666675,3.0881269035865357,1110,8161.764705882352,72.73333333333333,0.3996
1983,11059e3,12622,139588e6,0.136,0.05235034166666666,2.609619556957251,1030,7573.529411764705,78.7,0.3935
1984,10793e3,12541,135351e6,0.135,0.053387866666666665,2.54,895,6629.62962962963,79.48333333333333,0.3981
1985,10981e3,13024,143012e6,0.127,0.045004575000000005,2.84,860,6771.653543307086,73.67500000000001,0.3831
1986,10773e3,13285,143124e6,0.125,0.03774749999999999,3.39,820,6560,64.64166666666667,0.3718
1987,10327e3,13819,142709e6,0.125,0.03445415,3.64,920,7360,65.96666666666667,0.44799999999999995
1988,10224e3,14185,145034e6,0.12200000000000001,0.04721579166666667,2.63,990,8114.754098360655,82.50833333333333,0.47909999999999997
1989,10046e3,14323,143893e6,0.136,0.050674175,2.7,1030,7573.529411764705,95.98333333333333,0.5011
1990,9993e3,14782,147721e6,0.137,0.048567200000000005,2.82,1160,8467.153284671533,92.55833333333332,0.5332
1991,9826e3,15031,147697e6,0.12200000000000001,0.044852058333333326,2.74,1100,9016.39344262295,78.95833333333333,0.515
1992,9688e3,15570,150847e6,0.131,0.04371235833333333,3.01,1130,8625.954198473282,75.50833333333334,0.49689999999999995
1993,9581e3,15722,150636e6,0.128,0.04599924166666667,2.8,1160,9062.5,86.66666666666667,0.5014
1994,9494e3,16179,153602e6,0.13,0.04926199166666668,2.65,1170,9e3,93.63333333333333,0.45030000000000003
1995,9466e3,16405,155292e6,0.127,0.049138116666666655,2.59,1130,8897.63779527559,88.09166666666665,0.3812
1996,9372e3,16433,154006e6,0.149,0.06151045,2.44,1090,7315.436241610738,95.02499999999999,0.33
1997,9252e3,16871,156091e6,0.133,0.056215525,2.38,1100,8270.676691729323,110.69166666666666,0.3693
1998,9151e3,17185,157262e6,0.155,0.047288291666666676,3.34,1120,7225.806451612903,94.28333333333335,0.3554
1999,9153e3,17763,162589e6,0.14400000000000002,0.040110083333333345,3.59,1280,8888.888888888889,82.25833333333334,0.3728
2e3,9199e3,18197,167393e6,0.12300000000000001,0.040425608333333335,3.05,1340,10894.30894308943,83.87500000000001,0.4007604166666667
2001,9103e3,18162,165332e6,0.15,0.044133874999999996,3.39,1500,1e4,102.40833333333335,0.44778645833333336
2002,9139e3,18608,170063e6,0.121,0.046739725,2.6,1600,13223.140495867769,101.3,0.40093229166666666
2003,9081e3,18759,170348e6,0.125,0.04802399166666667,2.61,1340,10720,94.02499999999999,0.4299
2004,901e4,18960,170832e6,0.161,0.05200663333333333,3.1,1580,9813.664596273291,95.13333333333333,0.5266
2005,905e4,19550,176931e6,0.151,0.046824683333333325,3.24,1770,11721.854304635763,102.52499999999998,0.5394
2006,9137e3,19895,181782e6,0.129,0.05037088333333334,2.57,1730,13410.852713178294,107.70833333333333,0.49079999999999996
2007,9189e3,20204,185654e6,0.191,0.0679576,2.8,1830,9581.151832460731,130.58333333333334,0.4951
2008,9314e3,20397,189978e6,0.183,0.09166254166666667,2.01,1950,10655.737704918032,161.33333333333334,0.5144
2009,9202e3,20561,189202e6,0.128,0.07268469166666666,1.78,1390,10859.375,122.91666666666667,0.44376750000000004
2010,9123e3,21142,192877e6,0.163,0.07202995000000001,2.26,1330,8159.509202453987,116.41666666666667,0.561
2011,9199e3,21334,196255e6,0.201,0.107559575,1.9,1420,7064.6766169154225,176.08333333333334,0.6829999999999999
2012,9237e3,21722,200642e6,0.185,0.1215,1.52,1430,7729.72972972973,206.08333333333334,0.7770999999999999
2013,9224e3,21816,201231e6,0.201,0.11709234166666667,1.75,1380,6865.671641791044,205.83,0.7756000000000001
2014,9257e3,22259,206054e6,0.24,0.0951,2.54,1830,7625,200.25,1.0204
