season|number|production_code|episode_title|guest_star|role
1|002–102|7G02|Bart the Genius|Marcia Wallace|Edna Krabappel;  Ms. Melon
1|003–103|7G03|Homer's Odyssey|Sam McMurray|Worker
1|003–103|7G03|Homer's Odyssey|Marcia Wallace|Edna Krabappel
1|006–106|7G06|Moaning Lisa|Miriam Flynn|Ms. Barr
1|006–106|7G06|Moaning Lisa|Ron Taylor|Bleeding Gums Murphy
1|007–107|7G09|The Call of the Simpsons|Albert Brooks|Cowboy Bob
1|008–108|7G07|The Telltale Head|Marcia Wallace|Edna Krabappel
1|009–109|7G11|Life on the Fast Lane|Albert Brooks|Jacques
1|010–110|7G10|Homer's Night Out|Sam McMurray|Gulliver Dark
1|011–111|7G13|The Crepes of Wrath|Christian Coffinet|Gendarme Officer
1|012–112|7G12|Krusty Gets Busted|Kelsey Grammer|Sideshow Bob
1|013–113|7G01|Some Enchanted Evening|June Foray|Babysitter service receptionist; Doofy the Elf
1|013–113|7G01|Some Enchanted Evening|Penny Marshall|Ms. Botz; Lucille Botzcowski
1|013–113|7G01|Some Enchanted Evening|Paul Willson|Florist
2|014–201|7F03|Bart Gets an "F"|Marcia Wallace|Edna Krabappel
2|015–202|7F02|Simpson and Delilah|Harvey Fierstein|Karl
2|016–203|7F04|Treehouse of Horror|James Earl Jones|Removal man; Serak the Preparer; Narrator
2|018–205|7F05|Dancin' Homer|Tony Bennett|Himself
2|018–205|7F05|Dancin' Homer|Daryl Coley|Bleeding Gums Murphy
2|018–205|7F05|Dancin' Homer|Ken Levine|Dan Horde
2|018–205|7F05|Dancin' Homer|Tom Poston|Capital City Goofball
2|020–207|7F07|Bart vs. Thanksgiving|Greg Berg|Rory; Eddie; Radio voice; "Hooray for Everything" Announcer; Security Man
2|020–207|7F07|Bart vs. Thanksgiving|Carol Kane|Maggie Simpson
2|022–209|7F09|Itchy & Scratchy & Marge|Alex Rocco|Roger Meyers Jr.
2|023–210|7F10|Bart Gets Hit by a Car|Phil Hartman|Lionel Hutz; Heaven
2|024–211|7F11|One Fish, Two Fish, Blowfish, Blue Fish|Larry King|Himself
2|024–211|7F11|One Fish, Two Fish, Blowfish, Blue Fish|Joey Miyashima|Toshiro
2|024–211|7F11|One Fish, Two Fish, Blowfish, Blue Fish|Sab Shimono|Master Sushi Chef
2|024–211|7F11|One Fish, Two Fish, Blowfish, Blue Fish|George Takei|Akira
2|024–211|7F11|One Fish, Two Fish, Blowfish, Blue Fish|Diana Tanaka|Hostess
2|025–212|7F12|The Way We Was|Jon Lovitz|Artie Ziff; Mr. Seckofsky
2|026–213|7F13|Homer vs. Lisa and the 8th Commandment|Phil Hartman|Troy McClure; Moses; Cable guy
2|027–214|7F15|Principal Charming|Marcia Wallace|Edna Krabappel
2|028–215|7F16|Oh Brother, Where Art Thou?|Danny DeVito|Herbert Powell
2|029–216|7F14|Bart's Dog Gets an F|Tracey Ullman|Emily Winthropp; Sylvia Winfield
2|029–216|7F14|Bart's Dog Gets an F|Frank Welker|Santa's Little Helper; Additional dog voices
2|030–217|7F17|Old Money|Phil Hartman|Lionel Hutz; Plato
2|030–217|7F17|Old Money|Audrey Meadows|Bea Simmons
2|030–217|7F17|Old Money|Marcia Wallace|Edna Krabappel
2|031–218|7F18|Brush with Greatness|Jon Lovitz|Professor Lombardo
2|031–218|7F18|Brush with Greatness|Ringo Starr|Himself
2|032–219|7F19|Lisa's Substitute|Dustin Hoffman|Mr. Bergstrom
2|032–219|7F19|Lisa's Substitute|Marcia Wallace|Edna Krabappel
2|034–221|7F21|Three Men and a Comic Book|Cloris Leachman|Mrs. Glick
2|034–221|7F21|Three Men and a Comic Book|Daniel Stern|Narrator
3|036–301|7F24|Stark Raving Dad|Michael Jackson|Leon Kompowsky
3|036–301|7F24|Stark Raving Dad|Kipp Lennon|Leon Kompowsky's singing voice
3|037–302|8F01|Mr. Lisa Goes to Washington|Lona Williams|Minnesota girl
3|039–304|8F03|Bart the Murderer|Neil Patrick Harris|Himself playing Bart Simpson
3|039–304|8F03|Bart the Murderer|Phil Hartman|Lionel Hutz; Troy McClure; Joey; Godfather
3|039–304|8F03|Bart the Murderer|Joe Mantegna|Fat Tony; Himself playing Fat Tony
3|039–304|8F03|Bart the Murderer|Marcia Wallace|Edna Krabappel
3|040–305|8F04|Homer Defined|Chick Hearn|Himself
3|040–305|8F04|Homer Defined|Magic Johnson|Himself
