Date,Year,Applicants,Accepted,Starters,Finishers,Raised,Official charity
1981-03-29,1981,20000,7747,7055,6255,NA,NA
1982-05-09,1982,90000,18059,16350,15116,NA,NA
1983-04-17,1983,60000,19735,16500,15793,NA,NA
1984-05-13,1984,70000,21142,16992,15675,NA,NA
1985-04-21,1985,83000,22274,17500,15873,NA,NA
1986-04-20,1986,80000,25566,19261,18067,NA,British Sports Association for the Disabled (autistic)
1987-05-10,1987,80000,28364,21485,19586,NA,Farnham Park Trust
1988-04-17,1988,73000,29979,22469,20932,NA,SportsAid
1989-04-23,1989,72000,31772,24452,22701,NA,The Evelina Family TrustSpecial Olympics
1990-04-22,1990,73000,34882,26500,25013,NA,Battle of Britain AppealCommunity Action Trust
1991-04-21,1991,79000,33485,24500,23435,NA,Action on AddictionRoyal Marsden Cancer Research
1992-04-12,1992,83000,34250,24500,23833,NA,Guy's HospitalEvelina London Children's HospitalTuskforce
1993-04-18,1993,68000,35820,25000,24495,NA,St John AmbulanceSnowden Award Scheme
1994-04-17,1994,72000,37379,26000,25242,NA,British Heart FoundationChildline
1995-04-02,1995,79000,39097,27000,25377,NA,Leonard Cheshire DisabilityCancer Relief Macmillan
1996-04-21,1996,68000,39173,27134,26806,NA,British Heart FoundationNational Asthma Campaign
1997-04-13,1997,78000,39813,29500,29189,NA,British Heart FoundationNSPCC
1998-04-26,1998,96000,42228,30663,29972,NA,"Age ConcernDiana, Princess of Wales Memorial Fund"
1999-04-18,1999,87000,43774,31582,30849,NA,Whizz-KidzLeukaemia Research
2000-04-16,2000,93000,42596,32620,31698,NA,Mencap
2001-04-22,2001,92000,43517,31156,30318,NA,MS Society
2002-04-14,2002,99000,46083,33297,32950,NA,Outward BoundFCWL
2003-04-13,2003,111000,45629,32746,32324,NA,Shelter
2004-04-18,2004,108000,45219,32746,32012,NA,SenseBritish Heart Foundation
2005-04-17,2005,132000,47969,35600,35300,NA,Help the Hospices
2006-04-23,2006,119000,47020,33578,33250,NA,The Stroke AssociationAnthony Nolan
2007-04-22,2007,128000,50039,36396,35729,46.5,WellChild
2008-04-13,2008,120000,48630,35037,34637,46.7,Heart UKSpinal Injuries Association
2009-04-26,2009,155000,49995,35884,35404,47.2,The Children's Trust
2010-04-25,2010,163000,51378,36956,36666,50.6,CLIC Sargent
2011-04-17,2011,163926,50532,35303,34872,51.8,Oxfam
2012-04-22,2012,170150,50200,37227,36812,52.8,TeamPB (Prostate Cancer Charity)(Breast Cancer Care)
2013-04-21,2013,167449,48323,34631,34381,53,YouthNetAge UK
2014-04-13,2014,169682,49872,36337,35977,53.2,Anthony Nolan
2015-04-26,2015,172888,51696,38020,37793,54.1,Cancer Research UK
2016-04-24,2016,247069,53152,39523,39140,59.4,NSPCC
2017-04-23,2017,253930,53229,40048,39487,61.5,Heads Together
2018-04-22,2018,386050,54685,40926,40220,63.7,Teenage Cancer Trust
2019-04-28,2019,414168,56398,42906,42549,66.4,Dementia Revolution
2020-10-04,2020,457861,77,77,61,NA,Mencap
2021-10-03,2021,NA,NA,NA,NA,NA,NA
2022-10-02,2022,NA,NA,NA,NA,NA,British Heart Foundation
