Category,Year,Athlete,Nationality,Time
Men,1981,Dick Beardsley (Tie),United States,02:11:48
Men,1981,Inge Simonsen (Tie),Norway,02:11:48
Men,1982,Hugh Jones,United Kingdom,02:09:24
Men,1983,Mike Gratton,United Kingdom,02:09:43
Men,1984,Charlie Spedding,United Kingdom,02:09:57
Men,1985,Steve Jones,United Kingdom,02:08:16
Men,1986,Toshihiko Seko,Japan,02:10:02
Men,1987,Hiromi Taniguchi,Japan,02:09:50
Men,1988,Henrik Jørgensen,Denmark,02:10:20
Men,1989,Douglas Wakiihuri,Kenya,02:09:03
Men,1990,Allister Hutton,United Kingdom,02:10:10
Men,1991,Yakov Tolstikov,Soviet Union,02:09:17
Men,1992,António Pinto,Portugal,02:10:02
Men,1993,Eamonn Martin,United Kingdom,02:10:50
Men,1994,Dionicio Cerón,Mexico,02:08:53
Men,1995,Dionicio Cerón,Mexico,02:08:30
Men,1996,Dionicio Cerón,Mexico,02:10:00
Men,1997,António Pinto,Portugal,02:07:55
Men,1998,Abel Antón,Spain,02:07:57
Men,1999,Abdelkader El Mouaziz,Morocco,02:07:57
Men,2000,António Pinto,Portugal,02:06:36
Men,2001,Abdelkader El Mouaziz,Morocco,02:07:09
Men,2002,Khalid Khannouchi,United States,02:05:38
Men,2003,Gezahegne Abera,Ethiopia,02:07:56
Men,2004,Evans Rutto,Kenya,02:06:18
Men,2005,Martin Lel,Kenya,02:07:35
Men,2006,Felix Limo,Kenya,02:06:39
Men,2007,Martin Lel,Kenya,02:07:41
Men,2008,Martin Lel,Kenya,02:05:15
Men,2009,Samuel Wanjiru,Kenya,02:05:10
Men,2010,Tsegaye Kebede,Ethiopia,02:05:19
Men,2011,Emmanuel Kipchirchir Mutai,Kenya,02:04:40
Men,2012,Wilson Kipsang Kiprotich,Kenya,02:04:44
Men,2013,Tsegaye Kebede,Ethiopia,02:06:04
Men,2014,Wilson Kipsang Kiprotich,Kenya,02:04:29
Men,2015,Eliud Kipchoge,Kenya,02:04:42
Men,2016,Eliud Kipchoge,Kenya,02:03:05
Men,2017,Daniel Wanjiru,Kenya,02:05:48
Men,2018,Eliud Kipchoge,Kenya,02:04:17
Men,2019,Eliud Kipchoge,Kenya,02:02:37
Men,2020,Shura Kitata Tola,Ethiopia,02:05:58
Men,2021,Sisay Lemma,Ethiopia,02:04:01
Men,2022,Amos Kipruto,Kenya,02:04:39
Women,1981,Joyce Smith,United Kingdom,02:29:57
Women,1982,Joyce Smith,United Kingdom,02:29:43
Women,1983,Grete Waitz,Norway,02:25:29
Women,1984,Ingrid Kristiansen,Norway,02:24:26
Women,1985,Ingrid Kristiansen,Norway,02:21:06
Women,1986,Grete Waitz,Norway,02:24:54
Women,1987,Ingrid Kristiansen,Norway,02:22:48
Women,1988,Ingrid Kristiansen,Norway,02:25:41
Women,1989,Véronique Marot,United Kingdom,02:25:56
Women,1990,Wanda Panfil,Poland,02:26:31
Women,1991,Rosa Mota,Portugal,02:26:14
