year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
1976,ALABAMA,AL,1,63,41,US HOUSE,001,GEN,FALSE,FALSE,BILL DAVENPORT,DEMOCRAT,FALSE,TOTAL,58906,157170,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,001,GEN,FALSE,FALSE,JACK EDWARDS,REPUBLICAN,FALSE,TOTAL,98257,157170,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,001,GEN,FALSE,FALSE,WRITEIN,,TRUE,TOTAL,7,157170,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,002,GEN,FALSE,FALSE,J CAROLE KEAHEY,DEMOCRAT,FALSE,TOTAL,66288,156362,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,002,GEN,FALSE,FALSE,"WILLIAM L ""BILL"" DICKINSON",REPUBLICAN,FALSE,TOTAL,90069,156362,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,002,GEN,FALSE,FALSE,WRITEIN,,TRUE,TOTAL,5,156362,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,003,GEN,FALSE,FALSE,BILL NICHOLS,DEMOCRAT,FALSE,TOTAL,106935,108048,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,003,GEN,FALSE,FALSE,OGBURN GARDNER,PROHIBITION,FALSE,TOTAL,1111,108048,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,003,GEN,FALSE,FALSE,WRITEIN,,TRUE,TOTAL,2,108048,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,004,GEN,FALSE,FALSE,LEONARD WILSON,REPUBLICAN,FALSE,TOTAL,34531,176022,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,004,GEN,FALSE,FALSE,TOM BEVILL,DEMOCRAT,FALSE,TOTAL,141490,176022,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,004,GEN,FALSE,FALSE,WRITEIN,,TRUE,TOTAL,1,176022,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,005,GEN,FALSE,FALSE,RONNIE G FLIPPO,DEMOCRAT,FALSE,TOTAL,113553,113560,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,005,GEN,FALSE,FALSE,WRITEIN,,TRUE,TOTAL,7,113560,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,006,GEN,FALSE,FALSE,BILLY E DORSEY,NATIONAL DEMOCRAT,FALSE,TOTAL,1021,162518,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,006,GEN,FALSE,FALSE,JOHN H BUCHANAN JR,REPUBLICAN,FALSE,TOTAL,92113,162518,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,006,GEN,FALSE,FALSE,MEL BAILEY,DEMOCRAT,FALSE,TOTAL,69384,162518,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,007,GEN,FALSE,FALSE,WALTER FLOWERS,DEMOCRAT,FALSE,TOTAL,110496,110501,FALSE,20230706,FALSE
1976,ALABAMA,AL,1,63,41,US HOUSE,007,GEN,FALSE,FALSE,WRITEIN,,TRUE,TOTAL,5,110501,FALSE,20230706,FALSE
1976,ALASKA,AK,2,94,81,US HOUSE,000,GEN,FALSE,FALSE,DON YOUNG,REPUBLICAN,FALSE,TOTAL,83722,118208,FALSE,20230706,FALSE
1976,ALASKA,AK,2,94,81,US HOUSE,000,GEN,FALSE,FALSE,EBEN HOPSON,DEMOCRAT,FALSE,TOTAL,34194,118208,FALSE,20230706,FALSE
1976,ALASKA,AK,2,94,81,US HOUSE,000,GEN,FALSE,FALSE,WRITEIN,,TRUE,TOTAL,292,118208,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,001,GEN,FALSE,FALSE,HARRY BRAUN,INDEPENDENT,FALSE,TOTAL,1040,168119,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,001,GEN,FALSE,FALSE,JOHN J RHODES,REPUBLICAN,FALSE,TOTAL,96397,168119,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,001,GEN,FALSE,FALSE,PATRICIA M FULLINWIDER,DEMOCRAT,FALSE,TOTAL,68404,168119,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,001,GEN,FALSE,FALSE,SUMMER DUNCAN DODGE,LIBERTARIAN,FALSE,TOTAL,2278,168119,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,002,GEN,FALSE,FALSE,LAIRD GUTTERSEN,REPUBLICAN,FALSE,TOTAL,71765,182128,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,002,GEN,FALSE,FALSE,MICHAEL EMERLING,LIBERTARIAN,FALSE,TOTAL,4309,182128,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,002,GEN,FALSE,FALSE,MORRIS K UDALL,DEMOCRAT,FALSE,TOTAL,106054,182128,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,003,GEN,FALSE,FALSE,BILL MCCUNE,INDEPENDENT,FALSE,TOTAL,19149,187165,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,003,GEN,FALSE,FALSE,BOB STUMP,DEMOCRAT,FALSE,TOTAL,88854,187165,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,003,GEN,FALSE,FALSE,FRED KOORY JR,REPUBLICAN,FALSE,TOTAL,79162,187165,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,004,GEN,FALSE,FALSE,ELDON RUDD,REPUBLICAN,FALSE,TOTAL,93154,191590,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,004,GEN,FALSE,FALSE,PAT HARPER,LIBERTARIAN,FALSE,TOTAL,6001,191590,FALSE,20230706,FALSE
1976,ARIZONA,AZ,4,86,61,US HOUSE,004,GEN,FALSE,FALSE,TONY MASON,DEMOCRAT,FALSE,TOTAL,92435,191590,FALSE,20230706,FALSE
1976,ARKANSAS,AR,5,71,42,US HOUSE,001,GEN,FALSE,FALSE,BILL ALEXANDER,DEMOCRAT,FALSE,TOTAL,116217,168782,FALSE,20230706,FALSE
1976,ARKANSAS,AR,5,71,42,US HOUSE,001,GEN,FALSE,FALSE,"HARLAN ""BO"" HOLLEMAN",REPUBLICAN,FALSE,TOTAL,52565,168782,FALSE,20230706,FALSE
1976,ARKANSAS,AR,5,71,42,US HOUSE,002,GEN,FALSE,FALSE,JAMES J KELLY,REPUBLICAN,FALSE,TOTAL,22819,167607,FALSE,20230706,FALSE
1976,ARKANSAS,AR,5,71,42,US HOUSE,002,GEN,FALSE,FALSE,JIM GUY TUCKER,DEMOCRAT,FALSE,TOTAL,144780,167607,FALSE,20230706,FALSE
1976,ARKANSAS,AR,5,71,42,US HOUSE,002,GEN,FALSE,FALSE,WRITEIN,,TRUE,TOTAL,8,167607,FALSE,20230706,FALSE
1976,ARKANSAS,AR,5,71,42,US HOUSE,003,GEN,FALSE,FALSE,JOHN PAUL HAMMERSCHMIDT,REPUBLICAN,FALSE,TOTAL,1,1,FALSE,20230706,FALSE
1976,ARKANSAS,AR,5,71,42,US HOUSE,004,GEN,FALSE,FALSE,RAY THORNTON,DEMOCRAT,FALSE,TOTAL,1,1,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,001,GEN,FALSE,FALSE,"HAROLD T ""BIZZ"" JOHNSON",DEMOCRAT,FALSE,TOTAL,160477,217016,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,001,GEN,FALSE,FALSE,JAMES E TAYLOR,REPUBLICAN,FALSE,TOTAL,56539,217016,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,002,GEN,FALSE,FALSE,DON H CLAUSEN,REPUBLICAN,FALSE,TOTAL,121290,216563,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,002,GEN,FALSE,FALSE,OSCAR KLEE,DEMOCRAT,FALSE,TOTAL,88829,216563,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,002,GEN,FALSE,FALSE,ROBERT B ALLRED,PEACE AND FREEDOM,FALSE,TOTAL,6444,216563,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,003,GEN,FALSE,FALSE,GEORGE R MARSH JR,REPUBLICAN,FALSE,TOTAL,52075,191854,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,003,GEN,FALSE,FALSE,JOHN E MOSS,DEMOCRAT,FALSE,TOTAL,139779,191854,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,004,GEN,FALSE,FALSE,ALBERT DEHR,REPUBLICAN,FALSE,TOTAL,75193,151037,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,004,GEN,FALSE,FALSE,ROBERT L LEGGETT,DEMOCRAT,FALSE,TOTAL,75844,151037,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,005,GEN,FALSE,FALSE,BRANWELL FANNING,REPUBLICAN,FALSE,TOTAL,64008,167754,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,005,GEN,FALSE,FALSE,JOHN L BURTON,DEMOCRAT,FALSE,TOTAL,103746,167754,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,006,GEN,FALSE,FALSE,EMILY SIEGEL,PEACE AND FREEDOM,FALSE,TOTAL,6570,130916,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,006,GEN,FALSE,FALSE,PHILLIP BURTON,DEMOCRAT,FALSE,TOTAL,86493,130916,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,006,GEN,FALSE,FALSE,RAYMOND O HEAPS,AMERICAN INDEPENDENT,FALSE,TOTAL,2494,130916,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,006,GEN,FALSE,FALSE,TOM SPINOSA,REPUBLICAN,FALSE,TOTAL,35359,130916,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,007,GEN,FALSE,FALSE,GEORGE MILLER,DEMOCRAT,FALSE,TOTAL,147064,196816,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,007,GEN,FALSE,FALSE,MELVIN E STANLEY,AMERICAN INDEPENDENT,FALSE,TOTAL,3889,196816,FALSE,20230706,FALSE
