subcategory,rank,year,name,affiliation,title
Profile,Winner,2024,Hannah Goldfield,The New Yorker,Top of the Line
Dining and Travel,Winner,2024,Craig LaBan,The Philadelphia Inquirer,"An Inspiring Journey Home; 21 Things Craig Laban Ate in Mexico; Mexican Spirits, Philly Energy"
Home Cooking,Nominee,2024,Noah Galuten,Eater,Lost in the Stock
Investigative Reporting,Nominee,2024,Aaron Van Neste,Civil Eats,Walmart's 'Regenerative Foodscape'; Op-ed: Walmart's Outsized Catch; Diving—and Dying—for Red Gold: The Human Cost of Honduran Lobster
Innovative Storytelling,Nominee,2024,Lille Allen,Eater,The Eater College Dining Plan
Food Coverage in a General Interest Publication,Nominee,2024,The Bitter Southerner,The Bitter Southerner,NA
MFK Fisher Distinguished Writing Award,Winner,2024,Hannah Dreier,The New York Times Magazine,The Kids on the Night Shift
Feature Reporting,Winner,2024,Diana Hubbell,Gastro Obscura,"Saving the Hogs of Ossabaw Island: An eccentric heiress, a daring mission, and the fight for North America’s most unusual pig."
Innovative Storytelling,Nominee,2024,Nat Belkov,Eater,The Eater College Dining Plan
Home Cooking,Winner,2024,Mari Uyehara,Food & Wine,Cook with MSG
Investigative Reporting,Nominee,2024,Ian Urbina,"The Outlaw Ocean Project, The New Yorker and The New York Times",A Fleet Prone to Captive Labor and Plunder; The Uyghurs Forced to Process the World's Fish; A Brief History of a Problematic Appetizer
Jonathan Gold Local Voice Award,Nominee,2024,Lyndsay C. Green,Detroit Free Press,"Detroit restaurants toy with an old idea: Does sex sell when it comes to dining out?; Emerging Chef Josmine Evans is a griot, a grower and a damn-good cook; From fasting to feasting: How Fridays during the Lenten season became days of indulgence"
Dining and Travel,Winner,2024,Jessica Griffin,The Philadelphia Inquirer,"An Inspiring Journey Home; 21 Things Craig Laban Ate in Mexico; Mexican Spirits, Philly Energy"
Craig Claiborne Distinguished Criticism Award,Winner,2024,Helen Rosner,The New Yorker,Jewel of New Jersey's Palestinian Enclave; Is Scarr's the Best Pizza in New York?; The Eternal Question of Food Versus Service
Personal Essay,Nominee,2024,C Pam Zhang,Esquire,The Taste of Her Care
MFK Fisher Distinguished Writing Award,Nominee,2024,Sarah Perry,Cake Zine,In Praise of the Gas Station Pie
Health and Wellness,Nominee,2024,Virginia Gewin,Civil Eats,"As the Salton Sea Shrinks, Agriculture's Legacy Turns to Dust"
Foodways,Nominee,2024,Jori Lewis,Switchyard,Tell Me Why the Watermelon Grows
Foodways,Winner,2024,Julia O'Malley,Grist,Billions of snow crabs are missing. A remote Alaskan village depends on the harvest to survive.
Home Cooking,Nominee,2024,Lan Lam,Cook's Illustrated,Curry Rice Is Always a Good Idea
Profile,Nominee,2024,Alex Halberstadt,The New York Times Magazine,Maggie Harrison's War on Wine
Personal Essay,Nominee,2024,Kate Nelson,How salmon fishing helped me embrace my Alaska Native identity Kate Nelson Guardian US,NA
MFK Fisher Distinguished Writing Award,Nominee,2024,Nylah Burton,Sweet July,"To Find Myself, All I Needed Was a Hunting License"
Investigative Reporting,Nominee,2024,Alice Driver,Civil Eats,Walmart's 'Regenerative Foodscape'; Op-ed: Walmart's Outsized Catch; Diving—and Dying—for Red Gold: The Human Cost of Honduran Lobster
Innovative Storytelling,Nominee,2024,Nick Mancall-Bitel,Eater,The Eater College Dining Plan
Investigative Reporting,Nominee,2024,Ian Urbina,The Outlaw Ocean Project,A Fleet Prone to Captive Labor and Plunder; The Uyghurs Forced to Process the World's Fish; A Brief History of a Problematic Appetizer
Health and Wellness,Nominee,2024,Hilary Brueck,Business Insider,; Long-lived Loma Linda
Health and Wellness,Winner,2024,Aaron Steckelberg,Washington Post,"Melted, pounded, extruded: Why many ultra-processed foods are unhealthy"
Jonathan Gold Local Voice Award,Winner,2024,Mike Jordan,Atlanta Magazine,"Our Brunches, Ourselves: Atlanta's a divided city. Could unity be found on Sunday at 11 a.m.?; All Together Now: Pop-up collective Stolen Goods counts some of Atlanta's finest young chefs of color among its ranks; Less Offal, but Still Pretty Good: Holeman & Finch Public House"
Health and Wellness,Winner,2024,Anahad Oconnor,Washington Post,"Melted, pounded, extruded: Why many ultra-processed foods are unhealthy"
Dining and Travel,Nominee,2024,Hannah Albertine,Philadelphia Magazine,All Hail the Hoagie
Dining and Travel,Nominee,2024,Daniel Hernandez,Los Angeles Times,"Is Mexico City getting too cool for its own good? I returned to find out; The best tacos, cantinas, pulque and classic restaurants in Mexico City; Traveling to Mexico City? What to tip, how to behave, and when to avoid the Metro"
Innovative Storytelling,Nominee,2024,Laura Reiley,The Washington Post,Climate change is pushing American farmers to confront what's next
Jonathan Gold Local Voice Award,Nominee,2024,Dara A Moskowitz Grumdahl,Mpls.St.Paul Magazine,Gifts of Winter; How Tammy Wong of Rainbow Chinese Became a Wok Star; North Side Star
Personal Essay with Recipes,Nominee,2024,Angela Burke,Eater,The Sweet Solace of Grief Baking
Food Coverage in a General Interest Publication,Winner,2024,FERN - Food & Environment Reporting Network,Switchyard and FERN,NA
Investigative Reporting,Nominee,2024,Lisa Elaine Held,Civil Eats,Walmart's 'Regenerative Foodscape'; Op-ed: Walmart's Outsized Catch; Diving—and Dying—for Red Gold: The Human Cost of Honduran Lobster
Foodways,Nominee,2024,Mahmoud Habboush,New Lines Magazine,Medieval Arabic Culinary Literature Offers Lessons for the Present
Feature Reporting,Nominee,2024,Chelsea Carrick,Good Beer Hunting,Waiting for the Rain — How Drought in Northern Mexico Impacts the Country's Beer Industry
Feature Reporting,Nominee,2024,Saumya Kalia,Al Jazeera Digital,"No place at the table: Indian women, food, and eating"
Dining and Travel,Nominee,2024,Adam Erace,Philadelphia Magazine,All Hail the Hoagie
Beverage,Winner,2024,D Watkins,Salon,"Navigating the new sober boom, where a person's sobriety is as unique as their fingerprint"
Investigative Reporting,Winner,2024,Hannah Dreier,The New York Times,"The Kids on the Night Shift; They're Paid Billions to Root Out Child Labor in the U.S. Why Do They Fail?; Alone and Exploited, Migrant Children Work Brutal Jobs Across the U.S."
Columns and Newsletters,Winner,2024,Laureli Ivanoff,High Country News,A meal of many seasons; Good ice; Subsistence abundance
Beverage,Nominee,2024,Betsy Andrews,SevenFifty Daily,"Bourbon, Biodiversity, and the Quest to Save America's Oak Forests"
Columns and Newsletters,Nominee,2024,José Ralat,Texas Monthly,"Defining 'Guisado' Is Just as Messy as the Dish Itself; A Head Above: How Barbacoa Paved the Way for Barbecue; Red, White, and Covered in Salsa: How Two Colors Came to Dominate Taquerias"
Emerging Voice Award,Winner,2024,Cuisine Noir - The Global Food and Drink Initiative,Cuisine Noir - The Global Food and Drink Initiative,NA
Dining and Travel,Nominee,2024,Bradford Pearson,Philadelphia Magazine,All Hail the Hoagie
Personal Essay with Recipes,Winner,2024,Julia Langbein,Bon Appetit,Market Volatility
Innovative Storytelling,Nominee,2024,Kadir Van Lohuizen,The Washington Post,Climate change is pushing American farmers to confront what's next
Personal Essay,Winner,2024,Farhan Mustafa,The Bitter Southerner,Immigrant Spaghetti
Personal Essay with Recipes,Nominee,2024,Stephanie Grant,Good Beer Hunting,"Hidden Heritage — A Search for Culture, Heirlooms, and My Grandma's Red Rice Recipe"
Profile,Nominee,2024,Jason Sheehan,Philadelphia Magazine,Fine Dining on Fire
Innovative Storytelling,Winner,2024,The Associated Press Health and Science Team,The Associated Press,The Protein Problem
Columns and Newsletters,Nominee,2024,G. Daniela Galarza,The Washington Post,"Not from here, not from there; Yee-haw!; Jajangmyeon"
Craig Claiborne Distinguished Criticism Award,Nominee,2024,Louisa Chu,Chicago Tribune,Soulé: There's no place like home; Thattu: A place of comfort and convictions; Justice of the Pies: Making pies and peace
Beverage,Nominee,2024,Emily Bingham,Travel + Leisure,Still Life
Food Coverage in a General Interest Publication,Nominee,2024,Garden & Gun Magazine,Garden & Gun,NA
Craig Claiborne Distinguished Criticism Award,Nominee,2024,Craig LaBan,The Philadelphia Inquirer,"At Mount Masala, magnificent momos and Himalayan goat worth the trek; Roxanne is one of Philly's hot new restaurants. It's more interesting than delicious.; Dinner at the Union League? No thanks."
Profile,Winner,2023,Kayla Stewart,Food & Wine,The Sweetest Harvest
Investigative Reporting,Nominee,2023,Laura Reiley,The Washington Post,The fight to keep little-known bacteria out of powdered baby formula; Formula shortage adds to financial crunch for farmworker families; Whistleblower report on baby formula didn't reach top FDA food safety official
Dining and Travel,Nominee,2023,Elazar Sontag,Bon Appétit,Best New Restaurants
Personal Essay with Recipes,Winner,2023,Diep Tran,Food & Wine,Dog S#!t Dacquoise
Columns and Newsletters,Nominee,2023,Hanna Raskin,The Food Section,Taking down a mammy complex; Decoding the Guild Guide; Seducing truckers with 'nanner pudding
Dining and Travel,Winner,2023,Hanna Raskin,The Food Section,The I-95 exit-by-exit eating guide; Don't leave home without your I-95 eating guide
Columns and Newsletters,Winner,2023,José Ralat,Texas Monthly,Tetelas Are the Tasty Triangles You Need to Try Right Now; Birria Is the Greatest Threat to Taco Culture—and Its Savior; Trompo Tacos Are So Much More Than Tacos al Pastor
Personal Essay without Recipes,Winner,2023,Kyla Wazana Tompkins,The LARB Quarterly of the Los Angeles Review of Books,On Boba
Beverage,Nominee,2023,Benjamin Mintz,Texas Monthly,Who's Allowed to Make Sotol?
