"",,TICt  (millions,,,TICt  (millions,,,TICt  (millions
Rank Country,,US$),Rank Country,,US$),Rank Country,,US$)
1 China,,"$117,290",43 Denmark,,"$1,417",85 Burundi,,$397.9
2 USA,,"$70,381",44 Nepal,,"$1,411",86 Lithuania,,$392.4
3 Brazil,,"$33,760",45 Sudan,,"$1,373",87 Moldova,,$387.5
4 India,,"$33,065",46 Portugal,,"$1,365",88 Armenia,,$336.0
5 Japan,,"$23,490",47 Belgium,,"$1,351",89 Malaysia,,$333.0
6 Korea Republic of,,"$14,349",48 Kazakhstan,,"$1,344",90 Bosnia and Herzegovina,,$327.4
7 Turkey,,"$13,267",49 Czech Republic,,"$1,336",91 Kyrgyzstan,,$302.0
8 Argentina,,"$13,204",50 Austria,,"$1,304",92 Georgia (Republic),,$301.5
9 France,,"$12,532",51 Iraq,,"$1,234",93 Tajikistan,,$297.1
10 Mexico,,"$11,277",52 Kenya,,"$1,230",94 Ireland,,$277.6
11 Iran,,"$11,276",53 Mozambique,,"$1,218",95 Lebanon,,$276.8
12 Nigeria,,"$10,251",54 Cambodia,,"$1,121",96 Nicaragua,,$264.1
13 Indonesia,,"$9,550",55 Ghana,,"$1,114",97 Rwanda,,$255.1
14 Thailand,,"$8,066",56 Bulgaria,,"$1,112",98 Mauritius,,$227.6
15 Australia,,"$7,815",57 Madagascar,,"$1,074",99 Macedonia,,$218.4
16 Vietnam,,"$7,490",58 Malawi,,"$1,071",100 Congo (Republic of),,$212.8
17 Ukraine,,"$6,953",59 Paraguay,,"$1,012",101 Slovenia,,$202.0
18 Egypt,,"$6,737",60 Guinea,,$977.5,102 Niger,,$197.3
19 Canada,,"$6,694",61 Tunisia,,$949.2,103 Latvia,,$187.3
20 Pakistan,,"$6,630",62 Ecuador,,$934.7,104 Panama,,$161.2
21 Germany,,"$6,481",63 Switzerland,,$924.1,105 Togo,,$153.2
22 Bangladesh,,"$5,623",64 Dominican Republic,,$873.0,106 Jordan,,$116.4
23 Spain,,"$5,576",65 Jamaica,,$871.7,107 Guinea-Bissau,,$114.3
24 Russian Federation,,"$5,084",66 Sri Lanka,,$829.1,108 Cyprus,,$108.5
25 Philippines,,"$4,839",67 Yemen,,$806.0,109 Estonia,,$102.1
26 Greece,,"$4,342",68 Saudi Arabia,,$803.5,110 Fiji,,$87.1
27 United Kingdom,,"$4,005",69 Honduras,,$794.3,111 Mongolia,,$64.7
28 South Africa,,"$3,922",70 Croatia,,$755.6,112 Luxembourg,,$64.7
29 Romania,,"$3,524",71 Azerbaijan,,$730.7,113 Belize,,$42.2
30 Algeria,,"$2,862",72 New Zealand,,$639.7,114 Cape Verde,,$40.8
31 Morocco,,"$2,531",73 Albania,,$637.2,115 Gambia,,$37.6
32 Colombia,,"$2,476",74 Finland,,$600.7,116 Suriname,,$36.5
33 Poland,,"$2,449",75 Slovakia,,$573.4,117 Trinidad and Tobago,,$28.8
34 Ethiopia,,"$2,312",76 Burkina Faso,,$557.7,118 Vanuatu,,$23.5
35 Venezuela,,"$2,167",77 Costa Rica,,$556.8,119 Barbados,,$20.3
36 Chile,,"$2,095",78 Sweden,,$546.9,120 Equatorial Guinea,,$16.5
37 Netherlands,,"$1,981",79 Israel,,$518.4,121 Malta,,$14.4
38 Hungary,,"$1,979",80 Uruguay,,$509.1,122 Qatar,,$5.0
39 Belarus,,"$1,777",81 Laos,,$508.2,123 Iceland,,$4.8
40 Peru,,"$1,580",82 Mali,,$504.7,124 Singapore,,$0.7
41 Cameroon,,"$1,574",83 El Salvador,,$475.1,,,
42 Italy,,"$1,447",84 Norway,,$419.4,,,
