Rank,Country,OTt,Rank,Country,OTt,Rank,Country,OTt
1,Mongolia,0.9922,43,Hungary,0.7876,85,Belgium,0.6027
2,Guinea-Bissau,0.9903,44,United Kingdom,0.7792,86,Portugal,0.5996
3,Nepal,0.9856,45,Latvia,0.7756,87,Germany,0.5963
4,Bangladesh,0.9803,46,Tunisia,0.7691,88,Romania,0.5956
5,Cambodia,0.9688,47,Jamaica,0.7673,89,Colombia,0.5916
6,Denmark,0.9659,48,Estonia,0.7624,90,Equatorial Guinea,0.5909
7,Albania,0.9634,49,Mexico,0.7600,91,Cyprus,0.5819
8,Chile,0.9611,50,Egypt,0.7581,92,Belize,0.5775
9,Mauritius,0.9595,51,Vanuatu,0.7529,93,Greece,0.5571
10,Vietnam,0.9542,52,Ethiopia,0.7451,94,Suriname,0.5566
11,Belarus,0.9473,53,Iraq,0.7448,95,Turkey,0.5529
12,Luxembourg,0.9456,54,Lithuania,0.7366,96,Malta,0.5364
13,Argentina,0.9423,55,Burkina Faso,0.7276,97,Macedonia,0.5313
14,Laos,0.9393,56,Uruguay,0.7216,98,India,0.5305
15,Moldova,0.9380,57,Pakistan,0.7140,99,Kenya,0.5184
16,Ukraine,0.9229,58,Sri Lanka,0.7090,100,Panama,0.5124
17,El Salvador,0.9184,59,Morocco,0.7072,101,Iceland,0.5083
18,Armenia,0.9053,60,Honduras,0.7056,102,Kyrgyzstan,0.5019
19,Czech Republic,0.8990,61,France,0.7021,103,Ecuador,0.4983
20,Mozambique,0.8959,62,Thailand,0.6972,104,Jordan,0.4979
21,Bosnia and Herzegovina,0.8812,63,New Zealand,0.6932,105,Burundi,0.4959
22,Paraguay,0.8809,64,Georgia (Republic),0.6893,106,Tajikistan,0.4946
23,Singapore,0.8801,65,Congo (Republic of),0.6867,107,Niger,0.4762
24,Bulgaria,0.8794,66,Sweden,0.6866,108,Poland,0.4651
25,Barbados,0.8762,67,Iran,0.6842,109,Mali,0.4524
26,South Africa,0.8646,68,Croatia,0.6841,110,Saudi Arabia,0.4519
27,Canada,0.8613,69,Philippines,0.6805,111,Indonesia,0.4479
28,Dominican Republic,0.8591,70,Ireland,0.6741,112,Lebanon,0.4445
29,Finland,0.8564,71,Slovenia,0.6708,113,Costa Rica,0.4442
30,Fiji,0.8539,72,Japan,0.6593,114,Sudan,0.4268
31,Austria,0.8481,73,Brazil,0.6590,115,Israel,0.3888
32,Switzerland,0.8461,74,Cape Verde,0.6448,116,Qatar,0.3880
33,USA,0.8438,75,Malawi,0.6387,117,Russian Federation,0.3823
34,Madagascar,0.8385,76,Cameroon,0.6345,118,Rwanda,0.3788
35,Korea Republic of,0.8349,77,Trinidad and Tobago,0.6334,119,Togo,0.3533
36,Norway,0.8333,78,Peru,0.6288,120,Spain,0.3459
37,Slovakia,0.8324,79,Nicaragua,0.6174,121,Ghana,0.3264
38,Azerbaijan,0.8311,80,Netherlands,0.6135,122,Nigeria,0.3194
39,Australia,0.8071,81,Venezuela,0.6123,123,Italy,0.1135
40,Guinea,0.8054,82,Gambia,0.6104,124,Malaysia,0.0766
41,Yemen,0.7974,83,China,0.6086,,,
42,Algeria,0.7924,84,Kazakhstan,0.6032,,,
