year,title,series,anthology,format,number,novelization,setting,stardate_start,stardate_end,detailed_date,section,primary_entry_year,footnote
-5000000000,The Q Continuum: Q-Space,TNG,NA,book,47,FALSE,secondary,NA,NA,5 billion years ago,Ch 11,2374,NA
-5000000000,Spock's World,TOS,NA,book,NA,FALSE,secondary,NA,NA,5 billion years ago,Vulcan: One,2275,1
-4000000000,Reciprocity,TNG,SNW,story,NA,FALSE,secondary,NA,NA,4 billion years ago,"Section 1, 4, 8, 10",2374,NA
-3500000000,All Good Things...,TNG,NA,book,NA,TRUE,secondary,NA,NA,3.5 billion years ago,NA,2370,NA
-2500000000,The Q Continuum: Q-Space,TNG,NA,book,47,FALSE,secondary,NA,NA,2.5 billion years ago,Ch 13,2374,NA
-1000000000,The Q Continuum: Q-Zone,TNG,NA,book,48,FALSE,secondary,NA,NA,1 billion years ago,Ch 2,2374,NA
-444800000,The Escape,VOY,NA,book,2,FALSE,secondary,NA,NA,"~444,800,000 BC","Ch 12 Section 2, 17 Section 1, 19 Section 2, 23 Section 2",2371,NA
-64018143,First Frontier,TOS,NA,book,75,FALSE,secondary,NA,NA,"64,018,143 BC",Ch 23-38,2268,NA
-500000,Spock's World,TOS,NA,book,NA,FALSE,secondary,NA,NA,"~500,000 BC",Vulcan: Two,2275,NA
-307600,The Escape,VOY,NA,book,2,FALSE,secondary,NA,NA,"~307,600 BC","Ch 4 Section 2, 5-7, 23 Section 1",2371,NA
-27600,Horn and Ivory,DS9,WLB,story,NA,FALSE,secondary,NA,NA,"~27,600 BC",Ch 1-9,2376,NA
-10000,Spock's World,TOS,NA,book,NA,FALSE,secondary,NA,NA,"~10,000 BC",Vulcan: Three,2275,NA
-7954,Ex Machina,TOS,NA,book,NA,FALSE,secondary,NA,NA,7954 BC,Ch 18,2273,NA
-3000,Spock's World,TOS,NA,book,NA,FALSE,secondary,NA,NA,~3000 BC,Vulcan: Four,2275,NA
-2703,Yesterday's Son,TOS,NA,book,11,FALSE,secondary,NA,NA,2703 BC,Ch 5-6,2270,NA
-2683,Time for Yesterday,TOS,NA,book,39,FALSE,secondary,NA,NA,2683 BC,"Prologue, Ch 5 Section 3, 6-10, 14-15",2285,NA
-2000,The Beginning,ST,SNW,story,NA,FALSE,primary,NA,NA,~2000 BC,NA,NA,2
-2000,Forgotten Light,ST,SNW,story,NA,FALSE,secondary,NA,NA,~2000 BC,"Section 1, 4, 6, 8, 10, 12",2373,NA
-235,Uhura's Song,TOS,NA,book,21,FALSE,secondary,NA,NA,235 BC,Ch 11 Section 5,2268,NA
-30,Spock's World,TOS,NA,book,NA,FALSE,secondary,NA,NA,30 BC,Vulcan: Five,2275,NA
193,Spock's World,TOS,NA,book,NA,FALSE,secondary,NA,NA,193 AD,Vulcan: Six,2275,3
200,The Devil's Heart,TNG,NA,book,NA,FALSE,secondary,NA,NA,200 AD,Ch 13,2268,4
249,Rihannsu 2: The Romulan Way,TOS,NA,book,35,FALSE,secondary,NA,NA,NA,Ch 2,2276,5
280,Vulcan's Soul 1: Exodus,ST,NA,book,NA,FALSE,secondary,NA,NA,NA,"Ch 2 Section 2, 4, 6-7, 9-10, 12-13, 15-16, 18",2377,6
281,Vulcan's Soul 1: Exodus,ST,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 19,2377,NA
285,Rihannsu 2: The Romulan Way,TOS,NA,book,35,FALSE,secondary,NA,NA,NA,Ch 4,2276,7
300,The Lost Years,TOS,NA,book,NA,FALSE,secondary,NA,NA,Vulcan Old Date 140005,Prologue,2371,NA
300,Vulcan's Soul 1: Exodus,ST,NA,book,NA,FALSE,secondary,NA,NA,NA,"Ch 21, 23, 25",2377,NA
300,Rihannsu 2: The Romulan Way,TOS,NA,book,35,FALSE,secondary,NA,NA,NA,Ch 6,2276,8
326,Vulcan's Soul 2: Exiles,ST,NA,book,NA,FALSE,secondary,NA,NA,NA,Memory,2377,9
380,Vulcan's Soul 1: Exodus,ST,NA,book,NA,FALSE,secondary,NA,NA,NA,"Ch 2, Section 1",2377,NA
750,Rihannsu 2: The Romulan Way,TOS,NA,book,35,FALSE,secondary,NA,NA,NA,Ch 8,2276,10
800,Kahless,TNG,NA,book,NA,FALSE,secondary,NA,NA,~ 800,"Ch 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36",2371,NA
846,Rihannsu 2: The Romulan Way,TOS,NA,book,35,FALSE,secondary,NA,NA,NA,Ch 10,2276,11
1571,The Long Night,DS9,NA,book,14,FALSE,secondary,NA,NA,NA,Prologue,2371,NA
1594,If I Lose Thee...,TOS,SNW,book,NA,FALSE,secondary,NA,NA,NA,London sections,2269,NA
1600,Home is the Hunter,TOS,NA,book,52,FALSE,secondary,NA,NA,September,"Ch 1, 7, 14, 19, 28, 33, 35, 41, 45, 48",2273,NA
1746,Home is the Hunter,TOS,NA,book,52,FALSE,secondary,NA,NA,April,"Ch 3, 8, 11, 16, 21, 25, 29, 36, 39, 42, 46, 49",2273,NA
1776,The Veil At Valcour,NA,EL,story,NA,FALSE,primary,NA,NA,October 11,NA,NA,NA
1863,Shanghaied,TOS,SNW,story,NA,FALSE,secondary,NA,NA,September 14,Section 1-4,2267,NA
1864,A Q to Swear By,TNG,SNW,story,NA,FALSE,secondary,NA,NA,NA,"""Pine Mountain"" section",2371,NA
1867,Ishmael,TOS,NA,book,23,FALSE,secondary,NA,NA,NA,"Ch 2-3, 5-6, 8, 10, 12-14, 16-18",2267,NA
1874,Martyr,NF,NA,book,5,FALSE,secondary,NA,NA,NA,Five hundred years earlier...,2374,NA
1889,The Peacemakers,TNG,SNW,story,NA,FALSE,secondary,NA,NA,July 21-24,"Section 1, 3",2371,NA
1929,The Peacemakers,TNG,SNW,story,NA,FALSE,secondary,NA,NA,June 19,Section 6,2371,NA
1930,Triptych,TOS,SNW,story,NA,FALSE,secondary,NA,NA,NA,"Ch 1 Section 1-5, 2, 3 Section 1-8",2267,NA
1930,Remembering the Future,ST,SNW,story,NA,FALSE,secondary,NA,NA,NA,Section 2-7,2371,NA
1930,Disappearance on 21st Street,TOS,SNW,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
1938,Captain Proton And the Orb of Bajor,DS9,SNW,story,NA,FALSE,primary,NA,NA,October 28,NA,NA,12
1939,The Adventures of Captain Proton: Ch 1: The Space Vortex of Doom,VOY,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
1939,Captain Proton: Defender of the Earth,VOY,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
1939,The Difficulties of Being Evil,VOY,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
1940,Far Beyond the Stars,DS9,NA,book,NA,TRUE,secondary,NA,NA,July,"Ch 10, 13, 16-17, 24, 26, 32-35",2374,13
1942,Home is the Hunter,TOS,NA,book,52,FALSE,secondary,NA,NA,October,"Ch 5, 9, 12, 17, 23, 26, 31, 37, 40",2273,NA
1942,World of Strangers,NA,EL,story,NA,FALSE,primary,NA,NA,October 26,NA,NA,NA
1942,Home is the Hunter,TOS,NA,book,52,FALSE,secondary,NA,NA,November,"Ch 43, 47, 50",2273,NA
1944,Trapped in Time,DS9,YA,book,12,FALSE,secondary,NA,NA,June 1-3,Ch 4-11,2372,NA
1953,When the Stars Come A-Calling,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
1953,Far Beyond the Stars,DS9,NA,book,NA,TRUE,secondary,NA,NA,October,"Ch 5, 8-9, 11-12, 14-15, 18-19, 21, 23, 27-29, 31, 36-37",2374,14
1953,Isolation Ward 4,DS9,SNW,book,NA,FALSE,primary,NA,NA,"December 14, 1953 to April 2, 1954",1968-[final entry],NA,NA
1968,Visit to a Weird Planet Revisited,TOS,TNV,story,NA,FALSE,secondary,NA,NA,NA,"""studio"" sections",2268,15
1968,Isolation Ward 4,DS9,SNW,book,NA,FALSE,secondary,NA,NA,April 4,Final entry,1953,NA
1969,The Aliens Are Coming!,TOS,SNW,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
1969,Assignment: Eternity,TOS,NA,book,84,FALSE,secondary,NA,NA,July 19-20,"Ch 1, 22",2269,NA
