raw_rank,player,years,total_goals,url_number,raw_link,link,active,yr_start
1,Wayne Gretzky,1979-99,894,1,/players/g/gretzwa01.html,https://www.hockey-reference.com/players/g/gretzwa01.html,Retired,1979
2,Gordie Howe,1946-80,801,2,/players/h/howego01.html,https://www.hockey-reference.com/players/h/howego01.html,Retired,1946
3,Jaromir Jagr,1990-18,766,3,/players/j/jagrja01.html,https://www.hockey-reference.com/players/j/jagrja01.html,Retired,1990
4,Brett Hull,1986-06,741,4,/players/h/hullbr01.html,https://www.hockey-reference.com/players/h/hullbr01.html,Retired,1986
5,Marcel Dionne,1971-89,731,5,/players/d/dionnma01.html,https://www.hockey-reference.com/players/d/dionnma01.html,Retired,1971
6,Phil Esposito,1963-81,717,6,/players/e/esposph01.html,https://www.hockey-reference.com/players/e/esposph01.html,Retired,1963
7,Mike Gartner,1979-98,708,7,/players/g/gartnmi01.html,https://www.hockey-reference.com/players/g/gartnmi01.html,Retired,1979
8,Alex Ovechkin,2005-20,700,8,/players/o/ovechal01.html,https://www.hockey-reference.com/players/o/ovechal01.html,Active,2005
9,Mark Messier,1979-04,694,9,/players/m/messima01.html,https://www.hockey-reference.com/players/m/messima01.html,Retired,1979
10,Steve Yzerman,1983-06,692,10,/players/y/yzermst01.html,https://www.hockey-reference.com/players/y/yzermst01.html,Retired,1983
11,Mario Lemieux,1984-06,690,11,/players/l/lemiema01.html,https://www.hockey-reference.com/players/l/lemiema01.html,Retired,1984
12,Teemu Selanne,1992-14,684,12,/players/s/selante01.html,https://www.hockey-reference.com/players/s/selante01.html,Retired,1992
13,Luc Robitaille,1986-06,668,13,/players/r/robitlu01.html,https://www.hockey-reference.com/players/r/robitlu01.html,Retired,1986
14,Brendan Shanahan,1987-09,656,14,/players/s/shanabr01.html,https://www.hockey-reference.com/players/s/shanabr01.html,Retired,1987
15,Dave Andreychuk,1982-06,640,15,/players/a/andreda01.html,https://www.hockey-reference.com/players/a/andreda01.html,Retired,1982
16,Jarome Iginla,1996-17,625,16,/players/i/iginlja01.html,https://www.hockey-reference.com/players/i/iginlja01.html,Retired,1996
NA,Joe Sakic,1988-09,625,17,/players/s/sakicjo01.html,https://www.hockey-reference.com/players/s/sakicjo01.html,Retired,1988
18,Bobby Hull,1957-80,610,18,/players/h/hullbo01.html,https://www.hockey-reference.com/players/h/hullbo01.html,Retired,1957
19,Dino Ciccarelli,1980-99,608,19,/players/c/ciccadi01.html,https://www.hockey-reference.com/players/c/ciccadi01.html,Retired,1980
20,Jari Kurri,1980-98,601,20,/players/k/kurrija01.html,https://www.hockey-reference.com/players/k/kurrija01.html,Retired,1980
21,Mark Recchi,1988-11,577,21,/players/r/recchma01.html,https://www.hockey-reference.com/players/r/recchma01.html,Retired,1988
22,Mike Bossy,1977-87,573,22,/players/b/bossymi01.html,https://www.hockey-reference.com/players/b/bossymi01.html,Retired,1977
23,Mats Sundin,1990-09,564,23,/players/s/sundima01.html,https://www.hockey-reference.com/players/s/sundima01.html,Retired,1990
NA,Joe Nieuwendyk,1986-07,564,24,/players/n/nieuwjo01.html,https://www.hockey-reference.com/players/n/nieuwjo01.html,Retired,1986
25,Mike Modano,1989-11,561,25,/players/m/modanmi01.html,https://www.hockey-reference.com/players/m/modanmi01.html,Retired,1989
NA,Patrick Marleau,1997-20,561,26,/players/m/marlepa01.html,https://www.hockey-reference.com/players/m/marlepa01.html,Active,1997
27,Guy Lafleur,1971-91,560,27,/players/l/laflegu01.html,https://www.hockey-reference.com/players/l/laflegu01.html,Retired,1971
28,John Bucyk,1955-78,556,28,/players/b/bucykjo01.html,https://www.hockey-reference.com/players/b/bucykjo01.html,Retired,1955
29,Ron Francis,1981-04,549,29,/players/f/francro01.html,https://www.hockey-reference.com/players/f/francro01.html,Retired,1981
30,Michel Goulet,1979-94,548,30,/players/g/goulemi01.html,https://www.hockey-reference.com/players/g/goulemi01.html,Retired,1979
31,Maurice Richard,1942-60,544,31,/players/r/richama01.html,https://www.hockey-reference.com/players/r/richama01.html,Retired,1942
