player,season,rank,date,game_num,age,team,at,opp,location,outcome,goals,assists,points,plus_minus,penalty_min,goals_even,goals_powerplay,goals_short,goals_gamewinner,assists_even,assists_powerplay,assists_short,shots,shot_percent
Alex Ovechkin,2006,1,2005-10-05,1,20-018,WSH,NA,CBJ,Home,W,2,0,2,1,2,1,1,0,0,NA,NA,NA,5,40
Alex Ovechkin,2006,2,2005-10-07,2,20-020,WSH,NA,ATL,Home,L,0,1,1,-2,0,0,0,0,0,NA,NA,NA,1,0
Alex Ovechkin,2006,3,2005-10-08,3,20-021,WSH,@,ATL,Away,L,0,1,1,0,4,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2006,4,2005-10-10,4,20-023,WSH,NA,NYR,Home,W,1,0,1,1,2,0,1,0,1,NA,NA,NA,6,16.7
Alex Ovechkin,2006,5,2005-10-12,5,20-025,WSH,@,CAR,Away,L,1,0,1,0,0,1,0,0,0,NA,NA,NA,6,16.7
Alex Ovechkin,2006,6,2005-10-13,6,20-026,WSH,NA,NYI,Home,L,0,1,1,-1,0,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2006,7,2005-10-16,7,20-029,WSH,NA,TBL,Home,W,0,1,1,1,0,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2006,8,2005-10-20,8,20-033,WSH,@,FLA,Away,L,2,0,2,1,0,2,0,0,0,NA,NA,NA,10,20
Alex Ovechkin,2006,9,2005-10-22,9,20-035,WSH,NA,CAR,Home,L,0,0,0,0,0,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2006,10,2005-10-26,10,20-039,WSH,@,BUF,Away,W,0,1,1,0,0,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2006,11,2005-10-28,11,20-041,WSH,@,TBL,Away,L,2,0,2,0,0,1,0,1,0,NA,NA,NA,4,50
Alex Ovechkin,2006,12,2005-11-03,12,20-047,WSH,@,PHI,Away,L,0,0,0,-2,0,0,0,0,0,NA,NA,NA,7,0
Alex Ovechkin,2006,13,2005-11-04,13,20-048,WSH,NA,ATL,Home,W,0,0,0,1,2,0,0,0,0,NA,NA,NA,7,0
Alex Ovechkin,2006,14,2005-11-06,14,20-050,WSH,NA,TOR,Home,W,2,0,2,-1,0,0,2,0,1,NA,NA,NA,8,25
Alex Ovechkin,2006,15,2005-11-08,15,20-052,WSH,@,TOR,Away,L,2,0,2,-2,4,1,1,0,0,NA,NA,NA,7,28.6
Alex Ovechkin,2006,16,2005-11-11,16,20-055,WSH,NA,NJD,Home,L,1,0,1,0,0,1,0,0,0,NA,NA,NA,5,20
Alex Ovechkin,2006,17,2005-11-12,17,20-056,WSH,@,NJD,Away,L,0,0,0,0,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2006,18,2005-11-15,18,20-059,WSH,NA,TBL,Home,W,1,0,1,0,0,1,0,0,0,NA,NA,NA,9,11.1
Alex Ovechkin,2006,19,2005-11-17,19,20-061,WSH,@,BUF,Away,L,1,1,2,-1,2,0,1,0,0,NA,NA,NA,7,14.3
Alex Ovechkin,2006,20,2005-11-19,20,20-063,WSH,@,MTL,Away,W,0,0,0,1,0,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2006,21,2005-11-22,21,20-066,WSH,@,PIT,Away,L,0,1,1,1,0,0,0,0,0,NA,NA,NA,4,0
Alex Ovechkin,2006,22,2005-11-23,22,20-067,WSH,NA,TBL,Home,L-SO,0,1,1,-2,0,0,0,0,0,NA,NA,NA,0,NA
Alex Ovechkin,2006,23,2005-11-26,23,20-070,WSH,@,NYR,Away,L-SO,0,1,1,0,0,0,0,0,0,NA,NA,NA,9,0
Alex Ovechkin,2006,24,2005-11-27,24,20-071,WSH,NA,BUF,Home,L,0,1,1,-1,0,0,0,0,0,NA,NA,NA,4,0
Alex Ovechkin,2006,25,2005-12-01,25,20-075,WSH,@,FLA,Away,L,0,0,0,0,0,0,0,0,0,NA,NA,NA,4,0
Alex Ovechkin,2006,26,2005-12-03,26,20-077,WSH,NA,NYR,Home,W,1,3,4,3,0,1,0,0,0,NA,NA,NA,1,100
Alex Ovechkin,2006,27,2005-12-07,27,20-081,WSH,NA,NSH,Home,L,1,0,1,-1,2,0,1,0,0,NA,NA,NA,6,16.7
Alex Ovechkin,2006,28,2005-12-09,28,20-083,WSH,NA,DET,Home,L,1,1,2,0,0,0,1,0,0,NA,NA,NA,6,16.7
Alex Ovechkin,2006,29,2005-12-14,29,20-088,WSH,@,LAK,Away,W,0,2,2,1,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2006,30,2005-12-16,30,20-090,WSH,@,SJS,Away,L,0,0,0,0,0,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2006,31,2005-12-18,31,20-092,WSH,NA,FLA,Home,L,0,0,0,0,0,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2006,32,2005-12-22,32,20-096,WSH,@,ATL,Away,W,1,3,4,1,2,0,1,0,0,NA,NA,NA,8,12.5
Alex Ovechkin,2006,33,2005-12-23,33,20-097,WSH,NA,MTL,Home,W,1,0,1,1,0,1,0,0,0,NA,NA,NA,5,20
Alex Ovechkin,2006,34,2005-12-27,34,20-101,WSH,NA,BOS,Home,L-OT,1,1,2,0,0,1,0,0,0,NA,NA,NA,2,50
Alex Ovechkin,2006,35,2005-12-28,35,20-102,WSH,@,NJD,Away,L,1,0,1,-1,0,0,1,0,0,NA,NA,NA,2,50
Alex Ovechkin,2006,36,2005-12-31,36,20-105,WSH,NA,PHI,Home,W,1,1,2,0,0,0,1,0,0,NA,NA,NA,7,14.3
Alex Ovechkin,2006,37,2006-01-01,37,20-106,WSH,NA,ATL,Home,L,1,1,2,1,2,1,0,0,0,NA,NA,NA,5,20
Alex Ovechkin,2006,38,2006-01-04,38,20-109,WSH,NA,OTT,Home,L,0,0,0,-2,2,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2006,39,2006-01-06,39,20-111,WSH,NA,PHI,Home,L,1,0,1,-2,0,0,1,0,0,NA,NA,NA,2,50
