name,last_name,first_name,graduation_date,rank_at_graduation,class,graduated_from,pilot_type,military_hometown_of_record,state,aerial_victory_credits,number_of_aerial_victory_credits,reported_lost,reported_lost_date,reported_lost_location,web_profile
"Adams, John H., Jr.",Adams,"John H., Jr.",1945-04-15T00:00:00Z,2nd Lt,SE-45-B,TAAF,Single engine,Kansas City,KS,NA,0,NA,NA,NA,https://cafriseabove.org/john-h-adams-jr/
"Adams, Paul",Adams,Paul,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Greenville,SC,NA,0,NA,NA,NA,https://cafriseabove.org/paul-adams/
"Adkins, Rutherford H.",Adkins,Rutherford H.,1944-10-16T00:00:00Z,2nd Lt,SE-44-I-1,TAAF,Single engine,Alexandria,VA,NA,0,NA,NA,NA,https://cafriseabove.org/rutherford-h-adkins/
"Adkins, Winston A.",Adkins,Winston A.,1944-02-08T00:00:00Z,2nd Lt,TE-44-B,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Alexander, Halbert L.",Alexander,Halbert L.,1944-11-20T00:00:00Z,2nd Lt,SE-44-I,TAAF,Single engine,Georgetown,IL,NA,0,NA,NA,NA,https://cafriseabove.org/halbert-l-alexander/
"Alexander, Harvey R.",Alexander,Harvey R.,1944-04-15T00:00:00Z,2nd Lt,TE-44-D,TAAF,Twin engine,Georgetown,IL,NA,0,NA,NA,NA,https://cafriseabove.org/harvey-r-alexander/
"Alexander, Robert R.",Alexander,Robert R.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Harrisburg,PA,NA,0,NA,NA,NA,NA
"Alexander, Walter G., III",Alexander,"Walter G., III",1945-06-27T00:00:00Z,2nd Lt,SE-45-D,TAAF,Single engine,Orange,NJ,NA,0,NA,NA,NA,NA
"Allen, Carl V.",Allen,Carl V.,1946-06-28T00:00:00Z,2nd Lt,SE-46-C,TAAF,Single engine,Bronx,NY,NA,0,NA,NA,NA,NA
"Allen, Clarence W.",Allen,Clarence W.,1943-03-25T00:00:00Z,2nd Lt,SE-43-C,TAAF,Single engine,Mobile,AL,"Downed 1/2 Fw-190 on January 27, 1944",1,NA,NA,NA,NA
"Allen, Walter H.",Allen,Walter H.,1944-12-28T00:00:00Z,Flight Officer,TE-44-J,TAAF,Twin engine,Kansas City,KS,NA,0,NA,NA,NA,NA
"Allison, James M.",Allison,James M.,1946-06-28T00:00:00Z,2nd Lt,TE-46-C,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Alsbrook, William N.",Alsbrook,William N.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Kansas City,KS,NA,0,NA,NA,NA,https://cafriseabove.org/william-noel-alsbrook/
"Alston, William R",Alston,William R,1944-11-20T00:00:00Z,2nd Lt,SE-44-I,TAAF,Single engine,Huntington,WV,NA,0,NA,NA,NA,NA
"Anders, Emet R.",Anders,Emet R.,1944-09-08T00:00:00Z,2nd Lt,SE-44-H,TAAF,Single engine,Carbondale,IL,NA,0,NA,NA,NA,NA
"Anderson, Paul T.",Anderson,Paul T.,1944-10-16T00:00:00Z,1st Lt,TE-44-I-1,TAAF,Twin engine,Woodbine,NY,NA,0,NA,NA,NA,NA
"Anderson, Rayfield A.",Anderson,Rayfield A.,1944-02-01T00:00:00Z,2nd Lt,TE-44-K,TAAF,Twin engine,Indianapolis,IN,NA,0,NA,NA,NA,NA
"Anderson, Robert D.",Anderson,Robert D.,1944-04-15T00:00:00Z,2nd Lt,TE-44-D,TAAF,Twin engine,Indianapolis,In,NA,0,NA,NA,NA,NA
"Archer, Lee A.",Archer,Lee A.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,New York,NY,"Downed 1 Me-109 on July 18, 1944; Downed 3 Me-109s on October 12, 1944",4,NA,NA,NA,https://cafriseabove.org/profiles-of-tuskegee-airmen-lee-archer/
"Armistead, Richard S. A.",Armistead,Richard S. A.,1944-06-27T00:00:00Z,Flight Officer,SE-44-F,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Armstrong, William P.",Armstrong,William P.,1944-09-08T00:00:00Z,Flight Officer,SE-44-H,TAAF,Single engine,Providence,RI,NA,0,NA,NA,NA,https://cafriseabove.org/william-p-armstrong/
"Ashby, Robert",Ashby,Robert,1945-11-20T00:00:00Z,2nd Lt,TE-45-H,TAAF,Twin engine,Jersey City,NJ,NA,0,NA,NA,NA,https://cafriseabove.org/robert-ashby/
"Ashley, Willie",Ashley,Willie,1942-07-03T00:00:00Z,2nd Lt,SE-42-F,TAAF,Single engine,Sumter,SC,"Downed 1 Fw-190 on January 27, 1944",1,NA,NA,NA,https://cafriseabove.org/willie-ashley-jr/
"Askins, Montro D.",Askins,Montro D.,1944-02-01T00:00:00Z,2nd Lt,SE-44-K,TAAF,Single engine,Baltimore,MD,NA,0,NA,NA,NA,NA
"Audant, Ludovic F.",Audant,Ludovic F.,1944-02-08T00:00:00Z,NA,SE-44-B,TAAF,Single engine,Port Au Prince,Haiti,NA,0,NA,NA,NA,https://cafriseabove.org/ludovic-f-audant/
"Bailey, Charles P.",Bailey,Charles P.,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Puntagorda,FL,"Downed 1 Fw-190 on January 27, 1944; Downed 1 Fw-190 on July 18, 1944",2,NA,NA,NA,https://cafriseabove.org/charles-paul-bailey-sr/
"Bailey, Harry L.",Bailey,Harry L.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Bailey, Terry C.",Bailey,Terry C.,1945-05-23T00:00:00Z,Flight Officer,SE-45-C,TAAF,Single engine,Richmond,VA,NA,0,NA,NA,NA,https://cafriseabove.org/terry-bailey/
"Bailey, William H.",Bailey,William H.,1945-08-04T00:00:00Z,2nd Lt,SE-45-E,TAAF,Single engine,Pittsburg,PA,NA,0,NA,NA,NA,NA
"Baker, Lee Arthur",Baker,Lee Arthur,1943-12-07T00:00:00Z,1st Lt,CL-43-3,TAAF,Liaison pilot,NA,NA,NA,0,NA,NA,NA,NA
"Baldwin, Henry, Jr.",Baldwin,"Henry, Jr.",1945-11-20T00:00:00Z,Flight Officer,TE-45-H,TAAF,Twin engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Ballard, Alton F.",Ballard,Alton F.,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,Pasadena,CA,NA,0,NA,NA,NA,NA
"Barksdale, James M.",Barksdale,James M.,1946-03-23T00:00:00Z,Flight Officer,SE-46-A,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,https://cafriseabove.org/artifact/artifact-photo-of-james-m-barksdale-c-o-1946/
"Barland, Herbert C.",Barland,Herbert C.,1944-09-08T00:00:00Z,2nd Lt,SE-44-H,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Barnes, Gentry E.",Barnes,Gentry E.,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,Lawrenceville,IL,NA,0,NA,NA,NA,https://cafriseabove.org/gentry-eugene-barnes/
"Barnett, Herman A.",Barnett,Herman A.,1945-08-04T00:00:00Z,Flight Officer,SE-45-E,TAAF,Single engine,Lockhart,TX,NA,0,NA,NA,NA,NA
"Bartley, William R.",Bartley,William R.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Jacksonville,FL,NA,0,NA,NA,NA,NA
"Bates, George A.",Bates,George A.,1946-03-23T00:00:00Z,Flight Officer,TE-46-A,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Battle, John D.",Battle,John D.,1943-12-07T00:00:00Z,2nd Lt,CL-43-3,TAAF,Liaison pilot,New York,NY,NA,0,NA,NA,NA,NA
"Baugh, Howard L.",Baugh,Howard L.,1942-11-10T00:00:00Z,2nd Lt,SE-42-J,TAAF,Single engine,Petersburg,VA,"Downed 1 1/2 Fw-190 on January 27, 1944",1.5,NA,NA,NA,https://cafriseabove.org/howard-baugh/
"Bee, Clarence, Jr.",Bee,"Clarence, Jr.",1945-04-15T00:00:00Z,2nd Lt,SE-45-B,TAAF,Single engine,Kansas City,MO,NA,0,NA,NA,NA,NA
"Bell, George E.",Bell,George E.,1946-06-28T00:00:00Z,2nd Lt,SE-46-C,TAAF,Single engine,Altoona,PA,NA,0,NA,NA,NA,NA
"Bell, John J.",Bell,John J.,1944-11-20T00:00:00Z,Flight Officer,SE-44-I,TAAF,Single engine,Jersey City,NJ,NA,0,NA,NA,NA,NA
"Bell, Lloyd W.",Bell,Lloyd W.,1944-02-01T00:00:00Z,2nd Lt,SE-44-K,TAAF,Single engine,Pulaski,IL,NA,0,NA,NA,NA,NA
"Bell, Raul W.",Bell,Raul W.,1944-04-15T00:00:00Z,Flight Officer,SE-44-D,TAAF,Single engine,Portland,OR,"Downed 1 Fw-190 on March 31, 1945",1,NA,NA,NA,NA
"Bell, Richard H.",Bell,Richard H.,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Bennet, Henry",Bennet,Henry,1943-10-22T00:00:00Z,2nd Lt,CL-43-2,TAAF,Liaison pilot,New Orleans,LA,NA,0,NA,NA,NA,NA
"Bennett, Joseph Bruce",Bennett,Joseph Bruce,1946-01-29T00:00:00Z,2nd Lt,SE-45-I,TAAF,Single engine,Halesite,NY,NA,0,NA,NA,NA,NA
"Bibb, William V.",Bibb,William V.,1945-11-20T00:00:00Z,2nd Lt,TE-45-H,TAAF,Twin engine,Ottumwa,IA,NA,0,NA,NA,NA,NA
"Bickham, Luzine B.",Bickham,Luzine B.,1945-03-11T00:00:00Z,Flight Officer,SE-45-A,TAAF,Single engine,Tuskegee Inst.,AL,NA,0,NA,NA,NA,NA
"Biffle, Richard L., Jr.",Biffle,"Richard L., Jr.",1944-02-01T00:00:00Z,Flight Officer,SE-44-K,TAAF,Single engine,Denver,CO,NA,0,NA,NA,NA,NA
"Bilbo, Reuben B.",Bilbo,Reuben B.,1945-06-27T00:00:00Z,Flight Officer,SE-45-D,TAAF,Single engine,Fresno,CA,NA,0,NA,NA,NA,NA
"Bing, George L.",Bing,George L.,1944-08-04T00:00:00Z,2nd Lt,SE-44-G,TAAF,Single engine,Brooklyn,NY,NA,0,NA,NA,NA,NA
