grade	publication	text	date
100	Pocket Gamer UK	Animal Crossing; New Horizons, much like its predecessors, operates outside of the boundaries of most games. While the most tension you'll ever feel is while sprinting away from wasps, there's a warmth and comfort in the code which you won't find almost anywhere else.	2020-03-16
100	Forbes	Know that if you’re overwhelmed with the world, stuck inside, or adrift in a life that you know will look totally different next week — get Animal Crossing.	2020-03-16
100	Telegraph	With a game this broad and lengthy, there’s more to discuss than I could fit in one review, but suffice it to say, this a game that Nintendo have clearly worked incredibly hard to get right. It shines at every moment, from the wind rustling through the trees, to the sunset glinting off the water to the jaunty tunes at the start of the day fading into more relaxing melodies in the evening. Add dozens of much needed quality of life features (hello player customisation, autosave, couch co-op, and eight-player online play) and it all adds up to the perfect DIY recipe for the most chilled out, relaxing, and engaging life simulator ever.	2020-03-16
100	VG247	Animal Crossing: New Horizons is everything I hoped it would be, and it’s yet another stellar release that showcases a confident Nintendo at its best. It is excellent, and is easily another must-own Switch title – at least, if you can understand and embrace Animal Crossing’s uniquely lazy pace.	2020-03-16
100	Nintendo Insider	Above all else, Animal Crossing: New Horizons is an unbeatable feel-good experience and an essential purchase for anyone that owns a Nintendo Switch. As heartwarming as it is wholesome, Nintendo has delivered meaningful changes that help to structure your peaceful island existence. Every day has the potential to offer something new, and, thanks to that, it will be a game that many will enjoy investing countless hours (and Bells) in. Oh, and heroically leaping across rivers with the Vault Pole will never get old.	2020-03-16
100	Trusted Reviews	Animal Crossing: New Horizons is the best game I've played this year, and immediately cements itself as one of the generation's defining experiences. Fans will be playing it for years, watching as the seasons roll by and unveil the true potential of what has been created here.	2020-03-16
100	VGC	Nintendo's comforting life sim is a tranquil haven at a time the world needs it most.	2020-03-16
100	God is a Geek	A beautiful, welcoming game that is everything and anything you want it to be. This is one you'll play all year and beyond, and it's exactly what the world needs right now.	2020-03-16
100	Nintendo Life	Animal Crossing: New Horizons takes Animal Crossing and not only drags it back onto home consoles, but improves upon every single facet imaginable. There's more to do, more to see, more to change, more to mould, and more to love; fans and first-time players are going to find themselves losing hours at a time gathering materials, creating new furniture, and making their island undeniably theirs. Every moment is unashamedly blissful, with excellently-written characters that truly feel alive and an island paradise that gives infinitely back more than you put in. Back when Animal Crossing: New Leaf hit the shelves all those years ago and created a whole new generation of fans, many people were wondering how Nintendo could possibly top it, but here we have our answer. This is a masterpiece that has been well worth waiting for.	2020-03-16
100	Daily Star	Similar to how Breath of the Wild and Odyssey reimagined 3D Zelda and Mario, New Horizons represents an exciting new milestone for the Animal Crossing series. By truly handing the player the reins, Nintendo has delivered a deeply customisable and effortlessly joyous experience which is, quite simply, an essential purchase for all Switch owners.	2020-03-16
