row_n,id,name,gender,species,birthday,personality,song,phrase,full_id,url
2,admiral,Admiral,male,bird,1-27,cranky,Steep Hill,aye aye,villager-admiral,https://villagerdb.com/images/villagers/thumb/admiral.98206ee.png
3,agent-s,Agent S,female,squirrel,7-2,peppy,DJ K.K.,sidekick,villager-agent-s,https://villagerdb.com/images/villagers/thumb/agent-s.96c789b.png
4,agnes,Agnes,female,pig,4-21,uchi,K.K. House,snuffle,villager-agnes,https://villagerdb.com/images/villagers/thumb/agnes.9f51f32.png
6,al,Al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png
7,alfonso,Alfonso,male,alligator,6-9,lazy,Forest Life,it'sa me,villager-alfonso,https://villagerdb.com/images/villagers/thumb/alfonso.11327a1.png
8,alice,Alice,female,koala,8-19,normal,Surfin' K.K.,guvnor,villager-alice,https://villagerdb.com/images/villagers/thumb/alice.729310b.png
9,alli,Alli,female,alligator,11-8,snooty,K.K. Chorale,graaagh,villager-alli,https://villagerdb.com/images/villagers/thumb/alli.9b3d167.png
10,amelia,Amelia,female,eagle,11-19,snooty,K.K. Condor,eaglet,villager-amelia,https://villagerdb.com/images/villagers/thumb/amelia.a5b5497.png
11,anabelle,Anabelle,female,anteater,2-16,peppy,Aloha K.K.,snorty,villager-anabelle,https://villagerdb.com/images/villagers/thumb/anabelle.1321353.png
13,anchovy,Anchovy,male,bird,3-4,lazy,K.K. Ragtime,chuurp,villager-anchovy,https://villagerdb.com/images/villagers/thumb/anchovy.489c5a8.png
14,angus,Angus,male,bull,4-30,cranky,Senor K.K.,macmoo,villager-angus,https://villagerdb.com/images/villagers/thumb/angus.c19901d.png
15,anicotti,Anicotti,female,mouse,2-24,peppy,Neapolitan,cannoli,villager-anicotti,https://villagerdb.com/images/villagers/thumb/anicotti.2c20797.png
16,ankha,Ankha,female,cat,9-22,snooty,Marine Song 2001,me meow,villager-ankha,https://villagerdb.com/images/villagers/thumb/ankha.8bffa26.png
17,annalisa,Annalisa,female,anteater,2-6,normal,King K.K.,gumdrop,villager-annalisa,https://villagerdb.com/images/villagers/thumb/annalisa.3aa1e28.png
18,annalise,Annalise,female,horse,12-2,snooty,K.K. Sonata,nipper,villager-annalise,https://villagerdb.com/images/villagers/thumb/annalise.22c21bd.png
19,antonio,Antonio,male,anteater,10-20,jock,K.K. Faire,honk,villager-antonio,https://villagerdb.com/images/villagers/thumb/antonio.2deee10.png
20,apollo,Apollo,male,eagle,7-4,cranky,K.K. Rock,pah,villager-apollo,https://villagerdb.com/images/villagers/thumb/apollo.c0b4a36.png
21,apple,Apple,female,hamster,9-24,peppy,I Love You,cheekers,villager-apple,https://villagerdb.com/images/villagers/thumb/apple.6b49f8c.png
22,astrid,Astrid,female,kangaroo,9-8,snooty,I Love You,my pet,villager-astrid,https://villagerdb.com/images/villagers/thumb/astrid.c0d79fc.png
23,audie,Audie,female,wolf,8-31,peppy,NA,foxtrot,villager-audie,https://villagerdb.com/images/villagers/thumb/audie.a8a9c8b.png
24,aurora,Aurora,female,penguin,1-27,normal,K.K. Gumbo,b-b-baby,villager-aurora,https://villagerdb.com/images/villagers/thumb/aurora.e5f2dd3.png
