company,industry,name,score,rank
Trader Joe's,Retail,TRUST,82.72,3
Trader Joe's,Retail,ETHICS,82.5,2
Trader Joe's,Retail,GROWTH,84.11,2
Trader Joe's,Retail,P&S,83.51,10
Trader Joe's,Retail,CITIZENSHIP,79.96,3
Trader Joe's,Retail,VISION,81.94,13
Trader Joe's,Retail,CULTURE,83.05,1
HEB Grocery,Retail,TRUST,83.74,1
HEB Grocery,Retail,ETHICS,81.75,4
HEB Grocery,Retail,GROWTH,83.61,4
HEB Grocery,Retail,P&S,83.08,11
HEB Grocery,Retail,CITIZENSHIP,80.97,1
HEB Grocery,Retail,VISION,81.34,19
HEB Grocery,Retail,CULTURE,80.99,9
Patagonia,Retail,TRUST,81.25,5
Patagonia,Retail,ETHICS,81.72,5
Patagonia,Retail,GROWTH,81.93,15
Patagonia,Retail,P&S,83.66,6
Patagonia,Retail,CITIZENSHIP,80.75,2
Patagonia,Retail,VISION,82.2,11
Patagonia,Retail,CULTURE,82.85,3
The Hershey Company,Food & Beverage,TRUST,82.79,2
The Hershey Company,Food & Beverage,ETHICS,82.42,3
The Hershey Company,Food & Beverage,GROWTH,82.2,13
The Hershey Company,Food & Beverage,P&S,84.29,2
The Hershey Company,Food & Beverage,CITIZENSHIP,77.08,8
The Hershey Company,Food & Beverage,VISION,84.77,1
The Hershey Company,Food & Beverage,CULTURE,81.54,6
Wegmans,Groceries,TRUST,80.74,7
Wegmans,Groceries,ETHICS,81.41,6
Wegmans,Groceries,GROWTH,83.1,7
Wegmans,Groceries,P&S,81.12,22
Wegmans,Groceries,CITIZENSHIP,78.64,4
Wegmans,Groceries,VISION,80.89,23
Wegmans,Groceries,CULTURE,81.69,4
Samsung,Tech,TRUST,79.83,14
Samsung,Tech,ETHICS,80.22,9
Samsung,Tech,GROWTH,83.77,3
Samsung,Tech,P&S,84.25,4
Samsung,Tech,CITIZENSHIP,74.97,23
Samsung,Tech,VISION,84.13,4
Samsung,Tech,CULTURE,81.63,5
Toyota Motor Corporation,Automotive,TRUST,78.74,22
Toyota Motor Corporation,Automotive,ETHICS,79.71,12
Toyota Motor Corporation,Automotive,GROWTH,83.48,5
Toyota Motor Corporation,Automotive,P&S,83.61,7
Toyota Motor Corporation,Automotive,CITIZENSHIP,76.58,16
Toyota Motor Corporation,Automotive,VISION,82.4,9
Toyota Motor Corporation,Automotive,CULTURE,80.19,16
Amazon.com,Ecommerce,TRUST,79.87032,12
Amazon.com,Ecommerce,ETHICS,78.90624,18
Amazon.com,Ecommerce,GROWTH,82.93869,9
Amazon.com,Ecommerce,P&S,81.77067,14
Amazon.com,Ecommerce,CITIZENSHIP,77.0337,9
Amazon.com,Ecommerce,VISION,84.13452,2
Amazon.com,Ecommerce,CULTURE,79.13799,21
Honda Motor Company,Automotive,TRUST,78.9,20
Honda Motor Company,Automotive,ETHICS,79.7,13
Honda Motor Company,Automotive,GROWTH,83.02,8
Honda Motor Company,Automotive,P&S,83.58,8
Honda Motor Company,Automotive,CITIZENSHIP,74.19,28
Honda Motor Company,Automotive,VISION,82.42,8
Honda Motor Company,Automotive,CULTURE,81.49,7
Sony,Tech,TRUST,78.2,26
Sony,Tech,ETHICS,77.17,40
Sony,Tech,GROWTH,80.96,29
Sony,Tech,P&S,83.52,9
Sony,Tech,CITIZENSHIP,73.51,35
Sony,Tech,VISION,80.07,31
Sony,Tech,CULTURE,79.52,17
IBM,Tech,TRUST,79.06,18
IBM,Tech,ETHICS,79.67,14
IBM,Tech,GROWTH,81.1,27
IBM,Tech,P&S,82.65,12
IBM,Tech,CITIZENSHIP,74.6,25
IBM,Tech,VISION,80.51,25
IBM,Tech,CULTURE,83.03,2
Tesla Motors,Automotive,TRUST,75.03,55
Tesla Motors,Automotive,ETHICS,77.38,36
Tesla Motors,Automotive,GROWTH,84.92,1
Tesla Motors,Automotive,P&S,84.51,1
Tesla Motors,Automotive,CITIZENSHIP,72.2,50
Tesla Motors,Automotive,VISION,84.12,5
Tesla Motors,Automotive,CULTURE,80.54,14
Blue Cross Blue Shield Association,Healthcare,TRUST,79.9,11
Blue Cross Blue Shield Association,Healthcare,ETHICS,79.01,16
Blue Cross Blue Shield Association,Healthcare,GROWTH,81.85,17
Blue Cross Blue Shield Association,Healthcare,P&S,80.08,33
Blue Cross Blue Shield Association,Healthcare,CITIZENSHIP,76.77,12
Blue Cross Blue Shield Association,Healthcare,VISION,80.48,26
Blue Cross Blue Shield Association,Healthcare,CULTURE,81.01,8
Berkshire Hathaway,Other,TRUST,78.01,29
Berkshire Hathaway,Other,ETHICS,80.47,7
Berkshire Hathaway,Other,GROWTH,82.3,11
Berkshire Hathaway,Other,P&S,78.64,41
Berkshire Hathaway,Other,CITIZENSHIP,76.42,17
Berkshire Hathaway,Other,VISION,83.48,6
Berkshire Hathaway,Other,CULTURE,80.87,11
Microsoft,Tech,TRUST,79.87032,13
Microsoft,Tech,ETHICS,78.90624,19
Microsoft,Tech,GROWTH,82.93869,10
Microsoft,Tech,P&S,81.77067,15
Microsoft,Tech,CITIZENSHIP,77.0337,10
Microsoft,Tech,VISION,84.13452,3
Microsoft,Tech,CULTURE,79.13799,22
UPS,Logistics,TRUST,79.43,16
UPS,Logistics,ETHICS,79.02,15
UPS,Logistics,GROWTH,82.19,14
UPS,Logistics,P&S,80.44,28
UPS,Logistics,CITIZENSHIP,77.74,6
UPS,Logistics,VISION,81.5,17
UPS,Logistics,CULTURE,80.51,15
USAA,Financial Services,TRUST,80.09,9
USAA,Financial Services,ETHICS,82.68,1
USAA,Financial Services,GROWTH,81.76,18
USAA,Financial Services,P&S,80.5,27
