county_fips_code,study_year,unr_16,funr_16,munr_16,unr_20to64,funr_20to64,munr_20to64,flfpr_20to64,flfpr_20to64_under6,flfpr_20to64_6to17,flfpr_20to64_under6_6to17,mlfpr_20to64,pr_f,pr_p,mhi_2018,me_2018,fme_2018,mme_2018,total_pop,one_race,one_race_w,one_race_b,one_race_i,one_race_a,one_race_h,one_race_other,two_races,hispanic,households,h_under6_both_work,h_under6_f_work,h_under6_m_work,h_under6_single_m,h_6to17_both_work,h_6to17_fwork,h_6to17_mwork,h_6to17_single_m,emp_m,memp_m,femp_m,emp_service,memp_service,femp_service,emp_sales,memp_sales,femp_sales,emp_n,memp_n,femp_n,emp_p,memp_p,femp_p,mcsa,mfccsa,mc_infant,mc_toddler,mc_preschool,mfcc_infant,mfcc_toddler,mfcc_preschool
1001,2008,5.42,4.41,6.32,4.6,3.5,5.6,68.9,66.9,79.59,60.81,84,8.5,11.5,58462.55,32710.6,25156.25,41436.8,49744,98.1,78.9,17.7,0.4,0.4,0,0.7,1.9,1.8,18373,1543,970,22,995,4900,1308,114,1966,27.4,24.41,30.68,17.06,15.53,18.75,29.11,15.97,43.52,13.21,22.54,2.99,13.22,21.55,4.07,80.92,81.4,104.95,104.95,85.92,83.45,83.45,81.4
1001,2009,5.93,5.72,6.11,4.8,4.6,5,70.8,63.7,78.41,59.91,86.2,7.5,10.3,60211.71,34688.16,26852.67,43865.64,49584,98.6,79.1,17.9,0.4,0.6,0,0.7,1.4,2,18288,1475,964,16,1099,5028,1519,92,2305,29.54,26.07,33.4,15.81,14.16,17.64,28.75,17.51,41.25,11.89,20.3,2.52,14.02,21.96,5.19,83.42,85.68,105.11,105.11,87.59,87.39,87.39,85.68
1001,2010,6.21,5.57,6.78,5.1,4.6,5.6,71.3,67,78.15,59.71,85.8,7.5,10.6,61775.8,34740.84,27391.08,46155.24,53155,98.5,79.1,17.9,0.3,0.7,0,0.6,1.5,2.3,19718,1569,1009,16,1110,5472,1541,113,2377,29.33,25.94,33.06,16.92,15.09,18.93,29.07,17.82,41.43,11.57,19.86,2.45,13.11,21.28,4.13,85.92,89.96,105.28,105.28,89.26,91.33,91.33,89.96
1001,2011,7.55,8.13,7.03,6.2,6.3,6.1,70.2,66.5,77.62,59.31,85.7,7.4,10.9,60366.88,34564.32,26727.68,45333.12,53944,98.5,78.9,18.1,0.2,0.7,0,0.5,1.5,2.4,19998,1695,1060,106,1030,5065,1965,246,2299,31.17,26.97,35.96,16.18,14.21,18.42,27.56,17.74,38.76,10.72,18.28,2.09,14.38,22.8,4.77,88.43,94.25,105.45,105.45,90.93,95.28,95.28,94.25
1001,2012,8.6,8.88,8.29,6.7,6.4,7,70.6,67.1,76.31,58.3,85.7,7.4,11.6,59150.3,34327.7,27967.5,44276.1,54590,98.5,78.9,18.1,0.3,0.8,0,0.4,1.5,2.4,19934,1714,938,120,1095,4608,1963,284,2644,32.13,28.59,36.09,16.09,14.71,17.63,28.39,17.79,40.26,9.02,16.03,1.19,14.37,22.88,4.84,90.93,98.53,105.61,105.61,92.6,99.22,99.22,98.53
1001,2013,9.39,10.31,8.56,7.3,7.6,7,70.7,67.5,75.91,58,85,8.3,12.1,57976.56,33337.44,27277.56,42000.12,54907,98.6,78.3,18.4,0.3,1,0,0.7,1.4,2.5,20071,1532,880,161,1160,4238,1978,354,2522,31.74,27.44,36.61,16.72,13.92,19.89,27.22,17.38,38.36,9.27,16.79,0.77,15.04,24.48,4.36,93.43,102.82,105.78,105.78,94.27,103.16,103.16,102.82
1001,2014,8.5,9.18,7.95,6.8,6.8,6.8,69.9,65.2,75.13,57.4,84.2,9.1,12.8,55623.5,32022.6,24717.08,40480.34,55136,98.7,78,18.6,0.4,0.9,0,0.7,1.3,2.5,20304,1557,1191,159,954,4056,2073,373,2269,32.32,28.13,37.05,16.81,13.78,20.24,25.42,15.99,36.07,9.38,17.16,0.58,16.08,24.94,6.07,95.94,107.1,105.95,105.95,95.94,107.1,107.1,107.1
1001,2015,7.64,8.45,6.91,5.9,6.1,5.9,68.8,66.8,74.6,57,82.5,9.3,12.9,54357.86,32605.6,23783.22,41413.14,55221,98.4,77.4,18.7,0.4,1,0,0.9,1.6,2.6,20396,1306,1258,211,883,4030,2086,551,2104,33.23,28.26,38.86,16.97,14.39,19.9,24.16,15.98,33.43,8.57,16.08,0.07,17.06,25.3,7.75,95.94,106.53,109.56,109.56,97.33,107.1,107.1,106.81
1001,2016,5.59,6.27,4.99,4.4,4.6,4.3,68.3,67.4,72.6,53.3,81.9,9.4,12.3,55753.95,32821.95,25499.25,42201.6,55049,98,76.9,18.5,0.4,0.8,0.1,1.4,2,2.6,20800,1321,1361,109,731,4265,1793,322,2168,33.82,29.78,38.39,17.48,16.05,19.11,24.19,15.33,34.21,7.85,14.7,0.1,16.66,24.14,8.19,95.94,105.96,113.18,113.18,98.72,107.1,107.1,106.53
1001,2017,5.21,5.84,4.64,4.6,4.9,4.3,67.9,63.9,77.8,53.3,82,10.9,13.7,56976.51,32847.73,25576.96,42091.98,55036,98.3,76.6,19.1,0.3,0.9,0.1,1.3,1.7,2.7,21054,1243,1301,102,843,4557,1503,341,2046,35.31,31.15,40.05,18,15.95,20.33,23.2,16.04,31.36,8.11,15.13,0.09,15.39,21.72,8.17,95.94,105.39,116.79,116.79,100.11,107.1,107.1,106.24
1001,2018,4.23,3.41,4.93,3.9,3,4.7,66.2,71.7,77.6,53.1,82.3,12,15.4,58786,34497,26243,43273,55200,98.1,76.9,19.1,0.3,1,0.1,0.7,1.9,2.8,21115,1261,1332,128,810,4262,1677,273,1907,38.7,35.46,42.4,15.94,13.61,18.59,22.1,15.87,29.21,8.24,15.16,0.34,15.02,19.89,9.46,95.94,104.81,120.41,120.41,101.5,107.1,107.1,105.96
1003,2008,4.22,3.77,4.6,3.8,3.5,4.1,67,63,78.95,63.69,84.1,8.2,10.3,58219.9,31561.75,24039.6,39709.5,171447,98.7,86.3,9.6,0.6,0.6,0,1.5,1.3,2.7,69378,4956,3426,70,2949,12178,5431,582,6742,31.85,28.06,36.35,17.37,13.14,22.42,25.83,18.06,35.09,13.93,24.2,1.7,11.02,16.54,4.44,95.77,102.82,109.95,109.95,97.1,105.56,105.56,102.82
1003,2009,5.54,5.42,5.65,4.8,4.9,4.7,67.2,61.5,77.78,62.75,82.6,8.8,11.9,57234.06,30485.52,22999.86,38062.44,171997,98.9,86.5,9.9,0.6,0.6,0,1.4,1.1,2.9,68497,4823,3465,113,2904,11706,5222,741,6726,30.66,27.33,34.56,17.22,14.24,20.73,27.92,19.92,37.29,12.99,22.41,1.94,11.21,16.1,5.48,95.1,102.82,109.28,109.28,97.6,105.39,105.39,102.82
1003,2010,6.56,6.39,6.7,5.9,5.6,6,67,64.8,77.52,62.54,83.1,9.1,12.2,58170.52,31059,24147.72,39696.36,175791,98.6,86.2,9.5,0.6,0.7,0,1.8,1.4,3.9,69476,5387,3346,156,2773,11776,5269,758,6760,31.52,28.16,35.46,17.56,14.06,21.66,26.88,18.48,36.72,13.48,23.49,1.76,10.56,15.81,4.4,94.43,102.82,108.62,108.62,98.1,105.21,105.21,102.82
1003,2011,7.66,7.36,7.91,6.8,6.6,7.1,68.9,62.9,77,62.12,82.8,9,12.5,57479.52,31175.2,24477.6,40762.4,179523,98.6,86.4,9.4,0.6,0.7,0,1.5,1.4,4.1,70757,5228,3775,148,2965,12235,5233,737,7033,32.27,30.32,34.5,17.66,13.77,22.09,27.83,18.61,38.31,12.64,22.31,1.65,9.59,14.99,3.44,93.77,102.82,107.95,107.95,98.61,105.04,105.04,102.82
1003,2012,8.5,8.73,8.26,7.8,8.2,7.5,69.2,65.2,75.69,61.07,83,9.6,13.3,55776.6,29937.6,23900.8,38759.6,183226,98.4,86.4,9.3,0.6,0.7,0,1.4,1.6,4.3,72751,5464,3808,136,3021,12567,5608,577,6964,32.45,29.63,35.7,17.8,14.49,21.62,27.45,18.4,37.89,12.3,21.76,1.38,10.01,15.71,3.43,93.1,102.82,107.28,107.28,99.11,104.87,104.87,102.82
1003,2013,9.22,9.47,9.01,8.5,8.8,8.3,69.3,65.5,75.3,60.75,83.1,10.3,13.9,54238.68,29103.84,23324.76,37128.24,187114,98.6,86.4,9.5,0.6,0.7,0,1.3,1.4,4.4,73283,5246,3819,167,3373,12245,5983,605,7110,32.9,30.06,36.17,17.95,14.65,21.74,26.49,17.52,36.82,12.28,21.5,1.66,10.38,16.27,3.6,92.43,102.82,106.61,106.61,99.61,104.7,104.7,102.82
1003,2014,8.6,8.97,8.27,8.3,8.9,7.8,68.8,68.1,74.52,60.12,83.2,10.2,13.8,53193.98,28839.42,23419.64,35657.34,191205,98.2,86.6,9.4,0.5,0.7,0,1,1.8,4.5,73058,5001,3517,216,3810,12717,6324,820,6553,33.25,30.02,37.01,17.92,14.81,21.54,26.01,16.75,36.76,12.01,20.93,1.66,10.81,17.5,3.04,91.76,102.82,105.95,105.95,100.11,104.53,104.53,102.82
1003,2015,7.5,7.85,7.2,7.3,7.8,6.8,68.9,76.9,74,59.7,81.7,9.6,13.4,53269.24,29210.42,23696.3,35936.12,195121,98.3,86.4,9.6,0.6,0.7,0,1,1.7,4.5,74104,5125,3508,252,3067,13112,7078,927,6517,33.14,30.07,36.65,17.73,14.8,21.09,27.14,17.99,37.61,10.82,19.26,1.17,11.16,17.88,3.47,95.94,104.24,109.56,109.56,102.89,105.39,105.39,104.24
