county_fips_code,county_name,state_name,state_abbreviation
1001,Autauga County,Alabama,AL
1003,Baldwin County,Alabama,AL
1005,Barbour County,Alabama,AL
1007,Bibb County,Alabama,AL
1009,Blount County,Alabama,AL
1011,Bullock County,Alabama,AL
1013,Butler County,Alabama,AL
1015,Calhoun County,Alabama,AL
1017,Chambers County,Alabama,AL
1019,Cherokee County,Alabama,AL
1021,Chilton County,Alabama,AL
1023,Choctaw County,Alabama,AL
1025,Clarke County,Alabama,AL
1027,Clay County,Alabama,AL
1029,Cleburne County,Alabama,AL
1031,Coffee County,Alabama,AL
1033,Colbert County,Alabama,AL
1035,Conecuh County,Alabama,AL
1037,Coosa County,Alabama,AL
1039,Covington County,Alabama,AL
1041,Crenshaw County,Alabama,AL
1043,Cullman County,Alabama,AL
1045,Dale County,Alabama,AL
1047,Dallas County,Alabama,AL
1049,DeKalb County,Alabama,AL
1051,Elmore County,Alabama,AL
1053,Escambia County,Alabama,AL
1055,Etowah County,Alabama,AL
1057,Fayette County,Alabama,AL
1059,Franklin County,Alabama,AL
1061,Geneva County,Alabama,AL
1063,Greene County,Alabama,AL
1065,Hale County,Alabama,AL
1067,Henry County,Alabama,AL
1069,Houston County,Alabama,AL
1071,Jackson County,Alabama,AL
1073,Jefferson County,Alabama,AL
1075,Lamar County,Alabama,AL
1077,Lauderdale County,Alabama,AL
1079,Lawrence County,Alabama,AL
1081,Lee County,Alabama,AL
1083,Limestone County,Alabama,AL
1085,Lowndes County,Alabama,AL
1087,Macon County,Alabama,AL
1089,Madison County,Alabama,AL
1091,Marengo County,Alabama,AL
1093,Marion County,Alabama,AL
1095,Marshall County,Alabama,AL
1097,Mobile County,Alabama,AL
1099,Monroe County,Alabama,AL
1101,Montgomery County,Alabama,AL
1103,Morgan County,Alabama,AL
1105,Perry County,Alabama,AL
1107,Pickens County,Alabama,AL
1109,Pike County,Alabama,AL
1111,Randolph County,Alabama,AL
1113,Russell County,Alabama,AL
1115,St. Clair County,Alabama,AL
1117,Shelby County,Alabama,AL
1119,Sumter County,Alabama,AL
1121,Talladega County,Alabama,AL
1123,Tallapoosa County,Alabama,AL
1125,Tuscaloosa County,Alabama,AL
1127,Walker County,Alabama,AL
1129,Washington County,Alabama,AL
1131,Wilcox County,Alabama,AL
1133,Winston County,Alabama,AL
2013,Aleutians East Borough,Alaska,AK
2016,Aleutians West Census Area,Alaska,AK
2020,Anchorage Municipality,Alaska,AK
2050,Bethel Census Area,Alaska,AK
2060,Bristol Bay Borough,Alaska,AK
2068,Denali Borough,Alaska,AK
2070,Dillingham Census Area,Alaska,AK
2090,Fairbanks North Star Borough,Alaska,AK
2100,Haines Borough,Alaska,AK
2105,Hoonah-Angoon Census Area,Alaska,AK
2110,Juneau City and Borough,Alaska,AK
2122,Kenai Peninsula Borough,Alaska,AK
2130,Ketchikan Gateway Borough,Alaska,AK
2150,Kodiak Island Borough,Alaska,AK
2158,Kusilvak Census Area,Alaska,AK
2164,Lake and Peninsula Borough,Alaska,AK
2170,Matanuska-Susitna Borough,Alaska,AK
2180,Nome Census Area,Alaska,AK
2185,North Slope Borough,Alaska,AK
2188,Northwest Arctic Borough,Alaska,AK
2195,Petersburg Borough,Alaska,AK
2198,Prince of Wales-Hyder Census Area,Alaska,AK
2220,Sitka City and Borough,Alaska,AK
2230,Skagway Municipality,Alaska,AK
2240,Southeast Fairbanks Census Area,Alaska,AK
2261,Valdez-Cordova Census Area,Alaska,AK
2275,Wrangell City and Borough,Alaska,AK
2280,Wrangell-Petersburg Census Area,Alaska,AK
2282,Yakutat City and Borough,Alaska,AK
2290,Yukon-Koyukuk Census Area,Alaska,AK
4001,Apache County,Arizona,AZ
4003,Cochise County,Arizona,AZ
4005,Coconino County,Arizona,AZ
4007,Gila County,Arizona,AZ
4009,Graham County,Arizona,AZ
4011,Greenlee County,Arizona,AZ
4012,La Paz County,Arizona,AZ
4013,Maricopa County,Arizona,AZ
4015,Mohave County,Arizona,AZ
4017,Navajo County,Arizona,AZ
4019,Pima County,Arizona,AZ
4021,Pinal County,Arizona,AZ
4023,Santa Cruz County,Arizona,AZ
4025,Yavapai County,Arizona,AZ
4027,Yuma County,Arizona,AZ
5001,Arkansas County,Arkansas,AR
5003,Ashley County,Arkansas,AR
5005,Baxter County,Arkansas,AR
5007,Benton County,Arkansas,AR
5009,Boone County,Arkansas,AR
5011,Bradley County,Arkansas,AR
5013,Calhoun County,Arkansas,AR
5015,Carroll County,Arkansas,AR
5017,Chicot County,Arkansas,AR
5019,Clark County,Arkansas,AR
5021,Clay County,Arkansas,AR
5023,Cleburne County,Arkansas,AR
5025,Cleveland County,Arkansas,AR
5027,Columbia County,Arkansas,AR
5029,Conway County,Arkansas,AR
5031,Craighead County,Arkansas,AR
5033,Crawford County,Arkansas,AR
5035,Crittenden County,Arkansas,AR
5037,Cross County,Arkansas,AR
5039,Dallas County,Arkansas,AR
5041,Desha County,Arkansas,AR
5043,Drew County,Arkansas,AR
5045,Faulkner County,Arkansas,AR
5047,Franklin County,Arkansas,AR
5049,Fulton County,Arkansas,AR
5051,Garland County,Arkansas,AR
5053,Grant County,Arkansas,AR
5055,Greene County,Arkansas,AR
5057,Hempstead County,Arkansas,AR
5059,Hot Spring County,Arkansas,AR
5061,Howard County,Arkansas,AR
5063,Independence County,Arkansas,AR
5065,Izard County,Arkansas,AR
5067,Jackson County,Arkansas,AR
5069,Jefferson County,Arkansas,AR
5071,Johnson County,Arkansas,AR
5073,Lafayette County,Arkansas,AR
5075,Lawrence County,Arkansas,AR
5077,Lee County,Arkansas,AR
5079,Lincoln County,Arkansas,AR
5081,Little River County,Arkansas,AR
5083,Logan County,Arkansas,AR
5085,Lonoke County,Arkansas,AR
5087,Madison County,Arkansas,AR
5089,Marion County,Arkansas,AR
5091,Miller County,Arkansas,AR
5093,Mississippi County,Arkansas,AR
5095,Monroe County,Arkansas,AR
5097,Montgomery County,Arkansas,AR
5099,Nevada County,Arkansas,AR
5101,Newton County,Arkansas,AR
5103,Ouachita County,Arkansas,AR
5105,Perry County,Arkansas,AR
5107,Phillips County,Arkansas,AR
5109,Pike County,Arkansas,AR
5111,Poinsett County,Arkansas,AR
5113,Polk County,Arkansas,AR
5115,Pope County,Arkansas,AR
5117,Prairie County,Arkansas,AR
5119,Pulaski County,Arkansas,AR
5121,Randolph County,Arkansas,AR
5123,St. Francis County,Arkansas,AR
5125,Saline County,Arkansas,AR
5127,Scott County,Arkansas,AR
5129,Searcy County,Arkansas,AR
5131,Sebastian County,Arkansas,AR
5133,Sevier County,Arkansas,AR
5135,Sharp County,Arkansas,AR
5137,Stone County,Arkansas,AR
5139,Union County,Arkansas,AR
5141,Van Buren County,Arkansas,AR
5143,Washington County,Arkansas,AR
5145,White County,Arkansas,AR
5147,Woodruff County,Arkansas,AR
5149,Yell County,Arkansas,AR
6001,Alameda County,California,CA
6003,Alpine County,California,CA
6005,Amador County,California,CA
6007,Butte County,California,CA
6009,Calaveras County,California,CA
6011,Colusa County,California,CA
6013,Contra Costa County,California,CA
6015,Del Norte County,California,CA
6017,El Dorado County,California,CA
6019,Fresno County,California,CA
6021,Glenn County,California,CA
6023,Humboldt County,California,CA
6025,Imperial County,California,CA
6027,Inyo County,California,CA
6029,Kern County,California,CA
6031,Kings County,California,CA
6033,Lake County,California,CA
6035,Lassen County,California,CA
6037,Los Angeles County,California,CA
6039,Madera County,California,CA
6041,Marin County,California,CA
6043,Mariposa County,California,CA
6045,Mendocino County,California,CA
6047,Merced County,California,CA
6049,Modoc County,California,CA
6051,Mono County,California,CA
6053,Monterey County,California,CA
6055,Napa County,California,CA
6057,Nevada County,California,CA
6059,Orange County,California,CA
6061,Placer County,California,CA
6063,Plumas County,California,CA
6065,Riverside County,California,CA
6067,Sacramento County,California,CA
6069,San Benito County,California,CA
6071,San Bernardino County,California,CA
6073,San Diego County,California,CA
6075,San Francisco County,California,CA
6077,San Joaquin County,California,CA
6079,San Luis Obispo County,California,CA
6081,San Mateo County,California,CA
6083,Santa Barbara County,California,CA
6085,Santa Clara County,California,CA
6087,Santa Cruz County,California,CA
6089,Shasta County,California,CA
6091,Sierra County,California,CA
6093,Siskiyou County,California,CA
6095,Solano County,California,CA
6097,Sonoma County,California,CA
6099,Stanislaus County,California,CA
6101,Sutter County,California,CA
6103,Tehama County,California,CA
6105,Trinity County,California,CA
6107,Tulare County,California,CA
6109,Tuolumne County,California,CA
6111,Ventura County,California,CA
6113,Yolo County,California,CA
6115,Yuba County,California,CA
8001,Adams County,Colorado,CO
8003,Alamosa County,Colorado,CO
8005,Arapahoe County,Colorado,CO
8007,Archuleta County,Colorado,CO
8009,Baca County,Colorado,CO
8011,Bent County,Colorado,CO
8013,Boulder County,Colorado,CO
8014,Broomfield County,Colorado,CO
8015,Chaffee County,Colorado,CO
8017,Cheyenne County,Colorado,CO
8019,Clear Creek County,Colorado,CO
8021,Conejos County,Colorado,CO
8023,Costilla County,Colorado,CO
8025,Crowley County,Colorado,CO
8027,Custer County,Colorado,CO
8029,Delta County,Colorado,CO
8031,Denver County,Colorado,CO
8033,Dolores County,Colorado,CO
8035,Douglas County,Colorado,CO
8037,Eagle County,Colorado,CO
8039,Elbert County,Colorado,CO
8041,El Paso County,Colorado,CO
8043,Fremont County,Colorado,CO
8045,Garfield County,Colorado,CO
8047,Gilpin County,Colorado,CO
8049,Grand County,Colorado,CO
8051,Gunnison County,Colorado,CO
8053,Hinsdale County,Colorado,CO
8055,Huerfano County,Colorado,CO
8057,Jackson County,Colorado,CO
8059,Jefferson County,Colorado,CO
8061,Kiowa County,Colorado,CO
8063,Kit Carson County,Colorado,CO
8065,Lake County,Colorado,CO
8067,La Plata County,Colorado,CO
8069,Larimer County,Colorado,CO
8071,Las Animas County,Colorado,CO
8073,Lincoln County,Colorado,CO
8075,Logan County,Colorado,CO
8077,Mesa County,Colorado,CO
8079,Mineral County,Colorado,CO
8081,Moffat County,Colorado,CO
8083,Montezuma County,Colorado,CO
8085,Montrose County,Colorado,CO
8087,Morgan County,Colorado,CO
8089,Otero County,Colorado,CO
8091,Ouray County,Colorado,CO
8093,Park County,Colorado,CO
8095,Phillips County,Colorado,CO
8097,Pitkin County,Colorado,CO
8099,Prowers County,Colorado,CO
8101,Pueblo County,Colorado,CO
8103,Rio Blanco County,Colorado,CO
8105,Rio Grande County,Colorado,CO
8107,Routt County,Colorado,CO
8109,Saguache County,Colorado,CO
8111,San Juan County,Colorado,CO
8113,San Miguel County,Colorado,CO
8115,Sedgwick County,Colorado,CO
8117,Summit County,Colorado,CO
8119,Teller County,Colorado,CO
