id,name,macroarea,latitude,longitude,iso639p3code,countries,is_isolate,family_id
fasu1242,Fasu,Papunesia,-6.62687,143.284,faa,PG,TRUE,NA
wash1253,Washo,NA,38.8184,-119.64,was,US,TRUE,NA
taua1242,Tauade,NA,-8.3486,147.094,ttd,PG,TRUE,NA
puel1244,Puelche,NA,-42.223,-68.666,pue,AR,TRUE,NA
tuxa1239,Tuxá,NA,-8.953642,-38.2742287,tud,BR,TRUE,NA
beto1236,Betoi-Jirara,South America,7.223906,-71.420238,NA,VE,TRUE,NA
else1239,Elseng,NA,-3.00176,140.418,mrf,ID,TRUE,NA
ando1256,Andoque,South America,-0.53751,-72.0869,ano,CO,TRUE,NA
pyuu1245,Pyu,NA,-4.45003,141.018,pby,ID;PG,TRUE,NA
moch1259,Mochica,NA,-8.01667,-79,omc,PE,TRUE,NA
atak1252,Atakapa,North America,30.9121,-93.0827,aqp,US,TRUE,NA
kwaz1243,Kwaza,NA,-11.6667,-61.1833,xwa,BR,TRUE,NA
cams1241,Camsá,NA,1.14537,-76.8931,kbh,CO,TRUE,NA
dibi1240,Dibiyaso,NA,-7.82096,142.779,dby,PG,TRUE,NA
sech1236,Sechuran,South America,-5.568969,-80.828247,NA,PE,TRUE,NA
kuna1268,Kunama,Africa,14.5879,37.5292,kun,ER;ET;SD,TRUE,NA
yetf1238,Yetfa,NA,-4.05884,140.653,yet,ID;PG,TRUE,NA
kung1259,Kungarakany,NA,-12.7,130.881,ggk,AU,TRUE,NA
cand1248,Candoshi-Shapra,South America,-4.23835,-76.9347,cbu,PE,TRUE,NA
buru1296,Burushaski,Eurasia,36.2161,74.8236,bsk,IN;PK,TRUE,NA
cofa1242,Cofán,South America,0.276675,-77.0643,con,CO;EC,TRUE,NA
lule1238,Lule,NA,-25.221839,-61.887818,ule,AR,TRUE,NA
sulk1246,Sulka,NA,-5.03471,151.891,sua,PG,TRUE,NA
mose1249,Mosetén-Chimané,South America,-14.64448,-67.83756,cas,BO,TRUE,NA
tiwi1244,Tiwi,NA,-11.6308,130.949,tiw,AU,TRUE,NA
cani1243,Canichana,NA,-14.3058,-64.944455,caz,BO,TRUE,NA
kena1236,Kenaboi,NA,3.154162,102.01596,xbn,MY,TRUE,NA
oyst1235,Oyster Bay-Big River-Little Swanport,NA,-42.307378,147.50061,xpd,AU,TRUE,NA
sume1241,Sumerian,NA,31.3,45.6667,sux,IQ,TRUE,NA
yura1255,Yuracaré,South America,-16.7479,-65.1224,yuz,BO,TRUE,NA
lavu1241,Lavukaleve,NA,-9.05569,159.119,lvk,SB,TRUE,NA
saus1247,Sause,NA,-3.16632,139.627,sao,ID,TRUE,NA
leco1242,Leco,NA,-15.0092,-67.8818,lec,BO,TRUE,NA
adai1235,Adai,NA,31.6314,-92.0059,xad,US,TRUE,NA
mara1266,Maratino,NA,24.339089,-98.576661,NA,MX,TRUE,NA
mpur1239,Mpur,Papunesia,-0.7489,133.166,akc,ID,TRUE,NA
guri1248,Muno,NA,-3.5718,141.597,grx,PG,TRUE,NA
coah1252,Coahuilteco,NA,28.2589,-97.89,xcw,MX,TRUE,NA
mink1237,Minkin,NA,-17.736653,139.541931,xxm,AU,TRUE,NA
cuit1236,Cuitlatec,NA,18.1,-100.5,cuy,MX,TRUE,NA
guac1239,Guachi,NA,-19.5572257,-57.5663223,NA,BR,TRUE,NA
kibi1239,Kibiri,Papunesia,-7.45276,144.296,prm,PG,TRUE,NA
arut1244,Arutani,South America,4.0673594,-62.8676118,atx,BR;VE,TRUE,NA
alse1251,Alsea-Yaquina,North America,44.408,-123.94,aes,US,TRUE,NA
siam1242,Siamou,Africa,10.998,-4.92143,sif,BF;CI;ML,TRUE,NA
laal1242,Laal,Africa,10.0063,17.6143,gdm,TD,TRUE,NA
kari1254,Kariri,South America,-7.434628,-40.487275,NA,BR,TRUE,NA
paya1236,Payagua,NA,-20.212233,-58.158622,NA,PY,TRUE,NA
savo1255,Savosavo,NA,-9.12853,159.814,svs,SB,TRUE,NA
mass1263,Massep,NA,-1.74679,138.294,mvs,ID,TRUE,NA
kaki1249,Kaki Ae,NA,-7.9946,145.816,tbd,PG,TRUE,NA
puin1248,Puinave,NA,3.92974,-67.6886,pui,CO;VE,TRUE,NA
take1257,Takelma,NA,42.423,-123.452,tkm,US,TRUE,NA
tall1235,Tallán,South America,-5.330824,-80.651093,NA,PE,TRUE,NA
sand1273,Sandawe,NA,-5.26918,35.4808,sad,TZ,TRUE,NA
yele1255,Yele,Papunesia,-11.3796,154.127,yle,PG,TRUE,NA
taus1253,Taushiro,NA,-3.22497,-75.5603,trr,PE,TRUE,NA
dama1272,Damal,Papunesia,-4.17345,137.496,uhn,ID,TRUE,NA
touo1238,Touo,NA,-8.58405,157.296,tqu,PG;SB,TRUE,NA
bira1253,Ongota,NA,5.29807,37.025,bxe,ET,TRUE,NA
mola1238,Molale,NA,44.556,-122.857,mbe,US,TRUE,NA
cent2045,Jalaa,NA,9.59433,11.5853,cet,NG,TRUE,NA
hrus1242,Hruso,Eurasia,27.27,92.63,hru,IN,TRUE,NA
timu1245,Timucua,North America,30.3027,-82.3132,tjm,US,TRUE,NA
anem1249,Anem,Papunesia,-5.54836,148.993,anz,PG,TRUE,NA
hadz1240,Hadza,NA,-3.83115,35.0458,hts,TZ,TRUE,NA
shom1245,Shom Peng,NA,7.02099,93.8064,sii,IN,TRUE,NA
jira1235,Jirajaran,South America,10.57,-69.7,NA,VE,TRUE,NA
