id,family
abkh1242,Abkhaz-Adyge
surm1244,Surmic
tama1329,Tamaic
yare1250,Yareban
monu1249,Bogia
tebe1251,Teberan
sali1297,Saliban
hibi1242,Hibito-Cholon
kiwa1251,Kiwaian
paho1240,Pahoturi
araw1282,Arawan
cent2225,Central Sudanic
otom1299,Otomanguean
doso1238,Doso-Turumsa
coos1248,Coosan
barb1265,Barbacoan
uruc1242,Uru-Chipaya
east1459,East Bird's Head
mixe1287,Mixed Language
miwo1274,Miwok-Costanoan
utoa1244,Uto-Aztecan
west2434,Western Daly
geel1240,Geelvink Bay
pidg1258,Pidgin
giim1238,Giimbiyu
bosa1245,Bosavi
jiva1245,Chicham
hata1242,Hatam-Mansim
huav1256,Huavean
kadu1256,Kadugli-Krongo
sout2845,South Omotic
mong1349,Mongolic-Khitan
mang1423,Mangarrayi-Maran
leng1261,Lengua-Mascoy
daju1249,Dajuic
garr1260,Garrwan
drav1251,Dravidian
nimb1257,Nimboranic
yuki1242,Yuki-Wappo
hurr1239,Hurro-Urartian
tuca1253,Tucanoan
sout2948,South Bougainville
pomo1273,Pomoan
katl1246,Katla-Tima
choc1280,Chocoan
kaya1327,Kayagaric
sino1245,Sino-Tibetan
krua1234,Kru
more1255,Yam
song1307,Songhay
west1493,West Bird's Head
sign1238,Sign Language
narr1279,Narrow Talodi
kond1302,Konda-Yahadian
jara1244,Jarawa-Onge
tara1323,Tarascan
toro1256,Tor-Orya
chib1249,Chibchan
kera1258,Keram
kamu1264,Kamula-Elevala
shas1238,Shastan
turk1311,Turkic
katu1274,Katukinan
aust1305,Austroasiatic
kere1287,Keresan
nucl1580,Eleman
atha1245,Athabaskan-Eyak-Tlingit
kres1240,Kresh-Aja
nucl1710,Nuclear-Macro-Je
wint1258,Wintuan
nucl1708,Nuclear Torricelli
bayo1259,Bayono-Awbono
uncl1493,Unclassifiable
kaku1242,Kakua-Nukak
gunw1250,Gunwinyguan
char1238,Charruan
misu1242,Misumalpan
tang1340,Tangkic
musk1252,Muskogean
book1242,Bookkeeping
mata1289,Mataguayan
xinc1237,Xincan
kore1284,Koreanic
ural1272,Uralic
guah1252,Guahiboan
tupi1275,Tupian
pala1350,Palaihnihan
iroq1247,Iroquoian
nyul1248,Nyulnyulan
mail1249,Mailuan
baib1250,Baibai-Fas
bord1247,Border
toto1251,Totonacan
siou1252,Siouan
