season,episode,title,imdb_rating,total_votes,air_date
1,1,Pilot,7.6,3706,2005-03-24
1,2,Diversity Day,8.3,3566,2005-03-29
1,3,Health Care,7.9,2983,2005-04-05
1,4,The Alliance,8.1,2886,2005-04-12
1,5,Basketball,8.4,3179,2005-04-19
1,6,Hot Girl,7.8,2852,2005-04-26
2,1,The Dundies,8.7,3213,2005-09-20
2,2,Sexual Harassment,8.2,2736,2005-09-27
2,3,Office Olympics,8.4,2742,2005-10-04
2,4,The Fire,8.4,2713,2005-10-11
2,5,Halloween,8.2,2561,2005-10-18
2,6,The Fight,8.2,2550,2005-11-01
2,7,The Client,8.6,2631,2005-11-08
2,8,Performance Review,8.2,2416,2005-11-15
2,9,E-Mail Surveillance,8.4,2527,2005-11-22
2,10,Christmas Party,8.8,2755,2005-12-06
2,11,Booze Cruise,8.6,2679,2006-01-05
2,12,The Injury,9,3282,2006-01-12
2,13,The Secret,8.3,2363,2006-01-19
2,14,The Carpet,7.9,2342,2006-01-26
2,15,Boys and Girls,8.2,2323,2006-02-02
2,16,Valentine's Day,8.3,2345,2006-02-09
2,17,Dwight's Speech,8.4,2463,2006-03-02
2,18,Take Your Daughter to Work Day,8.3,2415,2006-03-16
2,19,Michael's Birthday,8.1,2337,2006-03-30
2,20,Drug Testing,8.4,2397,2006-04-27
2,21,Conflict Resolution,8.7,2440,2006-05-04
2,22,Casino Night,9.3,3644,2006-05-11
3,1,Gay Witch Hunt,8.9,3087,2006-09-21
3,2,The Convention,8.2,2275,2006-09-28
3,3,The Coup,8.5,2388,2006-10-05
3,4,Grief Counseling,8,2311,2006-10-12
3,5,Initiation,8.2,2254,2006-10-19
3,6,Diwali,8,2320,2006-11-02
3,7,Branch Closing,8.5,2260,2006-11-09
3,8,The Merger,8.7,2376,2006-11-16
3,9,The Convict,8.2,2373,2006-11-30
3,10,A Benihana Christmas,8.7,2541,2006-12-14
3,11,Back from Vacation,8.5,2255,2007-01-04
3,12,Traveling Salesmen,8.6,2316,2007-01-11
3,13,The Return,8.8,2430,2007-01-18
3,14,Ben Franklin,8.2,2254,2007-02-01
3,15,Phyllis' Wedding,8.3,2283,2007-02-08
3,16,Business School,8.8,2622,2007-02-15
3,17,Cocktails,8.5,2264,2007-02-22
3,18,The Negotiation,8.9,2555,2007-04-05
3,19,Safety Training,8.8,2424,2007-04-12
3,20,Product Recall,8.7,2409,2007-04-26
3,21,Women's Appreciation,8.8,2403,2007-05-03
3,22,Beach Games,9.1,2783,2007-05-10
3,23,The Job,9.3,3010,2007-05-17
4,1,Fun Run,8.8,2826,2007-09-27
4,2,Dunder Mifflin Infinity,8.4,2248,2007-10-04
4,3,Launch Party,8.5,2173,2007-10-11
4,4,Money,8.7,2341,2007-10-18
4,5,Local Ad,8.8,2388,2007-10-25
4,6,Branch Wars,8.5,2185,2007-11-01
4,7,Survivor Man,8.3,2110,2007-11-08
4,8,The Deposition,8.7,2202,2007-11-15
4,9,Dinner Party,9.3,4095,2008-04-10
4,10,Chair Model,8.1,2095,2008-04-17
4,11,Night Out,8.7,2179,2008-04-24
4,12,Did I Stutter?,8.4,2087,2008-05-01
4,13,Job Fair,7.9,1977,2008-05-08
4,14,"Goodbye, Toby",9.3,3010,2008-05-15
5,1,Weight Loss,8.8,2501,2008-09-25
5,2,Business Ethics,8.3,1990,2008-10-09
5,3,Baby Shower,8.1,1954,2008-10-16
5,4,Crime Aid,8.1,1884,2008-10-23
5,5,Employee Transfer,8.1,1962,2008-10-30
5,6,Customer Survey,8.5,2018,2008-11-06
5,7,Business Trip,8.2,1867,2008-11-13
5,8,Frame Toby,8.6,2089,2008-11-20
5,9,The Surplus,8.7,2070,2008-12-04
5,10,Moroccan Christmas,8.4,1951,2008-12-11
5,11,The Duel,8.7,2011,2009-01-15
5,12,Prince Family Paper,8.1,1954,2009-01-22
5,13,Stress Relief,9.6,5948,2009-02-01
5,14,Lecture Circuit: Part 1,8.2,1838,2009-02-05
5,15,Lecture Circuit: Part 2,8.2,1808,2009-02-12
5,16,Blood Drive,8.1,1847,2009-03-05
5,17,Golden Ticket,8.7,1987,2009-03-12
5,18,New Boss,8.3,1875,2009-03-19
5,19,Two Weeks,8.4,1864,2009-03-26
5,20,Dream Team,8.3,1863,2009-04-09
5,21,Michael Scott Paper Company,8.7,2032,2009-04-09
5,22,Heavy Competition,8.7,1913,2009-04-16
5,23,Broke,9.1,2509,2009-04-23
5,24,Casual Friday,8.3,1845,2009-04-30
5,25,Cafe Disco,8.7,2107,2009-05-07
5,26,Company Picnic,8.9,2232,2009-05-14
6,1,Gossip,8.7,2127,2009-09-17
6,2,The Meeting,8.2,1755,2009-09-24
6,3,The Promotion,8,1751,2009-10-01
6,4,Niagara: Part 1,9.3,3579,2009-10-08
6,5,Niagara: Part 2,9.3,1946,2009-10-08
6,6,Mafia,7.7,1829,2009-10-15
6,7,The Lover,8.6,1917,2009-10-22
6,8,Koi Pond,8.2,1739,2009-10-29
6,9,Double Date,8.2,1709,2009-11-05
6,10,Murder,8.6,2016,2009-11-12
6,11,Shareholder Meeting,8.2,1726,2009-11-19
6,12,Scott's Tots,8.3,1981,2009-12-03
6,13,Secret Santa,8.5,1844,2009-12-10
6,14,The Banker,6.8,2288,2010-01-21
6,15,Sabre,7.8,1681,2010-02-04
6,16,Manager and Salesman,8.1,1670,2010-02-11
6,17,The Delivery: Part 1,8.4,1750,2010-03-04
6,18,The Delivery: Part 2,8.5,1769,2010-03-04
6,19,St. Patrick's Day,7.8,1642,2010-03-11
6,20,New Leads,7.9,1609,2010-03-18
6,21,Happy Hour,8.6,1873,2010-03-25
6,22,Secretary's Day,7.9,1613,2010-04-22
6,23,Body Language,8,1633,2010-04-29
6,24,The Cover-Up,8.2,1627,2010-05-06
6,25,The Chump,7.9,1571,2010-05-13
6,26,Whistleblower,8,1625,2010-05-20
7,1,Nepotism,8.4,1897,2010-09-23
7,2,Counseling,8.3,1684,2010-09-30
7,3,Andy's Play,8.2,1802,2010-10-07
7,4,Sex Ed,7.9,1650,2010-10-14
7,5,The Sting,7.8,1612,2010-10-21
7,6,Costume Contest,8.2,1663,2010-10-28
7,7,Christening,7.5,1668,2010-11-04
7,8,Viewing Party,7.9,1633,2010-11-11
7,9,WUPHF.com,7.8,1598,2010-11-18
7,10,China,8.2,1661,2010-12-02
7,11,Classy Christmas,8.9,2138,2010-12-09
7,12,Ultimatum,8.3,1695,2011-01-20
7,13,The Seminar,7.7,1616,2011-01-27
7,14,The Search,8.5,1742,2011-02-03
7,15,PDA,8.4,1736,2011-02-10
7,16,Threat Level Midnight,9.3,3525,2011-02-17
7,17,Todd Packer,7.5,1581,2011-02-24
7,18,Garage Sale,9.2,2742,2011-03-24
7,19,Training Day,7.8,1655,2011-04-14
7,20,Michael's Last Dundies,8.9,2182,2011-04-21
7,21,"Goodbye, Michael",9.7,5749,2011-04-28
7,22,The Inner Circle,7.7,1634,2011-05-05
7,23,"Dwight K. Schrute, (Acting) Manager",8.7,1840,2011-05-12
7,24,Search Committee,8.8,2040,2011-05-19
8,1,The List,8.2,1829,2011-09-22
8,2,The Incentive,8.2,1668,2011-09-29
8,3,Lotto,7.3,1601,2011-10-06
8,4,Garden Party,8.1,1717,2011-10-13
8,5,Spooked,7.6,1543,2011-10-27
8,6,Doomsday,7.8,1476,2011-11-03
8,7,Pam's Replacement,7.7,1563,2011-11-10
8,8,Gettysburg,7,1584,2011-11-17
8,9,Mrs. California,7.7,1553,2011-12-01
8,10,Christmas Wishes,8,1547,2011-12-08
8,11,Trivia,7.9,1488,2012-01-12
8,12,Pool Party,8,1612,2012-01-19
8,13,Jury Duty,7.5,1478,2012-02-02
8,14,Special Project,7.8,1432,2012-02-09
8,15,Tallahassee,7.9,1522,2012-02-16
8,16,After Hours,8.1,1567,2012-02-23
8,17,Test the Store,7.8,1478,2012-03-01
8,18,Last Day in Florida,7.8,1429,2012-03-08
8,19,Get the Girl,6.7,1642,2012-03-15
8,20,Welcome Party,7.2,1489,2012-04-12
8,21,Angry Andy,7.1,1585,2012-04-19
8,22,Fundraiser,7.1,1453,2012-04-26
8,23,Turf War,7.7,1393,2012-05-03
8,24,Free Family Portrait Studio,7.8,1464,2012-05-10
9,1,New Guys,7.7,1577,2012-09-20
9,2,Roy's Wedding,7.2,1477,2012-09-27
9,3,Andy's Ancestry,7.5,1461,2012-10-04
9,4,Work Bus,7.9,1551,2012-10-18
9,5,Here Comes Treble,7.1,1515,2012-10-25
9,6,The Boat,7.8,1455,2012-11-08
9,7,The Whale,7.7,1406,2012-11-15
9,8,The Target,7.8,1438,2012-11-29
9,9,Dwight Christmas,8.4,1634,2012-12-06
9,10,Lice,7.7,1470,2013-01-10
9,11,Suit Warehouse,7.9,1441,2013-01-17
9,12,Customer Loyalty,8,1508,2013-01-24
9,13,Junior Salesman,7.7,1394,2013-01-31
9,14,Vandalism,7.6,1402,2013-01-31
9,15,Couples Discount,7.4,1407,2013-02-07
9,16,Moving On,8.2,1572,2013-02-14
9,17,The Farm,7.5,1656,2013-03-14
9,18,Promos,8,1445,2013-04-04
9,19,Stairmageddon,8,1484,2013-04-11
9,20,Paper Airplane,8,1482,2013-04-25
9,21,Livin' the Dream,8.9,2041,2013-05-02
9,22,A.A.R.M.,9.3,2860,2013-05-09
9,23,Finale,9.7,7934,2013-05-16
