incident_date,state,airport_id,airport,operator,atype,type_eng,species_id,species,damage,num_engs,incident_month,incident_year,time_of_day,time,height,speed,phase_of_flt,sky,precip,cost_repairs_infl_adj
2018-12-31T00:00:00Z,FL,KMIA,MIAMI INTL,AMERICAN AIRLINES,B-737-800,D,UNKBL,Unknown bird - large,M?,2,12,2018,Day,1207,700,200,Climb,Some Cloud,None,NA
2018-12-29T00:00:00Z,IN,KIND,INDIANAPOLIS INTL ARPT,AMERICAN AIRLINES,B-737-800,D,R,Owls,N,2,12,2018,Night,2355,0,NA,Landing Roll,NA,NA,NA
2018-12-29T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,UNKNOWN,NA,R2004,Short-eared owl,NA,NA,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-27T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-900,D,N5205,Southern lapwing,M?,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-27T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,J2139,Lesser scaup,M?,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-27T00:00:00Z,FL,KMIA,MIAMI INTL,AMERICAN AIRLINES,A-319,D,UNKB,Unknown bird,N,2,12,2018,Day,955,NA,NA,Approach,NA,NA,NA
2018-12-27T00:00:00Z,FL,KMCO,ORLANDO INTL,AMERICAN AIRLINES,A-321,D,UNKBS,Unknown bird - small,N,2,12,2018,Night,948,600,145,Approach,Some Cloud,None,NA
2018-12-26T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,ZT001,Eastern meadowlark,N,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-23T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-321,D,ZT101,Red-winged blackbird,N,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-23T00:00:00Z,FL,KFLL,FORT LAUDERDALE/HOLLYWOOD INTL,AMERICAN AIRLINES,B-737-800,D,I1301,Cattle egret,N,2,12,2018,Day,1321,0,130,Take-off run,No Cloud,None,NA
2018-12-23T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,UNKB,Unknown bird,N,2,12,2018,Night,15,NA,NA,NA,NA,NA,NA
2018-12-22T00:00:00Z,TX,KGRK,KILLEEN/FT HOOD REGIONAL,AMERICAN AIRLINES,EMB-145,D,O22,Doves,N,2,12,2018,Day,1612,0,NA,Landing Roll,Some Cloud,None,NA
2018-12-22T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-319,D,ZX010,Pine siskin,N,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-22T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-319,D,ZX303,Savannah sparrow,N,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-22T00:00:00Z,NY,KJFK,JOHN F KENNEDY INTL,AMERICAN AIRLINES,B-737-800,D,K5114,American kestrel,NA,2,12,2018,Day,905,0,NA,Landing Roll,Some Cloud,None,NA
2018-12-22T00:00:00Z,N/A,MDPP,PUERTO PLATA INTL,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2,12,2018,Day,1457,500,160,Approach,No Cloud,None,NA
2018-12-21T00:00:00Z,N/A,MNMG,MANAGUA INTL ARPT,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2,12,2018,Day,1418,100,150,Approach,No Cloud,None,NA
2018-12-21T00:00:00Z,MD,KBWI,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,AMERICAN AIRLINES,A-319,D,UNKB,Unknown bird,N,2,12,2018,Day,1628,0,NA,Take-off run,NA,NA,NA
2018-12-19T00:00:00Z,CA,KSMF,SACRAMENTO INTL,AMERICAN AIRLINES,A-319,D,J2141,Redhead,N,2,12,2018,Day,627,1000,NA,Climb,No Cloud,None,NA
2018-12-18T00:00:00Z,AZ,KPHX,PHOENIX SKY HARBOR INTL ARPT,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2,12,2018,Night,2130,4500,250,Climb,No Cloud,None,NA
2018-12-18T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,A-321,D,ZT101,Red-winged blackbird,N,2,12,2018,Day,719,300,NA,Approach,No Cloud,None,NA
2018-12-17T00:00:00Z,TX,KDFW,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,A-320,D,UNKB,Unknown bird,N,2,12,2018,Dawn,747,NA,NA,Approach,Some Cloud,None,NA
2018-12-17T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-321,D,UNKB,Unknown bird,N,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-16T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-320,D,ZS009,Yellow-rumped warbler,N,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-14T00:00:00Z,CA,KSNA,JOHN WAYNE-ORANGE COUNTY ARPT,AMERICAN AIRLINES,B-737-800,D,UNKB,Unknown bird,N,2,12,2018,Day,1348,NA,NA,Climb,NA,NA,NA
2018-12-13T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-13T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-330,D,ZC204,American pipit,NA,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-12T00:00:00Z,NM,KABQ,ALBUQUERQUE INTL SUNPORT,AMERICAN AIRLINES,B-737-800,D,YH004,Horned lark,N,2,12,2018,Day,1305,0,160,Take-off run,Some Cloud,None,NA
2018-12-09T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,UNKNOWN,NA,ZS009,Yellow-rumped warbler,NA,NA,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-07T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,UNKB,Unknown bird,N,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-06T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-321,D,UNKBS,Unknown bird - small,N,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-05T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-320,D,ZX004,Dark-eyed junco,N,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-04T00:00:00Z,CA,KLAX,LOS ANGELES INTL,AMERICAN AIRLINES,A-321,D,UNKBS,Unknown bird - small,N,2,12,2018,Day,1345,0,100,Take-off run,No Cloud,None,NA
2018-12-04T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,A-321,D,ZD102,Cedar waxwing,N,2,12,2018,Day,944,NA,NA,Approach,Some Cloud,None,NA
2018-12-03T00:00:00Z,FL,KJAX,JACKSONVILLE INTL,AMERICAN AIRLINES,A-320,D,YI010,Tree swallow,N,2,12,2018,Day,1400,0,NA,Take-off run,NA,NA,NA
2018-12-03T00:00:00Z,FL,KJAX,JACKSONVILLE INTL,AMERICAN AIRLINES,A-320,D,YL001,European starling,N,2,12,2018,Day,1415,100,100,Approach,Some Cloud,None,NA
2018-12-03T00:00:00Z,CA,KSMF,SACRAMENTO INTL,AMERICAN AIRLINES,A-320,D,UNKBS,Unknown bird - small,N,2,12,2018,Day,1150,0,150,Landing Roll,Some Cloud,None,NA
2018-12-03T00:00:00Z,N/A,MROC,JUAN SANTAMARIA INTL,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2,12,2018,Day,800,3027,130,Climb,No Cloud,None,NA
2018-12-03T00:00:00Z,TX,KAUS,AUSTIN-BERGSTROM INTL,AMERICAN AIRLINES,A-319,D,ZT000,Meadowlarks,N,2,12,2018,Day,1400,0,130,Landing Roll,Some Cloud,None,NA
2018-12-02T00:00:00Z,CA,KSMF,SACRAMENTO INTL,AMERICAN AIRLINES,A-321,D,YM1102,American crow,NA,2,12,2018,Day,1505,NA,NA,Climb,NA,NA,NA
