category,meta_cat,group_num,year,gross_inv
Total basic infrastructure,Total infrastructure,1,1947,4974.661999999999
Total basic infrastructure,Total infrastructure,1,1948,6486.7699999999995
Total basic infrastructure,Total infrastructure,1,1949,7376.143
Total basic infrastructure,Total infrastructure,1,1950,7943.959000000001
Total basic infrastructure,Total infrastructure,1,1951,8961.233
Total basic infrastructure,Total infrastructure,1,1952,9707.59
Total basic infrastructure,Total infrastructure,1,1953,10778.356
Total basic infrastructure,Total infrastructure,1,1954,11278.155999999999
Total basic infrastructure,Total infrastructure,1,1955,11368.955
Total basic infrastructure,Total infrastructure,1,1956,13315.822
Total basic infrastructure,Total infrastructure,1,1957,14935.069
Total basic infrastructure,Total infrastructure,1,1958,15185.956
Total basic infrastructure,Total infrastructure,1,1959,15687.969
Total basic infrastructure,Total infrastructure,1,1960,15630.719999999998
Total basic infrastructure,Total infrastructure,1,1961,16076.7
Total basic infrastructure,Total infrastructure,1,1962,16620.927000000003
Total basic infrastructure,Total infrastructure,1,1963,17810.629999999997
Total basic infrastructure,Total infrastructure,1,1964,19151.88
Total basic infrastructure,Total infrastructure,1,1965,21019.879
Total basic infrastructure,Total infrastructure,1,1966,22944.628999999997
Total basic infrastructure,Total infrastructure,1,1967,24661.135000000002
Total basic infrastructure,Total infrastructure,1,1968,27539.974000000002
Total basic infrastructure,Total infrastructure,1,1969,27511.964
Total basic infrastructure,Total infrastructure,1,1970,29059.536999999997
Total basic infrastructure,Total infrastructure,1,1971,30659.364
Total basic infrastructure,Total infrastructure,1,1972,32586.609
Total basic infrastructure,Total infrastructure,1,1973,35079.981999999996
Total basic infrastructure,Total infrastructure,1,1974,40236.707
Total basic infrastructure,Total infrastructure,1,1975,44101.149
Total basic infrastructure,Total infrastructure,1,1976,46509.19699999999
Total basic infrastructure,Total infrastructure,1,1977,48539.167
Total basic infrastructure,Total infrastructure,1,1978,55194.969
Total basic infrastructure,Total infrastructure,1,1979,62262.192
Total basic infrastructure,Total infrastructure,1,1980,68821.798
Total basic infrastructure,Total infrastructure,1,1981,71955.58099999999
Total basic infrastructure,Total infrastructure,1,1982,69726.943
Total basic infrastructure,Total infrastructure,1,1983,68436.472
Total basic infrastructure,Total infrastructure,1,1984,79244.536
Total basic infrastructure,Total infrastructure,1,1985,90771.196
Total basic infrastructure,Total infrastructure,1,1986,90667.15000000001
Total basic infrastructure,Total infrastructure,1,1987,96123.72499999999
Total basic infrastructure,Total infrastructure,1,1988,94556.62299999999
Total basic infrastructure,Total infrastructure,1,1989,98001.08899999999
Total basic infrastructure,Total infrastructure,1,1990,107478.37
Total basic infrastructure,Total infrastructure,1,1991,108947.77299999999
Total basic infrastructure,Total infrastructure,1,1992,109970.016
Total basic infrastructure,Total infrastructure,1,1993,114651.214
Total basic infrastructure,Total infrastructure,1,1994,113485.81599999999
Total basic infrastructure,Total infrastructure,1,1995,120066.938
Total basic infrastructure,Total infrastructure,1,1996,124395.56999999999
Total basic infrastructure,Total infrastructure,1,1997,127101.674
Total basic infrastructure,Total infrastructure,1,1998,137525.454
Total basic infrastructure,Total infrastructure,1,1999,145675.566
Total basic infrastructure,Total infrastructure,1,2000,166277.31300000002
Total basic infrastructure,Total infrastructure,1,2001,178321.637
Total basic infrastructure,Total infrastructure,1,2002,181722.79799999998
Total basic infrastructure,Total infrastructure,1,2003,186392.23900000003
Total basic infrastructure,Total infrastructure,1,2004,182462.017
Total basic infrastructure,Total infrastructure,1,2005,194008.58800000002
Total basic infrastructure,Total infrastructure,1,2006,217456.578
Total basic infrastructure,Total infrastructure,1,2007,253675.31299999997
Total basic infrastructure,Total infrastructure,1,2008,276069.766
Total basic infrastructure,Total infrastructure,1,2009,280046.252
Total basic infrastructure,Total infrastructure,1,2010,273672.345
Total basic infrastructure,Total infrastructure,1,2011,277161.232
Total basic infrastructure,Total infrastructure,1,2012,300395.3
Total basic infrastructure,Total infrastructure,1,2013,295336.747
Total basic infrastructure,Total infrastructure,1,2014,319725.233
Total basic infrastructure,Total infrastructure,1,2015,321772.742
Total basic infrastructure,Total infrastructure,1,2016,323841.103
Total basic infrastructure,Total infrastructure,1,2017,326183.10000000003
Total social infrastructure,Total infrastructure,1,1947,918.062
Total social infrastructure,Total infrastructure,1,1948,1623.7749999999996
Total social infrastructure,Total infrastructure,1,1949,2387.737
Total social infrastructure,Total infrastructure,1,1950,2839.3769999999995
Total social infrastructure,Total infrastructure,1,1951,3294.751
Total social infrastructure,Total infrastructure,1,1952,3280.1360000000004
Total social infrastructure,Total infrastructure,1,1953,3290.9770000000003
Total social infrastructure,Total infrastructure,1,1954,3863.3410000000003
Total social infrastructure,Total infrastructure,1,1955,4181.528
Total social infrastructure,Total infrastructure,1,1956,4486.209000000001
Total social infrastructure,Total infrastructure,1,1957,4986.963
Total social infrastructure,Total infrastructure,1,1958,5191.954000000001
Total social infrastructure,Total infrastructure,1,1959,5068.997
Total social infrastructure,Total infrastructure,1,1960,5382.9980000000005
Total social infrastructure,Total infrastructure,1,1961,5906.004
Total social infrastructure,Total infrastructure,1,1962,6235
Total social infrastructure,Total infrastructure,1,1963,6897.0019999999995
Total social infrastructure,Total infrastructure,1,1964,7694.999999999999
Total social infrastructure,Total infrastructure,1,1965,8592.002
Total social infrastructure,Total infrastructure,1,1966,10044.998
Total social infrastructure,Total infrastructure,1,1967,10992.000999999998
Total social infrastructure,Total infrastructure,1,1968,11607.598
Total social infrastructure,Total infrastructure,1,1969,12396.902
Total social infrastructure,Total infrastructure,1,1970,12748.720999999998
Total social infrastructure,Total infrastructure,1,1971,14075.305000000004
Total social infrastructure,Total infrastructure,1,1972,14980.214
Total social infrastructure,Total infrastructure,1,1973,16315.428
Total social infrastructure,Total infrastructure,1,1974,17968.214
Total social infrastructure,Total infrastructure,1,1975,18909.482
Total social infrastructure,Total infrastructure,1,1976,19631.989
Total social infrastructure,Total infrastructure,1,1977,19259.082
Total social infrastructure,Total infrastructure,1,1978,21520.189
Total social infrastructure,Total infrastructure,1,1979,23894.252999999997
Total social infrastructure,Total infrastructure,1,1980,27635.562
Total social infrastructure,Total infrastructure,1,1981,30385.084000000003
Total social infrastructure,Total infrastructure,1,1982,35671.460999999996
Total social infrastructure,Total infrastructure,1,1983,37334.194
Total social infrastructure,Total infrastructure,1,1984,40849.159999999996
Total social infrastructure,Total infrastructure,1,1985,42633.72699999999
Total social infrastructure,Total infrastructure,1,1986,45859.77599999998
