category,meta_cat,group_num,year,gross_inv_chain
Total basic infrastructure,Total infrastructure,1,1947,73278.618
Total basic infrastructure,Total infrastructure,1,1948,83218.25099999999
Total basic infrastructure,Total infrastructure,1,1949,95760.00099999999
Total basic infrastructure,Total infrastructure,1,1950,103642.401
Total basic infrastructure,Total infrastructure,1,1951,102264.39000000001
Total basic infrastructure,Total infrastructure,1,1952,107277.638
Total basic infrastructure,Total infrastructure,1,1953,117635.36799999999
Total basic infrastructure,Total infrastructure,1,1954,125305.69999999998
Total basic infrastructure,Total infrastructure,1,1955,126922.61799999999
Total basic infrastructure,Total infrastructure,1,1956,133562.29700000002
Total basic infrastructure,Total infrastructure,1,1957,141618.483
Total basic infrastructure,Total infrastructure,1,1958,148971.811
Total basic infrastructure,Total infrastructure,1,1959,154092.602
Total basic infrastructure,Total infrastructure,1,1960,154545.858
Total basic infrastructure,Total infrastructure,1,1961,161220.235
Total basic infrastructure,Total infrastructure,1,1962,164970.55599999998
Total basic infrastructure,Total infrastructure,1,1963,175211.05600000004
Total basic infrastructure,Total infrastructure,1,1964,185451.012
Total basic infrastructure,Total infrastructure,1,1965,197661.959
Total basic infrastructure,Total infrastructure,1,1966,206965.23200000002
Total basic infrastructure,Total infrastructure,1,1967,215040.01900000003
Total basic infrastructure,Total infrastructure,1,1968,230113.209
Total basic infrastructure,Total infrastructure,1,1969,216292.566
Total basic infrastructure,Total infrastructure,1,1970,209992.174
Total basic infrastructure,Total infrastructure,1,1971,206188.266
Total basic infrastructure,Total infrastructure,1,1972,207528.997
Total basic infrastructure,Total infrastructure,1,1973,206765.864
Total basic infrastructure,Total infrastructure,1,1974,197177.227
Total basic infrastructure,Total infrastructure,1,1975,191833.32499999998
Total basic infrastructure,Total infrastructure,1,1976,195338.59100000001
Total basic infrastructure,Total infrastructure,1,1977,192340.485
Total basic infrastructure,Total infrastructure,1,1978,209628.10400000002
Total basic infrastructure,Total infrastructure,1,1979,218912.24599999998
Total basic infrastructure,Total infrastructure,1,1980,214809.85600000003
Total basic infrastructure,Total infrastructure,1,1981,199442.70299999998
Total basic infrastructure,Total infrastructure,1,1982,180239.05000000002
Total basic infrastructure,Total infrastructure,1,1983,173969.153
Total basic infrastructure,Total infrastructure,1,1984,201463.11800000002
Total basic infrastructure,Total infrastructure,1,1985,229132.098
Total basic infrastructure,Total infrastructure,1,1986,225489.91700000002
Total basic infrastructure,Total infrastructure,1,1987,231001.41299999997
Total basic infrastructure,Total infrastructure,1,1988,221944.061
Total basic infrastructure,Total infrastructure,1,1989,223021.56300000002
Total basic infrastructure,Total infrastructure,1,1990,237048.635
Total basic infrastructure,Total infrastructure,1,1991,237375.41999999998
Total basic infrastructure,Total infrastructure,1,1992,238390.075
Total basic infrastructure,Total infrastructure,1,1993,244170.665
Total basic infrastructure,Total infrastructure,1,1994,235774.59900000002
Total basic infrastructure,Total infrastructure,1,1995,238870.686
Total basic infrastructure,Total infrastructure,1,1996,238909.543
Total basic infrastructure,Total infrastructure,1,1997,236444.179
Total basic infrastructure,Total infrastructure,1,1998,251864.21000000002
Total basic infrastructure,Total infrastructure,1,1999,259733.61699999997
Total basic infrastructure,Total infrastructure,1,2000,283590.252
Total basic infrastructure,Total infrastructure,1,2001,296738.136
Total basic infrastructure,Total infrastructure,1,2002,297026.159
Total basic infrastructure,Total infrastructure,1,2003,299118.373
Total basic infrastructure,Total infrastructure,1,2004,279487.705
Total basic infrastructure,Total infrastructure,1,2005,271595.723
Total basic infrastructure,Total infrastructure,1,2006,281428.672
Total basic infrastructure,Total infrastructure,1,2007,303659.25
Total basic infrastructure,Total infrastructure,1,2008,308702.907
Total basic infrastructure,Total infrastructure,1,2009,312641.81299999997
Total basic infrastructure,Total infrastructure,1,2010,298429.97
Total basic infrastructure,Total infrastructure,1,2011,288667.022
Total basic infrastructure,Total infrastructure,1,2012,300394.30000000005
Total basic infrastructure,Total infrastructure,1,2013,290994.735
Total basic infrastructure,Total infrastructure,1,2014,311020.20999999996
Total basic infrastructure,Total infrastructure,1,2015,310728.55299999996
Total basic infrastructure,Total infrastructure,1,2016,312660.365
Total basic infrastructure,Total infrastructure,1,2017,306038.25899999996
Total social infrastructure,Total infrastructure,1,1947,12048.822
Total social infrastructure,Total infrastructure,1,1948,20287.299000000003
Total social infrastructure,Total infrastructure,1,1949,30921.977
Total social infrastructure,Total infrastructure,1,1950,37086.844000000005
Total social infrastructure,Total infrastructure,1,1951,38568.49699999999
Total social infrastructure,Total infrastructure,1,1952,37809.292
Total social infrastructure,Total infrastructure,1,1953,38340.886
Total social infrastructure,Total infrastructure,1,1954,46720.15
Total social infrastructure,Total infrastructure,1,1955,49630.89199999999
Total social infrastructure,Total infrastructure,1,1956,48917.614
Total social infrastructure,Total infrastructure,1,1957,51994.879
Total social infrastructure,Total infrastructure,1,1958,55620.26900000001
Total social infrastructure,Total infrastructure,1,1959,51907.846
Total social infrastructure,Total infrastructure,1,1960,54634.515999999996
Total social infrastructure,Total infrastructure,1,1961,59868.850000000006
Total social infrastructure,Total infrastructure,1,1962,62075.503
Total social infrastructure,Total infrastructure,1,1963,68025.868
Total social infrastructure,Total infrastructure,1,1964,74510.921
Total social infrastructure,Total infrastructure,1,1965,81165.017
Total social infrastructure,Total infrastructure,1,1966,92540.03700000001
Total social infrastructure,Total infrastructure,1,1967,98012.93899999998
Total social infrastructure,Total infrastructure,1,1968,98777.16200000001
Total social infrastructure,Total infrastructure,1,1969,95218.625
Total social infrastructure,Total infrastructure,1,1970,89915.52299999999
Total social infrastructure,Total infrastructure,1,1971,90246.322
Total social infrastructure,Total infrastructure,1,1972,89152.671
