speaker_name,speaker_affiliation,session_type,session_title,block_track_title,session_date,session_start,session_length,session_abstract
Elaine McVey,Chief,keynote,From Data Confusion to Data Intelligence,From Data Confusion to Data Intelligence,2023-09-19,2023-09-19T14:00:00Z,60,"Data science teams operate in a unique environment, much different than the IT or software development life cycle. Hope from executives for the impact of data science is extremely high! Understanding of how to make data science efforts successful is very low! This creates an interesting set of organizational challenges for data and analytics teams. These are particularly clear when data science is being introduced at new companies, but plays out at organizations of all sizes. So, how do we navigate this dynamic? We’ll share some strategies for success"
David Meza,NASA,keynote,From Data Confusion to Data Intelligence,From Data Confusion to Data Intelligence,2023-09-19,2023-09-19T14:00:00Z,60,"Data science teams operate in a unique environment, much different than the IT or software development life cycle. Hope from executives for the impact of data science is extremely high! Understanding of how to make data science efforts successful is very low! This creates an interesting set of organizational challenges for data and analytics teams. These are particularly clear when data science is being introduced at new companies, but plays out at organizations of all sizes. So, how do we navigate this dynamic? We’ll share some strategies for success"
Daniel Woodie,Eli Lilly & Company,regular,Developing a prototyping competency in a statistical science organization,Building effective data science teams,2023-09-19,2023-09-19T15:40:00Z,20,"The introduction of new tools, methods, and processes can be a struggle within a statistical science organization. Being deliberate and investing in the creation of a prototyping competency can help in accelerating progress. Prototyping allows organizations to quickly experiment with new ideas, reduce the risk of failure, identify potential issues early, and iterate until the desired outcome is achieved. I will highlight the key areas we have focused on accelerating, our framework for developing this competency, how we use Shiny, and the lessons we've learned along the way. Developing a prototyping competency is crucial for statistical science organizations that wish to stay competitive and innovative in today's rapidly changing landscape."
Liz Roten,Metropolitan Council,regular,How to gracefully expand your R team,Building effective data science teams,2023-09-19,2023-09-19T16:00:00Z,20,"R users don't always come in teams. Often, you may be the only useR on the block. But, one miraculous day, you get to welcome more R folks on your team. Suddenly, the little R system you created to suit your needs, like a custom R package, styling, and file organization, isn't just for you.
Want to suddenly overhaul that one package you wrote two years ago? It probably won't work when your colleagues try to update it. 
Your new teammates are data.table fans, but you prefer the tidyverse. Do you need to refactor?
Are style choices, like indentation important when collaborating, or are you just being persnickety?
In this talk, you will learn how to bring new teammates onboard and blend your respective styles without pulling your hair out."
Andrew Holz,Posit,regular,Oops I'm a manager - On More Effective 1-on-1 Meetings,Building effective data science teams,2023-09-19,2023-09-19T16:20:00Z,20,"As a team leader (accidental or not), it's easy to get caught up in the daily grind and overlook the importance of 1-on-1s. Bad idea. 1-on-1s are critical for building trust, providing feedback, and ensuring that everyone is on the same page.

Keys to good 1-on-1s start with a small amount of prep and a running shared document of notes and takeaways.  Another key is to rotate types of 1-on-1s. Possibilities include “heads down” on recent work, “heads up” looking further out and career focused sessions.  After some tips on the right sort of questions and uncovering sneaky issues, I will also touch on effective feedback.

I will share resources and hope to include Seussian visuals and a few poetic lines to help the key points stick."
Patrick Tennant,Meadows Mental Health Policy Institute,regular,The Gonzalez Matrix for Data Projects,Building effective data science teams,2023-09-19,2023-09-19T16:40:00Z,20,"I’d like to a tell the good people at conf about how we deal with the fact that my boss has too many good ideas for data science projects. Specifically, we use an adapted version of the Eisenhower Matrix that lays out our projects according to the effort required and value they will produce. Given the functionally unlimited number of data science projects that a team could do, I think the audience could benefit from this example of how we keep our team focused on valuable work while also reducing the stress that comes from never ending list of projects."
Natalia Andriychuk,Pfizer,regular,"Building a Community of Engaged R Users: Pain points, Tactics, Strategies, Successes",Pharma,2023-09-19,2023-09-19T15:40:00Z,20,"For decades pharmaceutical companies predominately used SAS for data analysis, but the times and landscape are changing, and we see more colleagues learning and using R. At Pfizer, we have over a thousand colleagues globally in an R community on MS Teams. How do we engage with them all, celebrate their successes with R, and share best practices? We established the Pfizer R Center of Excellence in 2022 to focus our efforts to coalesce a large growing community of colleagues, provide technical expertise, and best practice guidance. In my talk, I’m going to share techniques we used to build a supportive R community, tools to increase community engagement, and pain points/successes of defining and leading R strategy within an organization."
Mike K Smith,Pfizer R&D UK Ltd,regular,"Open-source solutions to next-generation submissions, after 30 years of industry experience",Pharma,2023-09-19,2023-09-19T16:00:00Z,20,"The pharmaceutical industry is undergoing rapid change, driven by a desire from both industry and regulatory agencies to move to more interactive visualizations and web applications to review data and make decisions. These changes would have been unthinkable 30 years ago, when I started working at Pfizer. In this talk I’ll consider the drivers for these changes, how open-source tools can help achieve this and why collaboration across industry is vital to achieve this goal. I’ll contrast this with my experience of 30 years working in the pharma industry – when the R language had only just been released, when the internet was new and when submissions to agencies were printed out, loaded onto trucks and shipped to their doors."
Ben Arancibia,GSK,regular,The Need for Speed - AccelerateR R Adoption in GSK,Pharma,2023-09-19,2023-09-19T16:20:00Z,20,"How does a risk adverse Pharma Biostats organization with 600+ people switch from using proprietary software to using R and other open-source tools for delivering clinical trial submissions? First slowly then all at once. GSK started the transition of using R for its clinical trial data analysis in 2020 and now uses R for our regulatory reviewed outputs. The AccelerateR Team, an agile pod of R experts and data scientists, rotates through GSK Biostats study teams sitting side by side to answer questions and mentor during this transition. We will share our experience from AccelerateR and how other organizations can use our learnings to scale R from pilots to full enterprise adoption and contributing to open-source industry R packages."
Colby T. Ford,"Tuple, LLC / Amissa, Inc / University of North Carolina at Charlotte",regular,Succeed in the Life Sciences with R/Python and the Cloud,Pharma,2023-09-19,2023-09-19T16:40:00Z,20,"In the life sciences, whether it’s pharma, biotech, research, or another type of organization, we are unique in that we blend scientific knowledge with technical skills to extract insights out of large, complex datasets. In the cloud, we can architect solutions to help us scale, automate, and collaborate. Interestingly, the use of R and Python by bioinformatics and data science teams can be challenging in a cloud-first world where all the data is somewhere other than your laptop (like a data lake). In this talk, I will share best practices and lessons learned surrounding the use of R and Python by technical teams in the cloud. We’ll focus on the use of Posit Workbench and RStudio on various cloud services such as Azure ML and Databricks."
