rank,name,birth_date,death_date,age,place_of_death_or_residence,gender,still_alive
1,Jeanne Calment,1875-02-21,1997-08-04,122.447638603696,France,female,deceased
2,Kane Tanaka,1903-01-02,2022-04-19,119.29363449692,Japan,female,deceased
3,Sarah Knauss,1880-09-24,1999-12-30,119.260780287474,United States,female,deceased
4,Lucile Randon,1904-02-11,2023-01-17,118.932238193018,France,female,deceased
5,Nabi Tajima,1900-08-04,2018-04-21,117.711156741958,Japan,female,deceased
6,Marie-Louise Meilleur,1880-08-29,1998-04-16,117.626283367556,Canada,female,deceased
7,Violet Brown,1900-03-10,2017-09-15,117.516769336071,Jamaica,female,deceased
8,Emma Morano,1899-11-29,2017-04-15,117.37440109514,Italy,female,deceased
9,Chiyo Miyako,1901-05-02,2018-07-22,117.221081451061,Japan,female,deceased
10,Delphia Welford,1875-09-09,1992-11-14,117.180013689254,United States,female,deceased
11,Misao Okawa,1898-03-05,2015-04-01,117.070499657769,Japan,female,deceased
12,Francisca Celsa dos Santos,1904-10-21,2021-10-05,116.955509924709,Brazil,female,deceased
13,María Capovilla,1889-09-14,2006-08-27,116.947296372348,Ecuador,female,deceased
14,Susannah Mushatt Jones,1899-07-06,2016-05-12,116.848733744011,United States,female,deceased
15,Gertrude Weaver,1898-07-04,2015-04-06,116.752908966461,United States,female,deceased
16,Antonia da Santa Cruz,1905-06-13,2022-01-23,116.613278576318,Brazil,female,deceased
17,Tane Ikai,1879-01-18,1995-07-12,116.476386036961,Japan,female,deceased
18,Jeanne Bot,1905-01-14,2021-05-22,116.350444900753,France,female,deceased
19,Elizabeth Bolden,1890-08-15,2006-12-11,116.320328542094,United States,female,deceased
20,Besse Cooper,1896-08-26,2012-12-04,116.271047227926,United States,female,deceased
21,Maria Giuseppa Robucci,1903-03-20,2019-06-18,116.246406570842,Italy,female,deceased
22,Maria Branyas,1907-03-04,NA,116.224503764545,Spain,female,alive
23,Tekla Juniewicz,1906-06-10,2022-08-19,116.191649555099,Poland,female,deceased
24,Ana María Vela Rubio,1901-10-29,2017-12-15,116.128678986995,Spain,female,deceased
25,Giuseppina Projetto,1902-05-30,2018-07-06,116.101300479124,Italy,female,deceased
26,Fusa Tatsumi,1907-04-25,NA,116.082135523614,Japan,female,alive
27,Jeralean Talley,1899-05-23,2015-06-17,116.065708418891,United States,female,deceased
28,Shigeyo Nakachi,1905-02-01,2021-01-11,115.94250513347,Japan,female,deceased
29,Maggie Barnes,1882-03-06,1998-01-19,115.871321013005,United States,female,deceased
30,Dina Manfredini,1897-04-04,2012-12-17,115.701574264203,United States,female,deceased
31,Shimoe Akiyama,1903-05-19,2019-01-29,115.698836413415,Japan,female,deceased
32,Hester Ford,1905-08-15,2021-04-17,115.671457905544,United States,female,deceased
33,Charlotte Hughes,1877-08-01,1993-03-17,115.622176591376,United Kingdom,female,deceased
34,Edna Parker,1893-04-20,2008-11-26,115.600273785079,United States,female,deceased
35,Mary Ann Rhodes,1882-08-12,1998-03-03,115.553730321697,Canada,female,deceased
36,Anonymous of Tokyo,1900-03-15,2015-09-27,115.534565366188,Japan,female,deceased
37,Margaret Skeete,1878-10-27,1994-05-07,115.523613963039,United States,female,deceased
38,Bernice Madigan,1899-07-24,2015-01-03,115.444216290212,United States,female,deceased
39,Gertrude Baines,1894-04-06,2009-09-11,115.430527036277,United States,female,deceased
40,Bettie Wilson,1890-09-13,2006-02-13,115.416837782341,United States,female,deceased
41,Shin Matsushita,1904-03-30,2019-08-27,115.408624229979,Japan,female,deceased
42,Iris Westman,1905-08-28,2021-01-03,115.35112936345,United States,female,deceased
43,Julie Winnefred Bertrand,1891-09-16,2007-01-18,115.337440109514,Canada,female,deceased
44,Maria de Jesus,1893-09-10,2009-01-02,115.310061601643,Portugal,female,deceased
45,Marie-Josephine Gaudette,1902-03-25,2017-07-13,115.301848049281,Italy,female,deceased
45,Edie Ceccarelli,1908-02-05,NA,115.299110198494,United States,female,alive
47,Susie Gibson,1890-10-31,2006-02-16,115.29363449692,United States,female,deceased
47,Thelma Sutcliffe,1906-10-01,2022-01-17,115.296372347707,United States,female,deceased
49,Casilda Benegas Gallego,1907-04-08,2022-06-28,115.222450376455,Argentina,female,deceased
50,Augusta Holtz,1871-08-03,1986-10-21,115.214236824093,United States,female,deceased
51,Valentine Ligny,1906-10-22,2022-01-04,115.203285420945,France,female,deceased
52,Hendrikje van Andel-Schipper,1890-06-29,2005-08-30,115.167693360712,Netherlands,female,deceased
53,Bessie Hendricks,1907-11-07,2023-01-03,115.156741957563,United States,female,deceased
54,Maude Farris-Luse,1887-01-21,2002-03-18,115.151266255989,United States,female,deceased
55,Mina Kitagawa,1905-11-03,2020-12-19,115.126625598905,Japan,female,deceased
56,Marie Brémont,1886-04-25,2001-06-06,115.112936344969,France,female,deceased
57,Yoshi Otsunari,1906-12-17,2022-01-26,115.110198494182,Japan,female,deceased
58,Koto Okubo,1897-12-24,2013-01-12,115.049965776865,Japan,female,deceased
59,Antonia Gerena Rivera,1900-05-19,2015-06-02,115.03627652293,United States,female,deceased
60,Chiyono Hasegawa,1896-11-20,2011-12-02,115.028062970568,Japan,female,deceased
61,Annie Jennings,1884-11-12,1999-11-20,115.01711156742,United Kingdom,female,deceased
62,Tomiko Itooka,1908-05-23,NA,115.003422313484,Japan,female,alive
63,Anonymous of Hyōgo,1907-04-29,2022-04-30,115.003422313484,Japan,female,deceased
