fiscal_year,month_grouping,month_abbv,land_border_region,state,demographic,citizenship,title_of_authority,encounter_count
2020,FYTD,APR,Northern Land Border,ID,Single Adults,CANADA,Title 8,2
2020,FYTD,APR,Northern Land Border,ME,Single Adults,CANADA,Title 42,2
2020,FYTD,APR,Northern Land Border,ME,Single Adults,CANADA,Title 8,153
2020,FYTD,APR,Northern Land Border,ME,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,1
2020,FYTD,APR,Northern Land Border,ME,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,0
2020,FYTD,APR,Northern Land Border,ME,Single Adults,MEXICO,Title 8,1
2020,FYTD,APR,Northern Land Border,ME,Single Adults,OTHER,Title 42,1
2020,FYTD,APR,Northern Land Border,ME,Single Adults,OTHER,Title 8,3
2020,FYTD,APR,Northern Land Border,ME,Single Adults,PHILIPPINES,Title 8,1
2020,FYTD,APR,Northern Land Border,ME,Single Adults,RUSSIA,Title 8,1
2020,FYTD,APR,Northern Land Border,MI,Single Adults,BRAZIL,Title 8,1
2020,FYTD,APR,Northern Land Border,MI,Single Adults,CANADA,Title 8,43
2020,FYTD,APR,Northern Land Border,MI,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,1
2020,FYTD,APR,Northern Land Border,MI,Single Adults,GUATEMALA,Title 8,1
2020,FYTD,APR,Northern Land Border,MI,Single Adults,HONDURAS,Title 8,1
2020,FYTD,APR,Northern Land Border,MI,Single Adults,INDIA,Title 42,2
2020,FYTD,APR,Northern Land Border,MI,Single Adults,INDIA,Title 8,5
2020,FYTD,APR,Northern Land Border,MI,Single Adults,OTHER,Title 8,3
2020,FYTD,APR,Northern Land Border,MT,Single Adults,CANADA,Title 8,8
2020,FYTD,APR,Northern Land Border,MT,Single Adults,OTHER,Title 42,1
2020,FYTD,APR,Northern Land Border,MT,Single Adults,OTHER,Title 8,0
2020,FYTD,APR,Northern Land Border,ND,Single Adults,CANADA,Title 8,4
2020,FYTD,APR,Northern Land Border,ND,Single Adults,OTHER,Title 8,1
2020,FYTD,APR,Northern Land Border,NY,FMUA,CANADA,Title 8,1
2020,FYTD,APR,Northern Land Border,NY,FMUA,GUATEMALA,Title 8,3
2020,FYTD,APR,Northern Land Border,NY,FMUA,OTHER,Title 8,18
2020,FYTD,APR,Northern Land Border,NY,Single Adults,CANADA,Title 42,1
2020,FYTD,APR,Northern Land Border,NY,Single Adults,CANADA,Title 8,52
2020,FYTD,APR,Northern Land Border,NY,Single Adults,COLOMBIA,Title 8,1
2020,FYTD,APR,Northern Land Border,NY,Single Adults,GUATEMALA,Title 8,2
2020,FYTD,APR,Northern Land Border,NY,Single Adults,HAITI,Title 42,1
2020,FYTD,APR,Northern Land Border,NY,Single Adults,HAITI,Title 8,2
2020,FYTD,APR,Northern Land Border,NY,Single Adults,INDIA,Title 8,1
2020,FYTD,APR,Northern Land Border,NY,Single Adults,MEXICO,Title 42,1
2020,FYTD,APR,Northern Land Border,NY,Single Adults,MEXICO,Title 8,1
2020,FYTD,APR,Northern Land Border,NY,Single Adults,OTHER,Title 42,2
2020,FYTD,APR,Northern Land Border,NY,Single Adults,OTHER,Title 8,23
2020,FYTD,APR,Northern Land Border,NY,Single Adults,RUSSIA,Title 8,1
2020,FYTD,APR,Northern Land Border,NY,UC / Single Minors,GUATEMALA,Title 8,1
2020,FYTD,APR,Northern Land Border,VT,FMUA,BRAZIL,Title 8,3
2020,FYTD,APR,Northern Land Border,VT,FMUA,CANADA,Title 8,1
2020,FYTD,APR,Northern Land Border,VT,Single Adults,CANADA,Title 42,1
2020,FYTD,APR,Northern Land Border,VT,Single Adults,CANADA,Title 8,86
2020,FYTD,APR,Northern Land Border,VT,Single Adults,ECUADOR,Title 8,1
2020,FYTD,APR,Northern Land Border,VT,Single Adults,OTHER,Title 42,3
2020,FYTD,APR,Northern Land Border,VT,Single Adults,OTHER,Title 8,3
2020,FYTD,APR,Northern Land Border,WA,Accompanied Minors,OTHER,Title 8,1
2020,FYTD,APR,Northern Land Border,WA,FMUA,INDIA,Title 8,3
2020,FYTD,APR,Northern Land Border,WA,Single Adults,CANADA,Title 42,4
2020,FYTD,APR,Northern Land Border,WA,Single Adults,CANADA,Title 8,20
2020,FYTD,APR,Northern Land Border,WA,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,3
2020,FYTD,APR,Northern Land Border,WA,Single Adults,CUBA,Title 8,1
2020,FYTD,APR,Northern Land Border,WA,Single Adults,EL SALVADOR,Title 8,1
2020,FYTD,APR,Northern Land Border,WA,Single Adults,INDIA,Title 8,4
2020,FYTD,APR,Northern Land Border,WA,Single Adults,MEXICO,Title 42,1
2020,FYTD,APR,Northern Land Border,WA,Single Adults,MEXICO,Title 8,6
2020,FYTD,APR,Northern Land Border,WA,Single Adults,OTHER,Title 42,1
2020,FYTD,APR,Northern Land Border,WA,Single Adults,OTHER,Title 8,4
2020,FYTD,APR,Other,AK,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,1
2020,FYTD,APR,Other,AK,Single Adults,INDIA,Title 8,15
2020,FYTD,APR,Other,AK,Single Adults,MYANMAR (BURMA),Title 8,34
2020,FYTD,APR,Other,AK,Single Adults,OTHER,Title 8,52
2020,FYTD,APR,Other,AK,Single Adults,PHILIPPINES,Title 8,53
2020,FYTD,APR,Other,AK,Single Adults,RUSSIA,Title 8,1
2020,FYTD,APR,Other,AK,Single Adults,TURKEY,Title 8,20
2020,FYTD,APR,Other,AK,Single Adults,UKRAINE,Title 8,8
2020,FYTD,APR,Other,AL,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,55
2020,FYTD,APR,Other,AL,Single Adults,MYANMAR (BURMA),Title 8,8
2020,FYTD,APR,Other,AL,Single Adults,OTHER,Title 8,17
2020,FYTD,APR,Other,AL,Single Adults,PHILIPPINES,Title 8,49
2020,FYTD,APR,Other,AL,Single Adults,RUSSIA,Title 8,14
2020,FYTD,APR,Other,AL,Single Adults,UKRAINE,Title 8,5
2020,FYTD,APR,Other,CA,Single Adults,CANADA,Title 8,1
2020,FYTD,APR,Other,CA,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,100
2020,FYTD,APR,Other,CA,Single Adults,COLOMBIA,Title 8,3
2020,FYTD,APR,Other,CA,Single Adults,EL SALVADOR,Title 8,3
2020,FYTD,APR,Other,CA,Single Adults,HONDURAS,Title 8,7
2020,FYTD,APR,Other,CA,Single Adults,INDIA,Title 8,362
2020,FYTD,APR,Other,CA,Single Adults,MEXICO,Title 8,51
2020,FYTD,APR,Other,CA,Single Adults,MYANMAR (BURMA),Title 8,26
2020,FYTD,APR,Other,CA,Single Adults,OTHER,Title 8,272
2020,FYTD,APR,Other,CA,Single Adults,PERU,Title 8,2
2020,FYTD,APR,Other,CA,Single Adults,PHILIPPINES,Title 8,626
2020,FYTD,APR,Other,CA,Single Adults,ROMANIA,Title 8,15
2020,FYTD,APR,Other,CA,Single Adults,RUSSIA,Title 8,56
2020,FYTD,APR,Other,CA,Single Adults,TURKEY,Title 8,29
2020,FYTD,APR,Other,CA,Single Adults,UKRAINE,Title 8,151
2020,FYTD,APR,Other,CO,Single Adults,MEXICO,Title 8,1
2020,FYTD,APR,Other,DC,FMUA,CANADA,Title 8,2
2020,FYTD,APR,Other,DC,Single Adults,BRAZIL,Title 8,2
2020,FYTD,APR,Other,DC,Single Adults,CANADA,Title 8,154
2020,FYTD,APR,Other,DC,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,11
2020,FYTD,APR,Other,DC,Single Adults,HONDURAS,Title 8,1
2020,FYTD,APR,Other,DC,Single Adults,INDIA,Title 8,3
2020,FYTD,APR,Other,DC,Single Adults,MEXICO,Title 8,3
2020,FYTD,APR,Other,DC,Single Adults,OTHER,Title 8,29
2020,FYTD,APR,Other,DC,Single Adults,PHILIPPINES,Title 8,3
2020,FYTD,APR,Other,DC,Single Adults,TURKEY,Title 8,1
