fiscal_year,month_grouping,month_abbv,component,land_border_region,area_of_responsibility,aor_abbv,demographic,citizenship,title_of_authority,encounter_type,encounter_count
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Boston Field Office,Boston,FMUA,BRAZIL,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Boston Field Office,Boston,FMUA,CANADA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Boston Field Office,Boston,Single Adults,CANADA,Title 42,Expulsions,2
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Boston Field Office,Boston,Single Adults,CANADA,Title 8,Inadmissibles,239
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Boston Field Office,Boston,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,Expulsions,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Boston Field Office,Boston,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,0
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Boston Field Office,Boston,Single Adults,OTHER,Title 42,Expulsions,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Boston Field Office,Boston,Single Adults,OTHER,Title 8,Inadmissibles,6
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Boston Field Office,Boston,Single Adults,PHILIPPINES,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Boston Field Office,Boston,Single Adults,RUSSIA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,FMUA,CANADA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,FMUA,OTHER,Title 8,Inadmissibles,18
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,CANADA,Title 8,Inadmissibles,52
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,COLOMBIA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,GUATEMALA,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,HAITI,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,INDIA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,MEXICO,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,OTHER,Title 8,Inadmissibles,23
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,RUSSIA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,UC / Single Minors,GUATEMALA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,BRAZIL,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,CANADA,Title 8,Inadmissibles,43
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,GUATEMALA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,INDIA,Title 42,Expulsions,2
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,INDIA,Title 8,Inadmissibles,5
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,OTHER,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Accompanied Minors,OTHER,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,FMUA,INDIA,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,CANADA,Title 8,Inadmissibles,33
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,CUBA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,EL SALVADOR,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,INDIA,Title 8,Inadmissibles,4
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,MEXICO,Title 8,Inadmissibles,4
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,OTHER,Title 42,Expulsions,1
2020,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,OTHER,Title 8,Inadmissibles,5
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,BRAZIL,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,108
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,HAITI,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,INDIA,Title 8,Inadmissibles,38
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,MEXICO,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,MYANMAR (BURMA),Title 8,Inadmissibles,37
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,OTHER,Title 8,Inadmissibles,144
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,PHILIPPINES,Title 8,Inadmissibles,523
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,ROMANIA,Title 8,Inadmissibles,17
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,RUSSIA,Title 8,Inadmissibles,32
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,TURKEY,Title 8,Inadmissibles,42
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,UKRAINE,Title 8,Inadmissibles,90
2020,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,VENEZUELA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,CANADA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,INDIA,Title 8,Inadmissibles,5
2020,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,MYANMAR (BURMA),Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,OTHER,Title 8,Inadmissibles,5
2020,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,PHILIPPINES,Title 8,Inadmissibles,45
2020,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,RUSSIA,Title 8,Inadmissibles,7
2020,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,TURKEY,Title 8,Inadmissibles,5
2020,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,UKRAINE,Title 8,Inadmissibles,16
2020,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,FMUA,BRAZIL,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,BRAZIL,Title 8,Inadmissibles,10
2020,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,INDIA,Title 8,Inadmissibles,11
2020,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,OTHER,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,PHILIPPINES,Title 8,Inadmissibles,12
2020,FYTD,APR,Office of Field Operations,Other,Buffalo Field Office,Buffalo,Single Adults,UKRAINE,Title 8,Inadmissibles,9
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,FMUA,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,4
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,FMUA,MEXICO,Title 8,Inadmissibles,7
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,CANADA,Title 8,Inadmissibles,22
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,INDIA,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,MEXICO,Title 8,Inadmissibles,19
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,MYANMAR (BURMA),Title 8,Inadmissibles,7
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,OTHER,Title 8,Inadmissibles,11
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,PHILIPPINES,Title 8,Inadmissibles,14
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,ROMANIA,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,RUSSIA,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,TURKEY,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,UKRAINE,Title 8,Inadmissibles,21
2020,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,UC / Single Minors,OTHER,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Detroit Field Office,Detroit,Single Adults,CANADA,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,Detroit Field Office,Detroit,Single Adults,CUBA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Detroit Field Office,Detroit,Single Adults,OTHER,Title 8,Inadmissibles,4
2020,FYTD,APR,Office of Field Operations,Other,Detroit Field Office,Detroit,Single Adults,PHILIPPINES,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,FMUA,MEXICO,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,BRAZIL,Title 8,Inadmissibles,14
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,CANADA,Title 8,Inadmissibles,19
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,281
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,COLOMBIA,Title 8,Inadmissibles,6
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,EL SALVADOR,Title 8,Inadmissibles,8
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,GUATEMALA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,HONDURAS,Title 8,Inadmissibles,19
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,INDIA,Title 8,Inadmissibles,1223
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,MEXICO,Title 8,Inadmissibles,36
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,MYANMAR (BURMA),Title 8,Inadmissibles,94
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,OTHER,Title 8,Inadmissibles,1023
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,PERU,Title 8,Inadmissibles,15
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,PHILIPPINES,Title 8,Inadmissibles,2775
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,ROMANIA,Title 8,Inadmissibles,71
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,RUSSIA,Title 8,Inadmissibles,397
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,TURKEY,Title 8,Inadmissibles,86
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,UKRAINE,Title 8,Inadmissibles,480
2020,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,VENEZUELA,Title 8,Inadmissibles,8
2020,FYTD,APR,Office of Field Operations,Other,Laredo Field Office,Laredo,Single Adults,MEXICO,Title 8,Inadmissibles,239
2020,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,CANADA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,11
2020,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,INDIA,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,MEXICO,Title 8,Inadmissibles,13
2020,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,OTHER,Title 8,Inadmissibles,17
2020,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,PHILIPPINES,Title 8,Inadmissibles,16
2020,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,RUSSIA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,UKRAINE,Title 8,Inadmissibles,5
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,BRAZIL,Title 8,Inadmissibles,5
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,CANADA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,COLOMBIA,Title 8,Inadmissibles,12
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,CUBA,Title 8,Inadmissibles,17
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,ECUADOR,Title 8,Inadmissibles,14
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,EL SALVADOR,Title 8,Inadmissibles,5
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,GUATEMALA,Title 8,Inadmissibles,12
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,HAITI,Title 8,Inadmissibles,6
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,HONDURAS,Title 8,Inadmissibles,52
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,INDIA,Title 8,Inadmissibles,19
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,MEXICO,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,NICARAGUA,Title 8,Inadmissibles,21
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,OTHER,Title 8,Inadmissibles,164
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,PERU,Title 8,Inadmissibles,10
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,PHILIPPINES,Title 8,Inadmissibles,288
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,ROMANIA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,RUSSIA,Title 8,Inadmissibles,9
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,UKRAINE,Title 8,Inadmissibles,63
