Genus,Species,Date,Locality
Ammodramus,nelsoni,1982-10-03,MP
Ammodramus,nelsoni,1984-05-21,CHI
Ammodramus,nelsoni,1984-05-25,MP
Ammodramus,nelsoni,1985-10-08,MP
Ammodramus,nelsoni,1986-09-10,MP
Ammodramus,nelsoni,1986-09-12,MP
Ammodramus,nelsoni,1986-09-12,MP
Ammodramus,nelsoni,1986-09-13,MP
Ammodramus,nelsoni,1986-09-25,MP
Ammodramus,nelsoni,1987-09-29,MP
Ammodramus,nelsoni,1987-09-29,MP
Ammodramus,nelsoni,1988-05-13,MP
Ammodramus,nelsoni,1988-05-26,MP
Ammodramus,nelsoni,1988-09-23,MP
Ammodramus,nelsoni,1989-05-20,MP
Ammodramus,nelsoni,1989-05-25,MP
Ammodramus,nelsoni,1989-05-31,MP
Ammodramus,nelsoni,1990-05-24,MP
Ammodramus,nelsoni,1990-09-20,MP
Ammodramus,nelsoni,1992-05-17,MP
Ammodramus,nelsoni,1992-05-17,MP
Ammodramus,nelsoni,1992-09-16,MP
Ammodramus,nelsoni,1992-09-27,MP
Ammodramus,nelsoni,1993-05-28,MP
Ammodramus,nelsoni,1993-09-24,MP
Ammodramus,nelsoni,1993-09-27,MP
Ammodramus,nelsoni,1994-09-26,MP
Ammodramus,nelsoni,1994-09-27,MP
Ammodramus,nelsoni,1994-10-22,MP
Ammodramus,nelsoni,1995-10-14,MP
Ammodramus,nelsoni,1996-05-19,MP
Ammodramus,nelsoni,1996-09-28,MP
Ammodramus,nelsoni,1996-10-18,MP
Ammodramus,nelsoni,1998-05-30,MP
Ammodramus,nelsoni,1998-09-29,MP
Ammodramus,nelsoni,1998-10-07,MP
Ammodramus,nelsoni,2000-05-14,MP
Ammodramus,nelsoni,2000-09-13,MP
Ammodramus,nelsoni,2000-09-21,MP
Ammodramus,nelsoni,2000-10-03,MP
Ammodramus,nelsoni,2000-10-11,MP
Ammodramus,nelsoni,2004-05-18,MP
Ammodramus,nelsoni,2004-10-02,MP
Ammodramus,nelsoni,2005-09-28,MP
Ammodramus,nelsoni,2006-09-20,MP
Ammodramus,nelsoni,2007-05-20,MP
Ammodramus,nelsoni,2009-10-04,MP
Ammodramus,nelsoni,2010-09-30,MP
Ammodramus,nelsoni,2012-09-18,MP
Ammodramus,nelsoni,2013-05-18,CHI
Ammodramus,nelsoni,2014-09-21,MP
Ammodramus,nelsoni,2014-10-04,MP
Ammodramus,nelsoni,2014-10-04,MP
Ammodramus,henslowii,1983-10-06,MP
Ammodramus,henslowii,1984-04-27,MP
Ammodramus,henslowii,1984-04-28,MP
Ammodramus,henslowii,1986-05-06,MP
Ammodramus,henslowii,1988-05-13,MP
Ammodramus,henslowii,2005-04-19,CHI
Ammodramus,henslowii,2010-05-11,CHI
Ammodramus,henslowii,2012-05-25,CHI
Ammodramus,henslowii,2015-04-29,CHI
Ammodramus,leconteii,1979-10-09,MP
Ammodramus,leconteii,1982-10-11,MP
Ammodramus,leconteii,1982-11-11,MP
Ammodramus,leconteii,1983-03-04,MP
Ammodramus,leconteii,1984-10-03,MP
Ammodramus,leconteii,1985-10-08,MP
Ammodramus,leconteii,1987-10-04,MP
Ammodramus,leconteii,1988-03-13,MP
Ammodramus,leconteii,1988-05-12,MP
Ammodramus,leconteii,1991-09-15,MP
Ammodramus,leconteii,1991-10-09,MP
Ammodramus,leconteii,1993-04-24,MP
Ammodramus,leconteii,1993-05-03,MP
Ammodramus,leconteii,1994-04-24,MP
Ammodramus,leconteii,1998-03-27,MP
Ammodramus,leconteii,2000-10-27,MP
Ammodramus,leconteii,2002-05-06,MP
Ammodramus,leconteii,2004-10-14,CHI
Ammodramus,leconteii,2005-09-14,CHI
Ammodramus,leconteii,2006-10-30,CHI
Ammodramus,leconteii,2011-10-11,MP
Ammodramus,leconteii,2012-09-29,CHI
Ammodramus,leconteii,2012-10-04,CHI
Ammodramus,leconteii,2012-10-15,MP
Ammodramus,leconteii,2014-05-09,MP
Ammodramus,nelsoni,2005-10-06,CHI
Ammodramus,nelsoni,2015-10-07,CHI
Passerculus,sandwichensis,1978-10-27,MP
Passerculus,sandwichensis,1979-10-23,MP
Passerculus,sandwichensis,1980-04-19,MP
Passerculus,sandwichensis,1981-09-23,MP
Passerculus,sandwichensis,1982-05-20,MP
Passerculus,sandwichensis,1982-09-18,MP
Passerculus,sandwichensis,1982-09-23,MP
Passerculus,sandwichensis,1982-09-28,MP
Passerculus,sandwichensis,1982-09-28,MP
Passerculus,sandwichensis,1982-10-02,MP
Passerculus,sandwichensis,1982-10-31,MP
Passerculus,sandwichensis,1982-10-31,MP
Passerculus,sandwichensis,1982-11-03,MP
Passerculus,sandwichensis,1983-04-14,MP
Passerculus,sandwichensis,1983-04-14,MP
Passerculus,sandwichensis,1983-04-15,MP
Passerculus,sandwichensis,1983-04-18,MP
Passerculus,sandwichensis,1983-05-02,MP
Passerculus,sandwichensis,1983-05-06,MP
Passerculus,sandwichensis,1983-05-07,MP
Passerculus,sandwichensis,1983-10-01,MP
Passerculus,sandwichensis,1984-03-15,MP
Passerculus,sandwichensis,1984-04-08,MP
Passerculus,sandwichensis,1984-05-18,MP
Passerculus,sandwichensis,1984-05-23,MP
Passerculus,sandwichensis,1984-05-25,MP
Passerculus,sandwichensis,1985-04-18,MP
Passerculus,sandwichensis,1985-04-19,MP
Passerculus,sandwichensis,1985-04-19,MP
Passerculus,sandwichensis,1985-04-20,MP
Passerculus,sandwichensis,1985-04-20,MP
Passerculus,sandwichensis,1985-04-22,MP
Passerculus,sandwichensis,1985-05-07,MP
Passerculus,sandwichensis,1985-09-27,MP
Passerculus,sandwichensis,1985-10-05,MP
Passerculus,sandwichensis,1985-10-05,MP
Passerculus,sandwichensis,1985-10-05,MP
Passerculus,sandwichensis,1985-10-05,MP
Passerculus,sandwichensis,1985-10-05,MP
Passerculus,sandwichensis,1985-10-05,MP
Passerculus,sandwichensis,1985-10-05,MP
Passerculus,sandwichensis,1985-10-06,MP
Passerculus,sandwichensis,1985-10-16,MP
Passerculus,sandwichensis,1985-10-25,MP
Passerculus,sandwichensis,1986-04-05,MP
Passerculus,sandwichensis,1986-04-19,MP
Passerculus,sandwichensis,1986-04-24,MP
Passerculus,sandwichensis,1986-04-26,MP
Passerculus,sandwichensis,1986-04-27,MP
Passerculus,sandwichensis,1986-04-30,MP
Passerculus,sandwichensis,1986-05-05,MP
Passerculus,sandwichensis,1986-05-05,MP
Passerculus,sandwichensis,1986-05-05,MP
Passerculus,sandwichensis,1986-05-05,MP
Passerculus,sandwichensis,1986-05-06,MP
Passerculus,sandwichensis,1986-05-06,MP
Passerculus,sandwichensis,1986-05-06,MP
Passerculus,sandwichensis,1986-05-06,MP
Passerculus,sandwichensis,1986-05-14,MP
Passerculus,sandwichensis,1986-05-16,MP
Passerculus,sandwichensis,1986-09-04,MP
Passerculus,sandwichensis,1986-10-21,MP
Passerculus,sandwichensis,1987-04-10,MP
Passerculus,sandwichensis,1987-04-29,MP
Passerculus,sandwichensis,1987-04-30,MP
Passerculus,sandwichensis,1987-05-09,MP
Passerculus,sandwichensis,1987-05-09,MP
Passerculus,sandwichensis,1987-05-29,MP
Passerculus,sandwichensis,1988-03-25,MP
Passerculus,sandwichensis,1988-05-09,MP
Passerculus,sandwichensis,1988-05-13,MP
Passerculus,sandwichensis,1988-05-13,MP
Passerculus,sandwichensis,1988-10-28,MP
Passerculus,sandwichensis,1989-04-14,MP
Passerculus,sandwichensis,1989-04-25,MP
Passerculus,sandwichensis,1989-05-05,MP
Passerculus,sandwichensis,1989-05-19,MP
Passerculus,sandwichensis,1989-10-14,MP
Passerculus,sandwichensis,1990-04-09,MP
Passerculus,sandwichensis,1990-04-24,MP
Passerculus,sandwichensis,1990-04-25,MP
Passerculus,sandwichensis,1990-05-07,MP
Passerculus,sandwichensis,1990-05-10,MP
Passerculus,sandwichensis,1990-05-16,MP
Passerculus,sandwichensis,1990-05-20,MP
Passerculus,sandwichensis,1990-09-26,MP
Passerculus,sandwichensis,1991-04-06,MP
Passerculus,sandwichensis,1991-05-06,MP
Passerculus,sandwichensis,1991-05-11,MP
Passerculus,sandwichensis,1991-09-15,MP
Passerculus,sandwichensis,1991-11-02,MP
Passerculus,sandwichensis,1991-11-02,MP
Passerculus,sandwichensis,1991-11-03,MP
Passerculus,sandwichensis,1991-11-14,MP
Passerculus,sandwichensis,1992-04-11,MP
Passerculus,sandwichensis,1992-04-11,MP
Passerculus,sandwichensis,1992-04-11,MP
Passerculus,sandwichensis,1992-04-11,MP
Passerculus,sandwichensis,1992-04-11,MP
Passerculus,sandwichensis,1992-04-11,MP
Passerculus,sandwichensis,1992-04-16,MP
Passerculus,sandwichensis,1992-04-29,MP
Passerculus,sandwichensis,1992-05-01,MP
Passerculus,sandwichensis,1992-05-01,MP
Passerculus,sandwichensis,1992-05-01,MP
Passerculus,sandwichensis,1992-05-01,MP
Passerculus,sandwichensis,1992-05-11,MP
Passerculus,sandwichensis,1992-05-13,MP
Passerculus,sandwichensis,1992-05-17,MP
Passerculus,sandwichensis,1992-05-17,MP
Passerculus,sandwichensis,1992-09-22,MP
Passerculus,sandwichensis,1992-09-24,MP
Passerculus,sandwichensis,1992-10-04,MP
Passerculus,sandwichensis,1992-10-04,MP
Passerculus,sandwichensis,1993-04-16,MP
Passerculus,sandwichensis,1993-04-21,MP
Passerculus,sandwichensis,1993-05-04,MP
Passerculus,sandwichensis,1993-05-15,MP
Passerculus,sandwichensis,1993-11-13,MP
Passerculus,sandwichensis,1994-04-14,MP
Passerculus,sandwichensis,1994-04-15,MP
Passerculus,sandwichensis,1994-04-25,MP
Passerculus,sandwichensis,1994-04-26,MP
Passerculus,sandwichensis,1994-04-28,MP
Passerculus,sandwichensis,1994-05-09,MP
Passerculus,sandwichensis,1994-09-18,MP
Passerculus,sandwichensis,1994-09-18,MP
Passerculus,sandwichensis,1994-09-19,MP
Passerculus,sandwichensis,1994-10-10,MP
Passerculus,sandwichensis,1994-10-19,MP
Passerculus,sandwichensis,1995-04-03,MP
Passerculus,sandwichensis,1995-05-06,MP
Passerculus,sandwichensis,1995-10-02,MP
Passerculus,sandwichensis,1995-10-05,MP
Passerculus,sandwichensis,1995-10-14,MP
Passerculus,sandwichensis,1995-10-15,MP
Passerculus,sandwichensis,1995-10-15,MP
Passerculus,sandwichensis,1995-10-20,MP
Passerculus,sandwichensis,1995-11-15,MP
Passerculus,sandwichensis,1996-04-18,MP
Passerculus,sandwichensis,1996-04-18,MP
Passerculus,sandwichensis,1996-04-18,MP
