event,host_city,year,host_country,event_url,section,artist,song,artist_url,image_url,artist_country,country_emoji,running_order,total_points,rank,rank_ordinal,qualified,winner
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Kalush Orchestra,Stefania,https://eurovision.tv/participant/kalush-orchestra-22,https://static.eurovision.tv/hb-cgi/images/963164d0-060d-4667-96b6-0b0cf1f797e6/avatar_small.jpg,Ukraine,:flag_ua:,6,337,1,1st,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,S10,De Diepte,https://eurovision.tv/participant/s10-22,https://static.eurovision.tv/hb-cgi/images/96316719-75b2-415a-a60d-1c2dbdbd7eee/avatar_small.jpg,Netherlands,:flag_nl:,8,221,2,2nd,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Amanda Georgiadi Tenfjord,Die Together,https://eurovision.tv/participant/amanda-georgiadi-tenfjord-22,https://static.eurovision.tv/hb-cgi/images/9633696f-e238-4d32-8c27-c99ee0cecb6c/avatar_small.jpg,Greece,:flag_gr:,15,211,3,3rd,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,MARO,"Saudade, Saudade",https://eurovision.tv/participant/maro-22,https://static.eurovision.tv/hb-cgi/images/96336bae-9891-466a-b723-a3281c80f61d/avatar_small.jpg,Portugal,:flag_pt:,10,208,4,4th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Intelligent Music Project,Intention,https://eurovision.tv/participant/intelligent-music-project-22,https://static.eurovision.tv/hb-cgi/images/963166b3-81d6-409e-8a0a-12c176e1156d/avatar_small.jpg,Bulgaria,:flag_bg:,7,29,16,16th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,LPS,Disko,https://eurovision.tv/participant/lps-22,https://static.eurovision.tv/hb-cgi/images/96316379-9142-4117-a56c-bffa8aaf1011/avatar_small.jpg,Slovenia,:flag_si:,5,15,17,17th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Rosa Linn,Snap,https://eurovision.tv/participant/rosa-linn-22,https://static.eurovision.tv/hb-cgi/images/96336d8d-6b40-42b1-b25f-f99eafffc244/avatar_small.jpg,Armenia,:flag_am:,17,187,5,5th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Subwoolfer,Give That Wolf A Banana,https://eurovision.tv/participant/subwoolfer-22,https://static.eurovision.tv/hb-cgi/images/96336df0-62dc-45a6-85ed-84ad27da5f3d/avatar_small.jpg,Norway,:flag_no:,16,177,6,6th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Monika Liu,Sentimentai,https://eurovision.tv/participant/monika-liu-22,https://static.eurovision.tv/hb-cgi/images/96301c95-81f1-444c-a503-b7dad4df419b/avatar_small.jpg,Lithuania,:flag_lt:,3,159,7,7th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Zdob şi Zdub & Advahov Brothers,Trenulețul,https://eurovision.tv/participant/zdob-si-zdub-and-fratii-advahov-22,https://static.eurovision.tv/hb-cgi/images/96318be3-1473-4ad6-8270-e18043886fd9/avatar_small.jpg,Moldova,:flag_md:,9,154,8,8th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Marius Bear,Boys Do Cry,https://eurovision.tv/participant/marius-bear-22,https://static.eurovision.tv/hb-cgi/images/96302a24-552a-4dfc-8e2d-16ff0209fe55/avatar_small.jpg,Switzerland,:flag_ch:,4,118,9,9th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Systur,Með Hækkandi Sól,https://eurovision.tv/participant/systur-22,https://static.eurovision.tv/hb-cgi/images/96336e44-88f3-497e-9cc7-fa57d3bbce04/avatar_small.jpg,Iceland,:flag_is:,14,103,10,10th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Mia Dimšić,Guilty Pleasure,https://eurovision.tv/participant/mia-dimsic-22,https://static.eurovision.tv/hb-cgi/images/96336c20-9c75-4d10-b4e7-c87177ebfb83/avatar_small.jpg,Croatia,:flag_hr:,11,75,11,11th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Ronela Hajati,Sekret,https://eurovision.tv/participant/ronela-hajati-22,https://static.eurovision.tv/hb-cgi/images/96302a8e-8933-4809-afef-36af63b2b0cf/avatar_small.jpg,Albania,:flag_al:,1,58,12,12th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,REDDI,The Show,https://eurovision.tv/participant/reddi-22,https://static.eurovision.tv/hb-cgi/images/96336cc4-49db-4fd4-8e10-be1813cad3a0/avatar_small.jpg,Denmark,:flag_dk:,12,55,13,13th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Citi Zēni,Eat Your Salad,https://eurovision.tv/participant/citi-zeni-22,https://static.eurovision.tv/hb-cgi/images/9630094b-c753-4222-a4c6-867f3b702834/avatar_small.jpg,Latvia,:flag_lv:,2,55,14,14th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,LUM!X feat. Pia Maria,Halo,https://eurovision.tv/participant/lumix-and-pia-maria-22,https://static.eurovision.tv/hb-cgi/images/96336a2d-876b-42f4-94c0-59b90100ed77/avatar_small.jpg,Austria,:flag_at:,13,42,15,15th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Cornelia Jakobs,Hold Me Closer,https://eurovision.tv/participant/cornelia-jakobs-22,https://static.eurovision.tv/hb-cgi/images/96379f67-88a7-4b95-8ed2-f862ca54f57b/avatar_small.jpg,Sweden,:flag_se:,17,396,1,1st,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Sheldon Riley,Not The Same,https://eurovision.tv/participant/sheldon-riley-22,https://static.eurovision.tv/hb-cgi/images/96361946-8d32-40d8-ada1-8164b06724c7/avatar_small.jpg,Australia,:flag_au:,8,243,2,2nd,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Konstrakta,In Corpore Sano,https://eurovision.tv/participant/konstrakta-22,https://static.eurovision.tv/hb-cgi/images/9636193b-e487-410e-8429-b36cbbf7ea5c/avatar_small.jpg,Serbia,:flag_rs:,3,237,3,3rd,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,We Are Domi,Lights Off,https://eurovision.tv/participant/we-are-domi-22,https://static.eurovision.tv/hb-cgi/images/963bae35-203e-4a2c-8d80-b54054831f2a/avatar_small.jpg,Czech Republic,:flag_cz:,18,227,4,4th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Stefan,Hope,https://eurovision.tv/participant/stefan-22,https://static.eurovision.tv/hb-cgi/images/96368f35-845d-4f6b-ac5f-73a4d41ff45d/avatar_small.jpg,Estonia,:flag_ee:,12,209,5,5th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,The Rasmus,Jezebel,https://eurovision.tv/participant/the-rasmus-22,https://static.eurovision.tv/hb-cgi/images/96361946-4dda-4369-ae2f-5132e71b49ee/avatar_small.jpg,Finland,:flag_fi:,1,162,7,7th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Jérémie Makiese,Miss You,https://eurovision.tv/participant/jeremie-makiese-22,https://static.eurovision.tv/hb-cgi/images/96379fd9-2682-4b95-a4e2-babc5cfb9f27/avatar_small.jpg,Belgium,:flag_be:,16,151,8,8th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Nadir Rustamli,Fade To Black,https://eurovision.tv/participant/nadir-rustamli-22,https://static.eurovision.tv/hb-cgi/images/96361940-3ccb-4df9-87b7-c50d561cc2f4/avatar_small.jpg,Azerbaijan,:flag_az:,4,96,10,10th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Andromache,Ela,https://eurovision.tv/participant/andromache-22,https://static.eurovision.tv/hb-cgi/images/96361932-40ed-47c5-a2a4-2d16be17ae00/avatar_small.jpg,Cyprus,:flag_cy:,9,63,12,12th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Achille Lauro,Stripper,https://eurovision.tv/participant/achille-lauro-22,https://static.eurovision.tv/hb-cgi/images/96361931-f7ea-40a6-a4bc-6d6c5cc38362/avatar_small.jpg,San Marino,:flag_sm:,7,50,14,14th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Emma Muscat,I Am What I Am,https://eurovision.tv/participant/emma-muscat-22,https://static.eurovision.tv/hb-cgi/images/96344bb2-8489-4e15-9bc4-2f7c72226458/avatar_small.jpg,Malta,:flag_mt:,6,47,16,16th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Ochman,River,https://eurovision.tv/participant/ochman-22,https://static.eurovision.tv/hb-cgi/images/9637a08e-e943-40d2-a45d-e877479c04fb/avatar_small.jpg,Poland,:flag_pl:,14,198,6,6th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,WRS,Llámame,https://eurovision.tv/participant/wrs-22,https://static.eurovision.tv/hb-cgi/images/9637a233-132f-4113-8a99-9ee3d67fb00e/avatar_small.jpg,Romania,:flag_ro:,13,118,9,9th,TRUE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Andrea,Circles,https://eurovision.tv/participant/andrea-22,https://static.eurovision.tv/hb-cgi/images/96379e15-d316-4eae-9b30-a0799d4cf9c0/avatar_small.jpg,North Macedonia,:flag_mk:,11,76,11,11th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Michael Ben David,I.M,https://eurovision.tv/participant/michael-ben-david-22,https://static.eurovision.tv/hb-cgi/images/9636193b-b299-4926-b648-8a4efec1c701/avatar_small.jpg,Israel,:flag_il:,2,61,13,13th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Brooke,That's Rich,https://eurovision.tv/participant/brooke-22,https://static.eurovision.tv/hb-cgi/images/96379f4d-87a8-40ba-8ae8-e39e90188c1e/avatar_small.jpg,Ireland,:flag_ie:,10,47,15,15th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Vladana,Breathe,https://eurovision.tv/participant/vladana-22,https://static.eurovision.tv/hb-cgi/images/9637a1bb-a825-4630-b38b-a96b726b6388/avatar_small.jpg,Montenegro,:flag_me:,15,33,17,17th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,second-semi-final,Circus Mircus,Lock Me In,https://eurovision.tv/participant/circus-mircus-22,https://static.eurovision.tv/hb-cgi/images/96361937-a94b-457b-8098-1e491eea2f70/avatar_small.jpg,Georgia,:flag_ge:,5,22,18,18th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,grand-final,Sam Ryder,SPACE MAN,https://eurovision.tv/participant/sam-ryder-22,https://static.eurovision.tv/hb-cgi/images/963abba4-d438-44ce-ad0a-fb7e1df7a8f0/avatar_small.jpg,United Kingdom,:flag_gb:,22,466,2,2nd,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,grand-final,Chanel,SloMo,https://eurovision.tv/participant/chanel-22,https://static.eurovision.tv/hb-cgi/images/963abbda-763a-4a54-9934-cc0f64a0e1d8/avatar_small.jpg,Spain,:flag_es:,10,459,3,3rd,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,grand-final,Mahmood & BLANCO,Brividi,https://eurovision.tv/participant/mahmood-and-blanco-22,https://static.eurovision.tv/hb-cgi/images/963ac376-cad3-467f-b087-67e4e769a831/avatar_small.jpg,Italy,:flag_it:,9,268,6,6th,FALSE,FALSE
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,grand-final,Alvan & Ahez,Fulenn,https://eurovision.tv/participant/alvan-and-ahez-22,https://static.eurovision.tv/hb-cgi/images/963abac7-003c-4e5d-be90-4719ec733e87/avatar_small.jpg,France,:flag_fr:,6,17,24,24th,FALSE,FALSE
