Entity,Code,Year,Total population (Gapminder),Continent,"GDP per capita, PPP (constant 2011 international $)",Mobile cellular subscriptions (per 100 people)
Abkhazia,OWID_ABK,2015,,Asia,,
Afghanistan,AFG,1800,3280000,,,
Afghanistan,AFG,1820,3280000,,,
Afghanistan,AFG,1870,4207000,,,
Afghanistan,AFG,1913,5730000,,,
Afghanistan,AFG,1950,8151455,,,
Afghanistan,AFG,1951,8276820,,,
Afghanistan,AFG,1952,8407148,,,
Afghanistan,AFG,1953,8542906,,,
Afghanistan,AFG,1954,8684494,,,
Afghanistan,AFG,1955,8832253,,,
Afghanistan,AFG,1956,8986449,,,
Afghanistan,AFG,1957,9147286,,,
Afghanistan,AFG,1958,9314915,,,
Afghanistan,AFG,1959,9489453,,,
Afghanistan,AFG,1960,9671046,,,0
Afghanistan,AFG,1961,9859928,,,
Afghanistan,AFG,1962,10056480,,,
Afghanistan,AFG,1963,10261254,,,
Afghanistan,AFG,1964,10474903,,,
Afghanistan,AFG,1965,10697983,,,0
Afghanistan,AFG,1966,10927724,,,
Afghanistan,AFG,1967,11163656,,,
Afghanistan,AFG,1968,11411022,,,
Afghanistan,AFG,1969,11676990,,,
Afghanistan,AFG,1970,11964906,,,0
Afghanistan,AFG,1971,12273101,,,
Afghanistan,AFG,1972,12593688,,,
Afghanistan,AFG,1973,12915499,,,
Afghanistan,AFG,1974,13223928,,,
Afghanistan,AFG,1975,13505544,,,0
Afghanistan,AFG,1976,13766792,,,0
Afghanistan,AFG,1977,14003408,,,0
Afghanistan,AFG,1978,14179656,,,0
Afghanistan,AFG,1979,14249493,,,0
Afghanistan,AFG,1980,14185729,,,0
Afghanistan,AFG,1981,13984092,,,0
Afghanistan,AFG,1982,13672870,,,0
Afghanistan,AFG,1983,13300056,,,0
Afghanistan,AFG,1984,12931791,,,0
Afghanistan,AFG,1985,12625292,,,0
Afghanistan,AFG,1986,12372113,,,0
Afghanistan,AFG,1987,12183387,,,0
Afghanistan,AFG,1988,12156685,,,0
Afghanistan,AFG,1989,12414686,,,0
Afghanistan,AFG,1990,13032161,,,0
Afghanistan,AFG,1991,14069854,,,0
Afghanistan,AFG,1992,15472076,,,0
Afghanistan,AFG,1993,17053213,,,0
Afghanistan,AFG,1994,18553819,,,0
Afghanistan,AFG,1995,19789880,,,0
Afghanistan,AFG,1996,20684982,,,0
Afghanistan,AFG,1997,21299350,,,0
Afghanistan,AFG,1998,21752257,,,0
Afghanistan,AFG,1999,22227543,,,0
Afghanistan,AFG,2000,22856302,,,0
Afghanistan,AFG,2001,23677385,,,0
Afghanistan,AFG,2002,24639841,,1063.63557365313,0.113740161874088
Afghanistan,AFG,2003,25678639,,1099.19450675044,0.867120277516642
Afghanistan,AFG,2004,26693486,,1062.24936045108,2.48766749206092
Afghanistan,AFG,2005,27614718,,1136.12321410151,4.78644517019363
Afghanistan,AFG,2006,28420974,,1161.12488912197,9.73360444436721
Afghanistan,AFG,2007,29145841,,1284.77521302624,17.5381616236848
Afghanistan,AFG,2008,29839994,,1298.14315888036,28.9400601911825
Afghanistan,AFG,2009,30577756,,1531.17399271735,37.4942004506374
Afghanistan,AFG,2010,31411743,,1614.25500126115,35.4677664438775
