region,division,year,total,white,black,black_free,black_slaves
USA Total,NA,1870,38558371,33589377,4880009,4880009,0
USA Total,NA,1860,31443321,26922537,4441830,488070,3953760
USA Total,NA,1850,23191876,19553068,3638808,434495,3204313
USA Total,NA,1840,17063353,14189705,2873648,386293,2487355
USA Total,NA,1830,12860702,10532060,2328642,619599,1709043
USA Total,NA,1820,9638453,7866797,1771656,233634,1538022
USA Total,NA,1810,7239881,5862073,1377808,186446,1191362
USA Total,NA,1800,5308483,4306446,1002037,108435,893602
USA Total,NA,1790,3929214,3172006,757208,59527,697681
Northeast,NA,1870,12298730,12117269,179738,179738,0
Northeast,NA,1860,10594268,10438028,156001,155983,18
Northeast,NA,1850,8626851,8477089,149762,149526,236
Northeast,NA,1840,6761082,6618758,142324,141559,765
Northeast,NA,1830,5542381,5417167,125214,122434,2780
Northeast,NA,1820,4359916,4249192,110724,92723,18001
Northeast,NA,1810,3486675,3384438,102237,75156,27081
Northeast,NA,1800,2635576,2552510,83066,46696,36370
Northeast,NA,1790,1968040,1900616,67424,27070,40354
Midwest,NA,1870,12981111,12698503,273080,273080,0
Midwest,NA,1860,9096716,8899969,184239,69291,114948
Midwest,NA,1850,5403595,5267988,135607,48185,87422
Midwest,NA,1840,3351542,3262195,89347,30743,58604
Midwest,NA,1830,1610473,1568930,41543,15664,25879
Midwest,NA,1820,859305,841045,18260,6931,11329
Midwest,NA,1810,292107,285173,6934,3630,3304
Midwest,NA,1800,51006,50371,635,500,135
South,NA,1870,12288020,7863209,4420811,4420811,0
South,NA,1860,11133361,7033973,4097111,258346,3838765
South,NA,1850,8982612,5630414,3352198,235569,3116629
South,NA,1840,6950729,4308752,2641977,213991,2427986
South,NA,1830,5707848,3545963,2161885,181501,1980384
South,NA,1820,4419232,2776560,1642672,133980,1508692
South,NA,1810,3461099,2192462,1268637,107660,1160977
South,NA,1800,2621901,1703565,918336,61239,857097
South,NA,1790,1961174,1271390,689784,32457,657327
West,NA,1870,990510,910396,6380,6380,0
West,NA,1860,618976,550567,4479,4450,29
West,NA,1850,178818,177577,1241,1215,26
Northeast,New England,1870,3487924,3455043,31705,31705,0
Northeast,New England,1860,3135283,3110480,24711,24711,0
Northeast,New England,1850,2728116,2705095,23021,23021,0
Northeast,New England,1840,2234822,2212165,22657,22634,23
Northeast,New England,1830,1954717,1933338,21379,21331,48
Northeast,New England,1820,1660071,1639144,20927,20782,145
Northeast,New England,1810,1471973,1452067,19906,19488,418
Northeast,New England,1800,1233011,1214359,18652,17313,1339
Northeast,New England,1790,1009408,992421,16987,13117,3870
Northeast,Middle Atlantic,1870,8810806,8662226,148033,148033,0
Northeast,Middle Atlantic,1860,7458985,7327548,131290,131272,18
Northeast,Middle Atlantic,1850,5898735,5771994,126741,126505,236
Northeast,Middle Atlantic,1840,4526260,4406593,119667,118925,742
Northeast,Middle Atlantic,1830,3587664,3483829,103835,101103,2732
Northeast,Middle Atlantic,1820,2699845,2610048,89797,71941,17856
Northeast,Middle Atlantic,1810,2014702,1932371,82331,55668,26663
Northeast,Middle Atlantic,1800,1402565,1338151,64414,29383,35031
Northeast,Middle Atlantic,1790,958632,908195,50437,13953,36484
Midwest,East North Central,1870,9124517,8987512,130497,130497,0
Midwest,East North Central,1860,6926884,6855644,63699,63699,0
Midwest,East North Central,1850,4523260,4478065,45195,45195,0
Midwest,East North Central,1840,2924728,2895383,29345,28997,348
Midwest,East North Central,1830,1470018,1454135,15883,15095,788
Midwest,East North Central,1820,792719,785028,7691,6584,1107
Midwest,East North Central,1810,272324,268870,3454,3025,429
Midwest,East North Central,1800,51006,50371,635,500,135
Midwest,West North Central,1870,3856594,3710991,142583,142583,0
Midwest,West North Central,1860,2169832,2044325,120540,5592,114948
Midwest,West North Central,1850,880335,789923,90412,2990,87422
Midwest,West North Central,1840,426814,366812,60002,1746,58256
Midwest,West North Central,1830,140455,114795,25660,569,25091
Midwest,West North Central,1820,66586,56017,10569,347,10222
Midwest,West North Central,1810,19783,16303,3480,605,2875
South,South Atlantic,1870,5853610,3635238,2216705,2216705,0
South,South Atlantic,1860,5364703,3305107,2058198,217753,1840445
South,South Atlantic,1850,4679090,2818219,1860871,197474,1663397
South,South Atlantic,1840,3925299,2327982,1597317,171778,1425539
South,South Atlantic,1830,3645752,2116469,1529283,153087,1376196
South,South Atlantic,1820,3061063,1787664,1273399,116920,1156479
South,South Atlantic,1810,2674891,1594091,1080800,96803,983997
South,South Atlantic,1800,2286494,1426804,859690,60009,799681
South,South Atlantic,1790,1851806,1178344,673462,31982,641480
South,East South Central,1870,4404445,2939091,1464252,1464252,0
South,East South Central,1860,4020991,2626376,1394360,21447,1372913
South,East South Central,1850,3363271,2240481,1122790,19628,1103162
South,East South Central,1840,2575445,1745139,830306,16246,814060
South,East South Central,1830,1815969,1314382,501587,11563,490024
South,East South Central,1820,1190489,902432,288057,6525,281532
South,East South Central,1810,708590,563136,145454,3270,142184
South,East South Central,1800,335407,276761,58646,1230,57416
South,East South Central,1790,109368,93046,16322,475,15847
South,West South Central,1870,2029965,1288880,739854,739854,0
