year_ended_june,measure,value,value_unit,value_label
1935,Total Area of Farms,17443800,number,Hectares
1935,Breeding Ewes 2 Tooth and Over put to Ram,17812400,number,Number of sheep
1935,Total Sheep,29077000,number,Number of sheep
1935,Total Lambs Marked and/or Tailed,15689000,number,Number of sheep
1935,Wheat (area sown),91212,number,Hectares
1935,Wheat (yield),161475,number,Tonnes
1935,Oats (yield),34293,number,Tonnes
1935,Barley (yield),10993,number,Tonnes
1935,Maize (yield),9480,number,Tonnes
1936,Total Area of Farms,17515700,number,Hectares
1936,Breeding Ewes 2 Tooth and Over put to Ram,18669000,number,Number of sheep
1936,Total Sheep,30114000,number,Number of sheep
1936,Total Lambs Marked and/or Tailed,15697000,number,Number of sheep
1936,Wheat (area sown),100621,number,Hectares
1936,Wheat (yield),241107,number,Tonnes
1936,Oats (yield),59921,number,Tonnes
1936,Barley (yield),16905,number,Tonnes
1936,Maize (yield),8159,number,Tonnes
1937,Total Area of Farms,17482400,number,Hectares
1937,Breeding Ewes 2 Tooth and Over put to Ram,19332000,number,Number of sheep
1937,Total Sheep,31306000,number,Number of sheep
1937,Total Lambs Marked and/or Tailed,16866000,number,Number of sheep
1937,Wheat (area sown),89755,number,Hectares
1937,Wheat (yield),195108,number,Tonnes
1937,Oats (yield),63964,number,Tonnes
1937,Barley (yield),16939,number,Tonnes
1937,Maize (yield),7671,number,Tonnes
1938,Total Area of Farms,17466500,number,Hectares
1938,Breeding Ewes 2 Tooth and Over put to Ram,19663900,number,Number of sheep
1938,Total Sheep,32379000,number,Number of sheep
1938,Total Lambs Marked and/or Tailed,17340000,number,Number of sheep
1938,Wheat (area sown),75251,number,Hectares
1938,Wheat (yield),164463,number,Tonnes
1938,Oats (yield),47916,number,Tonnes
1938,Barley (yield),24630,number,Tonnes
1938,Maize (yield),7509,number,Tonnes
1939,Total Area of Farms,17361600,number,Hectares
1939,Breeding Ewes 2 Tooth and Over put to Ram,19960300,number,Number of sheep
1939,Total Sheep,31897000,number,Number of sheep
1939,Total Lambs Marked and/or Tailed,16949000,number,Number of sheep
1939,Wheat (area sown),76599,number,Hectares
1939,Wheat (yield),151430,number,Tonnes
1939,Oats (yield),47261,number,Tonnes
1939,Barley (yield),24421,number,Tonnes
1939,Maize (yield),6833,number,Tonnes
1940,Number of Farm Holdings,86304,number,Number of farm holdings
1940,Total Area of Farms,17372300,number,Hectares
1940,Breeding Ewes 2 Tooth and Over put to Ram,19727700,number,Number of sheep
1940,Total Sheep,31063000,number,Number of sheep
1940,Total Lambs Marked and/or Tailed,17230000,number,Number of sheep
1940,Wheat (area sown),104219,number,Hectares
1940,Wheat (yield),217999,number,Tonnes
1940,Oats (yield),37759,number,Tonnes
1940,Barley (yield),20770,number,Tonnes
1940,Maize (yield),10267,number,Tonnes
1941,Number of Farm Holdings,86373,number,Number of farm holdings
1941,Total Area of Farms,17356300,number,Hectares
1941,Breeding Ewes 2 Tooth and Over put to Ram,20030000,number,Number of sheep
1941,Total Sheep,31752000,number,Number of sheep
1941,Total Lambs Marked and/or Tailed,18386000,number,Number of sheep
1941,Wheat (area sown),98418,number,Hectares
1941,Wheat (yield),226049,number,Tonnes
1941,Oats (yield),56516,number,Tonnes
1941,Barley (yield),24186,number,Tonnes
1941,Maize (yield),13046,number,Tonnes
1942,Number of Farm Holdings,85998,number,Number of farm holdings
1942,Total Area of Farms,17400400,number,Hectares
1942,Total Sheep,29256000,number,Number of sheep
1942,Total Lambs Marked and/or Tailed,18523000,number,Number of sheep
1942,Wheat (area sown),104410,number,Hectares
1942,Wheat (yield),235991,number,Tonnes
1942,Oats (yield),62501,number,Tonnes
1942,Barley (yield),29406,number,Tonnes
1942,Maize (yield),11283,number,Tonnes
1943,Number of Farm Holdings,86051,number,Number of farm holdings
1943,Total Area of Farms,17384700,number,Hectares
1943,Total Sheep,29636000,number,Number of sheep
1943,Total Lambs Marked and/or Tailed,18865000,number,Number of sheep
1943,Wheat (area sown),116144,number,Hectares
1943,Wheat (yield),267237,number,Tonnes
1943,Oats (yield),50962,number,Tonnes
1943,Barley (yield),23986,number,Tonnes
1943,Maize (yield),9421,number,Tonnes
1944,Number of Farm Holdings,86137,number,Number of farm holdings
1944,Total Area of Farms,17392700,number,Hectares
1944,Breeding Ewes 2 Tooth and Over put to Ram,20549700,number,Number of sheep
1944,Total Sheep,33200000,number,Number of sheep
1944,Total Lambs Marked and/or Tailed,18422000,number,Number of sheep
