season,episode,title,directed_by,written_by,air_date,us_views_millions,imdb_rating
1,1,The Pilot,James Burrows,David Crane & Marta Kauffman,1994-09-22,21.5,8.3
1,2,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,1994-09-29,20.2,8.1
1,3,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-10-06,19.5,8.2
1,4,The One with George Stephanopoulos,James Burrows,Alexa Junge,1994-10-13,19.7,8.1
1,5,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,1994-10-20,18.6,8.5
1,6,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,1994-10-27,18.2,8.1
1,7,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-11-03,23.5,9
1,8,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,1994-11-10,21.1,8.1
1,9,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,1994-11-17,23.1,8.2
1,10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,1994-12-15,19.9,8.1
1,11,The One with Mrs. Bing,James Burrows,Alexa Junge,1995-01-05,26.6,8.2
1,12,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,1995-01-12,24,8.2
1,13,The One with the Boobies,Alan Myerson,Alexa Junge,1995-01-19,25.8,8.7
1,14,The One with the Candy Hearts,James Burrows,Bill Lawrence,1995-02-09,23.8,8.3
1,15,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,1995-02-16,24.8,8.2
1,16,The One with Two Parts: Part 1,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,26.1,8.2
1,17,The One with Two Parts: Part 2,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,30.5,8.5
1,18,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,1995-03-02,30.4,8.8
1,19,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,1995-03-09,29.4,8.1
1,20,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,1995-04-06,30,7.9
1,21,The One with the Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,1995-04-27,28.4,7.9
1,22,The One with the Ick Factor,Robby Benson,Alexa Junge,1995-05-04,29.9,8.3
1,23,The One with the Birth,James Burrows,Story by : David Crane & Marta KauffmanTeleplay by : Jeff Greenstein & Jeff Strauss,1995-05-11,28.7,8.7
1,24,The One Where Rachel Finds Out,Kevin S. Bright,Chris Brown,1995-05-18,31.3,8.9
2,1,The One with Ross's New Girlfriend,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,1995-09-21,32.1,8.5
2,2,The One with the Breast Milk,Michael Lembeck,Adam Chase & Ira Ungerleider,1995-09-28,29.8,8.2
2,3,The One Where Heckles Dies,Kevin S. Bright,Michael Curtis & Gregory S. Malins,1995-10-05,30.2,8.4
2,4,The One with Phoebe's Husband,Gail Mancuso,Alexa Junge,1995-10-12,28.1,8
2,5,The One with Five Steaks and an Eggplant,Ellen Gittelsohn,Chris Brown,1995-10-19,28.3,8.3
2,6,The One with the Baby on the Bus,Gail Mancuso,Betsy Borns,1995-11-02,30.2,8.6
2,7,The One Where Ross Finds Out,Peter Bonerz,Michael Borkow,1995-11-09,30.5,9
2,8,The One with the List,Mary Kay Place,David Crane & Marta Kauffman,1995-11-16,32.9,8.5
2,9,The One with Phoebe's Dad,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,1995-12-14,27.8,8
2,10,The One with Russ,Thomas Schlamme,Ira Ungerleider,1996-01-04,32.2,8
2,11,The One with the Lesbian Wedding,Thomas Schlamme,Doty Abrams,1996-01-18,31.6,8.1
2,12,The One After the Superbowl,Michael Lembeck,Jeffrey Astrof & Mike SikowitzMichael Borkow,1996-01-28,52.9,8.6
2,13,The One After the Superbowl,Michael Lembeck,Jeffrey Astrof & Mike SikowitzMichael Borkow,1996-01-28,52.9,8.8
2,14,The One with the Prom Video,James Burrows,Alexa Junge,1996-02-01,33.6,9.4
2,15,The One Where Ross and Rachel...You Know,Michael Lembeck,Michael Curtis & Gregory S. Malins,1996-02-08,32.9,8.9
2,16,The One Where Joey Moves Out,Michael Lembeck,Betsy Borns,1996-02-15,31.1,8.6
2,17,The One Where Eddie Moves In,Michael Lembeck,Adam Chase,1996-02-22,30.2,8.3
2,18,The One Where Dr. Ramoray Dies,Michael Lembeck,Story by : Alexa JungeTeleplay by : Michael Borkow,1996-03-21,30.1,8.5
2,19,The One Where Eddie Won't Go,Michael Lembeck,Michael Curtis & Gregory S. Malins,1996-03-28,31.2,8.6
2,20,The One Where Old Yeller Dies,Michael Lembeck,Story by : Michael Curtis & Gregory S. MalinsTeleplay by : Adam Chase,1996-04-04,27.4,8.2
2,21,The One with the Bullies,Michael Lembeck,Brian Buckner & Sebastian Jones,1996-04-25,24.7,8.2
2,22,The One with the Two Parties,Michael Lembeck,Alexa Junge,1996-05-02,25.5,9
2,23,The One with the Chicken Pox,Michael Lembeck,Brown Mandell,1996-05-09,26.1,8.1
2,24,The One with Barry and Mindy's Wedding,Michael Lembeck,Story by : Ira UngerleiderTeleplay by : Brown Mandell,1996-05-16,29,8.2
3,1,The One with the Princess Leia Fantasy,Gail Mancuso,Michael Curtis & Gregory S. Malins,1996-09-19,26.8,8.4
3,2,The One Where No One's Ready,Gail Mancuso,Ira Ungerleider,1996-09-26,26.7,9
3,3,The One with the Jam,Kevin S. Bright,Wil Calhoun,1996-10-03,25.2,8.1
3,4,The One with the Metaphorical Tunnel,Steve Zuckerman,Alexa Junge,1996-10-10,26.1,8.1
3,5,The One with Frank Jr.,Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,1996-10-17,23.3,8.1
3,6,The One with the Flashback,Peter Bonerz,David Crane & Marta Kauffman,1996-10-31,23.3,9.1
3,7,The One with the Race Car Bed,Gail Mancuso,Seth Kurland,1996-11-07,27.4,8.3
3,8,The One with the Giant Poking Device,Gail Mancuso,Adam Chase,1996-11-14,28.7,8.4
3,9,The One with the Football,Kevin S. Bright,Ira Ungerleider,1996-11-21,29.3,9
3,10,The One Where Rachel Quits,Terry Hughes,Gregory S. Malins & Michael Curtis,1996-12-12,25.1,8.1
3,11,The One Where Chandler Can't Remember Which Sister,Terry Hughes,Alexa Junge,1997-01-09,29.8,8.6
3,12,The One with All the Jealousy,Robby Benson,Doty Abrams,1997-01-16,29.6,8.2
3,13,The One Where Monica and Richard Are Just Friends,Robby Benson,Michael Borkow,1997-01-30,28,8.2
3,14,The One with Phoebe's Ex-Partner,Robby Benson,Wil Calhoun,1997-02-06,28.9,7.9
3,15,The One Where Ross and Rachel Take a Break,James Burrows,Michael Borkow,1997-02-13,27.3,8.6
3,16,The One with the Morning After,James Burrows,David Crane & Marta Kauffman,1997-02-20,28.3,9.1
3,17,The One Without the Ski Trip,Sam Simon,Shana Goldberg-Meehan & Scott Silveri,1997-03-06,25.8,8.3
3,18,The One with the Hypnosis Tape,Robby Benson,Seth Kurland,1997-03-13,28.1,8.4
3,19,The One with the Tiny T-Shirt,Terry Hughes,Adam Chase,1997-03-27,23.7,8.2
3,20,The One with the Dollhouse,Terry Hughes,Wil Calhoun,1997-04-10,24.4,8.1
3,21,The One with a Chick and a Duck,Michael Lembeck,Chris Brown,1997-04-17,23.2,8.7
3,22,The One with the Screamer,Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,1997-04-24,22.6,8.3
3,23,The One with Ross's Thing,Shelley Jensen,Ted Cohen & Andrew Reich,1997-05-01,24.2,8.1
3,24,The One with the Ultimate Fighting Champion,Robby Benson,Story by : Pang-Ni Landrum & Mark KunerthTeleplay by : Shana Goldberg-Meehan & Scott Silveri,1997-05-08,23.1,8.1
3,25,The One at the Beach,Pamela Fryman,Story by : Pang-Ni Landrum & Mark KunerthTeleplay by : Adam Chase,1997-05-15,28.8,8.8
4,1,The One with the Jellyfish,Shelley Jensen,Wil Calhoun,1997-09-25,29.4,9.1
4,2,The One with the Cat,Shelley Jensen,"Jill Condon
& Amy Toomin",1997-10-02,25.5,8.1
4,3,The One with the Cuffs,Peter Bonerz,Seth Kurland,1997-10-09,24,8.5
4,4,The One with the Ballroom Dancing,Gail Mancuso,Ted Cohen & Andrew Reich,1997-10-16,24.3,8.2
4,5,The One with Joey's New Girlfriend,Gail Mancuso,Gregory S. Malins & Michael Curtis,1997-10-30,24.4,8.4
4,6,The One with the Dirty Girl,Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,1997-11-06,25.7,8.5
4,7,The One Where Chandler Crosses the Line,Kevin S. Bright,Adam Chase,1997-11-13,26.4,8.7
4,8,The One with Chandler in a Box,Peter Bonerz,Michael Borkow,1997-11-20,26.8,9.1
4,9,The One Where They're Going to Party!,Peter Bonerz,Ted Cohen & Andrew Reich,1997-12-11,23.9,7.9
4,10,The One with the Girl from Poughkeepsie,Gary Halvorson,Scott Silveri,1997-12-18,23.2,8.1
4,11,The One with Phoebe's Uterus,David Steinberg,Seth Kurland,1998-01-08,23.7,8.5
4,12,The One with the Embryos,Kevin S. Bright,Jill Condon & Amy Toomin,1998-01-15,27.1,9.5
4,13,The One with Rachel's Crush,Dana DeVally Piazza,Shana Goldberg-Meehan,1998-01-29,25.3,8.2
4,14,The One with Joey's Dirty Day,Peter Bonerz,Wil Calhoun,1998-02-05,25.1,8.2
4,15,The One with All the Rugby,James Burrows,Story by : Ted Cohen & Andrew ReichTeleplay by : Wil Calhoun,1998-02-26,24.4,8.5
4,16,The One with the Fake Party,Michael Lembeck,Story by : Alicia Sky VarinaitisTeleplay by : Scott Silveri & Shana Goldberg-Meehan,1998-03-19,23.1,8.2
4,17,The One with the Free Porn,Michael Lembeck,Story by : Mark KunerthTeleplay by : Richard Goodman,1998-03-26,23.2,8.6
