name,birth,death,occupation_s,inventions_accomplishments,references,links
"Amos, Harold",1918,2003,Microbiologist,First African-American department chair at Harvard Medical School,"6,",https://en.wikipedia.org/wiki/Harold_Amos
"Alcorn, George Edward, Jr.",1940,NA,Physicist; inventor,Invented a method of fabricating an imaging X-ray spectrometer,"7,8,","https://en.wikipedia.org/wiki/George_Edward_Alcorn,_Jr."
"Andrews, James J.",1930,1998,Mathematician,"Put forth the Andrews–Curtis conjecture in group theory with Morton L. Curtis, still unsolved","9,",https://en.wikipedia.org/wiki/James_J._Andrews_(mathematician)
"Alexander, Archie",1888,1958,Civil engineer,"Responsible for the construction of many roads and bridges, including the Whitehurst Freeway, the Tidal Basin Bridge, and an extension to the Baltimore-Washington Parkway.",NA,https://en.wikipedia.org/wiki/Archie_Alexander
"Bailey, Leonard C.",1825,1918,Inventor,Folding bed,"10,",https://en.wikipedia.org/wiki/Leonard_C._Bailey
"Ball, Alice Augusta",1892,1916,Chemist,Extracted chaulmoogra oil for the treatment of Hansen's disease (leprosy),"11,",https://en.wikipedia.org/wiki/Alice_Augusta_Ball
"Banneker, Benjamin",1731,1806,Almanac author; surveyor; farmer,Constructed wooden clock; astronomer; mathematician; assisted in the survey of the original boundaries of the District of Columbia; authored a series of almanacs and ephemerides; naturalist: recorded observations on emergences of periodical cicadas and on the behavior of honey bees.,"12,",https://en.wikipedia.org/wiki/Benjamin_Banneker
"Banyaga, Augustin",1947,NA,Mathematician,Work on diffeomorphisms and symplectomorphisms,"13,",https://en.wikipedia.org/wiki/Augustin_Banyaga
"Bashen, Janet",1957,NA,Inventor; entrepreneur; professional consultant,"First African-American woman to receive a patent for a web-based software invention, LinkLine, an Equal Employment Opportunity case management and tracking software","14,",https://en.wikipedia.org/wiki/Janet_Emerson_Bashen
"Bath, Patricia",1942,2019,Ophthalmologist,"First African-American female physician to receive a patent for a medical invention; inventions relate to cataract surgery and include the Laserphaco Probe, which revolutionized the industry in the 1980s, and an ultrasound technique for treatment","15,16,17,",https://en.wikipedia.org/wiki/Patricia_Bath
"Beard, Andrew",1849,1921,Farmer; carpenter; blacksmith; railroad worker; businessman; inventor,"Janney coupler improvements; invented the car device #594,059 dated November 23, 1897; rotary engine patent #478,271 dated July 5, 1892","18,",https://en.wikipedia.org/wiki/Andrew_Jackson_Beard
"Bell, Earl S.",1977,NA,Inventor; entrepreneur; architect; industrial designer,Invented chair with sliding skin (2004) and the quantitative display apparatus (2005),"19,20,21,",https://en.wikipedia.org/wiki/Miriam_Benjamin
"Berry, Leonidas",1902,1995,Gastroenterologist,Gastroscope pioneer,"23,",https://en.wikipedia.org/wiki/Leonidas_Berry
"Bharucha-Reid, Albert T.",1927,1985,Mathematician; statistician,Probability theory and Markov chain theorist,"24,",https://en.wikipedia.org/wiki/Albert_Turner_Bharucha-Reid
"Black, Keith",1957,NA,Neurosurgeon,Brain tumor surgery and research,"25,26,",https://en.wikipedia.org/wiki/Keith_Black_(surgeon)
"Blackwell, David",1919,2010,Mathematician; statistician,"First proposed the Blackwell channel model used in coding theory and information theory; one of the eponyms of the Rao–Blackwell theorem, which is a process that significantly improves crude statistical estimators","27,",https://en.wikipedia.org/wiki/David_Blackwell
"Blair, Henry",1807,1860,Inventor,Second black inventor to issue a patent; invented seed planter and cotton planter.,"28,29,",https://en.wikipedia.org/wiki/Henry_Blair_(inventor)
"Boahen, Kwabena",1964,NA,Bioengineer,Silicon retina able to process images in the same manner as a living retina,"30,31,",https://en.wikipedia.org/wiki/Kwabena_Boahen
"Boone, Sarah",1832,1905,Inventor,Ironing board allowing sleeves of women's garments to be ironed more easily,"32,33,34,",https://en.wikipedia.org/wiki/Sarah_Boone
"Bouchet, Edward",1852,1918,Physicist,First African-American to receive a PhD in any subject; received physics doctorate from Yale University in 1876,NA,https://en.wikipedia.org/wiki/Edward_Bouchet
"Bowman, James",1923,2011,Physician,Pathologist and geneticist; Professor Emeritus Pritzker School of Medicine; first tenured African-American professor at the University of Chicago Division of Biological Sciences,"35,36,",https://en.wikipedia.org/wiki/James_E._Bowman
"Boykin, Otis",1920,1982,Inventor; engineer,Artificial heart pacemaker control unit,"37,38,39,",https://en.wikipedia.org/wiki/Otis_Boykin
"Brady, St. Elmo",1884,1966,Chemist,Published three scholarly abstracts in Science; collaborated on a paper published in the Journal of Industrial and Engineering Chemistry,"40,",https://en.wikipedia.org/wiki/St._Elmo_Brady
"Branson, Herman",1914,1995,Physicist; educator,Protein structure research,"41,42,",https://en.wikipedia.org/wiki/Herman_Branson
"Brooks, Charles",1865,NA,Inventor[citation needed],Street sweeper truck and a type of paper punch,"43,44,",https://en.wikipedia.org/w/index.php?title=Oscar_E.Brown&action=edit&redlink=1
"Brown, Marie Van Brittan",1922,1999,Inventor,Invented the home security system,"47,",https://en.wikipedia.org/wiki/Marie_Van_Brittan_Brown
"Burr, John Albert",NA,NA,Inventor,Rotary-blade lawn mower patent,"48,",https://en.wikipedia.org/wiki/William_Warrick_Cardozo
"Carson, Ben",1951,NA,Pediatric neurosurgeon,Pediatric neurosurgery at Johns Hopkins University; first surgeon to successfully separate craniopagus twins,"49,",https://en.wikipedia.org/wiki/Ben_Carson
"Carruthers, George",1939,NA,Astrophysicist,"Invented ultraviolet camera/spectrograph, which was used by NASA when it launched Apollo 16 in 1972","47,",https://en.wikipedia.org/wiki/George_Robert_Carruthers
"Carver, George Washington",1865,1943,Botanical researcher,"Discovered hundreds of uses for previously useless vegetables and fruits, principally the peanut","50,51,52,53,",https://en.wikipedia.org/wiki/George_Washington_Carver
"Chappelle, Charles W.",1872,1941,Electrician; construction; international businessman; and aviation pioneer,"Designed long-distance flight airplane; the only African-American to invent and display the airplane at the 1911 First Industrial Air Show held in conjunction with the Auto Show at Grand Central Palace in Manhattan in New York City; president of the African Union Company, Inc.","54,55,56,",https://en.wikipedia.org/wiki/Charles_W._Chappelle
"Chappelle, Emmett",1925,2019,Scientist and researcher,"Valuable contributions to several fields: medicine, biology, food science, and astrochemistry",NA,https://en.wikipedia.org/wiki/Emmett_Chappelle
"Clark, Mamie",1914,2005,Psychologist,Conducted 1940s experiments using dolls to study children's attitudes about race,NA,https://en.wikipedia.org/wiki/Kenneth_and_Mamie_Clark
"Clark, Kenneth",1917,1983,Psychologist,First Black president of the American Psychological Association,"57,",https://en.wikipedia.org/wiki/Kenneth_and_Mamie_Clark
"Crosthwait, David, Jr.",1898,1976,Research engineer,"Heating, ventilation, and air conditioning; received some 40 US patents relating to HVAC systems",NA,https://en.wikipedia.org/wiki/David_Crosthwait
"Curtis, James H (Nick)",1935,NA,Researcher; chemist (electronics/specialty chemicals),"Organic ionogen for aluminum electrolytic capacitors, cationic dialdehyde polysaccharides for wet strength paper and others, US Patent Office US Pat #3609467 US Pat #3547423 and others",NA,https://en.wikipedia.org/w/index.php?title=Nick_Curtis&action=edit&redlink=1
"Dabiri, John",1980,NA,Biophysicist,Expert on jellyfish hydrodynamics and designer of a vertical-axis wind farm adapted from schooling fish,NA,https://en.wikipedia.org/wiki/John_Dabiri
"Daly, Marie Maynard",1921,2003,Chemist,First black American woman with a PhD in chemistry,NA,https://en.wikipedia.org/wiki/Marie_Maynard_Daly
"Dean, Mark",1957,NA,Computer scientist,"Led the team that developed the ISA bus, and led the design team responsible for creating the first one-gigahertz computer processor chip","58,59,60,",https://en.wikipedia.org/wiki/Mark_Dean_(computer_scientist)
"Drew, Charles",1904,1950,Medical researcher,Developed improved techniques for blood storage,NA,https://en.wikipedia.org/wiki/Charles_R._Drew
"Du Chaillu, Paul",1831,1903,ZoologistexplorerAnthropologist,"Explorer; first modern European outsider to confirm the existence of gorillas, and later the Pygmy people of central Africa; identified as white throughout life, but his mother was a Réunionnais mulatto; settled in America and considered it his country by adoption; the full aspects of his ancestry were not uncovered until 1979, and are still little known today",NA,https://en.wikipedia.org/wiki/Paul_Du_Chaillu
