Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb
Animal,Dog,Fencing Issues,UPPER MOUNT GRAVATT
Animal,Other Animal,Nuisance Animal,CANNON HILL
Animal,Attack,Attack On An Animal,MANLY WEST
Animal,Dog,Fencing Issues,DEAGON
Animal,Other Animal,Rabbit,ZILLMERE
Animal,Attack,Menacing,COORPAROO
Animal,Other Animal,Odour,CARSELDINE
Animal,Attack,Not An Attack,STRETTON
Animal,Attack,Attack On An Animal,MOUNT GRAVATT EAST
Animal,Dog,Fencing Issues,MCDOWALL
Animal,Dog,Fencing Issues,HOLLAND PARK
Animal,Dog,Fencing Issues,NORTHGATE
Animal,Cat Trapping,,FOREST LAKE
Animal,Dog,Fencing Issues,ROCHEDALE
Animal,Dog,Fencing Issues,BOWEN HILLS
Animal,Attack,Not An Attack,INALA
Animal,Attack,Attack On An Animal,OXLEY
Animal,Cat Trapping,,BANYO
Animal,Attack,Attack On An Animal,WYNNUM
Animal,Attack,Attack On A Person,NORTHGATE
Animal,Dog,Too Many Animals,EVERTON PARK
Animal,Dog,Fencing Issues,SALISBURY
Animal,Dog,Fencing Issues,INDOOROOPILLY
Animal,Dog,Fencing Issues,INDOOROOPILLY
Animal,Cat Trapping,,RUNCORN
Animal,Attack,Attack On An Animal,NUNDAH
Animal,Attack,Not An Attack,KENMORE
Animal,Other Animal,Fox,THE GAP
Animal,Attack,Attack On An Animal,NEW FARM
Animal,Dog,Fencing Issues,WYNNUM
Animal,Other Animal,Deer,PULLENVALE
Animal,Cat Trapping,,ANNERLEY
Animal,Other Animal,Rabbit,VIRGINIA
Animal,Dog,Fencing Issues,CARINA
Animal,Cat Trapping,,RIVERHILLS
Animal,Dog,Fencing Issues,STAFFORD HEIGHTS
Animal,Attack,Not An Attack,CHERMSIDE
Animal,Attack,Not An Attack,SHERWOOD
Animal,Dog,Fencing Issues,ALGESTER
Animal,Dog,Fencing Issues,ASPLEY
Animal,Dog,Fencing Issues,FOREST LAKE
Animal,Cat,,MANLY WEST
Animal,Other Animal,Nuisance Animal,DARRA
Animal,Dog,Fencing Issues,DURACK
Animal,Other Animal,Nuisance Animal,ST LUCIA
Animal,Cat Trapping,,SEVENTEEN MILE ROCKS
Animal,Dog,Fencing Issues,MANLY WEST
Animal,Other Animal,Fox,FIG TREE POCKET
Animal,Dog,Too Many Animals,TOOWONG
Animal,Cat Trapping,,COORPAROO
Animal,Dog,Fencing Issues,CORINDA
