Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Office: Responsible Office
Animal,Dog,Wandering,STAFFORD,City Safety (Animal Management)
Animal,Cat Trapping,,TARRAGINDI,Environmental Management Team
Animal,Attack,Attack On An Animal,ACACIA RIDGE,Enforcement Animal Attack
Animal,Cat Trapping,,FITZGIBBON,Environmental Management Team
Animal,Cat Trapping,,MANLY WEST,Environmental Management Team
Animal,Dog,Fencing Issues,BRIDGEMAN DOWNS,City Safety (Animal Management)
Animal,Attack,,OXLEY,Enforcement Animal Attack
Animal,Dog,Wandering,KEDRON,City Safety (Animal Management)
Animal,Other Animal,Fox,BELMONT,Environmental Management Team
Animal,Attack,Attack On A Person,SPRING HILL,Enforcement Animal Attack
Animal,Other Animal,Nuisance Animal,DEAGON,Rapid Response Group
Animal,Dog,Wandering,CAMP HILL,City Safety (Animal Management)
Animal,Dog,Wandering,NATHAN,City Safety (Animal Management)
Animal,Dog,Odour,KEDRON,City Safety (Animal Management)
Animal,Attack,,ELLEN GROVE,Enforcement Animal Attack
Animal,Dog,Fencing Issues,KEDRON,City Safety (Animal Management)
Animal,Dog,Wandering,INALA,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,BANYO,Enforcement Animal Attack
Animal,Attack,Attack On A Person,WAVELL HEIGHTS,Enforcement Animal Attack
Animal,Dog,Wandering,NATHAN,City Safety (Animal Management)
Animal,Dog,Wandering,WYNNUM WEST,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,WAKERLEY,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,MANLY,Enforcement Animal Attack
Animal,Dog,Fencing Issues,GREENSLOPES,City Safety (Animal Management)
Animal,Attack,Attack On A Person,CHERMSIDE,Enforcement Animal Attack
Animal,Dog,Defecating In Public,CAMP HILL,Rapid Response Group
Animal,Other Animal,Nuisance Animal,RICHLANDS,Rapid Response Group
Animal,Dog,,SALISBURY,City Safety (Animal Management)
Animal,Attack,,BARDON,Enforcement Animal Attack
Animal,Other Animal,Fox,UPPER BROOKFIELD,Environmental Management Team
Animal,Cat,,WYNNUM WEST,City Safety Assessments Team
Animal,Dog,Fencing Issues,ELLEN GROVE,Scheduling and Dispatch
Animal,Dog,,MORNINGSIDE,City Safety (Animal Management)
Animal,Attack,,CHERMSIDE WEST,Enforcement Animal Attack
Animal,Other Animal,Fox,SOUTH BRISBANE,Environmental Management Team
Animal,Dog,Fencing Issues,GEEBUNG,City Safety (Animal Management)
Animal,Attack,,WAVELL HEIGHTS,Rapid Response Group
Animal,Dog,Wandering,NUDGEE BEACH,Rapid Response Group
Animal,Dog,Wandering,CARINDALE,City Safety (Animal Management)
Animal,Dog,Wandering,HENDRA,City Safety (Animal Management)
Animal,Other Animal,,WYNNUM,City Safety (Animal Management)
Animal,Dog,,DUTTON PARK,City Safety (Animal Management)
Animal,Dog,Unregistered,DUTTON PARK,City Safety (Animal Management)
Animal,Other Animal,,TINGALPA,City Safety (Animal Management)
Animal,Attack,,SANDGATE,Enforcement Animal Attack
Animal,Attack,,TARRAGINDI,Enforcement Animal Attack
Animal,Attack,,MURARRIE,Enforcement Animal Attack
Animal,Attack,,MOOROOKA,Enforcement Animal Attack
Animal,Dog,Defecating In Public,COORPAROO,Rapid Response Group
Animal,Dog,Fencing Issues,PADDINGTON,Rapid Response Group
Animal,Dog,Wandering,MILTON,City Safety (Animal Management)
Animal,Dog,,NATHAN,City Safety (Animal Management)
Animal,Attack,,GRACEVILLE,Enforcement Animal Attack
Animal,Dog,Wandering,CARINA HEIGHTS,City Safety (Animal Management)
Animal,Other Animal,Fox,CHANDLER,Environmental Management Team
Animal,Attack,,GEEBUNG,Enforcement Animal Attack
Animal,Dog,,ANNERLEY,City Safety (Animal Management)
Animal,Dog,,INALA,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,CARINA,Enforcement Animal Attack
Animal,Attack,,CHERMSIDE WEST,Enforcement Animal Attack
Animal,Dog,Wandering,LOTA,City Safety (Animal Management)
Animal,Other Animal,Fox,MANLY WEST,Environmental Management Team
Animal,Other Animal,Deer,JINDALEE,Environmental Management Team
Animal,Dog,Fencing Issues,CARINA,Rapid Response Group
Animal,Cat,,CARINDALE,City Safety (Animal Management)
Animal,Attack,,RUNCORN,Enforcement Animal Attack
Animal,Dog,Wandering,WEST END,City Safety (Animal Management)
Animal,Cat,Wandering,KURABY,City Safety (Animal Management)
Animal,Attack,,ROCKLEA,Enforcement Animal Attack
Animal,Dog,,WYNNUM,City Safety (Animal Management)
Animal,Other Animal,Wild Dog,MITCHELTON,Environmental Management Team
Animal,Dog,Wandering,WYNNUM,City Safety (Animal Management)
Animal,Other Animal,Wild Dog,FOREST LAKE,Environmental Management Team
Animal,Cat Trapping,,ASHGROVE,Environmental Management Team
Animal,Attack,,ELLEN GROVE,Enforcement Animal Attack
Animal,Attack,,BANYO,Rapid Response Group
Animal,Attack,Attack On A Person,TOOWONG,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,NORTHGATE,Enforcement Animal Attack
Animal,Attack,,RIVERHILLS,Enforcement Animal Attack
Animal,Dog,Fencing Issues,CARSELDINE,City Safety (Animal Management)
Animal,Attack,,WYNNUM,Enforcement Animal Attack
Animal,Dog,,KEDRON,City Safety (Animal Management)
Animal,Dog,,THE GAP,City Safety (Animal Management)
Animal,Attack,,MANSFIELD,Enforcement Animal Attack
Animal,Dog,Wandering,ALDERLEY,City Safety (Animal Management)
Animal,Cat,,HOLLAND PARK WEST,City Safety (Animal Management)
Animal,Attack,,PALLARA,Enforcement Animal Attack
Animal,Attack,,KELVIN GROVE,Enforcement Animal Attack
Animal,Cat,Wandering,SEVEN HILLS,City Safety Assessments Team
Animal,Dog,,STAFFORD HEIGHTS,City Safety (Animal Management)
Animal,Dog,,INDOOROOPILLY,City Safety (Animal Management)
Animal,Dog,,NATHAN,City Safety (Animal Management)
Animal,Cat,,HOLLAND PARK WEST,City Safety (Animal Management)
Animal,Dog,Wandering,ASHGROVE,City Safety (Animal Management)
Animal,Attack,,MOUNT OMMANEY,Enforcement Animal Attack
Animal,Dog,Fencing Issues,THE GAP,Rapid Response Group
Animal,Cat,Wandering,FERNY GROVE,City Safety Assessments Team
Animal,Attack,,INALA,Enforcement Animal Attack
