Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb
Animal,Dog,Fencing Issues,SUNNYBANK
Animal,Dog,Fencing Issues,SUNNYBANK HILLS
Animal,Dog,Defecating In Public,SUNNYBANK
Animal,Dog,Fencing Issues,SUNNYBANK
Animal,Attack,Attack On An Animal,CALAMVALE
Animal,Attack,Attack On A Person,STRETTON
Animal,Dog,,ANNERLEY
Animal,Attack,Attack On An Animal,FOREST LAKE
Animal,Dog,Fencing Issues,HAWTHORNE
Animal,Dog,Defecating In Public,HAWTHORNE
Animal,Dog,,CARINDALE
Animal,Other Animal,,PULLENVALE
Animal,Dog,Fencing Issues,KALINGA
Animal,Dog,Fencing Issues,WYNNUM
Animal,Dog,Fencing Issues,CHERMSIDE WEST
Animal,Dog,Fencing Issues,THE GAP
Animal,Dog,Fencing Issues,TINGALPA
Animal,Other Animal,,RED HILL
Animal,Other Animal,Fox,BURBANK
Animal,Attack,Attack On A Person,EAST BRISBANE
Animal,Attack,Attack On An Animal,FITZGIBBON
Animal,Cat Trapping,,MOOROOKA
Animal,Dog,Fencing Issues,INALA
Animal,Dog,Fencing Issues,SHERWOOD
Animal,Dog,,TINGALPA
Animal,Dog,Too Many Animals,OXLEY
Animal,Other Animal,Pest / Feral Animal,FOREST LAKE
Animal,Attack,Attack On An Animal,THE GAP
Animal,Dog,,MITCHELTON
Animal,Dog,,ASPLEY
Animal,Attack,,TARRAGINDI
Animal,Cat Trapping,,BRIGHTON
Animal,Attack,Attack On A Person,BRIDGEMAN DOWNS
Animal,Attack,Not An Attack,ZILLMERE
Animal,Attack,Attack On An Animal,SHORNCLIFFE
Animal,Attack,Menacing,MANLY WEST
Animal,Attack,Attack On An Animal,BRACKEN RIDGE
Animal,Dog,Fencing Issues,KENMORE
Animal,Dog,,UPPER KEDRON
Animal,Dog,Too Many Animals,SALISBURY
Animal,Attack,Attack On An Animal,STAFFORD HEIGHTS
Animal,Attack,Not An Attack,HOLLAND PARK
Animal,Dog,Fencing Issues,MOOROOKA
Animal,Cat,,ENOGGERA
Animal,Dog,Fencing Issues,MANLY WEST
Animal,Dog,Fencing Issues,WYNNUM WEST
Animal,Dog,Fencing Issues,WYNNUM WEST
Animal,Dog,Fencing Issues,WYNNUM
Animal,Attack,Not An Attack,GREENSLOPES
Animal,Other Animal,Nuisance Animal,DOOLANDELLA
Animal,Dog,Fencing Issues,CARSELDINE
Animal,Attack,,COOPERS PLAINS
Animal,Cat Trapping,,RUNCORN
Animal,Dog,,PARKINSON
Animal,Attack,Not An Attack,FOREST LAKE
Animal,Cat Trapping,,MOUNT GRAVATT EAST
Animal,Dog,Fencing Issues,MITCHELTON
Animal,Dog,Fencing Issues,MOUNT GRAVATT EAST
Animal,Attack,Attack On A Person,CARINA HEIGHTS
Animal,Dog,Fencing Issues,WYNNUM WEST
Animal,Dog,Fencing Issues,ZILLMERE
Animal,Other Animal,Nuisance Animal,HEMMANT
Animal,Attack,Attack On An Animal,SEVENTEEN MILE ROCKS
Animal,Attack,Not An Attack,NORMAN PARK
Animal,Attack,Attack On A Person,FOREST LAKE
Animal,Other Animal,Fox,KHOLO
Animal,Other Animal,Fox,KHOLO
Animal,Cat Trapping,,BRIGHTON
Animal,Attack,Attack On An Animal,NUNDAH
Animal,Attack,Attack On An Animal,HOLLAND PARK
Animal,Dog,Fencing Issues,ASPLEY
Animal,Dog,Fencing Issues,CAMP HILL
Animal,Attack,Menacing,COORPAROO
Animal,Attack,,INALA
Animal,Other Animal,,KARANA DOWNS
Animal,Attack,Menacing,WINDSOR
Animal,Other Animal,Nuisance Animal,INALA
Animal,Other Animal,,DURACK
Animal,Attack,Not An Attack,ELLEN GROVE
Animal,Attack,Not An Attack,BRACKEN RIDGE
Animal,Attack,,MIDDLE PARK
Animal,Other Animal,Fox,KHOLO
Animal,Dog,Fencing Issues,WYNNUM WEST
Animal,Cat Trapping,,MACGREGOR
Animal,Cat Trapping,,ASPLEY
Animal,Cat Trapping,,COOPERS PLAINS
Animal,Attack,Attack On An Animal,RICHLANDS
Animal,Attack,Attack On An Animal,BELLBOWRIE
Animal,Attack,Menacing,STRETTON
Animal,Dog,Fencing Issues,KEPERRA
Animal,Dog,Fencing Issues,STRETTON
Animal,Dog,Defecating In Public,SUNNYBANK
Animal,Dog,Defecating In Public,NEW FARM
Animal,Other Animal,Fox,BRACKEN RIDGE
Animal,Cat Trapping,,ASPLEY
Animal,Dog,Fencing Issues,MITCHELTON
Animal,Dog,Fencing Issues,KENMORE
Animal,Cat Trapping,,CAMP HILL
Animal,Attack,Attack On A Person,WYNNUM
Animal,Other Animal,Fox,KHOLO
Animal,Dog,Fencing Issues,INALA
Animal,Attack,,KARAWATHA
Animal,Other Animal,Too Many Animals,UPPER MOUNT GRAVATT
Animal,Dog,Too Many Animals,GRANGE
Animal,Attack,Attack On An Animal,MITCHELTON
Animal,Attack,Attack On A Person,MOOROOKA
Animal,Dog,Fencing Issues,CANNON HILL
Animal,Attack,Not An Attack,HOLLAND PARK
Animal,Dog,Fencing Issues,NORMAN PARK
Animal,Cat Trapping,,ASPLEY
Animal,Cat Trapping,,ST LUCIA
Animal,Dog,,ELLEN GROVE
Animal,Dog,Fencing Issues,ROCKLEA
Animal,Other Animal,,WINDSOR
Animal,Attack,Attack On An Animal,BALMORAL
Animal,Dog,Fencing Issues,PULLENVALE
Animal,Dog,Defecating In Public,ASPLEY
Animal,Other Animal,Fox,KHOLO
Animal,Other Animal,Pest / Feral Animal,INALA
Animal,Dog,Defecating In Public,HAMILTON
Animal,Dog,Defecating In Public,ASPLEY
Animal,Other Animal,Nuisance Animal,RUNCORN
Animal,Other Animal,Fox,KHOLO
Animal,Dog,Defecating In Public,GRANGE
Animal,Dog,Defecating In Public,CHAPEL HILL
Animal,Dog,Too Many Animals,CHAPEL HILL
Animal,Attack,Attack On An Animal,FERNY GROVE
Animal,Dog,Too Many Animals,HEMMANT
Animal,Attack,Attack On An Animal,JAMBOREE HEIGHTS
Animal,Attack,Not An Attack,MANLY WEST
Animal,Cat,,MOUNT GRAVATT EAST
Animal,Dog,Unregistered,ANNERLEY
Animal,Other Animal,,INDOOROOPILLY
Animal,Attack,,ALGESTER
Animal,Other Animal,Fencing Issues,AUCHENFLOWER
Animal,Other Animal,Odour,ELLEN GROVE
Animal,Dog,Unregistered,BRACKEN RIDGE
Animal,Dog,Unregistered,BRACKEN RIDGE
Animal,Dog,Unregistered,BRACKEN RIDGE
Animal,Dog,Defecating In Public,WEST END
Animal,Other Animal,Nuisance Animal,SUNNYBANK HILLS
Animal,Dog,Fencing Issues,MURARRIE
Animal,Attack,Dangerous,LOTA
Animal,Attack,Attack On A Person,GREENSLOPES
Animal,Dog,Fencing Issues,ELLEN GROVE
Animal,Other Animal,Deer,PULLENVALE
Animal,Dog,Too Many Animals,KEPERRA
Animal,Dog,Defecating In Public,CARINA
Animal,Dog,Unregistered,BRACKEN RIDGE
Animal,Dog,Unregistered,BRACKEN RIDGE
Animal,Dog,Too Many Animals,RIVERHILLS
Animal,Attack,,KARANA DOWNS
Animal,Other Animal,Defecating In Public,NORMAN PARK
Animal,Other Animal,Fox,WAKERLEY
Animal,Dog,Fencing Issues,CAMP HILL
Animal,Other Animal,Fox,RED HILL
Animal,Dog,,KEPERRA
Animal,Other Animal,Nuisance Animal,DURACK
Animal,Attack,Menacing,FOREST LAKE
Animal,Dog,Too Many Animals,CHERMSIDE WEST
Animal,Dog,Fencing Issues,CHERMSIDE WEST
Animal,Dog,Fencing Issues,DEAGON
Animal,Attack,Attack On A Person,CHAPEL HILL
Animal,Attack,Attack On A Person,CHERMSIDE WEST
Animal,Attack,,ACACIA RIDGE
Animal,Attack,Not An Attack,SUNNYBANK HILLS
Animal,Attack,Attack On A Person,MORNINGSIDE
Animal,Cat Trapping,,WOOLLOONGABBA
Animal,Cat,,THE GAP
Animal,Dog,Too Many Animals,HOLLAND PARK
Animal,Attack,Attack On An Animal,BRIGHTON
Animal,Other Animal,Nuisance Animal,SUNNYBANK HILLS
Animal,Dog,Fencing Issues,MOUNT GRAVATT EAST
Animal,Dog,Fencing Issues,KEPERRA
Animal,Other Animal,Fox,MORNINGSIDE
Animal,Dog,Too Many Animals,KEPERRA
Animal,Attack,Attack On A Person,KEPERRA
Animal,Attack,Attack On An Animal,STRETTON
Animal,Cat,,HIGHGATE HILL
Animal,Dog,Fencing Issues,ENOGGERA
Animal,Attack,Attack On An Animal,KEPERRA
Animal,Attack,Attack On A Person,MITCHELTON
Animal,Other Animal,Too Many Animals,FOREST LAKE
Animal,Dog,Defecating In Public,WEST END
Animal,Dog,Fencing Issues,INALA
Animal,Other Animal,Fox,MOUNT GRAVATT EAST
Animal,Attack,Attack On An Animal,HOLLAND PARK
Animal,Attack,Not An Attack,MANLY
Animal,Attack,Attack On A Person,PADDINGTON
Animal,Other Animal,Too Many Animals,LOTA
Animal,Cat Trapping,,CALAMVALE
Animal,Dog,Odour,ENOGGERA
Animal,Other Animal,Fencing Issues,TENNYSON
Animal,Attack,Not An Attack,CARSELDINE
Animal,Attack,Menacing,TOOWONG
Animal,Dog,Defecating In Public,BRIDGEMAN DOWNS
Animal,Cat Trapping,,MANSFIELD
Animal,Attack,Attack On An Animal,CALAMVALE
Animal,Attack,Attack On An Animal,NATHAN
Animal,Attack,Menacing,NEW FARM
Animal,Dog,Too Many Animals,KEPERRA
Animal,Dog,Too Many Animals,WYNNUM
Animal,Other Animal,Pest / Feral Animal,HAMILTON
Animal,Dog,Too Many Animals,WYNNUM
Animal,Attack,Attack On An Animal,MORNINGSIDE
Animal,Attack,Attack On An Animal,UPPER MOUNT GRAVATT
Animal,Other Animal,Deer,PULLENVALE
Animal,Dog,Fencing Issues,FOREST LAKE
Animal,Dog,Fencing Issues,FOREST LAKE
Animal,Attack,Attack On A Person,GREENSLOPES
Animal,Dog,Fencing Issues,MANLY WEST
Animal,Cat Trapping,,MOUNT GRAVATT EAST
Animal,Dog,Defecating In Public,MANLY WEST
Animal,Attack,Attack On An Animal,FITZGIBBON
Animal,Dog,Fencing Issues,UPPER MOUNT GRAVATT
Animal,Attack,Attack On A Person,NORMAN PARK
Animal,Dog,Too Many Animals,BARDON
Animal,Attack,Not An Attack,CALAMVALE
Animal,Dog,Fencing Issues,MOOROOKA
Animal,Attack,Attack On An Animal,BALD HILLS
Animal,Attack,,COOPERS PLAINS
Animal,Cat Trapping,,MOOROOKA
Animal,Attack,,RUNCORN
Animal,Dog,,UPPER MOUNT GRAVATT
Animal,Cat Trapping,,CARINDALE
Animal,Attack,Attack On A Person,WACOL
Animal,Attack,Menacing,STAFFORD
Animal,Cat Trapping,,ROBERTSON
Animal,Dog,Fencing Issues,BRIGHTON
Animal,Cat Trapping,,INALA
Animal,Other Animal,Deer,BRISBANE CITY
Animal,Dog,Fencing Issues,HIGHGATE HILL
Animal,Other Animal,Fox,ROCHEDALE
Animal,Attack,Attack On An Animal,WYNNUM
Animal,Attack,Not An Attack,BALMORAL
Animal,Dog,Defecating In Public,TARRAGINDI
Animal,Other Animal,Nuisance Animal,HOLLAND PARK
Animal,Attack,Attack On An Animal,CANNON HILL
Animal,Attack,Attack On An Animal,SEVEN HILLS
Animal,Dog,Defecating In Public,MILTON
Animal,Dog,Fencing Issues,MOOROOKA
Animal,Dog,Too Many Animals,MCDOWALL
Animal,Dog,Fencing Issues,NUNDAH
Animal,Dog,Fencing Issues,ALGESTER
Animal,Attack,Dangerous,SALISBURY
Animal,Attack,Attack On An Animal,THE GAP
Animal,Dog,Fencing Issues,DUTTON PARK
Animal,Dog,Fencing Issues,DUTTON PARK
Animal,Attack,Menacing,ENOGGERA
Animal,Attack,Not An Attack,JINDALEE
Animal,Cat,,BOONDALL
Animal,Attack,Attack On A Person,ALDERLEY
Animal,Dog,Too Many Animals,HAWTHORNE
Animal,Dog,Defecating In Public,WEST END
Animal,Attack,Attack On An Animal,SINNAMON PARK
Animal,Dog,Fencing Issues,CHAPEL HILL
Animal,Dog,Fencing Issues,GORDON PARK
Animal,Dog,Fencing Issues,BRACKEN RIDGE
Animal,Dog,Fencing Issues,BRACKEN RIDGE
Animal,Cat Trapping,,SUNNYBANK
Animal,Attack,,BRACKEN RIDGE
Animal,Cat Trapping,,BRACKEN RIDGE
Animal,Other Animal,Fox,GUMDALE
Animal,Dog,Fencing Issues,ALBION
Animal,Other Animal,Rabbit,KENMORE HILLS
Animal,Dog,Fencing Issues,CHAPEL HILL
Animal,Dog,Fencing Issues,ALGESTER
Animal,Attack,Attack On A Person,WAVELL HEIGHTS
Animal,Dog,Fencing Issues,STAFFORD HEIGHTS
Animal,Attack,Menacing,COOPERS PLAINS
Animal,Dog,Fencing Issues,ALDERLEY
Animal,Cat Trapping,,WESTLAKE
Animal,Attack,Attack On A Person,ST LUCIA
Animal,Cat Trapping,,SPRING HILL
Animal,Other Animal,Nuisance Animal,SUNNYBANK HILLS
Animal,Dog,Fencing Issues,CHAPEL HILL
Animal,Dog,Fencing Issues,UPPER MOUNT GRAVATT
Animal,Dog,Fencing Issues,INALA
Animal,Attack,Not An Attack,THE GAP
Animal,Dog,Defecating In Public,CARSELDINE
Animal,Other Animal,Defecating In Public,WAVELL HEIGHTS
Animal,Other Animal,Fox,ASHGROVE
Animal,Cat,,INALA
Animal,Other Animal,Nuisance Animal,TAIGUM
Animal,Dog,Fencing Issues,HENDRA
Animal,Attack,Not An Attack,KENMORE
Animal,Attack,Menacing,FOREST LAKE
Animal,Attack,Attack On An Animal,FOREST LAKE
Animal,Attack,Attack On An Animal,MANLY WEST
Animal,Cat,,WYNNUM WEST
Animal,Dog,,CARSELDINE
Animal,Attack,Not An Attack,THE GAP
Animal,Cat Trapping,,SHORNCLIFFE
