Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Office: Responsible Office
Animal,Attack,Attack On An Animal,EVERTON PARK,Enforcement Animal Attack
Animal,Attack,Attack On A Person,NORMAN PARK,Enforcement Animal Attack
Animal,Dog,Fencing Issues,MORNINGSIDE,City Safety (Animal Management)
Animal,Other Animal,Nuisance Animal,DURACK,Rapid Response Group
Animal,Dog,Fencing Issues,NUNDAH,City Safety (Animal Management)
Animal,Dog,Wandering,MORNINGSIDE,City Safety (Animal Management)
Animal,Dog,Unregistered,COOPERS PLAINS,City Safety (Animal Management)
Animal,Other Animal,Feral Pig,SANDGATE,Environmental Management Team
Animal,Other Animal,Fox,KARANA DOWNS,Environmental Management Team
Animal,Cat Trapping,,GREENSLOPES,Environmental Management Team
Animal,Attack,Menacing,TARRAGINDI,Enforcement Animal Attack
Animal,Cat,Wandering,STAFFORD HEIGHTS,City Safety Assessments Team
Animal,Dog,Fencing Issues,WAVELL HEIGHTS,City Safety (Animal Management)
Animal,Dog,Unregistered,BOWEN HILLS,City Safety (Animal Management)
Animal,Dog,Wandering,SUNNYBANK HILLS,City Safety (Animal Management)
Animal,Dog,Fencing Issues,ANNERLEY,City Safety (Animal Management)
Animal,Dog,Fencing Issues,HOLLAND PARK,Rapid Response Group
Animal,Dog,Fencing Issues,DREWVALE,City Safety (Animal Management)
Animal,Dog,Wandering,BALD HILLS,City Safety (Animal Management)
Animal,Dog,Wandering,CAMP HILL,City Safety (Animal Management)
Animal,Dog,Wandering,NATHAN,City Safety (Animal Management)
Animal,Other Animal,Fox,OXLEY,Environmental Management Team
Animal,Cat,Wandering,NEW FARM,City Safety (Animal Management)
Animal,Dog,Unregistered,EIGHT MILE PLAINS,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,WEST END,Enforcement Animal Attack
Animal,Attack,,EIGHT MILE PLAINS,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,WYNNUM WEST,Enforcement Animal Attack
Animal,Cat,Wandering,ASPLEY,City Safety Assessments Team
Animal,Dog,Fencing Issues,BALD HILLS,Enforcement Animal Attack
Animal,Cat,Wandering,SHORNCLIFFE,City Safety Assessments Team
Animal,Cat,Wandering,SHORNCLIFFE,Scheduling and Dispatch
