Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb
Animal,Other Animal,Odour,INALA
Animal,Other Animal,Insufficient Space,GORDON PARK
Animal,Cat Trapping,,CAMP HILL
Animal,Dog,Fencing Issues,ALGESTER
Animal,Dog,Wandering,KEPERRA
Animal,Dog,Wandering,WOOLLOONGABBA
Animal,Attack,Attack On A Person,BRIGHTON
Animal,Other Animal,Deer,KENMORE HILLS
Animal,Dog,Odour,MITCHELTON
Animal,Dog,Wandering,BRISBANE CITY
Animal,Dog,Wandering,HAWTHORNE
Animal,Dog,Unregistered,NORMAN PARK
Animal,Other Animal,Odour,BALD HILLS
Animal,Cat Trapping,,WOOLOOWIN
Animal,Dog,,GREENSLOPES
Animal,Cat Trapping,,EIGHT MILE PLAINS
Animal,Attack,Menacing,WAVELL HEIGHTS
Animal,Cat,Wandering,FERNY GROVE
Animal,Attack,Attack On An Animal,MOUNT GRAVATT EAST
Animal,Attack,Attack On A Person,CHERMSIDE
Animal,Attack,Attack On A Person,FOREST LAKE
Animal,Attack,Attack On A Person,CALAMVALE
Animal,Attack,Attack On An Animal,THE GAP
Animal,Dog,Wandering,AUCHENFLOWER
Animal,Dog,Wandering,KEPERRA
Animal,Other Animal,Fox,MOGGILL
Animal,Other Animal,Fox,TARRAGINDI
Animal,Dog,Too Many Animals,ROCHEDALE
Animal,Dog,Wandering,BALD HILLS
Animal,Other Animal,Deer,ROCKLEA
Animal,Cat Trapping,,BRIDGEMAN DOWNS
Animal,Other Animal,Wandering,DARRA
Animal,Dog,Too Many Animals,TARRAGINDI
Animal,Dog,Too Many Animals,TARRAGINDI
Animal,Dog,Too Many Animals,TARRAGINDI
Animal,Dog,Too Many Animals,TARRAGINDI
Animal,Dog,Wandering,STAFFORD
Animal,Other Animal,Fox,BOONDALL
Animal,Cat Trapping,,MANLY
Animal,Other Animal,Nuisance Animal,DUTTON PARK
Animal,Dog,Wandering,CANNON HILL
Animal,Dog,Unregistered,DURACK
Animal,Dog,Wandering,BRIDGEMAN DOWNS
Animal,Dog,Wandering,CHERMSIDE
Animal,Dog,Wandering,MCDOWALL
Animal,Dog,Unregistered,CARINA
Animal,Other Animal,Fox,BOONDALL
Animal,Attack,Attack On An Animal,MANLY
Animal,Attack,Attack On A Person,UPPER MOUNT GRAVATT
Animal,Dog,Odour,MOUNT GRAVATT EAST
Animal,Other Animal,Fox,NATHAN
Animal,Dog,Too Many Animals,MOOROOKA
Animal,Attack,Attack On A Person,INALA
Animal,Dog,Wandering,EVERTON PARK
Animal,Dog,Fencing Issues,UPPER KEDRON
Animal,Cat Trapping,,CLAYFIELD
Animal,Dog,Unregistered,EVERTON PARK
Animal,Cat Trapping,,CARINDALE
Animal,Dog,Fencing Issues,MANSFIELD
Animal,Attack,Not An Attack,UPPER MOUNT GRAVATT
Animal,Attack,Attack On A Person,STAFFORD HEIGHTS
Animal,Cat Trapping,,FOREST LAKE
Animal,Cat,Wandering,HOLLAND PARK WEST
Animal,Other Animal,Unregistered,ACACIA RIDGE
Animal,Attack,Attack On An Animal,INALA
Animal,Attack,Attack On A Person,VIRGINIA
Animal,Other Animal,Pest / Feral Animal,MITCHELTON
Animal,Dog,Too Many Animals,LUTWYCHE
