Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb
Animal,Cat,Wandering,GAYTHORNE
Animal,Dog,Fencing Issues,CHAPEL HILL
Animal,Attack,Attack On A Person,ASPLEY
Animal,Attack,,JAMBOREE HEIGHTS
Animal,Cat,Wandering,ASHGROVE
Animal,Other Animal,,KENMORE
Animal,Cat,Wandering,MOUNT GRAVATT EAST
Animal,Cat,Wandering,ACACIA RIDGE
Animal,Attack,Attack On A Person,DARRA
Animal,Cat Trapping,,WISHART
Animal,Dog,Fencing Issues,ZILLMERE
Animal,Dog,Unregistered,STAFFORD HEIGHTS
Animal,Attack,Attack On An Animal,KEPERRA
Animal,Other Animal,Nuisance Animal,FORTITUDE VALLEY
Animal,Dog,Fencing Issues,CHANDLER
Animal,Other Animal,Rabbit,GUMDALE
Animal,Cat Trapping,,CARSELDINE
Animal,Attack,,RUNCORN
Animal,Dog,Wandering,CAMP HILL
Animal,Dog,Unregistered,SHORNCLIFFE
Animal,Dog,Wandering,NUDGEE BEACH
Animal,Dog,Defecating In Public,DUTTON PARK
Animal,Cat,Wandering,RUNCORN
Animal,Cat Trapping,,GEEBUNG
Animal,Other Animal,Fox,ASCOT
Animal,Dog,Wandering,SHERWOOD
Animal,Attack,Attack On An Animal,FERNY GROVE
Animal,Other Animal,Fox,ARCHERFIELD
Animal,Other Animal,Nuisance Animal,WYNNUM WEST
Animal,Cat,Wandering,BRACKEN RIDGE
Animal,Cat,Wandering,NORTHGATE
Animal,Dog,Wandering,MOUNT COOT-THA
Animal,Attack,Not An Attack,ASHGROVE
Animal,Attack,,ZILLMERE
Animal,Dog,Wandering,CHAPEL HILL
Animal,Attack,Attack On An Animal,WYNNUM WEST
Animal,Other Animal,Fox,GUMDALE
Animal,Cat Trapping,,BRISBANE CITY
Animal,Attack,Attack On A Person,FORTITUDE VALLEY
Animal,Cat,Wandering,WYNNUM
Animal,Dog,Wandering,INALA
Animal,Cat,Wandering,ARCHERFIELD
Animal,Cat Trapping,,BRIGHTON
Animal,Cat,Wandering,ASPLEY
Animal,Dog,Wandering,FORTITUDE VALLEY
Animal,Dog,Wandering,PADDINGTON
Animal,Dog,Wandering,ASHGROVE
Animal,Attack,,TINGALPA
Animal,Dog,Wandering,MITCHELTON
Animal,Dog,Wandering,SHERWOOD
Animal,Other Animal,Fox,TINGALPA
Animal,Cat Trapping,,BOONDALL
Animal,Cat Trapping,,HOLLAND PARK WEST
