Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb
Animal,Cat Trapping,,STAFFORD HEIGHTS
Animal,Dog,Fencing Issues,ZILLMERE
Animal,Dog,Fencing Issues,FOREST LAKE
Animal,Attack,Attack On An Animal,JAMBOREE HEIGHTS
Animal,Cat Trapping,,WYNNUM WEST
Animal,Attack,Attack On An Animal,NEW FARM
Animal,Dog,Fencing Issues,TENERIFFE
Animal,Cat Trapping,,WYNNUM
Animal,Dog,Defecating In Public,SPRING HILL
Animal,Dog,Defecating In Public,KEDRON
Animal,Attack,Attack On An Animal,WYNNUM WEST
Animal,Other Animal,Nuisance Animal,BRACKEN RIDGE
Animal,Dog,Odour,ROCHEDALE
Animal,Attack,Attack On A Person,ZILLMERE
Animal,Attack,Attack On A Person,BARDON
Animal,Dog,Fencing Issues,HERSTON
Animal,Dog,Fencing Issues,NUDGEE
Animal,Attack,Attack On An Animal,FOREST LAKE
Animal,Attack,Attack On An Animal,WILLAWONG
Animal,Cat,,BRIGHTON
Animal,Other Animal,Fox,GEEBUNG
Animal,Attack,Attack On An Animal,THE GAP
Animal,Other Animal,Fox,MOOROOKA
Animal,Cat Trapping,,WISHART
Animal,Dog,Fencing Issues,SANDGATE
Animal,Other Animal,Fencing Issues,MITCHELTON
Animal,Cat Trapping,,ROCHEDALE
Animal,Dog,Fencing Issues,NUDGEE
Animal,Other Animal,Fox,HOLLAND PARK WEST
Animal,Attack,Attack On An Animal,NUDGEE BEACH
Animal,Dog,Defecating In Public,BRIDGEMAN DOWNS
Animal,Attack,Attack On An Animal,HOLLAND PARK
Animal,Other Animal,Fox,CARINA
Animal,Other Animal,Fox,KARAWATHA
Animal,Other Animal,Fox,GEEBUNG
Animal,Cat Trapping,,WACOL
Animal,Other Animal,Fox,ALGESTER
Animal,Cat,,HOLLAND PARK
Animal,Other Animal,Fox,FERNY GROVE
Animal,Cat Trapping,,CHERMSIDE
Animal,Dog,Fencing Issues,MITCHELTON
Animal,Attack,Menacing,MANLY WEST
Animal,Attack,Attack On An Animal,ASHGROVE
Animal,Attack,Attack On A Person,TINGALPA
Animal,Attack,Not An Attack,WINDSOR
Animal,Dog,Fencing Issues,WINDSOR
Animal,Other Animal,Fox,KARANA DOWNS
Animal,Dog,Defecating In Public,RED HILL
Animal,Attack,Attack On An Animal,MOUNT CROSBY
Animal,Dog,Fencing Issues,FOREST LAKE
Animal,Attack,Attack On An Animal,CARINA HEIGHTS
Animal,Dog,Fencing Issues,MITCHELTON
Animal,Attack,Attack On An Animal,DOOLANDELLA
Animal,Other Animal,Fox,RUNCORN
Animal,Other Animal,Fox,PINJARRA HILLS
Animal,Attack,Not An Attack,THE GAP
Animal,Dog,Defecating In Public,
Animal,Other Animal,Nuisance Animal,MOGGILL
Animal,Dog,Defecating In Public,
Animal,Cat,,ANNERLEY
Animal,Dog,Too Many Animals,ROCHEDALE
Animal,Other Animal,Fox,UPPER MOUNT GRAVATT
Animal,Attack,Menacing,MURARRIE
Animal,Cat Trapping,,KEPERRA
Animal,Dog,Unregistered,NEW FARM
Animal,Dog,Fencing Issues,SUNNYBANK HILLS
Animal,Dog,Too Many Animals,ZILLMERE
Animal,Other Animal,Fox,RUNCORN
Animal,Cat,,GRACEVILLE
Animal,Attack,Menacing,EAST BRISBANE
Animal,Dog,Fencing Issues,KENMORE
Animal,Dog,Fencing Issues,FOREST LAKE
Animal,Dog,Fencing Issues,SHERWOOD
Animal,Attack,Attack On An Animal,RICHLANDS
Animal,Dog,Defecating In Public,MOOROOKA
Animal,Dog,Too Many Animals,UPPER MOUNT GRAVATT
Animal,Attack,Not An Attack,UPPER MOUNT GRAVATT
Animal,Dog,Fencing Issues,THE GAP
Animal,Attack,Attack On An Animal,FOREST LAKE
Animal,Attack,Not An Attack,HENDRA
Animal,Other Animal,Fox,THE GAP
Animal,Attack,Attack On An Animal,BRIDGEMAN DOWNS
Animal,Cat Trapping,,BOONDALL
Animal,Attack,Attack On An Animal,GREENSLOPES
Animal,Other Animal,Nuisance Animal,SHORNCLIFFE
Animal,Dog,Fencing Issues,MANLY WEST
Animal,Other Animal,Odour,MOUNT CROSBY
Animal,Other Animal,Defecating In Public,MORNINGSIDE
Animal,Other Animal,Nuisance Animal,STAFFORD
Animal,Other Animal,Odour,SUMNER
Animal,Attack,Not An Attack,MOOROOKA
Animal,Attack,Not An Attack,GREENSLOPES
Animal,Cat Trapping,,CANNON HILL
Animal,Cat Trapping,,CARINDALE
Animal,Other Animal,Fox,CHERMSIDE WEST
Animal,Attack,Attack On A Person,CALAMVALE
Animal,Attack,Attack On A Person,BALD HILLS
Animal,Attack,Menacing,HOLLAND PARK
Animal,Attack,Menacing,CARSELDINE
Animal,Dog,Fencing Issues,MANLY
Animal,Dog,Fencing Issues,WINDSOR
Animal,Attack,Attack On A Person,JINDALEE
Animal,Attack,Attack On A Person,ZILLMERE
Animal,Other Animal,Fox,KARANA DOWNS
Animal,Dog,Fencing Issues,THE GAP
Animal,Dog,Fencing Issues,TOOWONG
Animal,Attack,Attack On An Animal,KENMORE
Animal,Cat Trapping,,BRIGHTON
Animal,Attack,Attack On An Animal,BRIGHTON
Animal,Attack,Attack On A Person,BALD HILLS
Animal,Dog,Fencing Issues,JINDALEE
Animal,Other Animal,Fox,MOOROOKA
Animal,Cat Trapping,,YERONGA
Animal,Attack,Menacing,NUNDAH
Animal,Attack,Attack On A Person,BRIDGEMAN DOWNS
Animal,Other Animal,Fox,UPPER BROOKFIELD
Animal,Other Animal,Nuisance Animal,WISHART
Animal,Dog,Too Many Animals,WYNNUM
Animal,Dog,Odour,BRACKEN RIDGE
Animal,Dog,Fencing Issues,BULWER
Animal,Other Animal,Pest / Feral Animal,STAFFORD
Animal,Dog,Too Many Animals,INALA
Animal,Cat,,RIVERHILLS
Animal,Other Animal,Nuisance Animal,BOONDALL
Animal,Dog,Odour,WESTLAKE
Animal,Dog,Fencing Issues,THE GAP
Animal,Dog,Fencing Issues,TARRAGINDI
Animal,Attack,Menacing,EVERTON PARK
Animal,Dog,Fencing Issues,SUNNYBANK
Animal,Dog,Unregistered,BRISBANE CITY
Animal,Other Animal,Fox,GUMDALE
Animal,Cat Trapping,,WISHART
Animal,Other Animal,Fox,CAMP HILL
Animal,Cat Trapping,,BANYO
Animal,Other Animal,Odour,BANYO
Animal,Dog,Odour,INALA
Animal,Attack,Attack On An Animal,DEAGON
Animal,Other Animal,,RICHLANDS
Animal,Attack,Attack On An Animal,HOLLAND PARK
Animal,Other Animal,Fox,NATHAN
Animal,Attack,Menacing,TOOWONG
Animal,Cat Trapping,,SUNNYBANK HILLS
Animal,Attack,Not An Attack,COOPERS PLAINS
Animal,Dog,Unregistered,EIGHT MILE PLAINS
Animal,Attack,Not An Attack,PULLENVALE
Animal,Attack,Attack On An Animal,WINDSOR
Animal,Cat Trapping,,MIDDLE PARK
Animal,Attack,Not An Attack,JINDALEE
Animal,Other Animal,Fox,NATHAN
Animal,Cat Trapping,,ELLEN GROVE
Animal,Attack,Not An Attack,CAMP HILL
Animal,Attack,Attack On An Animal,FAIRFIELD
Animal,Attack,Attack On An Animal,UPPER KEDRON
Animal,Attack,Not An Attack,STONES CORNER
Animal,Attack,Attack On A Person,COOPERS PLAINS
Animal,Dog,Fencing Issues,CHAPEL HILL
Animal,Other Animal,Nuisance Animal,SEVEN HILLS
Animal,Attack,Menacing,BRACKEN RIDGE
Animal,Cat Trapping,,BRIDGEMAN DOWNS
Animal,Dog,Too Many Animals,EVERTON PARK
Animal,Dog,Fencing Issues,GREENSLOPES
