Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb
Animal,Dog,Fencing Issues,STAFFORD
Animal,Dog,Unregistered,WYNNUM WEST
Animal,Other Animal,Defecating In Public,HERSTON
Animal,Attack,Not An Attack,WISHART
Animal,Dog,Unregistered,RUNCORN
Animal,Attack,Attack On An Animal,TARRAGINDI
Animal,Dog,Unregistered,JINDALEE
Animal,Attack,Attack On An Animal,WAKERLEY
Animal,Cat Trapping,,EVERTON PARK
Animal,Dog,Fencing Issues,WESTLAKE
Animal,Other Animal,Fox,RIVERHILLS
Animal,Attack,Attack On An Animal,ACACIA RIDGE
Animal,Attack,Attack On A Person,CORINDA
Animal,Attack,Attack On An Animal,NUNDAH
Animal,Attack,Attack On A Person,SINNAMON PARK
Animal,Dog,Unregistered,PADDINGTON
Animal,Dog,Unregistered,EVERTON PARK
Animal,Attack,Attack On An Animal,CARINA HEIGHTS
Animal,Dog,Wandering,CHERMSIDE
Animal,Dog,Unregistered,COORPAROO
Animal,Dog,Wandering,WAVELL HEIGHTS
Animal,Attack,Menacing,THE GAP
Animal,Dog,Fencing Issues,BRIGHTON
Animal,Dog,Unregistered,PADDINGTON
Animal,Dog,Unregistered,SUNNYBANK HILLS
Animal,Dog,Unregistered,DREWVALE
Animal,Dog,Defecating In Public,ALDERLEY
Animal,Dog,,BARDON
Animal,Dog,Unregistered,ASPLEY
Animal,Dog,Fencing Issues,MOOROOKA
Animal,Dog,Unregistered,TARRAGINDI
Animal,Attack,,EAST BRISBANE
Animal,Dog,Fencing Issues,MCDOWALL
Animal,Other Animal,,BELMONT
Animal,Attack,Attack On A Person,SHERWOOD
Animal,Dog,,CHERMSIDE WEST
Animal,Other Animal,Fencing Issues,GUMDALE
Animal,Dog,Unregistered,CARINA
Animal,Cat Trapping,,INALA
Animal,Attack,Attack On A Person,ACACIA RIDGE
Animal,Attack,Attack On An Animal,HOLLAND PARK
Animal,Dog,Unregistered,SALISBURY
Animal,Dog,Unregistered,EVERTON PARK
Animal,Dog,Unregistered,PALLARA
Animal,Dog,Unregistered,RUNCORN
Animal,Dog,Unregistered,BRACKEN RIDGE
Animal,Attack,,WAVELL HEIGHTS
Animal,Dog,Wandering,ASHGROVE
Animal,Dog,Wandering,ASHGROVE
Animal,Dog,Wandering,ASHGROVE
Animal,Dog,Wandering,BRISBANE CITY
Animal,Cat Trapping,,YERONGA
Animal,Cat Trapping,,SUNNYBANK
Animal,Dog,Unregistered,WISHART
Animal,Dog,,CHAPEL HILL
Animal,Dog,,NUDGEE BEACH
Animal,Dog,Fencing Issues,NUNDAH
Animal,Other Animal,Nuisance Animal,HAMILTON
Animal,Other Animal,Fox,SEVEN HILLS
Animal,Dog,Unregistered,ELLEN GROVE
Animal,Dog,Wandering,CHERMSIDE
Animal,Dog,,BARDON
Animal,Cat Trapping,,SUNNYBANK HILLS
Animal,Dog,Unregistered,BULIMBA
Animal,Attack,Attack On An Animal,WYNNUM
Animal,Attack,Attack On A Person,FOREST LAKE
Animal,Dog,Unregistered,SUNNYBANK HILLS
Animal,Attack,Attack On A Person,STAFFORD
Animal,Dog,Fencing Issues,INALA
Animal,Dog,Unregistered,ASPLEY
Animal,Dog,,MILTON
Animal,Dog,Unregistered,KHOLO
Animal,Dog,Wandering,CHERMSIDE
Animal,Dog,Wandering,CHERMSIDE
Animal,Attack,Not An Attack,WACOL
Animal,Dog,Unregistered,MANSFIELD
Animal,Dog,Unregistered,ROCHEDALE
Animal,Dog,Unregistered,RUNCORN
Animal,Dog,Wandering,YERONGA
Animal,Dog,Unregistered,KEPERRA
Animal,Dog,,CAMP HILL
Animal,Dog,,CAMP HILL
Animal,Dog,Odour,CALAMVALE
Animal,Other Animal,Fox,MACGREGOR
Animal,Dog,Fencing Issues,SALISBURY
Animal,Dog,Unregistered,MOUNT GRAVATT
Animal,Dog,,CHAPEL HILL
Animal,Dog,,CARINA
Animal,Dog,,CARINDALE
Animal,Attack,Attack On A Person,UPPER MOUNT GRAVATT
Animal,Dog,,KANGAROO POINT
Animal,Dog,,BARDON
Animal,Cat,Wandering,BELMONT
Animal,Cat Trapping,,INALA
Animal,Dog,Unregistered,BULIMBA
Animal,Attack,Attack On A Person,CAMP HILL
Animal,Dog,Unregistered,BULIMBA
Animal,Attack,Attack On A Person,NUDGEE
Animal,Attack,Attack On A Person,NUDGEE
Animal,Attack,Attack On A Person,ASHGROVE
Animal,Cat,,JINDALEE
Animal,Dog,,NUDGEE BEACH
Animal,Other Animal,,BARDON
Animal,Dog,Fencing Issues,WYNNUM
Animal,Cat Trapping,,WOOLLOONGABBA
