Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb
Animal,Dog,Defecating In Public,STAFFORD
Animal,Cat Trapping,,MCDOWALL
Animal,Dog,Odour,CORINDA
Animal,Dog,Defecating In Public,MOUNT GRAVATT
Animal,Dog,Fencing Issues,EIGHT MILE PLAINS
Animal,Attack,Attack On A Person,CAMP HILL
Animal,Dog,Odour,ELLEN GROVE
Animal,Attack,Attack On An Animal,BRACKEN RIDGE
Animal,Other Animal,,CARINA
Animal,Cat,,WYNNUM WEST
Animal,Cat,,NEWMARKET
Animal,Dog,Defecating In Public,NATHAN
Animal,Attack,Attack On A Person,INALA
Animal,Other Animal,,CHANDLER
Animal,Attack,Attack On A Person,WAVELL HEIGHTS
Animal,Other Animal,,RED HILL
Animal,Other Animal,Nuisance Animal,KARAWATHA
Animal,Attack,Attack On An Animal,TINGALPA
Animal,Attack,Attack On An Animal,FOREST LAKE
Animal,Cat,,WINDSOR
Animal,Attack,Attack On An Animal,CARINA
Animal,Dog,Fencing Issues,SALISBURY
Animal,Other Animal,Fencing Issues,KARAWATHA
Animal,Dog,Odour,NEW FARM
Animal,Other Animal,Odour,STAFFORD
Animal,Cat,,BOONDALL
Animal,Other Animal,Deer,PULLENVALE
Animal,Cat Trapping,,ENOGGERA
Animal,Attack,Attack On An Animal,KEPERRA
Animal,Cat Trapping,,SANDGATE
Animal,Other Animal,Fox,MOGGILL
Animal,Dog,Fencing Issues,SANDGATE
Animal,Attack,Attack On A Person,BANYO
Animal,Dog,Unregistered,DURACK
Animal,Dog,Fencing Issues,SUNNYBANK HILLS
Animal,Attack,Not An Attack,KARANA DOWNS
Animal,Dog,Fencing Issues,SANDGATE
Animal,Other Animal,Nuisance Animal,SALISBURY
Animal,Cat Trapping,,BOONDALL
Animal,Dog,Odour,BOONDALL
Animal,Attack,Attack On An Animal,NORMAN PARK
Animal,Dog,Fencing Issues,BANYO
Animal,Attack,Attack On An Animal,INDOOROOPILLY
Animal,Attack,Menacing,CHERMSIDE WEST
Animal,Dog,Fencing Issues,RIVERHILLS
Animal,Cat,,ANNERLEY
Animal,Other Animal,Nuisance Animal,KEPERRA
Animal,Other Animal,Nuisance Animal,BRIDGEMAN DOWNS
Animal,Dog,Too Many Animals,KEPERRA
Animal,Attack,Attack On A Person,TARINGA
Animal,Dog,Fencing Issues,BALD HILLS
Animal,Other Animal,Fox,WISHART
Animal,Dog,Defecating In Public,TINGALPA
Animal,Dog,Fencing Issues,BANYO
Animal,Dog,Defecating In Public,ASCOT
Animal,Attack,Attack On An Animal,KEPERRA
Animal,Other Animal,Pest / Feral Animal,CHANDLER
Animal,Dog,Unregistered,
Animal,Dog,Fencing Issues,HERSTON
Animal,Dog,Fencing Issues,THE GAP
Animal,Attack,Not An Attack,HAWTHORNE
Animal,Dog,Fencing Issues,MOUNT GRAVATT EAST
Animal,Other Animal,Fox,BALD HILLS
Animal,Other Animal,Deer,ANSTEAD
Animal,Other Animal,Nuisance Animal,UPPER MOUNT GRAVATT
Animal,Dog,Fencing Issues,HAWTHORNE
Animal,Other Animal,Feral Goat,WILLAWONG
Animal,Attack,Attack On An Animal,CARINA
Animal,Other Animal,,BROOKFIELD
Animal,Dog,Unregistered,SUNNYBANK HILLS
Animal,Dog,Fencing Issues,MOOROOKA
Animal,Cat,,THE GAP
Animal,Dog,Fencing Issues,CALAMVALE
Animal,Other Animal,Feral Pig,KHOLO
Animal,Other Animal,Fox,ANSTEAD
Animal,Other Animal,Fox,NUDGEE
Animal,Other Animal,Fox,BOONDALL
Animal,Attack,,RUNCORN
Animal,Dog,Fencing Issues,BELLBOWRIE
Animal,Cat,,CALAMVALE
Animal,Attack,Attack On An Animal,CARINA
Animal,Attack,Menacing,HOLLAND PARK
Animal,Dog,Fencing Issues,STAFFORD
Animal,Other Animal,Fencing Issues,ACACIA RIDGE
Animal,Attack,Attack On A Person,INALA
Animal,Cat Trapping,,RIVERHILLS
Animal,Cat,,WYNNUM
Animal,Dog,Fencing Issues,MOOROOKA
Animal,Other Animal,Fox,GRACEVILLE
Animal,Other Animal,Fox,SANDGATE
Animal,Dog,Unregistered,TARRAGINDI
Animal,Other Animal,Nuisance Animal,RUNCORN
Animal,Other Animal,Nuisance Animal,DARRA
Animal,Other Animal,Fox,DUTTON PARK
Animal,Cat Trapping,,WYNNUM WEST
Animal,Attack,Attack On An Animal,FOREST LAKE
Animal,Dog,Fencing Issues,CHANDLER
Animal,Attack,Attack On An Animal,ROBERTSON
Animal,Dog,Fencing Issues,NEW FARM
Animal,Attack,Menacing,GORDON PARK
Animal,Dog,Fencing Issues,OXLEY
Animal,Dog,Fencing Issues,HOLLAND PARK
Animal,Other Animal,Deer,UPPER BROOKFIELD
Animal,Other Animal,Fox,PULLENVALE
Animal,Dog,Fencing Issues,WAVELL HEIGHTS
Animal,Attack,Attack On An Animal,TARINGA
Animal,Dog,Too Many Animals,ZILLMERE
Animal,Other Animal,Odour,DOOLANDELLA
Animal,Dog,Fencing Issues,INALA
Animal,Attack,Menacing,HAMILTON
Animal,Dog,Defecating In Public,DREWVALE
Animal,Cat Trapping,,BOONDALL
Animal,Dog,Defecating In Public,UPPER MOUNT GRAVATT
Animal,Dog,Fencing Issues,MOGGILL
Animal,Attack,Attack On An Animal,HAWTHORNE
Animal,Dog,Too Many Animals,SUNNYBANK
Animal,Attack,Attack On An Animal,BANYO
Animal,Attack,Attack On A Person,FOREST LAKE
Animal,Attack,Attack On An Animal,CALAMVALE
Animal,Dog,Unregistered,ELLEN GROVE
Animal,Attack,Not An Attack,INDOOROOPILLY
Animal,Other Animal,Nuisance Animal,BRIGHTON
Animal,Cat Trapping,,EVERTON PARK
Animal,Attack,Attack On An Animal,INALA
Animal,Attack,Attack On An Animal,INALA
Animal,Attack,Attack On An Animal,INALA
Animal,Dog,Fencing Issues,TARINGA
Animal,Attack,Not An Attack,BOONDALL
Animal,Cat Trapping,,INALA
Animal,Dog,Fencing Issues,BALD HILLS
Animal,Attack,Attack On An Animal,TINGALPA
Animal,Cat Trapping,,KARANA DOWNS
Animal,Dog,Fencing Issues,ELLEN GROVE
Animal,Other Animal,Nuisance Animal,FOREST LAKE
Animal,Attack,Attack On An Animal,WYNNUM WEST
Animal,Other Animal,Rabbit,RED HILL
Animal,Other Animal,Fox,UPPER BROOKFIELD
Animal,Dog,Fencing Issues,CARINA
Animal,Dog,Fencing Issues,HEMMANT
Animal,Attack,Attack On A Person,KEPERRA
Animal,Attack,Attack On A Person,INALA
Animal,Dog,Fencing Issues,ZILLMERE
Animal,Other Animal,Pest / Feral Animal,THE GAP
Animal,Dog,Fencing Issues,UPPER KEDRON
Animal,Other Animal,Fox,PULLENVALE
Animal,Cat Trapping,,WYNNUM
Animal,Attack,Not An Attack,TINGALPA
Animal,Dog,Too Many Animals,COORPAROO
Animal,Cat Trapping,,ACACIA RIDGE
Animal,Dog,Fencing Issues,MOUNT CROSBY
Animal,Cat,,OXLEY
Animal,Dog,Fencing Issues,MOOROOKA
Animal,Other Animal,Fox,PINJARRA HILLS
Animal,Attack,Not An Attack,RUNCORN
Animal,Other Animal,Pest / Feral Animal,RICHLANDS
Animal,Dog,Fencing Issues,ZILLMERE
Animal,Other Animal,Fox,ROCKLEA
Animal,Other Animal,Fox,DUTTON PARK
Animal,Dog,Defecating In Public,INALA
Animal,Dog,Unregistered,GRANGE
Animal,Cat Trapping,,MOUNT GRAVATT EAST
Animal,Dog,Defecating In Public,CHERMSIDE
Animal,Attack,Attack On A Person,NORMAN PARK
Animal,Attack,Attack On A Person,INALA
Animal,Attack,Attack On An Animal,BRACKEN RIDGE
Animal,Attack,Menacing,WYNNUM WEST
Animal,Attack,Menacing,SUNNYBANK
Animal,Dog,Odour,GRANGE
Animal,Attack,Attack On An Animal,CARINDALE
Animal,Other Animal,Fox,ALGESTER
Animal,Cat Trapping,,WOOLLOONGABBA
Animal,Dog,Unregistered,FOREST LAKE
Animal,Dog,Fencing Issues,INALA
Animal,Cat Trapping,,ST LUCIA
Animal,Dog,Fencing Issues,NORTHGATE
Animal,Attack,Menacing,SUNNYBANK
Animal,Other Animal,,JINDALEE
Animal,Other Animal,,HOLLAND PARK WEST
Animal,Other Animal,Nuisance Animal,WYNNUM
Animal,Dog,Too Many Animals,ZILLMERE
Animal,Dog,Fencing Issues,SANDGATE
Animal,Attack,Attack On An Animal,HOLLAND PARK
Animal,Attack,Menacing,GUMDALE
Animal,Attack,Attack On A Person,LOTA
Animal,Dog,Fencing Issues,PINJARRA HILLS
Animal,Dog,Fencing Issues,NORMAN PARK
Animal,Dog,Defecating In Public,CARSELDINE
Animal,Attack,Attack On An Animal,GRANGE
Animal,Attack,Attack On A Person,EVERTON PARK
Animal,Cat Trapping,,FOREST LAKE
Animal,Attack,Attack On A Person,RIVERHILLS
Animal,Dog,Fencing Issues,GORDON PARK
Animal,Dog,Too Many Animals,BRACKEN RIDGE
Animal,Dog,Fencing Issues,SALISBURY
Animal,Dog,Fencing Issues,DARRA
Animal,Attack,Not An Attack,BOONDALL
Animal,Attack,Attack On A Person,ROBERTSON
Animal,Attack,Attack On A Person,KARAWATHA
Animal,Dog,Fencing Issues,BRACKEN RIDGE
Animal,Attack,Menacing,BRIGHTON
Animal,Attack,Attack On An Animal,DUTTON PARK
Animal,Other Animal,Pest / Feral Animal,UPPER KEDRON
Animal,Attack,Not An Attack,MOOROOKA
Animal,Dog,Fencing Issues,WINDSOR
Animal,Attack,Attack On A Person,ANSTEAD
Animal,Other Animal,Wild Dog,UPPER BROOKFIELD
Animal,Dog,,FOREST LAKE
Animal,Dog,,MOUNT GRAVATT EAST
Animal,Dog,Fencing Issues,HAMILTON
Animal,Other Animal,Pest / Feral Animal,BRISBANE CITY
Animal,Dog,Unregistered,KEPERRA
Animal,Dog,Unregistered,FOREST LAKE
Animal,Dog,Unregistered,
Animal,Dog,Too Many Animals,WACOL
Animal,Dog,Fencing Issues,WACOL
Animal,Dog,Fencing Issues,WACOL
Animal,Dog,Fencing Issues,MANSFIELD
Animal,Dog,Defecating In Public,CHAPEL HILL
Animal,Attack,Attack On An Animal,FOREST LAKE
Animal,Attack,Attack On An Animal,KELVIN GROVE
Animal,Dog,Fencing Issues,DARRA
Animal,Attack,Menacing,KEPERRA
Animal,Cat,,SEVENTEEN MILE ROCKS
Animal,Attack,,HOLLAND PARK WEST
Animal,Other Animal,Nuisance Animal,BRIGHTON
Animal,Dog,Fencing Issues,BARDON
Animal,Dog,Unregistered,SUNNYBANK HILLS
Animal,Attack,Attack On A Person,HIGHGATE HILL
Animal,Attack,Attack On A Person,HEATHWOOD
Animal,Attack,Menacing,EVERTON PARK
Animal,Attack,Not An Attack,FOREST LAKE
Animal,Attack,Attack On A Person,MITCHELTON
Animal,Dog,Fencing Issues,CAMP HILL
Animal,Other Animal,Nuisance Animal,MANSFIELD
Animal,Attack,Not An Attack,MCDOWALL
Animal,Attack,Attack On A Person,SINNAMON PARK
Animal,Other Animal,Fox,COORPAROO
Animal,Dog,Fencing Issues,MITCHELTON
Animal,Attack,Attack On An Animal,RUNCORN
Animal,Cat Trapping,,CALAMVALE
Animal,Cat,,BELMONT
Animal,Dog,Defecating In Public,HEMMANT
Animal,Other Animal,Nuisance Animal,DOOLANDELLA
Animal,Dog,Fencing Issues,SANDGATE
Animal,Cat,,STAFFORD
Animal,Other Animal,Nuisance Animal,SEVEN HILLS
Animal,Attack,Menacing,CHERMSIDE WEST
Animal,Attack,Attack On A Person,WILSTON
Animal,Attack,Attack On An Animal,COORPAROO
Animal,Other Animal,Nuisance Animal,CARINDALE
Animal,Attack,Attack On An Animal,COORPAROO
Animal,Cat Trapping,,NUDGEE
Animal,Attack,Attack On A Person,NEWMARKET
Animal,Other Animal,Pest / Feral Animal,TAIGUM
Animal,Dog,Fencing Issues,DEAGON
Animal,Attack,Attack On An Animal,BARDON
Animal,Attack,Attack On A Person,ELLEN GROVE
Animal,Dog,Defecating In Public,BELMONT
Animal,Dog,Fencing Issues,YERONGA
Animal,Dog,Too Many Animals,BRACKEN RIDGE
Animal,Attack,Not An Attack,NORTHGATE
Animal,Attack,Not An Attack,INDOOROOPILLY
Animal,Attack,Attack On A Person,SOUTH BRISBANE
Animal,Attack,Attack On An Animal,CHERMSIDE
Animal,Attack,Not An Attack,MOUNT OMMANEY
Animal,Dog,Fencing Issues,FITZGIBBON
Animal,Attack,Attack On A Person,MOUNT OMMANEY
Animal,Attack,Attack On An Animal,BALMORAL
Animal,Attack,Attack On An Animal,EIGHT MILE PLAINS
Animal,Attack,Not An Attack,KEDRON
Animal,Other Animal,Nuisance Animal,SUNNYBANK HILLS
Animal,Other Animal,Nuisance Animal,BROOKFIELD
Animal,Other Animal,Nuisance Animal,BRISBANE CITY
Animal,Attack,Attack On A Person,WINDSOR
Animal,Attack,Attack On An Animal,INALA
Animal,Cat Trapping,,EVERTON PARK
Animal,Attack,Attack On An Animal,HAWTHORNE
Animal,Attack,Attack On An Animal,EAST BRISBANE
Animal,Other Animal,Fox,WILLAWONG
Animal,Other Animal,Fox,WILLAWONG
Animal,Dog,Fencing Issues,BROOKFIELD
Animal,Dog,Fencing Issues,BROOKFIELD
Animal,Attack,Attack On An Animal,SHERWOOD
Animal,Other Animal,Fox,BULIMBA
Animal,Cat Trapping,,RIVERHILLS
Animal,Attack,Attack On An Animal,OXLEY
Animal,Attack,Attack On An Animal,FIG TREE POCKET
Animal,Cat Trapping,,BULIMBA
Animal,Attack,Menacing,HOLLAND PARK WEST
Animal,Other Animal,Fox,BURBANK
Animal,Dog,Fencing Issues,STRETTON
Animal,Attack,Attack On An Animal,SEVEN HILLS
Animal,Other Animal,Nuisance Animal,MOUNT GRAVATT
Animal,Dog,Fencing Issues,WAVELL HEIGHTS
Animal,Dog,Fencing Issues,YERONGA
Animal,Other Animal,Nuisance Animal,INALA
Animal,Dog,Odour,MOUNT GRAVATT EAST
Animal,Dog,Fencing Issues,ASHGROVE
Animal,Dog,Fencing Issues,ASHGROVE
Animal,Other Animal,Fox,NORMAN PARK
Animal,Dog,Fencing Issues,DOOLANDELLA
Animal,Other Animal,Nuisance Animal,BRISBANE CITY
Animal,Attack,Attack On A Person,BOONDALL
Animal,Dog,Fencing Issues,NORMAN PARK
Animal,Dog,Too Many Animals,MOOROOKA
Animal,Attack,Attack On A Person,WYNNUM
Animal,Other Animal,Fox,CARINDALE
Animal,Other Animal,Deer,JINDALEE
Animal,Other Animal,Nuisance Animal,CARINDALE
Animal,Attack,Not An Attack,CHAPEL HILL
Animal,Dog,Fencing Issues,CHANDLER
Animal,Dog,Fencing Issues,ACACIA RIDGE
Animal,Attack,Not An Attack,CALAMVALE
Animal,Cat Trapping,,GEEBUNG
Animal,Attack,Not An Attack,MOUNT GRAVATT EAST
Animal,Attack,Attack On A Person,NORMAN PARK
Animal,Attack,Attack On An Animal,ELLEN GROVE
Animal,Attack,Attack On An Animal,GRACEVILLE
Animal,Other Animal,Wild Dog,PINJARRA HILLS
Animal,Attack,Menacing,HERSTON
Animal,Attack,Attack On A Person,WISHART
Animal,Cat,,ANNERLEY
Animal,Attack,Attack On A Person,ELLEN GROVE
Animal,Other Animal,Pest / Feral Animal,BRISBANE CITY
Animal,Cat,,STAFFORD HEIGHTS
Animal,Other Animal,Nuisance Animal,KARANA DOWNS
Animal,Dog,,SANDGATE
Animal,Dog,Defecating In Public,YERONGA
Animal,Attack,Attack On A Person,BRIGHTON
Animal,Other Animal,Fox,BURBANK
Animal,Other Animal,Fox,CARINDALE
Animal,Dog,Defecating In Public,SUNNYBANK HILLS
Animal,Dog,Fencing Issues,NUNDAH
Animal,Cat Trapping,,TARRAGINDI
Animal,Dog,Fencing Issues,CARINA HEIGHTS
Animal,Dog,Fencing Issues,DURACK
Animal,Dog,Defecating In Public,MACGREGOR
Animal,Other Animal,Fox,CAMP HILL
Animal,Dog,Too Many Animals,ZILLMERE
Animal,Dog,Too Many Animals,ZILLMERE
Animal,Dog,Defecating In Public,BRACKEN RIDGE
Animal,Other Animal,Nuisance Animal,PULLENVALE
Animal,Dog,Too Many Animals,NUDGEE BEACH
Animal,Attack,Attack On An Animal,HOLLAND PARK WEST
Animal,Attack,Attack On An Animal,ZILLMERE
Animal,Dog,Fencing Issues,PARKINSON
Animal,Other Animal,Pest / Feral Animal,RICHLANDS
Animal,Dog,Fencing Issues,CHERMSIDE
Animal,Cat,,MOUNT GRAVATT EAST
Animal,Attack,Attack On A Person,FITZGIBBON
Animal,Attack,Menacing,DURACK
Animal,Attack,Attack On A Person,PADDINGTON
Animal,Other Animal,Nuisance Animal,CANNON HILL
Animal,Dog,Fencing Issues,UPPER MOUNT GRAVATT
Animal,Dog,Fencing Issues,ROCHEDALE
Animal,Dog,Odour,GUMDALE
Animal,Cat,,SANDGATE
Animal,Attack,Attack On An Animal,GUMDALE
Animal,Dog,Unregistered,DARRA
Animal,Other Animal,Feral Cat,BULIMBA
Animal,Other Animal,Fox,BULIMBA
Animal,Dog,Unregistered,BELLBOWRIE
Animal,Attack,Attack On A Person,CALAMVALE
Animal,Attack,Attack On An Animal,DOOLANDELLA
Animal,Dog,Fencing Issues,YEERONGPILLY
Animal,Dog,Unregistered,BELMONT
Animal,Dog,Fencing Issues,PALLARA
Animal,Attack,Attack On A Person,TARINGA
Animal,Other Animal,Nuisance Animal,CANNON HILL
Animal,Attack,Attack On An Animal,CARSELDINE
Animal,Attack,Attack On A Person,FOREST LAKE
Animal,Dog,Fencing Issues,WISHART
Animal,Attack,Attack On An Animal,STAFFORD
Animal,Attack,Not An Attack,CARINDALE
Animal,Dog,Unregistered,ANNERLEY
Animal,Dog,Fencing Issues,DOOLANDELLA
Animal,Attack,Menacing,SANDGATE
Animal,Dog,Fencing Issues,BRIGHTON
Animal,Dog,Fencing Issues,YERONGA
