Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb
Animal,Other Animal,Unregistered,MORNINGSIDE
Animal,Other Animal,Fox,GUMDALE
Animal,Cat,,CARSELDINE
Animal,Dog,Fencing Issues,ZILLMERE
Animal,Dog,Odour,CAMP HILL
Animal,Dog,,ELLEN GROVE
Animal,Attack,Attack On An Animal,ALGESTER
Animal,Attack,Attack On An Animal,FIG TREE POCKET
Animal,Other Animal,Fox,GUMDALE
Animal,Attack,Attack On An Animal,CLAYFIELD
Animal,Other Animal,Wild Dog,MOGGILL
Animal,Dog,Fencing Issues,TOOWONG
Animal,Dog,Fencing Issues,MOUNT GRAVATT EAST
Animal,Dog,Unregistered,WYNNUM
Animal,Attack,Not An Attack,MOUNT GRAVATT EAST
Animal,Attack,Menacing,SUNNYBANK HILLS
Animal,Attack,Not An Attack,WYNNUM
Animal,Dog,Fencing Issues,NEWMARKET
Animal,Dog,Fencing Issues,WINDSOR
Animal,Other Animal,Fox,PINJARRA HILLS
Animal,Dog,,HOLLAND PARK WEST
Animal,Dog,Fencing Issues,DARRA
Animal,Attack,,WYNNUM
Animal,Other Animal,Nuisance Animal,TENERIFFE
Animal,Cat,,MOUNT GRAVATT EAST
Animal,Dog,Fencing Issues,EVERTON PARK
Animal,Dog,Fencing Issues,ELLEN GROVE
Animal,Other Animal,Deer,KENMORE HILLS
Animal,Cat,,CLAYFIELD
Animal,Cat,,BRACKEN RIDGE
Animal,Attack,Attack On An Animal,SALISBURY
Animal,Other Animal,Wild Dog,THE GAP
Animal,Cat Trapping,,BOONDALL
Animal,Dog,Fencing Issues,WOOLOOWIN
Animal,Attack,Attack On An Animal,FERNY GROVE
Animal,Dog,Fencing Issues,KARANA DOWNS
Animal,Dog,Fencing Issues,KURABY
Animal,Attack,Menacing,EVERTON PARK
Animal,Attack,Attack On An Animal,HAMILTON
Animal,Cat Trapping,,COOPERS PLAINS
Animal,Dog,Fencing Issues,SANDGATE
Animal,Attack,Not An Attack,DARRA
Animal,Attack,Attack On An Animal,GORDON PARK
Animal,Dog,Fencing Issues,CARINA
Animal,Cat,,BARDON
Animal,Cat,,CHERMSIDE
Animal,Cat Trapping,,CHERMSIDE
Animal,Attack,Attack On A Person,BELLBOWRIE
Animal,Attack,Not An Attack,BELLBOWRIE
Animal,Other Animal,Fox,ROCHEDALE
Animal,Dog,Unregistered,ACACIA RIDGE
Animal,Attack,Attack On An Animal,BULIMBA
Animal,Other Animal,Pest / Feral Animal,FORTITUDE VALLEY
Animal,Attack,Menacing,ACACIA RIDGE
Animal,Other Animal,Nuisance Animal,DARRA
Animal,Attack,Attack On An Animal,YERONGA
Animal,Dog,Fencing Issues,INALA
Animal,Dog,Unregistered,WYNNUM
Animal,Dog,Fencing Issues,INALA
Animal,Cat,,ASCOT
Animal,Attack,Not An Attack,ELLEN GROVE
Animal,Dog,Fencing Issues,GORDON PARK
Animal,Attack,Menacing,MOOROOKA
Animal,Other Animal,Rabbit,RICHLANDS
Animal,Attack,Attack On A Person,BELLBOWRIE
Animal,Other Animal,Wild Dog,UPPER BROOKFIELD
Animal,Attack,Attack On An Animal,FITZGIBBON
Animal,Dog,Fencing Issues,COORPAROO
Animal,Attack,Attack On A Person,NUNDAH
Animal,Dog,Defecating In Public,BRIDGEMAN DOWNS
Animal,Dog,Fencing Issues,GRACEVILLE
Animal,Other Animal,Fox,CARINA
Animal,Attack,Attack On An Animal,COORPAROO
Animal,Attack,Attack On A Person,MANSFIELD
Animal,Attack,Not An Attack,CARINA
Animal,Attack,Not An Attack,MORNINGSIDE
Animal,Other Animal,Fox,CARINDALE
Animal,Cat Trapping,,BELMONT
Animal,Other Animal,Fox,SEVEN HILLS
Animal,Dog,Fencing Issues,MITCHELTON
Animal,Dog,Fencing Issues,KANGAROO POINT
Animal,Attack,Attack On An Animal,FOREST LAKE
Animal,Attack,Attack On A Person,BALD HILLS
Animal,Dog,Fencing Issues,CALAMVALE
Animal,Dog,Fencing Issues,CALAMVALE
Animal,Attack,Attack On An Animal,MOOROOKA
Animal,Other Animal,Nuisance Animal,DEAGON
Animal,Attack,Attack On A Person,STAFFORD HEIGHTS
Animal,Cat Trapping,,EIGHT MILE PLAINS
Animal,Dog,Insufficient Space,THE GAP
Animal,Dog,Fencing Issues,THE GAP
Animal,Cat Trapping,,SINNAMON PARK
Animal,Attack,Not An Attack,CAMP HILL
Animal,Attack,Attack On A Person,WAVELL HEIGHTS
Animal,Other Animal,Fox,MANLY WEST
Animal,Attack,Not An Attack,SUNNYBANK HILLS
Animal,Dog,,BOONDALL
Animal,Dog,Fencing Issues,ROCKLEA
Animal,Dog,Fencing Issues,ROCKLEA
Animal,Other Animal,Insufficient Space,COOPERS PLAINS
Animal,Attack,Menacing,ALGESTER
Animal,Dog,Defecating In Public,WYNNUM WEST
Animal,Dog,Unregistered,COOPERS PLAINS
Animal,Attack,Attack On A Person,ALGESTER
Animal,Dog,Odour,SUNNYBANK HILLS
Animal,Other Animal,Nuisance Animal,CHERMSIDE
Animal,Dog,Odour,BRACKEN RIDGE
Animal,Attack,Attack On An Animal,ASPLEY
Animal,Dog,Too Many Animals,MANLY WEST
Animal,Cat,,WEST END
Animal,Dog,Unregistered,ACACIA RIDGE
Animal,Dog,Fencing Issues,GEEBUNG
Animal,Other Animal,,ANNERLEY
Animal,Cat Trapping,,WYNNUM WEST
Animal,Dog,Fencing Issues,FITZGIBBON
Animal,Dog,Fencing Issues,ASCOT
Animal,Other Animal,Fox,CHELMER
Animal,Cat,,BRIGHTON
Animal,Attack,Attack On A Person,ASPLEY
Animal,Attack,Attack On An Animal,HOLLAND PARK
Animal,Dog,Fencing Issues,CALAMVALE
Animal,Cat Trapping,,CARINA
Animal,Other Animal,Fox,BALD HILLS
Animal,Other Animal,Nuisance Animal,INALA
Animal,Dog,Fencing Issues,SUNNYBANK HILLS
Animal,Other Animal,Fox,UPPER BROOKFIELD
Animal,Cat Trapping,,WEST END
Animal,Dog,Unregistered,CAMP HILL
Animal,Other Animal,Fox,ST LUCIA
Animal,Other Animal,Fox,KARANA DOWNS
Animal,Cat,,MANSFIELD
Animal,Attack,Attack On An Animal,GREENSLOPES
Animal,Attack,Attack On An Animal,BALD HILLS
Animal,Dog,,MOUNT GRAVATT
Animal,Attack,Attack On A Person,KALINGA
Animal,Other Animal,Fox,WYNNUM WEST
Animal,Cat,,WYNNUM
Animal,Attack,Menacing,BROOKFIELD
Animal,Dog,Defecating In Public,FOREST LAKE
Animal,Other Animal,Fox,RANSOME
Animal,Attack,Attack On An Animal,FOREST LAKE
Animal,Cat,,HOLLAND PARK
Animal,Attack,Not An Attack,INALA
Animal,Other Animal,Too Many Animals,INALA
Animal,Dog,Fencing Issues,UPPER KEDRON
Animal,Other Animal,Nuisance Animal,CHERMSIDE
Animal,Cat,,GRANGE
Animal,Attack,Attack On An Animal,MANLY
Animal,Other Animal,Fox,YERONGA
Animal,Other Animal,Deer,WILLAWONG
Animal,Attack,Not An Attack,MOGGILL
Animal,Dog,Fencing Issues,SUNNYBANK HILLS
Animal,Dog,Fencing Issues,SUNNYBANK HILLS
Animal,Attack,Attack On A Person,DEAGON
Animal,Dog,Fencing Issues,STAFFORD
Animal,Cat,,EAST BRISBANE
Animal,Dog,Fencing Issues,WYNNUM
Animal,Dog,Fencing Issues,CARSELDINE
Animal,Dog,Defecating In Public,
Animal,Dog,Fencing Issues,MORNINGSIDE
Animal,Dog,Fencing Issues,MANLY WEST
Animal,Dog,Fencing Issues,MOUNT GRAVATT EAST
Animal,Dog,Defecating In Public,CARSELDINE
Animal,Attack,Attack On An Animal,WACOL
Animal,Cat,,KEDRON
