ParentCoFinal,HDPE,LDPE,O,PET,PP,Grand Total,number of events,number of volunteers
Grand Total,80,2,2381,108,52,2623,1,13
Unbranded,80,0,2067,47,50,2244,1,13
Cesu Premium,0,0,32,0,0,32,1,13
Aldaris,0,0,23,0,0,23,1,13
Cesu Alus,0,0,22,0,0,22,1,13
Carlsberg,0,0,16,0,0,16,1,13
Lacplesis,0,0,15,0,0,15,1,13
PepsiCo,0,0,7,3,0,10,1,13
Latvijas Balzams,0,0,10,0,0,10,1,13
S.A. Damm,0,0,8,0,0,8,1,13
Adazu,0,0,8,0,0,8,1,13
Cesu Bruzu Gaisais,0,0,7,0,0,7,1,13
"Reynolds American, Inc.",0,0,7,0,0,7,1,13
Winstone,0,0,7,0,0,7,1,13
Grimberger,0,0,6,0,0,6,1,13
Cesu Light,0,0,6,0,0,6,1,13
Staburags,0,0,5,0,0,5,1,13
Zelta Cider,0,0,5,0,0,5,1,13
Karums,0,0,5,0,0,5,1,13
Long Drink Cesu,0,0,0,5,0,5,1,13
Lāčplēsis,0,0,0,5,0,5,1,13
Mangaļi,0,0,0,5,0,5,1,13
Tervete,0,0,5,0,0,5,1,13
Heineken International,0,0,4,0,0,4,1,13
Livu Alus,0,0,0,4,0,4,1,13
Ferrero Group,0,0,4,0,0,4,1,13
The Coca-Cola Company,0,0,3,1,0,4,1,13
"Mars, Incorporated",0,0,3,0,0,3,1,13
Cido,0,0,3,0,0,3,1,13
Borjomi,0,0,0,3,0,3,1,13
Red Bull,0,0,3,0,0,3,1,13
Enjoy,0,0,2,1,0,3,1,13
Reckitt Benckiser,0,0,3,0,0,3,1,13
Akvile Still,0,0,0,3,0,3,1,13
Mitava,0,0,3,0,0,3,1,13
Zelta Premium,0,0,3,0,0,3,1,13
Tuborg,0,0,3,0,0,3,1,13
Shwerwood Cider,0,0,0,3,0,3,1,13
Somersby,0,0,2,0,0,2,1,13
Piebalga,0,0,2,0,0,2,1,13
Nasa Marka,0,0,0,2,0,2,1,13
Maxima,0,0,1,0,1,2,1,13
Kubus,0,0,0,2,0,2,1,13
Sherwood,0,0,2,0,0,2,1,13
Prince,0,0,2,0,0,2,1,13
Radler,0,0,2,0,0,2,1,13
Rimi,0,0,0,2,0,2,1,13
Livu Sencu,0,0,2,0,0,2,1,13
Melnik,0,0,2,0,0,2,1,13
Parle,0,0,2,0,0,2,1,13
Freet Active,0,0,0,2,0,2,1,13
Big,0,0,2,0,0,2,1,13
Ventspils Gala,0,0,2,0,0,2,1,13
Cesu Dzons,0,0,2,0,0,2,1,13
Bocmanis,0,0,2,0,0,2,1,13
Burn,0,0,2,0,0,2,1,13
Dinamit Free,0,0,2,0,0,2,1,13
Ulmanlaiku Kvass,0,0,0,2,0,2,1,13
Fruitland,0,0,2,0,0,2,1,13
Tio,0,0,2,0,0,2,1,13
Bralis,0,0,2,0,0,2,1,13
Pols,0,0,1,0,0,1,1,13
Zlatapran,0,0,1,0,0,1,1,13
Pirate,0,0,1,0,0,1,1,13
Zilevskaya,0,0,0,1,0,1,1,13
Ravasi,0,0,1,0,0,1,1,13
Zhiguli,0,0,1,0,0,1,1,13
Piati Ozor,0,0,1,0,0,1,1,13
Rečiskoje Svetloje,0,0,0,1,0,1,1,13
Zelta,0,0,0,1,0,1,1,13
Vichy,0,0,0,1,0,1,1,13
Rigas Galas Kombinats,0,0,1,0,0,1,1,13
Walter,0,0,0,1,0,1,1,13
Supermaki,0,0,1,0,0,1,1,13
Venden,0,0,0,1,0,1,1,13
Vanilla Light,0,0,1,0,0,1,1,13
Unilever,0,0,1,0,0,1,1,13
Alita,0,0,1,0,0,1,1,13
Apinitis,0,0,1,0,0,1,1,13
Sadocok,0,0,1,0,0,1,1,13
Smarij,0,0,1,0,0,1,1,13
Tupla,0,0,1,0,0,1,1,13
Smiltenes Piena Speks,0,0,0,1,0,1,1,13
Staburadze,0,0,1,0,0,1,1,13
Tik Tak,0,0,0,0,1,1,1,13
Bacardi,0,0,1,0,0,1,1,13
Bohemia Reget,0,0,1,0,0,1,1,13
Panda,0,1,0,0,0,1,1,13
Fitness,0,0,1,0,0,1,1,13
Imunella,0,0,1,0,0,1,1,13
Hit,0,0,1,0,0,1,1,13
Haribo,0,0,1,0,0,1,1,13
Glen Russel,0,0,1,0,0,1,1,13
Freitag,0,0,1,0,0,1,1,13
Francis,0,0,1,0,0,1,1,13
Forevers,0,0,1,0,0,1,1,13
Floralis,0,0,1,0,0,1,1,13
Flint,0,0,1,0,0,1,1,13
Fini,0,0,1,0,0,1,1,13
Oh Yes,0,0,1,0,0,1,1,13
Energy Drink,0,0,1,0,0,1,1,13
Dzons,0,0,1,0,0,1,1,13
Diageo,0,0,1,0,0,1,1,13
Danone,0,0,0,1,0,1,1,13
Cortes,0,0,1,0,0,1,1,13
Cornovo,0,0,1,0,0,1,1,13
Bisca,0,0,1,0,0,1,1,13
Cappy,0,0,0,1,0,1,1,13
Bruveris,0,0,1,0,0,1,1,13
Itex,0,1,0,0,0,1,1,13
Jersikas Chips,0,0,1,0,0,1,1,13
Johan,0,0,1,0,0,1,1,13
Jp Chanet,0,0,1,0,0,1,1,13
Obolonj,0,0,0,1,0,1,1,13
Neptunas,0,0,0,1,0,1,1,13
Narvessen,0,0,0,1,0,1,1,13
Nakotne,0,0,1,0,0,1,1,13
Monster Energy,0,0,1,0,0,1,1,13
Mondelez International,0,0,1,0,0,1,1,13
Miranda,0,0,0,1,0,1,1,13
Minsk,0,0,1,0,0,1,1,13
Miezītis,0,0,0,1,0,1,1,13
Bon Pari,0,0,1,0,0,1,1,13
Marienbade,0,0,1,0,0,1,1,13
Maretti,0,0,1,0,0,1,1,13
Lielvardes,0,0,1,0,0,1,1,13
Baltais Seiks,0,0,0,1,0,1,1,13
Laplandia,0,0,1,0,0,1,1,13
Laima,0,0,1,0,0,1,1,13
Bauskas Alus,0,0,0,1,0,1,1,13
Kristaline,0,0,0,1,0,1,1,13
Katjuska,0,0,1,0,0,1,1,13
Līvu Senču,0,0,0,1,0,1,1,13
