ParentCoFinal,EMPTY,HDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Grand Total,0,18,7072,102,140,169,7501,6,327
Unbranded,0,18,6208,43,54,169,6492,6,327
Red Bull,0,0,302,0,0,0,302,6,327
Feldschlösschen,0,0,72,0,0,0,72,6,327
The Coca-Cola Company,0,0,30,16,17,0,63,6,327
Philip Morris,0,0,44,0,0,0,44,6,327
Ferrero Group,0,0,38,0,0,0,38,6,327
"Mars, Incorporated",0,0,30,0,0,0,30,6,327
Migros,0,0,17,8,0,0,25,6,327
Danone,0,0,2,5,18,0,25,6,327
Capri Sun Group Holding,0,0,16,0,0,0,16,6,327
Imperial Brands,0,0,15,0,0,0,15,6,327
Coop,0,0,14,0,0,0,14,6,327
Valser,0,0,1,5,7,0,13,6,327
Rivella,0,0,2,4,4,0,10,6,327
Parisienne,0,0,10,0,0,0,10,6,327
Nestlé,0,0,6,4,0,0,10,6,327
Mondelez International,0,0,9,0,0,0,9,6,327
Gralsburg,0,0,9,0,0,0,9,6,327
KULT,0,0,0,0,8,0,8,6,327
Quöllfrisch,0,0,8,0,0,0,8,6,327
Kong Strong,0,0,8,0,0,0,8,6,327
Farmer,0,0,1,7,0,0,8,6,327
Freeway,0,0,6,0,2,0,8,6,327
Haribo,0,0,7,0,0,0,7,6,327
Perfetti van Melle,0,0,7,0,0,0,7,6,327
Anker Innovations,0,0,7,0,0,0,7,6,327
Storck,0,0,7,0,0,0,7,6,327
Brunette,0,0,7,0,0,0,7,6,327
Fuse Tea,0,0,2,4,0,0,6,6,327
Saskia,0,0,1,0,5,0,6,6,327
Villiger-Kiel,0,0,6,0,0,0,6,6,327
Swiss Alpina,0,0,0,3,3,0,6,6,327
Denner,0,0,6,0,0,0,6,6,327
HUG,0,0,6,0,0,0,6,6,327
Vitell,0,0,0,0,5,0,5,6,327
McDonald's Corporation,0,0,5,0,0,0,5,6,327
"Reynolds American, Inc.",0,0,5,0,0,0,5,6,327
Valora,0,0,5,0,0,0,5,6,327
Darvida,0,0,5,0,0,0,5,6,327
Schoko Bons,0,0,5,0,0,0,5,6,327
Vogue,0,0,4,0,0,0,4,6,327
Emmi,0,0,0,0,4,0,4,6,327
Frey,0,0,4,0,0,0,4,6,327
Tempo,0,0,4,0,0,0,4,6,327
Zweifel,0,0,4,0,0,0,4,6,327
PepsiCo,0,0,0,3,0,0,3,6,327
Peroni,0,0,3,0,0,0,3,6,327
Löwenbräu,0,0,3,0,0,0,3,6,327
Lidl,0,0,2,0,1,0,3,6,327
Diageo,0,0,3,0,0,0,3,6,327
Migros (M Budget),0,0,3,0,0,0,3,6,327
Heineken International,0,0,3,0,0,0,3,6,327
Jägermeister,0,0,3,0,0,0,3,6,327
Blevita,0,0,3,0,0,0,3,6,327
Stimorol,0,0,3,0,0,0,3,6,327
Unilever,0,0,3,0,0,0,3,6,327
Corona,0,0,3,0,0,0,3,6,327
Altes Tramdepot (Bern),0,0,3,0,0,0,3,6,327
Rocchetta,0,0,0,0,3,0,3,6,327
Active Nutrition,0,0,3,0,0,0,3,6,327
Chocolat Halba,0,0,3,0,0,0,3,6,327
Migros Group,0,0,1,0,1,0,2,6,327
Fisherman's Friend,0,0,2,0,0,0,2,6,327
Cailler,0,0,2,0,0,0,2,6,327
Fini,0,0,2,0,0,0,2,6,327
Milchschnitte,0,0,2,0,0,0,2,6,327
Malbuner,0,0,2,0,0,0,2,6,327
Linsoft,0,0,2,0,0,0,2,6,327
Malteser,0,0,2,0,0,0,2,6,327
Trojka,0,0,2,0,0,0,2,6,327
Luky Strike,0,0,2,0,0,0,2,6,327
S.A. Damm,0,0,2,0,0,0,2,6,327
Orange Soda,0,0,2,0,0,0,2,6,327
Holi Energy,0,0,2,0,0,0,2,6,327
Jefto,0,0,2,0,0,0,2,6,327
Kambly,0,0,2,0,0,0,2,6,327
KAS Naranja,0,0,2,0,0,0,2,6,327
Gracia So,0,0,2,0,0,0,2,6,327
Lindt,0,0,1,0,0,0,1,6,327
Tavina,0,0,1,0,0,0,1,6,327
Vitamin Fuchs,0,0,0,0,1,0,1,6,327
Waldemar Behn,0,0,1,0,0,0,1,6,327
edeka,0,0,1,0,0,0,1,6,327
7 Days,0,0,1,0,0,0,1,6,327
herbalife,0,0,1,0,0,0,1,6,327
Kägi fret,0,0,1,0,0,0,1,6,327
isostar,0,0,1,0,0,0,1,6,327
Tictac,0,0,0,0,1,0,1,6,327
Red Band,0,0,1,0,0,0,1,6,327
Swiss Natural Water,0,0,0,0,1,0,1,6,327
Rémy Cointreau,0,0,1,0,0,0,1,6,327
Ragusa,0,0,1,0,0,0,1,6,327
Restaurant Brands International,0,0,1,0,0,0,1,6,327
Riodoro,0,0,1,0,0,0,1,6,327
Pernod Ricard,0,0,1,0,0,0,1,6,327
Roland,0,0,1,0,0,0,1,6,327
Rudolf Ölz,0,0,1,0,0,0,1,6,327
Papa Joe's,0,0,1,0,0,0,1,6,327
Oscar Mayer,0,0,1,0,0,0,1,6,327
Optigal,0,0,1,0,0,0,1,6,327
Sagles,0,0,1,0,0,0,1,6,327
Mezzo mix,0,0,0,0,1,0,1,6,327
Mövenpick,0,0,0,0,1,0,1,6,327
Moretti,0,0,1,0,0,0,1,6,327
Salzburg,0,0,1,0,0,0,1,6,327
Moods,0,0,1,0,0,0,1,6,327
Skittler,0,0,1,0,0,0,1,6,327
Minor,0,0,1,0,0,0,1,6,327
Reeses,0,0,1,0,0,0,1,6,327
Sprüngli,0,0,1,0,0,0,1,6,327
Subway,0,0,1,0,0,0,1,6,327
Ramseier Suisse,0,0,0,0,1,0,1,6,327
MAMA,0,0,1,0,0,0,1,6,327
Johnnie Walker Red Label,0,0,1,0,0,0,1,6,327
Fleer,0,0,1,0,0,0,1,6,327
Granini,0,0,0,0,1,0,1,6,327
Gelatelli,0,0,1,0,0,0,1,6,327
Asmara,0,0,1,0,0,0,1,6,327
Frisco,0,0,1,0,0,0,1,6,327
Doppelleu,0,0,1,0,0,0,1,6,327
C-Ice Cannabis Ice Tea,0,0,1,0,0,0,1,6,327
