ParentCoFinal,EMPTY,O,PET,Grand Total,number of events,number of volunteers
Grand Total,0,163,1100,1263,21,103
Bakhresa Group,0,0,661,661,21,103
Mo Extra,0,0,130,130,21,103
Foma,0,112,0,112,21,103
Mo Xtra,0,0,102,102,21,103
Mo Energy,0,0,99,99,21,103
Uhai,0,0,63,63,21,103
Castle Light,0,26,0,26,21,103
The Coca-Cola Company,0,0,20,20,21,103
Tunda,0,0,14,14,21,103
African fruti,0,7,0,7,21,103
Brown sugar,0,6,0,6,21,103
Grandmalt,0,6,0,6,21,103
Mo energy,0,0,6,6,21,103
Plastics,0,0,5,5,21,103
Imperial Brands,0,3,0,3,21,103
Imagi,0,3,0,3,21,103
Windhock,0,0,0,0,21,103
Uhuru,0,0,0,0,21,103
Rivella,0,0,0,0,21,103
Redbull,0,0,0,0,21,103
Red Gold Tomato sauce,0,0,0,0,21,103
Rays,0,0,0,0,21,103
Puff,0,0,0,0,21,103
Princess Claire,0,0,0,0,21,103
Portsman,0,0,0,0,21,103
Unilever,0,0,0,0,21,103
Pladis,0,0,0,0,21,103
Pineapple drink,0,0,0,0,21,103
Pine Apple,0,0,0,0,21,103
PepsiCo,0,0,0,0,21,103
Peach,0,0,0,0,21,103
Pawa,0,0,0,0,21,103
Passion,0,0,0,0,21,103
P&G,0,0,0,0,21,103
Officers,0,0,0,0,21,103
Njombe chemchemi,0,0,0,0,21,103
Njombe Chemchemi,0,0,0,0,21,103
Nice biscuit,0,0,0,0,21,103
Neel salt,0,0,0,0,21,103
Neel Salt,0,0,0,0,21,103
Mwanasport,0,0,0,0,21,103
ndala,0,0,0,0,21,103
savanna,0,0,0,0,21,103
Mwananchi news paper,0,0,0,0,21,103
uhuru,0,0,0,0,21,103
Rungu max blade,0,0,0,0,21,103
Safari Lager,0,0,0,0,21,103
Ukwaju,0,0,0,0,21,103
mo xtra,0,0,0,0,21,103
Zanzibar cool,0,0,0,0,21,103
U fresh pineapple,0,0,0,0,21,103
U fresh,0,0,0,0,21,103
Twist,0,0,0,0,21,103
Tuya bakery,0,0,0,0,21,103
Zhimwa,0,0,0,0,21,103
Tomato Sauce,0,0,0,0,21,103
coolbar,0,0,0,0,21,103
Tanzania Breweries Limited,0,0,0,0,21,103
Tangawizi Chai,0,0,0,0,21,103
Tanga fresh,0,0,0,0,21,103
Super Ball-cone,0,0,0,0,21,103
Stamina,0,0,0,0,21,103
Vodka,0,0,0,0,21,103
Sports man,0,0,0,0,21,103
Splash,0,0,0,0,21,103
Sparletta,0,0,0,0,21,103
Simba chai,0,0,0,0,21,103
Simba Chai,0,0,0,0,21,103
Mo maisha,0,0,0,0,21,103
Seasalt ltd,0,0,0,0,21,103
Sea salt,0,0,0,0,21,103
SeQua,0,0,0,0,21,103
Sayona,0,0,0,0,21,103
Santa lucia,0,0,0,0,21,103
Samba,0,0,0,0,21,103
WhitedentTooth paste and Tooth Blush,0,0,0,0,21,103
ABC Batteries,0,0,0,0,21,103
Mo Passion,0,0,0,0,21,103
ACS Manufacturing Corporation,0,0,0,0,21,103
Fursana,0,0,0,0,21,103
Furaha,0,0,0,0,21,103
Formosa plastic,0,0,0,0,21,103
Foma Gold,0,0,0,0,21,103
Family,0,0,0,0,21,103
Energy Drink,0,0,0,0,21,103
Energy,0,0,0,0,21,103
Embe,0,0,0,0,21,103
Drosty hof,0,0,0,0,21,103
Dompo,0,0,0,0,21,103
Dar Fresh,0,0,0,0,21,103
Cuca,0,0,0,0,21,103
Crescent & Star,0,0,0,0,21,103
Coffee candy,0,0,0,0,21,103
Choco chix,0,0,0,0,21,103
Chill sauce,0,0,0,0,21,103
Chemicotex,0,0,0,0,21,103
Carburator,0,0,0,0,21,103
CHIBUKU,0,0,0,0,21,103
Bwana sukari,0,0,0,0,21,103
Baltika,0,0,0,0,21,103
Asas yoghurt,0,0,0,0,21,103
Asas,0,0,0,0,21,103
Aloe Vera,0,0,0,0,21,103
Afya,0,0,0,0,21,103
African fruit,0,0,0,0,21,103
African Fruit,0,0,0,0,21,103
Africafe,0,0,0,0,21,103
Africa Futi,0,0,0,0,21,103
G&B Soap,0,0,0,0,21,103
Gilbey,0,0,0,0,21,103
Grucose,0,0,0,0,21,103
Kirimanjaro,0,0,0,0,21,103
Milk & Malt,0,0,0,0,21,103
Milk,0,0,0,0,21,103
Maziwa ya biscuit,0,0,0,0,21,103
Master,0,0,0,0,21,103
Mango fruit,0,0,0,0,21,103
Mango,0,0,0,0,21,103
Maisha,0,0,0,0,21,103
Kung Fu,0,0,0,0,21,103
Korie,0,0,0,0,21,103
Konyagi,0,0,0,0,21,103
Kleesoft,0,0,0,0,21,103
Kiroba original,0,0,0,0,21,103
Kiroba,0,0,0,0,21,103
Kingslay,0,0,0,0,21,103
HIT,0,0,0,0,21,103
Kilimanjaro infusion tea bag,0,0,0,0,21,103
Kilimanjaro,0,0,0,0,21,103
Kasuku,0,0,0,0,21,103
Kariakoo Plastic Bags,0,0,0,0,21,103
KM Beverages,0,0,0,0,21,103
K- vant,0,0,0,0,21,103
K vant,0,0,0,0,21,103
K Vant,0,0,0,0,21,103
Jambo,0,0,0,0,21,103
Hill water,0,0,0,0,21,103
Hieneken,0,0,0,0,21,103
Heinken,0,0,0,0,21,103
Heineken International,0,0,0,0,21,103
Mirinda Orange,0,0,0,0,21,103
