ParentCoFinal,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,595,3425,1009,3263,284,10,9,8595,10,387
EI Sahely group,0,0,0,682,209,0,0,891,10,387
Bakhresa Group,0,0,0,621,0,0,0,621,10,387
Les Sociétés Anonymes des Brasseries du Cameroun,0,0,13,457,0,0,0,470,10,387
Les Brasseries du Cameroun,0,36,24,393,0,0,0,453,10,387
Lion dor,0,365,0,0,0,0,0,365,10,387
Unbranded,264,58,20,0,0,0,0,342,10,387
Mondelez International,0,255,0,0,0,0,0,255,10,387
The Coca-Cola Company,0,0,51,174,0,0,0,225,10,387
Whisky Classic,0,208,0,0,0,0,0,208,10,387
Monarch Beverage Company,0,0,0,161,0,0,0,161,10,387
Café-Rhum,0,151,0,0,0,0,0,151,10,387
Djino,0,0,0,136,0,0,0,136,10,387
Ufresh,0,125,0,7,0,0,0,132,10,387
Parle G,0,132,0,0,0,0,0,132,10,387
Dolait,41,0,0,89,0,0,0,130,10,387
Brazzeries Du Cameroon,0,0,126,0,0,0,0,126,10,387
Nestlé,3,86,21,0,16,0,0,126,10,387
Nutrisnack,0,119,0,0,0,0,0,119,10,387
Nutri-Milk,65,0,0,48,0,0,0,113,10,387
Blu,0,110,0,0,0,0,0,110,10,387
Madar,0,105,0,0,0,0,0,105,10,387
Bullet,0,0,101,0,0,0,0,101,10,387
Ole,0,0,98,0,0,0,0,98,10,387
Amie,0,83,14,0,0,0,0,97,10,387
Canada Dry Motts,0,0,0,94,0,0,0,94,10,387
Fighter,0,91,0,0,0,0,0,91,10,387
Société Bic,0,79,0,7,0,0,0,86,10,387
Fako Volcanic Spring,0,84,0,0,0,0,0,84,10,387
Mambo,0,84,0,0,0,0,0,84,10,387
Intafact Beverages Limited,0,0,82,0,0,0,0,82,10,387
Société Camerounaise de Fermentations,0,74,0,0,0,0,0,74,10,387
Opur,0,0,0,73,0,0,0,73,10,387
Houchens Industries,0,51,0,21,0,0,0,72,10,387
Special,0,0,0,71,0,0,0,71,10,387
Nourisse,0,71,0,0,0,0,0,71,10,387
Saba,11,60,0,0,0,0,0,71,10,387
O'Choco,0,69,0,0,0,0,0,69,10,387
Goal,0,67,0,0,0,0,0,67,10,387
