ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Grand Total,0,307,7,1049,2198,143,4,3708,7,67
Unbranded,0,63,0,267,289,27,0,646,7,67
The Coca-Cola Company,0,30,0,30,354,20,0,434,7,67
Vitasoy International Holdings Limited,0,25,0,58,296,14,0,393,7,67
China Resources Group,0,21,0,41,275,2,0,339,7,67
Tingyi (Cayman Islands) Holding Corporation,0,12,0,24,101,15,0,152,7,67
A.S. Watson Group,0,23,0,4,90,25,0,142,7,67
Wastows,0,0,0,2,133,0,0,135,7,67
Jun Lu,0,0,0,0,73,0,0,73,7,67
Shenzhen Ganten Food & Beverage Co.,0,9,0,14,45,0,0,68,7,67
Nongfu Spring,0,2,0,7,56,3,0,68,7,67
Hangzhou Wahaha Group,0,41,0,1,24,1,0,67,7,67
Telford International Company,0,4,0,3,42,0,0,49,7,67
Otsuka,0,3,0,0,43,3,0,49,7,67
Hung Fook Tong Group,0,0,0,0,35,0,0,35,7,67
Hua Di Shan,0,13,0,3,13,1,0,30,7,67
Nestlé,0,0,0,7,20,0,0,27,7,67
PepsiCo,0,1,0,9,14,0,0,24,7,67
Garden,0,0,0,19,0,2,0,21,7,67
Smile,0,0,0,0,17,3,0,20,7,67
Dong Peng Te Yin,0,2,0,4,9,2,0,17,7,67
Monde M.Y. San Corporation,0,0,0,17,0,0,0,17,7,67
Suntory,0,0,0,1,16,0,0,17,7,67
Artline 70,0,0,0,13,0,0,0,13,7,67
City Water,0,0,0,0,12,0,0,12,7,67
Unilever,0,3,0,7,2,0,0,12,7,67
Danone,0,2,0,1,7,0,0,10,7,67
Gan Quan,0,0,0,0,10,0,0,10,7,67
Mondelez International,0,0,0,10,0,0,0,10,7,67
Uni-President,0,0,0,4,6,0,0,10,7,67
Colgate-Palmolive,0,1,0,7,1,0,0,9,7,67
Genten,0,0,0,0,9,0,0,9,7,67
Cool Water,0,0,0,0,9,0,0,9,7,67
"Mars, Incorporated",0,4,0,4,0,0,0,8,7,67
Jing Bao 123,0,0,0,0,8,0,0,8,7,67
Edo Cracker,0,0,0,7,0,0,0,7,7,67
Da Li Yuan,0,0,0,6,1,0,0,7,7,67
Hai Fei Si,0,0,0,7,0,0,0,7,7,67
Swipe,0,3,0,4,0,0,0,7,7,67
Liby Group Co. Ltd.,0,1,0,5,1,0,0,7,7,67
Jun Wei,0,1,0,2,4,0,0,7,7,67
Huajing Spring,0,0,0,0,6,0,0,6,7,67
Temple,0,0,0,6,0,0,0,6,7,67
Johnson & Johnson,0,0,0,3,3,0,0,6,7,67
Rejoyce,0,3,0,0,3,0,0,6,7,67
Qq Star,0,0,0,0,6,0,0,6,7,67
