ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Grand Total,0,20,169,975,169,2913,68,4314,42,740
Unbranded,0,7,20,380,16,2866,60,3349,42,740
PepsiCo,0,0,15,47,32,10,0,104,42,740
Anheuser-Busch InBev,0,0,0,62,0,0,0,62,42,740
The Hershey Company,0,0,6,44,0,0,0,50,42,740
Philip Morris,0,0,0,47,0,0,0,47,42,740
The Coca-Cola Company,0,0,0,5,13,18,0,36,42,740
"Reynolds American, Inc.",0,0,1,32,0,0,0,33,42,740
"Mars, Incorporated",0,0,3,30,0,0,0,33,42,740
Nestlé,0,1,0,6,22,0,0,29,42,740
Kraft Heinz Company,0,1,2,18,8,0,0,29,42,740
Starbucks,0,0,0,8,7,9,0,24,42,740
Swisher International Inc,0,0,0,20,0,0,0,20,42,740
Corona,0,0,0,14,3,0,0,17,42,740
Anheuser-Busch,0,0,0,16,0,0,0,16,42,740
7-Eleven,0,0,0,15,0,0,0,15,42,740
Unilever,0,0,1,11,3,0,0,15,42,740
Zoom (Fish Bate),0,0,0,13,0,0,0,13,42,740
Spitz,0,0,0,12,0,0,0,12,42,740
Smci Holding,0,0,12,0,0,0,0,12,42,740
McDonald's Corporation,0,0,0,5,1,2,2,10,42,740
CostCo,0,0,1,0,8,0,0,9,42,740
Société Bic,0,0,0,9,0,0,0,9,42,740
Wilson,0,0,0,9,0,0,0,9,42,740
Mondelez International,0,0,4,5,0,0,0,9,42,740
Miller,0,0,0,8,0,0,0,8,42,740
Solo Cup,0,0,0,0,8,0,0,8,42,740
Pacifico,0,0,0,6,0,0,0,6,42,740
Ampm,0,0,0,6,0,0,0,6,42,740
Stig,0,0,0,6,0,0,0,6,42,740
Anheiser Busch,0,0,0,6,0,0,0,6,42,740
Cam 2 oil,0,0,0,0,6,0,0,6,42,740
General Mills,0,0,6,0,0,0,0,6,42,740
M&M/Mars,0,0,6,0,0,0,0,6,42,740
Whiteclaw Seltzer,0,0,0,5,0,0,0,5,42,740
Jack in the Box,0,0,0,5,0,0,0,5,42,740
Hershy Co,0,0,5,0,0,0,0,5,42,740
PAX Labs,0,0,0,5,0,0,0,5,42,740
Quick-Mate Ez,0,0,5,0,0,0,0,5,42,740
Snyders-Lance,0,0,4,0,0,0,0,4,42,740
Malboro,0,0,0,4,0,0,0,4,42,740
Lagunitas,0,0,0,4,0,0,0,4,42,740
Icee,0,0,0,4,0,0,0,4,42,740
SEE ATTACHED,0,0,0,0,4,0,0,4,42,740
Haribo,0,0,0,4,0,0,0,4,42,740
Dollar Tree,0,4,0,0,0,0,0,4,42,740
Karat,0,0,0,0,4,0,0,4,42,740
Tootsie,0,0,0,4,0,0,0,4,42,740
World Centric,0,0,0,4,0,0,0,4,42,740
Greenware,0,0,0,2,1,0,0,3,42,740
Tanimura & Antle,0,0,3,0,0,0,0,3,42,740
Ferara Candy Co.,0,0,3,0,0,0,0,3,42,740
P&G,0,0,1,0,2,0,0,3,42,740
Amazon / Whole Foods,0,0,2,1,0,0,0,3,42,740
Wrigley Co,0,0,3,0,0,0,0,3,42,740
Ipia,0,0,3,0,0,0,0,3,42,740
La Sabrasita,0,0,0,3,0,0,0,3,42,740
Quick Mart,0,0,3,0,0,0,0,3,42,740
AriZona Beverages,0,0,0,3,0,0,0,3,42,740
Tootsie Roll Industries,0,0,2,1,0,0,0,3,42,740
Johnson & Johnson,0,0,0,2,1,0,0,3,42,740
Dosal Tobacco Co,0,0,0,3,0,0,0,3,42,740
Monster Energy,0,0,0,3,0,0,0,3,42,740
Ziplock,0,0,3,0,0,0,0,3,42,740
Berkley (Fish Bate),0,0,0,3,0,0,0,3,42,740
Smcl Holding Inc.,0,0,3,0,0,0,0,3,42,740
Swisher Int'L Inc,0,0,2,0,0,0,0,2,42,740
Dr. Pepper/7-Up,0,0,2,0,0,0,0,2,42,740
Corner Bakery,0,0,0,2,0,0,0,2,42,740
Dr Pepper Snapple Group,0,0,0,2,0,0,0,2,42,740
Coors Brewing Co,0,0,0,2,0,0,0,2,42,740
Ferrara Candy Co,0,0,2,0,0,0,0,2,42,740
Dutch,0,0,0,2,0,0,0,2,42,740
Entenmans,0,0,2,0,0,0,0,2,42,740
Shop Quick,0,0,0,0,0,0,2,2,42,740
Swedish Match,0,0,0,2,0,0,0,2,42,740
S-Vc Inc,0,0,2,0,0,0,0,2,42,740
Ocean Spray,0,0,0,0,2,0,0,2,42,740
Mars Inc,0,0,2,0,0,0,0,2,42,740
Margaritaville Brewing Co.,0,0,0,2,0,0,0,2,42,740
Primal Herbal,0,0,0,2,0,0,0,2,42,740
Red Bull,0,0,0,2,0,0,0,2,42,740
Kimberly-Clark,0,0,0,1,0,1,0,2,42,740
Rubber Maid,0,0,0,2,0,0,0,2,42,740
Safeway Signature,0,0,1,0,1,0,0,2,42,740
Stater Bros,0,2,0,0,0,0,0,2,42,740
Holder Llc,0,0,0,0,2,0,0,2,42,740
Hard Seltzer Ben Company,0,0,0,2,0,0,0,2,42,740
Harbo,0,0,0,2,0,0,0,2,42,740
Hadsen,0,0,0,2,0,0,0,2,42,740
Spangler,0,0,2,0,0,0,0,2,42,740
Granny Goose,0,0,0,2,0,0,0,2,42,740
Gman Usa Llc,0,0,2,0,0,0,0,2,42,740
Seven Eleven,0,0,0,0,0,0,2,2,42,740
Niagra Bottling Llc,0,0,0,0,2,0,0,2,42,740
Austin,0,0,0,2,0,0,0,2,42,740
A&W,0,0,0,0,2,0,0,2,42,740
Alibaba Co.,0,0,2,0,0,0,0,2,42,740
Aylesworth Fish And Bait Co,0,0,2,0,0,0,0,2,42,740
Bj'S Wholesale Club,0,0,0,2,0,0,0,2,42,740
Beny,0,0,0,2,0,0,0,2,42,740
water bottles,0,0,0,0,2,0,0,2,42,740
Maruchan Ramen,0,0,1,0,0,0,0,1,42,740
Huiji Food,0,0,1,0,0,0,0,1,42,740
Albertsons-Safeway,0,1,0,0,0,0,0,1,42,740
Quiksliver,0,0,0,1,0,0,0,1,42,740
Flents,0,0,0,0,1,0,0,1,42,740
Marinaga,0,0,1,0,0,0,0,1,42,740
Straus Farms,0,0,0,0,0,1,0,1,42,740
Aldi,0,0,0,0,1,0,0,1,42,740
Hp Bulmer,0,0,0,1,0,0,0,1,42,740
Steel Brewery Co.,0,0,0,1,0,0,0,1,42,740
Apple & Eve,0,0,0,1,0,0,0,1,42,740
Nike,0,0,0,1,0,0,0,1,42,740
Placon,0,0,0,0,0,1,0,1,42,740
Flags-Banderillas,0,0,0,1,0,0,0,1,42,740
Ice Tickle,0,0,0,1,0,0,0,1,42,740
Kwik Trip,0,0,1,0,0,0,0,1,42,740
Swig,0,0,0,1,0,0,0,1,42,740
Candy Dynamics: Toxic Waste Nuclear Fusion,0,0,0,1,0,0,0,1,42,740
Bath And Body Works,0,0,0,1,0,0,0,1,42,740
Wells Enterprises,0,0,0,1,0,0,0,1,42,740
Wells,0,0,1,0,0,0,0,1,42,740
Faygo,0,0,0,1,0,0,0,1,42,740
Famous Amos Cookies,0,0,1,0,0,0,0,1,42,740
Sysco,0,0,1,0,0,0,0,1,42,740
SC Johnson,0,0,1,0,0,0,0,1,42,740
Tamaros,0,0,0,1,0,0,0,1,42,740
CVS,0,1,0,0,0,0,0,1,42,740
Hostess,0,0,0,1,0,0,0,1,42,740
Starbcuks,0,0,0,0,0,0,1,1,42,740
Liqui-Box Corp,0,0,1,0,0,0,0,1,42,740
Bimbo,0,0,0,1,0,0,0,1,42,740
Sl Snack National Llc,0,0,1,0,0,0,0,1,42,740
Heineken Brouwerijen,0,0,0,0,1,0,0,1,42,740
Blistex Inc.,0,0,0,1,0,0,0,1,42,740
Wise Food Inc.,0,0,0,1,0,0,0,1,42,740
Winn Dixie,0,0,0,1,0,0,0,1,42,740
Wingstop,0,0,0,0,1,0,0,1,42,740
PurAgua,0,0,0,0,1,0,0,1,42,740
Promotion In Motion,0,0,1,0,0,0,0,1,42,740
Sobe,0,0,0,0,1,0,0,1,42,740
Linda'S Cookies,0,0,0,1,0,0,0,1,42,740
Holders Llc,0,0,0,0,1,0,0,1,42,740
Staples,0,0,0,0,1,0,0,1,42,740
Pregis (Target),0,0,1,0,0,0,0,1,42,740
Southeastern Grocers,0,0,0,1,0,0,0,1,42,740
Scotch-Bright,0,0,1,0,0,0,0,1,42,740
Sazerac Co,0,0,0,0,1,0,0,1,42,740
Burkshire-Hathaway,0,0,0,1,0,0,0,1,42,740
Speedway,0,0,0,0,0,1,0,1,42,740
Good Times Usa Llc,0,0,1,0,0,0,0,1,42,740
Sperry,0,0,0,1,0,0,0,1,42,740
Potato Ware,0,0,0,1,0,0,0,1,42,740
Lucas,0,0,0,0,0,1,0,1,42,740
Signiture Select Refresh,0,0,0,0,1,0,0,1,42,740
Mckee Foods Corp,0,0,1,0,0,0,0,1,42,740
Meadow Gold,0,0,0,0,0,1,0,1,42,740
Tasty Baking Co,0,0,1,0,0,0,0,1,42,740
Reyholds Consumber Product Inc.,0,0,1,0,0,0,0,1,42,740
Desnoes & Geddes,0,0,0,1,0,0,0,1,42,740
Radians,0,0,1,0,0,0,0,1,42,740
Pabst,0,0,0,1,0,0,0,1,42,740
Voss Production,0,0,0,0,1,0,0,1,42,740
Red Gold Llc,0,0,0,0,1,0,0,1,42,740
Trader Joes,0,0,1,0,0,0,0,1,42,740
Cub Enterprises,0,0,0,0,1,0,0,1,42,740
Ricola,0,0,1,0,0,0,0,1,42,740
Trojan,0,0,1,0,0,0,0,1,42,740
Mount Gay Distillery,0,1,0,0,0,0,0,1,42,740
Reynolds Tobacco Co.,0,0,1,0,0,0,0,1,42,740
Kellogg'S,0,0,0,1,0,0,0,1,42,740
Pabst Brewing Company,0,0,0,1,0,0,0,1,42,740
Coors Brewing Company,0,0,0,1,0,0,0,1,42,740
Chnet,0,0,0,0,1,0,0,1,42,740
Kind Llc,0,0,1,0,0,0,0,1,42,740
New Belgium,0,1,0,0,0,0,0,1,42,740
Conagra Brands,0,0,0,1,0,0,0,1,42,740
Conagra,0,0,1,0,0,0,0,1,42,740
Ocean Snack,0,0,0,1,0,0,0,1,42,740
Church Amd Dwight,0,0,1,0,0,0,0,1,42,740
Niagara Bottling,0,0,0,0,1,0,0,1,42,740
Clean Pak,0,0,0,1,0,0,0,1,42,740
Kellogs,0,0,1,0,0,0,0,1,42,740
Dick And Jane Baking Co,0,0,1,0,0,0,0,1,42,740
Adams,0,0,0,1,0,0,0,1,42,740
Parks Alie Vero Drink,0,0,0,0,1,0,0,1,42,740
Walmart,0,0,0,1,0,0,0,1,42,740
Teddy Grahams,0,0,0,1,0,0,0,1,42,740
Barefoot Cellars,0,0,0,1,0,0,0,1,42,740
Wdolf Wild Ltd,0,0,0,1,0,0,0,1,42,740
Dunkin' Brands,0,0,0,0,0,0,1,1,42,740
Tejram Dharam Paul,0,0,0,1,0,0,0,1,42,740
Ds Services Of America,0,0,1,0,0,0,0,1,42,740
Termu,0,0,0,1,0,0,0,1,42,740
Rudolf Wild & Co.,0,0,0,1,0,0,0,1,42,740
Wawa,0,0,0,0,0,1,0,1,42,740
Mikes Hard Lemonade Co,0,0,0,1,0,0,0,1,42,740
Mfg By: Efg,0,0,1,0,0,0,0,1,42,740
Dr Mcgillicuddy,0,0,0,0,1,0,0,1,42,740
Lacoste,0,0,0,1,0,0,0,1,42,740
John Middleton Co.,0,0,1,0,0,0,0,1,42,740
Dogfish Head,0,0,0,1,0,0,0,1,42,740
Chick-Fil-A,0,0,0,0,1,0,0,1,42,740
Dole fruit,0,0,1,0,0,0,0,1,42,740
Dole Food Co,0,0,0,0,0,1,0,1,42,740
The Kroger Company,0,1,0,0,0,0,0,1,42,740
Thirster,0,0,0,0,1,0,0,1,42,740
Raid and roach killer,0,0,0,0,0,0,0,0,42,740
Razzle,0,0,0,0,0,0,0,0,42,740
Pwer Ade,0,0,0,0,0,0,0,0,42,740
fiesta,0,0,0,0,0,0,0,0,42,740
Recess,0,0,0,0,0,0,0,0,42,740
Quench Gum,0,0,0,0,0,0,0,0,42,740
condor ginger international pkg,0,0,0,0,0,0,0,0,42,740
crest/oral B,0,0,0,0,0,0,0,0,42,740
dart,0,0,0,0,0,0,0,0,42,740
Red Solo Cup,0,0,0,0,0,0,0,0,42,740
Raid ant and roach killer,0,0,0,0,0,0,0,0,42,740
dorito,0,0,0,0,0,0,0,0,42,740
Up 4,0,0,0,0,0,0,0,0,42,740
herbalife,0,0,0,0,0,0,0,0,42,740
Puroma,0,0,0,0,0,0,0,0,42,740
Paul Msson,0,0,0,0,0,0,0,0,42,740
Paris Hilton,0,0,0,0,0,0,0,0,42,740
Pants,0,0,0,0,0,0,0,0,42,740
ringpop,0,0,0,0,0,0,0,0,42,740
PMFTC,0,0,0,0,0,0,0,0,42,740
snicker,0,0,0,0,0,0,0,0,42,740
sparklets,0,0,0,0,0,0,0,0,42,740
tecate,0,0,0,0,0,0,0,0,42,740
Otsuka,0,0,0,0,0,0,0,0,42,740
Oscar Mayer,0,0,0,0,0,0,0,0,42,740
Orchard Value Harvest 28gm,0,0,0,0,0,0,0,0,42,740
Orbit Gum Wrapper,0,0,0,0,0,0,0,0,42,740
Olivet International Inc,0,0,0,0,0,0,0,0,42,740
Old Tyme,0,0,0,0,0,0,0,0,42,740
water gremlin,0,0,0,0,0,0,0,0,42,740
North Star,0,0,0,0,0,0,0,0,42,740
Nissin,0,0,0,0,0,0,0,0,42,740
Pearson's,0,0,0,0,0,0,0,0,42,740
Pelon Pelo Rico,0,0,0,0,0,0,0,0,42,740
Peloneta,0,0,0,0,0,0,0,0,42,740
Planterâ€™s,0,0,0,0,0,0,0,0,42,740
Purified Water,0,0,0,0,0,0,0,0,42,740
Pure Aqua Water,0,0,0,0,0,0,0,0,42,740
Pristine,0,0,0,0,0,0,0,0,42,740
ice,0,0,0,0,0,0,0,0,42,740
Pre Prescription,0,0,0,0,0,0,0,0,42,740
Powergel,0,0,0,0,0,0,0,0,42,740
Play Doh,0,0,0,0,0,0,0,0,42,740
kirklands,0,0,0,0,0,0,0,0,42,740
redgred,0,0,0,0,0,0,0,0,42,740
Planet All Green Home,0,0,0,0,0,0,0,0,42,740
Reeses,0,0,0,0,0,0,0,0,42,740
kroger water bottle,0,0,0,0,0,0,0,0,42,740
Pineapple Fanta,0,0,0,0,0,0,0,0,42,740
