ParentCoFinal,EMPTY,O,PET,Grand Total,number of events,number of volunteers
Grand Total,0,5064,3,5067,2,827
Slammers Energy Drink,0,710,0,710,2,827
Redbull,0,536,0,536,2,827
Heineken International,0,414,0,414,2,827
The Coca-Cola Company,0,389,0,389,2,827
Ola,0,359,0,359,2,827
Philip Morris,0,270,0,270,2,827
McDonald's Corporation,0,254,0,254,2,827
PepsiCo,0,147,0,147,2,827
"Mars, Incorporated",0,133,0,133,2,827
Antaflu,0,123,0,123,2,827
Spa,0,90,0,90,2,827
Haribo,0,87,0,87,2,827
Bavaria,0,69,0,69,2,827
"Reynolds American, Inc.",0,66,0,66,2,827
Nestlé,0,60,0,60,2,827
Albert Heijn,0,59,0,59,2,827
Jumbo,0,59,0,59,2,827
Perfetti van Melle,0,58,0,58,2,827
Caprison,0,54,0,54,2,827
Aa Drink,0,52,0,52,2,827
Bullit,0,47,0,47,2,827
Grolsch,0,46,0,46,2,827
Mondelez International,0,41,0,41,2,827
Lidl,0,39,0,39,2,827
Goldenpower,0,39,0,39,2,827
Ferrero Group,0,36,0,36,2,827
Hertog Jan,0,34,0,34,2,827
Icetea,0,31,0,31,2,827
Jupiler,0,31,0,31,2,827
Sourcy,0,30,0,30,2,827
Wicky,0,30,0,30,2,827
Sportlife,0,24,0,24,2,827
Fernandes,0,23,0,23,2,827
Taksi,0,22,0,22,2,827
Chocomel,0,22,0,22,2,827
Gulpener,0,21,0,21,2,827
Imperial Brands,0,18,0,18,2,827
Saskia,0,18,0,18,2,827
Sultana,0,18,0,18,2,827
Fristi,0,18,0,18,2,827
Pallmall,0,18,0,18,2,827
Bueno,0,17,0,17,2,827
Chaudfontaine,0,17,0,17,2,827
Luckystrike,0,16,0,16,2,827
Knoppers,0,15,0,15,2,827
Monster Energy,0,15,0,15,2,827
Corona,0,15,0,15,2,827
Mascotte,0,15,0,15,2,827
Schultenbrau,0,14,0,14,2,827
Desperados,0,14,0,14,2,827
Liga,0,13,0,13,2,827
Restaurant Brands International,0,13,0,13,2,827
Kruitvat,0,13,0,13,2,827
Starbucks,0,13,0,13,2,827
Tempo,0,13,0,13,2,827
Unilever,0,13,0,13,2,827
KFC,0,13,0,13,2,827
Breaker,0,13,0,13,2,827
Intafact Beverages Limited,0,12,0,12,2,827
Wilhemina,0,12,0,12,2,827
Douwe Egberts,0,10,0,10,2,827
Kellogg Company,0,10,0,10,2,827
Freeway,0,10,0,10,2,827
Ikea,0,9,0,9,2,827
Highway,0,8,0,8,2,827
Bifi,0,8,0,8,2,827
Dalphin,0,8,0,8,2,827
Reckitt Benckiser,0,8,0,8,2,827
River,0,8,0,8,2,827
Melkunie,0,8,0,8,2,827
Venco,0,7,0,7,2,827
Bros,0,7,0,7,2,827
Red Band,0,7,0,7,2,827
Fuzetea,0,7,0,7,2,827
Campina,0,7,0,7,2,827
Napoleon,0,7,0,7,2,827
Sisi,0,7,0,7,2,827
Tuc,0,6,0,6,2,827
Danone,0,6,0,6,2,827
Wilhelminapepermunt,0,6,0,6,2,827
Schutters,0,5,0,5,2,827
Vifit,0,5,0,5,2,827
Aldi,0,5,0,5,2,827
Bolletje,0,5,0,5,2,827
Zest-O Corporation,0,5,0,5,2,827
Qurellbrunn,0,5,0,5,2,827
Megaforce,0,5,0,5,2,827
Fruitella,0,3,0,3,2,827
spa,0,0,3,3,2,827
Optimel,0,2,0,2,2,827
Appelsientje,0,2,0,2,2,827
Hema,0,2,0,2,2,827
Lotus,0,2,0,2,2,827
Kong Strong,0,1,0,1,2,827
Peijnenburg,0,1,0,1,2,827
P&G,0,1,0,1,2,827
Unbranded,0,0,0,0,2,827
Sun Shopper,0,0,0,0,2,827
Signal Tootpaste,0,0,0,0,2,827
Kraft Heinz Company,0,0,0,0,2,827
Crystaline Still Water,0,0,0,0,2,827
Raak,0,0,0,0,2,827
no brand,0,0,0,0,2,827
shoes,0,0,0,0,2,827
various,0,0,0,0,2,827
