ParentCoFinal,O,PET,PP,Grand Total,number of events,number of volunteers
Grand Total,11186,54,1475,12715,1,455
Unbranded,11109,0,0,11109,1,455
Mondelez International,0,0,275,275,1,455
Confiteca,0,0,155,155,1,455
Unilever,0,0,144,144,1,455
Otros,0,0,143,143,1,455
PepsiCo,0,0,118,118,1,455
Quala,0,0,116,116,1,455
Colombina,0,0,77,77,1,455
La Universal,0,0,59,59,1,455
Icapeb,0,0,57,57,1,455
Carli Snacks,0,0,49,49,1,455
Tony,0,0,48,48,1,455
Nestlé,0,0,44,44,1,455
Adams,0,0,44,44,1,455
Cerveceria Nacional,36,0,0,36,1,455
The Coca-Cola Company,0,30,0,30,1,455
Hispanamur,0,0,29,29,1,455
Arca Continental,0,22,0,22,1,455
Superior,0,0,18,18,1,455
Ecualac,17,0,0,17,1,455
Super,0,0,16,16,1,455
Inalecsa,0,0,14,14,1,455
Pae,0,0,13,13,1,455
Servisachets,0,0,10,10,1,455
Arcor,0,0,9,9,1,455
Ferrero Group,0,0,8,8,1,455
Vitasoy International Holdings Limited,5,0,0,5,1,455
Rey Leche,5,0,0,5,1,455
Aje,4,0,0,4,1,455
Crimy,4,0,0,4,1,455
Pura Crema,0,0,4,4,1,455
Tesalia,0,0,4,4,1,455
Barrilete,0,0,4,4,1,455
Grupo Familia,3,0,0,3,1,455
Noe,0,0,3,3,1,455
Yupi,0,0,3,3,1,455
Big Cola,0,2,0,2,1,455
Yogufresh,2,0,0,2,1,455
Ata,0,0,2,2,1,455
Cronquis,0,0,1,1,1,455
San Carlos Azucarera,0,0,1,1,1,455
Banchis,0,0,1,1,1,455
Pulp,1,0,0,1,1,455
Nutron,0,0,1,1,1,455
Coqueiro,0,0,1,1,1,455
Corpi Ice Cream,0,0,1,1,1,455
KFC,0,0,1,1,1,455
Esco Alimentos,0,0,1,1,1,455
Manicris,0,0,1,1,1,455
