ParentCoFinal,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,2089,304,3254,113,52,6,5818,1,235
Inconnu,2000,254,602,113,27,0,2996,1,235
Idéale,0,0,600,0,0,0,600,1,235
Babali,0,0,450,0,0,0,450,1,235
Benita Coffee,0,0,331,0,0,0,331,1,235
Kraft Foods,0,0,251,0,0,0,251,1,235
Baradji,0,0,210,0,0,0,210,1,235
Koom,0,0,200,0,0,0,200,1,235
The Coca-Cola Company,0,0,132,0,0,0,132,1,235
Maman,0,0,100,0,0,0,100,1,235
Fadi,0,0,90,0,0,0,90,1,235
Lafi,0,0,80,0,0,0,80,1,235
Nestlé,0,21,49,0,0,0,70,1,235
Flag; Fanta; Faxe; Inconnu,57,0,0,0,0,0,57,1,235
Youki,0,0,50,0,0,0,50,1,235
Djana,0,0,50,0,0,0,50,1,235
Sahel,0,0,33,0,0,0,33,1,235
Saba,32,0,0,0,0,0,32,1,235
Hamilton,0,0,0,0,25,0,25,1,235
Dafani,0,0,21,0,0,0,21,1,235
Vody,0,15,0,0,0,0,15,1,235
House Hold Product,0,0,0,0,0,6,6,1,235
Softcare,0,5,0,0,0,0,5,1,235
Mosquito,0,5,0,0,0,0,5,1,235
Or Bleu,0,0,4,0,0,0,4,1,235
Socuco,0,4,0,0,0,0,4,1,235
Swet Water,0,0,1,0,0,0,1,1,235
