ParentCoFinal,EMPTY,HDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Grand Total,0,35,3582,220,887,10,4734,3,419
Unbranded,0,0,1550,0,562,0,2112,3,419
Assorted,0,0,1745,0,0,0,1745,3,419
Bebidas Grassi,0,0,190,190,0,0,380,3,419
Grupo Arcor,0,0,0,0,42,0,42,3,419
Mondelez International,0,0,2,0,34,0,36,3,419
Santa Fé,0,0,0,0,33,0,33,3,419
Nestlé,0,1,0,0,29,0,30,3,419
Riclan,0,0,0,0,21,0,21,3,419
Dori Alimentos As,0,0,0,0,21,0,21,3,419
Doll,0,0,0,0,19,0,19,3,419
Tabacalera Del Este,0,0,14,0,0,0,14,3,419
Coquetel Corote,0,0,7,7,0,0,14,3,419
The Coca-Cola Company,0,1,3,4,4,0,12,3,419
PepsiCo,0,0,0,0,11,0,11,3,419
Philip Morris,0,0,9,0,0,0,9,3,419
Ekma,0,0,8,0,0,0,8,3,419
Bubbaloo,0,0,0,0,8,0,8,3,419
Kerry Do Brasil Ltda,0,0,8,0,0,0,8,3,419
Santa Fé Distribuidora Forno Mineiro Ltda - Me,0,0,0,0,6,0,6,3,419
Bic Contemporary Art Collection,0,5,0,0,1,0,6,3,419
Gudang Carang,0,0,6,0,0,0,6,3,419
Santa Helena,0,0,0,0,6,0,6,3,419
Florestal Alimentos S/A,0,0,0,0,5,0,5,3,419
Garoto,0,0,0,0,5,0,5,3,419
Kraft Heinz Company,0,0,5,0,0,0,5,3,419
Konsumo,0,0,5,0,0,0,5,3,419
Perfetti van Melle,0,0,0,0,5,0,5,3,419
Burguer King,0,0,1,0,0,4,5,3,419
Simoneto Alimentos,0,0,0,0,5,0,5,3,419
Aurea Alimentos,0,0,5,0,0,0,5,3,419
Bauducco,0,0,0,0,4,0,4,3,419
Velho Barreira,0,0,0,0,0,4,4,3,419
Blau,0,0,0,0,4,0,4,3,419
Fini Comercializadora Ltda,0,0,0,0,4,0,4,3,419
Oliveira Produtos Alimentícios,0,0,0,0,4,0,4,3,419
McDonald's Corporation,0,0,1,0,0,2,3,3,419
"Mars, Incorporated",0,0,0,0,3,0,3,3,419
Unilever,0,0,3,0,0,0,3,3,419
Panco,0,0,0,0,3,0,3,3,419
Santa Clara,0,0,0,2,1,0,3,3,419
Adv Farma,0,3,0,0,0,0,3,3,419
Ambeve,0,0,0,3,0,0,3,3,419
Canderaria,0,0,0,0,3,0,3,3,419
Companhia Hemmer,0,0,3,0,0,0,3,3,419
Balas Caramelos Açumel Ltda,0,0,0,0,2,0,2,3,419
Peccin,0,0,0,0,2,0,2,3,419
Colgate-Palmolive,0,0,2,0,0,0,2,3,419
Bimbo Do Brasil Ltda,0,0,0,0,2,0,2,3,419
Biscoitão Confeitaria E Padaria Ltda,0,0,0,0,2,0,2,3,419
Rothmans International,0,0,2,0,0,0,2,3,419
Cini Bebidas,0,0,0,2,0,0,2,3,419
