ParentCoFinal,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,2,86,643,66,104,6,7,914,1,9
Unbranded,0,40,303,3,3,1,5,355,1,9
Philip Morris,0,10,52,0,0,0,0,62,1,9
Union Laško (Heineken),1,0,23,22,0,0,0,46,1,9
McDonald's Corporation,0,0,27,0,1,3,0,31,1,9
"Mars, Incorporated",0,2,14,0,7,0,0,23,1,9
Red Bull,0,0,17,0,0,0,0,17,1,9
Dorina,0,0,16,0,0,0,0,16,1,9
Winston (Itg Brands - Imperial Tobbaco),0,0,15,0,0,0,0,15,1,9
The Coca-Cola Company,0,2,4,8,0,0,0,14,1,9
Reckitt Benckiser,0,0,0,0,12,0,0,12,1,9
Frutabela,0,0,10,0,0,0,0,10,1,9
Ferrero Group,0,2,0,0,8,0,0,10,1,9
Mercator (Agrokor),0,1,7,2,0,0,0,10,1,9
Jellies,0,0,10,0,0,0,0,10,1,9
Dana,0,0,2,6,0,0,0,8,1,9
Petrol,0,0,7,1,0,0,0,8,1,9
West Imperial Brands Tobacco Company),0,0,7,0,0,0,0,7,1,9
West (Imperial Tobacco),0,0,7,0,0,0,0,7,1,9
Tatto Gim,0,0,0,0,6,0,0,6,1,9
Lucky Strike (Brittish American Tobbaco Group),0,0,6,0,0,0,0,6,1,9
PMFTC,0,0,5,0,0,0,0,5,1,9
PepsiCo,0,0,0,5,0,0,0,5,1,9
Rothmans (International),0,0,5,0,0,0,0,5,1,9
Frutabella,0,5,0,0,0,0,0,5,1,9
L&M (Philip Morris),0,0,5,0,0,0,0,5,1,9
Mondelez International,0,0,0,0,4,0,0,4,1,9
Šumi,0,0,0,0,4,0,0,4,1,9
Bronhi,0,0,0,0,4,0,0,4,1,9
Wipes,0,0,4,0,0,0,0,4,1,9
Berg Konig,0,0,4,0,0,0,0,4,1,9
Protein Bar,0,0,2,1,1,0,0,4,1,9
Choco Rice,0,0,4,0,0,0,0,4,1,9
Blendergroup,0,0,0,4,0,0,0,4,1,9
Chesterfield (Philip Morris),0,0,4,0,0,0,0,4,1,9
Mortadela,0,0,2,0,2,0,0,4,1,9
Gelees,0,0,0,0,4,0,0,4,1,9
Isla,0,0,4,0,0,0,0,4,1,9
Latte Menta,0,0,0,0,4,0,0,4,1,9
Fizzy,0,0,0,0,4,0,0,4,1,9
Fried,0,0,0,0,3,0,0,3,1,9
Monster (Beverage Corporation),0,0,3,0,0,0,0,3,1,9
Union,0,0,3,0,0,0,0,3,1,9
Zala - Union Laško (Heineken),0,0,0,0,3,0,0,3,1,9
Underberg,1,1,1,0,0,0,0,3,1,9
Airwaves (Wrigley),0,0,3,0,0,0,0,3,1,9
Jack Daniels Whiskey,0,0,0,3,0,0,0,3,1,9
Sendvič*,0,0,0,0,3,0,0,3,1,9
Kruh,0,0,2,0,0,0,0,2,1,9
Lučka,0,0,0,0,2,0,0,2,1,9
