ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Grand Total,0,28,22,315,175,61,37,638,7,48
Unbranded,0,3,5,82,6,10,0,106,7,48
The Coca-Cola Company,0,0,0,1,73,6,0,80,7,48
PepsiCo,0,0,0,17,18,0,0,35,7,48
Alpura,0,0,0,0,0,14,0,14,7,48
Bimbo Marinela,0,0,13,0,0,0,0,13,7,48
General Paint,0,4,0,9,0,0,0,13,7,48
Toyo Suisan,0,0,0,0,0,0,13,13,7,48
Ameyal,0,0,0,1,11,0,0,12,7,48
Tonayan,0,0,0,0,1,10,0,11,7,48
Danone,0,0,0,11,0,0,0,11,7,48
Bocadin,0,0,0,11,0,0,0,11,7,48
Bimbo,0,0,0,0,11,0,0,11,7,48
Costeña,0,0,0,10,0,0,0,10,7,48
Jarritos,0,0,0,0,2,7,0,9,7,48
Safari,0,9,0,0,0,0,0,9,7,48
Dominos,0,0,0,9,0,0,0,9,7,48
Dart,0,0,0,0,0,0,8,8,7,48
Bubaloo,0,0,0,8,0,0,0,8,7,48
Corona,0,0,0,8,0,0,0,8,7,48
Valladolid,0,0,0,0,0,0,8,8,7,48
Heineken International,0,0,0,6,1,0,0,7,7,48
Colgate-Palmolive,0,0,0,7,0,0,0,7,7,48
Nestlé,0,1,0,3,3,0,0,7,7,48
Barrilito Vero,0,0,0,6,0,0,0,6,7,48
Red Cola,0,0,0,0,6,0,0,6,7,48
Takis Barcel,0,0,0,6,0,0,0,6,7,48
Anheuser-Busch InBev,0,0,0,6,0,0,0,6,7,48
Mc Cormick,0,0,0,5,0,1,0,6,7,48
Gol,0,0,0,0,0,0,6,6,7,48
Dixi,0,0,0,0,0,5,0,5,7,48
Nutrileche,0,0,0,0,5,0,0,5,7,48
Mamut,0,0,0,0,5,0,0,5,7,48
Gamesa,0,0,0,5,0,0,0,5,7,48
P&G,0,2,0,2,0,0,0,4,7,48
Prudence,0,0,0,4,0,0,0,4,7,48
Malboro,0,0,0,4,0,0,0,4,7,48
1.2.3,0,0,0,2,2,0,0,4,7,48
Boing,0,0,0,4,0,0,0,4,7,48
Pollo Feliz,0,0,0,3,0,0,0,3,7,48
Big Mix,0,0,0,3,0,0,0,3,7,48
Zote,0,0,0,3,0,0,0,3,7,48
Salsabritas,0,0,0,3,0,0,0,3,7,48
Salsa Valentina,0,0,0,0,3,0,0,3,7,48
Blont Wrap,0,0,0,3,0,0,0,3,7,48
Rancho Escondido,0,0,0,3,0,0,0,3,7,48
Chips,0,0,0,3,0,0,0,3,7,48
Nutrioli,0,0,0,0,2,0,0,2,7,48
De La Rosa,0,0,0,2,0,0,0,2,7,48
Alliance Global Group,0,0,0,2,0,0,0,2,7,48
Nito,0,0,0,0,2,0,0,2,7,48
Esso,0,2,0,0,0,0,0,2,7,48
Reyma,0,0,0,0,0,0,2,2,7,48
Aguardiente,0,0,0,0,2,0,0,2,7,48
Gansito,0,0,0,1,0,1,0,2,7,48
Sello Rojo,0,1,0,0,0,1,0,2,7,48
Caribe Cooler,0,0,0,0,2,0,0,2,7,48
San Jorge,0,0,0,0,0,2,0,2,7,48
San Marcos,0,0,0,0,0,2,0,2,7,48
Comex,0,0,0,2,0,0,0,2,7,48
Pepe Charro,0,0,0,2,0,0,0,2,7,48
Cabrito,0,0,0,2,0,0,0,2,7,48
Aga,0,0,0,0,2,0,0,2,7,48
Cinta,0,0,0,2,0,0,0,2,7,48
Tecate,0,0,0,2,0,0,0,2,7,48
Choco Roll,0,0,0,2,0,0,0,2,7,48
Firestone,0,0,0,2,0,0,0,2,7,48
Barrilito,0,0,0,1,0,0,0,1,7,48
Titra,0,0,0,1,0,0,0,1,7,48
Silk,0,0,0,1,0,0,0,1,7,48
Manzanita,0,0,0,1,0,0,0,1,7,48
Tequila Hornito,0,0,0,1,0,0,0,1,7,48
Skarch,0,0,0,0,1,0,0,1,7,48
Los Angeles,0,0,0,1,0,0,0,1,7,48
Spid Stick,0,1,0,0,0,0,0,1,7,48
Kimberly-Clark,0,0,0,1,0,0,0,1,7,48
Suave,0,0,0,1,0,0,0,1,7,48
Ambroxol,0,1,0,0,0,0,0,1,7,48
Lala,0,0,0,0,0,1,0,1,7,48
Tetro,0,0,0,1,0,0,0,1,7,48
La Valenciana,0,0,0,1,0,0,0,1,7,48
La Moderna,0,0,0,1,0,0,0,1,7,48
Kiyaki,0,0,0,1,0,0,0,1,7,48
Sidral Mundet,0,0,0,0,1,0,0,1,7,48
Calcetose,0,0,0,1,0,0,0,1,7,48
Sealy,0,1,0,0,0,0,0,1,7,48
