ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Grand Total,0,215,135,105,8892,127,20,9494,5,1560
Unbranded,0,23,46,0,1848,12,19,1948,5,1560
Maji Asili Company,0,0,0,0,680,0,0,680,5,1560
P-E-T Active Products cc,0,0,0,0,590,0,0,590,5,1560
Cool,0,0,0,0,583,0,0,583,5,1560
Nice And Lovely,0,0,0,0,568,0,0,568,5,1560
Apple Punch,0,0,0,0,560,0,0,560,5,1560
Oral Rehydration,0,0,0,0,450,0,0,450,5,1560
Kithiri Water,0,0,0,0,302,0,0,302,5,1560
Rayyan Mineral Water Company,0,0,0,0,296,0,0,296,5,1560
Upfield,0,0,0,0,274,9,0,283,5,1560
Warda,0,0,0,0,274,0,0,274,5,1560
Buzeki Dairy Limited,0,0,0,0,246,0,0,246,5,1560
Nigerian Breweries Plc,0,0,0,0,234,0,0,234,5,1560
Spring Water,0,0,0,0,230,0,0,230,5,1560
Star Pop,0,0,0,0,216,0,0,216,5,1560
ACS Manufacturing Corporation,0,0,0,0,210,0,0,210,5,1560
Rayan Ice,0,0,0,0,160,0,0,160,5,1560
The Hershey Company,0,16,0,7,54,72,0,149,5,1560
Zeitice,0,0,0,0,142,0,0,142,5,1560
Zoom,0,0,0,0,134,0,0,134,5,1560
Coast Bus,0,0,0,0,120,0,0,120,5,1560
The Coca-Cola Company,0,0,0,0,112,0,0,112,5,1560
Quencher,0,0,0,0,92,0,0,92,5,1560
Tuzo,0,0,0,0,85,0,0,85,5,1560
Royal Life Milk,0,0,0,0,75,0,0,75,5,1560
Halal,0,0,0,0,65,0,0,65,5,1560
Safiri,0,0,0,0,65,0,0,65,5,1560
Tsavo Cool,0,0,0,0,56,0,0,56,5,1560
Pladis,0,0,0,0,45,0,0,45,5,1560
Modern Coast,0,0,0,0,30,0,0,30,5,1560
Stoney,0,0,0,0,27,0,0,27,5,1560
Supa Loaf,0,0,23,0,0,0,0,23,5,1560
Butter Toast,0,0,22,0,0,0,0,22,5,1560
Say,0,0,0,0,20,0,0,20,5,1560
