ParentCoFinal,HDPE,LDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Grand Total,19,95,3896,678,84,66,4838,7,114
Unbranded,0,25,1489,11,36,57,1618,7,114
Morshynska Company,0,0,45,124,1,0,170,7,114
The Coca-Cola Company,0,0,21,102,0,0,123,7,114
PepsiCo,0,0,60,51,0,0,111,7,114
Чернігівське,0,0,35,53,0,0,88,7,114
"Reynolds American, Inc.",0,0,82,0,0,0,82,7,114
Imperial Brands,0,0,76,0,0,0,76,7,114
British American Tobacco,0,0,68,0,0,0,68,7,114
Roshen,0,0,56,0,12,0,68,7,114
Хлібний Дар,0,0,67,0,0,0,67,7,114
Shake,0,0,47,0,0,0,47,7,114
Philip Morris,0,0,45,0,0,0,45,7,114
Steviasun Corporation,0,0,44,0,0,0,44,7,114
Хортиця,0,0,40,0,0,0,40,7,114
Beer Market,0,0,11,27,0,0,38,7,114
Коблево,0,0,35,0,0,0,35,7,114
Оболонь,0,0,17,17,0,0,34,7,114
Garage,0,0,30,0,0,0,30,7,114
Рудь,0,5,19,0,0,5,29,7,114
Ооо «Vegetus»,1,0,27,0,0,0,28,7,114
Nemiroff,0,0,28,0,0,0,28,7,114
Атб,11,15,0,0,0,0,26,7,114
Розумний Вибір,2,0,2,14,8,0,26,7,114
Козацька Рада,0,0,26,0,0,0,26,7,114
Parlament,0,0,24,0,0,0,24,7,114
Heets,0,0,23,0,0,0,23,7,114
Fishdream,0,0,22,0,0,0,22,7,114
Сан Санич,0,0,22,0,0,0,22,7,114
Бомба (Фоп Скачков),0,0,22,0,0,0,22,7,114
Ld,0,0,22,0,0,0,22,7,114
Київхліб,0,7,14,0,0,0,21,7,114
Nestlé,0,0,20,1,0,0,21,7,114
Apps,0,0,0,21,0,0,21,7,114
Villa Krim,0,0,20,0,0,0,20,7,114
Heineken International,0,0,20,0,0,0,20,7,114
Shabo,0,0,20,0,0,0,20,7,114
Повна Чаша,0,0,12,8,0,0,20,7,114
Lm,0,0,20,0,0,0,20,7,114
Мороша,0,0,19,0,0,0,19,7,114
Aroma Kava,0,0,19,0,0,0,19,7,114
McDonald's Corporation,0,0,15,0,0,3,18,7,114
Мікадо,0,0,18,0,0,0,18,7,114
Рошен,0,15,2,0,0,0,17,7,114
Strong,0,0,17,0,0,0,17,7,114
Яготинське,0,1,12,0,4,0,17,7,114
Black Energy,0,0,0,17,0,0,17,7,114
Цельсій,0,0,16,0,0,0,16,7,114
Тетерів (Сан Інбев Україна),0,0,0,16,0,0,16,7,114
Sandora,0,0,15,1,0,0,16,7,114
Longer,0,0,16,0,0,0,16,7,114
Prime,0,0,15,0,0,0,15,7,114
Банки Ноу Нейм,0,0,15,0,0,0,15,7,114
Carlsberg,0,0,15,0,0,0,15,7,114
Борисфен,0,0,15,0,0,0,15,7,114
"Тов ""Уссп Ко Хлібопекарський Комплекс""",0,0,14,0,0,0,14,7,114
Mondelez International,0,0,13,0,0,0,13,7,114
Чернігівське (Сан Інбев Україна),0,0,3,10,0,0,13,7,114
"Тм Хлібний Дар, Виробник «Національної Горілчаної Компанії»",0,0,12,0,0,0,12,7,114
Sobranie,0,0,12,0,0,0,12,7,114
Pit Bull,0,0,0,12,0,0,12,7,114
