ParentCoFinal,O,PET,Grand Total,number of events,number of volunteers
Grand Total,2276,1183,3459,48,1439
Tingyi (Cayman Islands) Holding Corporation,55,337,392,48,1439
Nongfu Spring,23,220,243,48,1439
China Resources Group,25,177,202,48,1439
The Coca-Cola Company,35,146,181,48,1439
Hangzhou Wahaha Group,20,83,103,48,1439
Mulanhua,97,0,97,48,1439
Mengniu,96,0,96,48,1439
Yili,74,2,76,48,1439
Ganten,21,51,72,48,1439
Shuanghui,69,0,69,48,1439
Double Happiness Cigarette,65,0,65,48,1439
Want Want,60,1,61,48,1439
Boyuan,60,0,60,48,1439
Septwolves Cigarette,51,0,51,48,1439
Redbull,49,0,49,48,1439
Liqun Cigarette,43,0,43,48,1439
Furongwang Cigarette,43,0,43,48,1439
Shenzhen Ganten Food & Beverage Co.,0,41,41,48,1439
Indofood,40,0,40,48,1439
Vitasoy International Holdings Limited,38,0,38,48,1439
Dali Foods,35,1,36,48,1439
RedBull,32,0,32,48,1439
Yakult,28,1,29,48,1439
Jinluofood,27,0,27,48,1439
CHANG BAISHAN,24,0,24,48,1439
Uni-President,18,5,23,48,1439
Plastic Beg,23,0,23,48,1439
Hek,21,1,22,48,1439
Brightdairy,21,0,21,48,1439
Yinlu,16,4,20,48,1439
Kyfen,18,0,18,48,1439
Harbin Beer,18,0,18,48,1439
Liulanshan,17,0,17,48,1439
Tsingtao,17,0,17,48,1439
Toly Food,15,0,15,48,1439
YUXI CIGARETTE,15,0,15,48,1439
PepsiCo,6,8,14,48,1439
Kouweiwang,14,0,14,48,1439
Strongfood,13,0,13,48,1439
Baixiangfood,13,0,13,48,1439
Liwayway Holdings Company Limited,12,0,12,48,1439
Xiangbalao,12,0,12,48,1439
Hengan,11,0,11,48,1439
ZUANSHI CIGARETTE,11,0,11,48,1439
Jin Mai Lang,11,0,11,48,1439
Nestlé,11,0,11,48,1439
Wljhealth,9,1,10,48,1439
Evergrande Spring,1,9,10,48,1439
Budweiser,10,0,10,48,1439
junlebao,9,1,10,48,1439
Hongta Group,9,0,9,48,1439
Danone,2,7,9,48,1439
Nanjing Cigarette,9,0,9,48,1439
Ming Tai Lang,8,0,8,48,1439
A.S. Watson Group,6,2,8,48,1439
Starbucks,8,0,8,48,1439
Zhong Yan,7,0,7,48,1439
Ichaoneng,7,0,7,48,1439
Kefir,7,0,7,48,1439
P&G,7,0,7,48,1439
SNOWBEER,7,0,7,48,1439
Xiangpiaopiao Food,7,0,7,48,1439
Zaolong,0,7,7,48,1439
Huanghelou Cigarette,6,0,6,48,1439
Coconut Palm,6,0,6,48,1439
Dongjunjituan,6,0,6,48,1439
Chivalry,0,6,6,48,1439
Jin Wei,6,0,6,48,1439
KFC,6,0,6,48,1439
Telunsu,6,0,6,48,1439
Snowbeer,6,0,6,48,1439
Chubang,5,0,5,48,1439
State Express 555,5,0,5,48,1439
Fanta,3,2,5,48,1439
Niulanshan,5,0,5,48,1439
Jinluo food,5,0,5,48,1439
Wuzizui,5,0,5,48,1439
Baisha Cigarette,5,0,5,48,1439
Bulb,5,0,5,48,1439
Hsufuchifoods,5,0,5,48,1439
Ice Dew,0,5,5,48,1439
Dong Peng Te Yin,4,1,5,48,1439
Dong Bao,5,0,5,48,1439
Kronenbourge 1664,5,0,5,48,1439
Yang Yuan,4,0,4,48,1439
Qingzhen,4,0,4,48,1439
Orion,4,0,4,48,1439
Nice Group,4,0,4,48,1439
Feeder,0,4,4,48,1439
Uni-Presidenti,4,0,4,48,1439
Liziyuan,3,1,4,48,1439
HONGTA GROUP,4,0,4,48,1439
Haitian-Food,4,0,4,48,1439
YinLu,4,0,4,48,1439
Hanshi,4,0,4,48,1439
Lingzhi,4,0,4,48,1439
Lanxili,4,0,4,48,1439
Weilongshipin,4,0,4,48,1439
Jdb,3,1,4,48,1439
Panpanfood,4,0,4,48,1439
Liqun,4,0,4,48,1439
CHUNGHWA CIGARETTE,4,0,4,48,1439
Activia,4,0,4,48,1439
Qiaqiafood,3,0,3,48,1439
Mentholatum,3,0,3,48,1439
Snickers,3,0,3,48,1439
Sanhuifoods,3,0,3,48,1439
Fishing Gear,3,0,3,48,1439
Pao Ba,3,0,3,48,1439
Omo,3,0,3,48,1439
Monchilovtsi,3,0,3,48,1439
Mixue-Tea,0,3,3,48,1439
Liu Liu,3,0,3,48,1439
Suntory,2,1,3,48,1439
Lion Cigarette,3,0,3,48,1439
General,3,0,3,48,1439
Genki Forest,0,3,3,48,1439
Jahwa,3,0,3,48,1439
HUANGHELOU CIGARETTE,3,0,3,48,1439
Haoyiduo,3,0,3,48,1439
Bai Lian,3,0,3,48,1439
Haitian,3,0,3,48,1439
Ai Shang,3,0,3,48,1439
Yunyan CIGARETTE,3,0,3,48,1439
Vita,3,0,3,48,1439
Weichuan,2,1,3,48,1439
Yurun Group,3,0,3,48,1439
Xiduoduo,3,0,3,48,1439
Dove,3,0,3,48,1439
Werdery,3,0,3,48,1439
Chang Ji,2,0,2,48,1439
Yun Cigarette,2,0,2,48,1439
Yunnan Baiyao,2,0,2,48,1439
Lay'S,2,0,2,48,1439
Laiyifen,2,0,2,48,1439
Kangzhiwei,0,2,2,48,1439
Junlebao,2,0,2,48,1439
Jinmailang,2,0,2,48,1439
Changfuniunai,2,0,2,48,1439
Jinji Foods,2,0,2,48,1439
Jindanbo,1,1,2,48,1439
Liby,2,0,2,48,1439
Jiangnan Sail Industry,2,0,2,48,1439
Jia Bao,2,0,2,48,1439
Jd,2,0,2,48,1439
Yuxi CIGARETTE,2,0,2,48,1439
Huiyuan,0,2,2,48,1439
Hengrui,2,0,2,48,1439
Harbin-Beer,2,0,2,48,1439
Yuxi Cigarette,2,0,2,48,1439
Lfji,2,0,2,48,1439
Tiandiyihao,2,0,2,48,1439
Adidas,2,0,2,48,1439
3Songshu,2,0,2,48,1439
Tao Kae Noi,2,0,2,48,1439
Taishan,2,0,2,48,1439
Vinda,2,0,2,48,1439
Auscow Milk,2,0,2,48,1439
Babaipu,2,0,2,48,1439
Shaoxingwine,1,1,2,48,1439
Shanghai Cigarette,2,0,2,48,1439
Sedrin,2,0,2,48,1439
Runtian,1,1,2,48,1439
Ren He,2,0,2,48,1439
Radar,2,0,2,48,1439
Haocaitou,1,1,2,48,1439
Alpenliebe,2,0,2,48,1439
Pinjia,2,0,2,48,1439
Wjtfood,2,0,2,48,1439
Mudan,2,0,2,48,1439
Xinbake,2,0,2,48,1439
Mingbang,2,0,2,48,1439
Mili,2,0,2,48,1439
YILI,2,0,2,48,1439
Tenwowfood,1,1,2,48,1439
Dalian,0,2,2,48,1439
Morefriends,2,0,2,48,1439
HI-TIGER,2,0,2,48,1439
DONG PENG TE YIN,0,2,2,48,1439
Gouyizui,2,0,2,48,1439
Darlie,2,0,2,48,1439
Daqianen Cigarette,2,0,2,48,1439
Daohuaxiang,2,0,2,48,1439
Erguotou,2,0,2,48,1439
EVERGRANDE SPRING,0,2,2,48,1439
Chunghwa,2,0,2,48,1439
Chunguangfoodstuff,2,0,2,48,1439
Silang,1,0,1,48,1439
Sunflower,1,0,1,48,1439
Taisunfoods,1,0,1,48,1439
Taishan Cigarette,1,0,1,48,1439
Epude,1,0,1,48,1439
