ParentCoFinal,EMPTY,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,0,6,22,6,43,3,4,84,35,1293
Unbranded,0,0,5,0,30,1,0,36,35,1293
The Coca-Cola Company,0,0,9,2,4,0,0,15,35,1293
Kasugaiseika,0,0,0,0,4,0,0,4,35,1293
Unsure,0,0,0,0,0,0,4,4,35,1293
SUNTORY,0,0,0,0,3,0,0,3,35,1293
KIRIN,0,0,2,0,0,0,0,2,35,1293
LOTTE,0,1,1,0,0,0,0,2,35,1293
ASAHI,0,0,2,0,0,0,0,2,35,1293
KANRO,0,1,0,0,0,0,0,1,35,1293
Marumiya,0,0,0,0,0,1,0,1,35,1293
Nokyo,0,0,0,1,0,0,0,1,35,1293
UHA,0,1,0,0,0,0,0,1,35,1293
Tsutaya,0,1,0,0,0,0,0,1,35,1293
DYDO,0,0,0,1,0,0,0,1,35,1293
Uha mikakuto,0,0,0,0,1,0,0,1,35,1293
Yaokin,0,0,0,0,0,1,0,1,35,1293
Yukijirushi,0,0,0,1,0,0,0,1,35,1293
bear,0,0,0,1,0,0,0,1,35,1293
nichiiko,0,0,0,0,1,0,0,1,35,1293
pokka,0,0,1,0,0,0,0,1,35,1293
seven eleven,0,1,0,0,0,0,0,1,35,1293
Griko,0,0,1,0,0,0,0,1,35,1293
SEVEN ELEVEN,0,1,0,0,0,0,0,1,35,1293
CGC,0,0,1,0,0,0,0,1,35,1293
Daiichi Pharmacy,0,0,0,0,0,0,0,0,35,1293
Yamato,0,0,0,0,0,0,0,0,35,1293
Yamazakipan,0,0,0,0,0,0,0,0,35,1293
Yamazki,0,0,0,0,0,0,0,0,35,1293
Amehama,0,0,0,0,0,0,0,0,35,1293
Yomeishu,0,0,0,0,0,0,0,0,35,1293
Alpulgatasu,0,0,0,0,0,0,0,0,35,1293
Zebra,0,0,0,0,0,0,0,0,35,1293
arufa shoji,0,0,0,0,0,0,0,0,35,1293
asahi,0,0,0,0,0,0,0,0,35,1293
Aji Frozen USA Corporation,0,0,0,0,0,0,0,0,35,1293
bulbon,0,0,0,0,0,0,0,0,35,1293
burubon,0,0,0,0,0,0,0,0,35,1293
chateraise,0,0,0,0,0,0,0,0,35,1293
cupie,0,0,0,0,0,0,0,0,35,1293
disney,0,0,0,0,0,0,0,0,35,1293
dydo,0,0,0,0,0,0,0,0,35,1293
family mart,0,0,0,0,0,0,0,0,35,1293
fumakira,0,0,0,0,0,0,0,0,35,1293
glico,0,0,0,0,0,0,0,0,35,1293
ikeda mohando,0,0,0,0,0,0,0,0,35,1293
isomaru,0,0,0,0,0,0,0,0,35,1293
Yamazaki,0,0,0,0,0,0,0,0,35,1293
Yamaha,0,0,0,0,0,0,0,0,35,1293
Takano foods,0,0,0,0,0,0,0,0,35,1293
Yakult,0,0,0,0,0,0,0,0,35,1293
Takeda,0,0,0,0,0,0,0,0,35,1293
Takedaseiyaku,0,0,0,0,0,0,0,0,35,1293
Tanabe Pharmaceutical,0,0,0,0,0,0,0,0,35,1293
Tarami,0,0,0,0,0,0,0,0,35,1293
