ParentCoFinal,EMPTY,PET,Grand Total,number of events,number of volunteers
Grand Total,0,24,24,1,30
AGROS WATER,0,24,24,1,30
Plastic Bottle 1L,0,0,0,1,30
LIFE CHAI,0,0,0,1,30
LOUX,0,0,0,1,30
MANGO SUNISLAND,0,0,0,1,30
MR BROWN,0,0,0,1,30
McDonald's Corporation,0,0,0,1,30
Nestlé,0,0,0,1,30
OLD HOLBORN TOBACCO,0,0,0,1,30
ORBIT GUMS,0,0,0,1,30
PREFFA COFFEE,0,0,0,1,30
PepsiCo,0,0,0,1,30
"Reynolds American, Inc.",0,0,0,1,30
LEON BEER,0,0,0,1,30
SIGMA BAKERIES,0,0,0,1,30
STAGONA AGROU,0,0,0,1,30
TROPICAL ZERO,0,0,0,1,30
The Coca-Cola Company,0,0,0,1,30
UNKNOWN ALCOHOL,0,0,0,1,30
VIMTO,0,0,0,1,30
XIXO ICE TEA,0,0,0,1,30
YOUS,0,0,0,1,30
ZAGORI,0,0,0,1,30
LIDL WATER,0,0,0,1,30
AGIOS NIKOLAOS,0,0,0,1,30
AGROS,0,0,0,1,30
EL CAFÃ‰ ICED COFFEE,0,0,0,1,30
ALBRAW BEER,0,0,0,1,30
ALOE VERA TROPICAL,0,0,0,1,30
ALPHA BEER,0,0,0,1,30
AVRA WATER,0,0,0,1,30
BIKOS WATER,0,0,0,1,30
BURGER BEER,0,0,0,1,30
CAPRICE,0,0,0,1,30
CARLSBERG,0,0,0,1,30
DOR,0,0,0,1,30
FARMAKAS WATER,0,0,0,1,30
Kellogg Company,0,0,0,1,30
Fuse Tea,0,0,0,1,30
GALPO Yoghurt,0,0,0,1,30
HELL ENERGY DRINK,0,0,0,1,30
ION ICE CREAM,0,0,0,1,30
IZIKIL,0,0,0,1,30
KAIZER BRAU BEER,0,0,0,1,30
KRAUSER BEER,0,0,0,1,30
KRISTIS MILK,0,0,0,1,30
KYKKOS WATER,0,0,0,1,30
LANITIS MILK,0,0,0,1,30
